name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"742,400,000","681,600,000","656,300,000","631,900,000","605,300,000","568,800,000","519,500,000","463,600,000","413,000,000","384,600,000","366,800,000","337,000,000","219,000,000","194,900,000"
	CurrentAssets,"351,300,000","410,400,000","383,500,000","365,600,000","338,300,000","311,400,000","266,300,000","212,800,000","178,300,000","147,000,000","129,100,000","96,200,000","65,400,000","47,100,000"
		CashCashEquivalentsAndShortTermInvestments,"292,000,000","364,400,000","330,800,000","300,800,000","272,000,000","268,900,000","210,300,000","156,100,000","132,600,000","110,600,000","81,300,000","50,400,000","14,500,000","10,000,000"
			CashAndCashEquivalents,"292,000,000","364,400,000","330,800,000","300,800,000","272,000,000","268,900,000","210,300,000","156,100,000","132,600,000","110,600,000","81,300,000","50,400,000","14,500,000","10,000,000"
		Receivables,"42,800,000","41,400,000","35,600,000","51,100,000","53,300,000","38,400,000","49,600,000","53,200,000","42,400,000","33,400,000","43,300,000","43,100,000","44,000,000","32,700,000"
			AccountsReceivable,"42,800,000","39,600,000","35,600,000","51,100,000","53,300,000","36,600,000","49,600,000","53,200,000","42,400,000","32,100,000","43,300,000","43,100,000","44,000,000","31,500,000"
			TaxesReceivable,,"1,600,000",,,,"1,600,000",,,,"1,100,000",,,,"1,000,000"
			OtherReceivables,,"200,000",,,,"200,000",,,,"200,000",,,,"200,000"
		PrepaidAssets,"16,500,000","4,600,000","17,100,000","13,700,000","13,000,000","4,100,000","6,400,000","3,500,000","3,300,000","3,000,000","4,500,000","2,700,000","6,900,000","1,700,000"
		CurrentDeferredAssets,,,,,,,,,,"0",,,,"2,700,000"
	TotalNonCurrentAssets,"391,100,000","271,200,000","272,800,000","266,300,000","267,000,000","257,400,000","253,200,000","250,800,000","234,700,000","237,600,000","237,700,000","240,800,000","153,600,000","147,800,000"
		NetPPE,"9,500,000","10,300,000","10,900,000","11,600,000","12,000,000","12,900,000","13,400,000","9,900,000","9,800,000","10,600,000","10,700,000","10,500,000","8,000,000","1,800,000"
			GrossPPE,"9,500,000","17,700,000","10,900,000","11,600,000","12,000,000","18,500,000","13,400,000","9,900,000","9,800,000","15,100,000","10,700,000","10,500,000","8,000,000","5,400,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0"
				MachineryFurnitureEquipment,,"7,800,000",,,,"7,100,000",,,,"6,400,000",,,,"4,200,000"
				OtherProperties,"9,500,000","6,800,000","10,900,000","11,600,000","12,000,000","8,500,000","13,400,000","9,900,000","9,800,000","6,000,000","10,700,000","10,500,000","8,000,000",
				Leases,,"3,100,000",,,,"2,900,000",,,,"2,700,000",,,,"1,200,000"
			AccumulatedDepreciation,,"-7,400,000",,,,"-5,600,000",,,,"-4,500,000",,,,"-3,600,000"
		GoodwillAndOtherIntangibleAssets,"303,500,000","180,700,000","182,800,000","174,100,000","172,600,000","160,100,000","155,800,000","156,000,000","137,200,000","137,700,000","132,000,000","132,800,000","138,200,000","138,600,000"
			Goodwill,"222,600,000","131,100,000","130,200,000","129,300,000","127,800,000","129,800,000","127,000,000","127,100,000","120,700,000","120,700,000","120,700,000","120,700,000","120,700,000","120,700,000"
			OtherIntangibleAssets,"80,900,000","49,600,000","52,600,000","44,800,000","44,800,000","30,300,000","28,800,000","28,900,000","16,500,000","17,000,000","11,300,000","12,100,000","17,500,000","17,900,000"
		NonCurrentDeferredAssets,"76,300,000","78,500,000","77,300,000","78,800,000","80,500,000","82,500,000","84,000,000","84,900,000","87,700,000","87,100,000","87,200,000","90,000,000","6,400,000","6,400,000"
			NonCurrentDeferredTaxesAssets,"76,300,000","78,500,000","77,300,000","78,800,000","80,500,000","82,500,000","84,000,000","84,900,000","87,700,000","87,100,000","87,200,000","90,000,000","6,400,000","6,400,000"
		OtherNonCurrentAssets,"1,800,000","1,700,000","1,800,000","1,800,000","1,900,000","1,900,000",,,,"2,200,000","7,800,000","7,500,000","1,000,000","1,000,000"
TotalLiabilitiesNetMinorityInterest,"185,400,000","156,600,000","145,000,000","143,000,000","145,300,000","133,300,000","124,200,000","112,500,000","105,100,000","107,100,000","119,500,000","116,400,000","58,600,000","56,300,000"
	CurrentLiabilities,"76,000,000","71,800,000","57,000,000","53,500,000","53,800,000","51,600,000","42,500,000","34,700,000","27,900,000","29,200,000","39,200,000","35,600,000","42,000,000","44,400,000"
		PayablesAndAccruedExpenses,"76,000,000","57,900,000","57,000,000","53,500,000","53,800,000","38,800,000","42,500,000","34,700,000","27,900,000","23,700,000","39,200,000","35,600,000","42,000,000","36,500,000"
			Payables,"23,000,000","26,100,000","23,800,000","23,200,000","23,500,000","35,800,000","25,400,000","19,100,000","18,300,000","18,500,000","20,900,000","14,300,000","15,300,000","17,600,000"
				AccountsPayable,"20,600,000","20,000,000","21,500,000","18,900,000","20,600,000","23,200,000","22,800,000","16,100,000","16,300,000","12,800,000","15,600,000","12,400,000","14,700,000","12,700,000"
				TotalTaxPayable,,"4,500,000",,,,"7,100,000",,,,"3,000,000",,,,"1,200,000"
					IncomeTaxPayable,,"400,000",,,,"3,100,000",,,,"400,000",,,,"1,200,000"
				DuetoRelatedPartiesCurrent,"2,400,000","1,600,000","2,300,000","4,300,000","2,900,000","5,500,000","2,600,000","3,000,000","2,000,000","2,700,000","5,300,000","1,900,000","600,000","3,700,000"
			CurrentAccruedExpenses,"53,000,000","31,800,000","33,200,000","30,300,000","30,300,000","3,000,000","17,100,000","15,600,000","9,600,000","5,200,000","18,300,000","21,300,000","26,700,000","18,900,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,"11,700,000",,,,"10,800,000",,,,"3,600,000",,,,"7,200,000"
		CurrentDebtAndCapitalLeaseObligation,,"2,200,000",,,,"2,000,000",,,,"1,900,000",,,,
			CurrentCapitalLeaseObligation,,"2,200,000",,,,"2,000,000",,,,"1,900,000",,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,"700,000"
			CurrentDeferredRevenue,,,,,,,,,,,,,,"700,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"109,400,000","84,800,000","88,000,000","89,500,000","91,500,000","81,700,000","81,700,000","77,800,000","77,200,000","77,900,000","80,300,000","80,800,000","16,600,000","11,900,000"
		LongTermDebtAndCapitalLeaseObligation,"4,800,000","5,400,000","5,900,000","6,400,000","6,900,000","7,500,000","7,800,000","4,800,000","4,500,000","5,200,000","5,600,000","6,000,000","4,300,000",
			LongTermCapitalLeaseObligation,"4,800,000","5,400,000","5,900,000","6,400,000","6,900,000","7,500,000","7,800,000","4,800,000","4,500,000","5,200,000","5,600,000","6,000,000","4,300,000",
		NonCurrentDeferredLiabilities,,,,,,,,,,,,,,"0"
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,"0"
		TradeandOtherPayablesNonCurrent,"64,700,000","64,700,000","64,300,000","68,500,000","68,500,000","68,500,000","67,300,000","67,300,000","72,700,000","72,700,000","73,700,000","73,700,000",,
		OtherNonCurrentLiabilities,"39,900,000","14,700,000","17,800,000","14,600,000","16,100,000","5,700,000","6,600,000","5,700,000",,,"1,000,000","1,100,000","12,300,000","11,900,000"
TotalEquityGrossMinorityInterest,"557,000,000","525,000,000","511,300,000","488,900,000","460,000,000","435,500,000","395,300,000","351,100,000","307,900,000","277,500,000","247,300,000","220,600,000","160,400,000","138,600,000"
	StockholdersEquity,"103,100,000","98,600,000","96,100,000","89,900,000","83,000,000","80,000,000","73,500,000","66,300,000","58,500,000","54,100,000","49,000,000","46,600,000","160,400,000","138,600,000"
		CapitalStock,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","160,700,000","140,800,000"
			CommonStock,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","160,700,000","140,800,000"
		AdditionalPaidInCapital,"45,600,000","45,200,000","44,900,000","44,900,000","44,200,000","46,100,000","44,700,000","42,900,000","41,900,000","41,700,000","41,200,000","40,900,000",,
		RetainedEarnings,"56,600,000","52,200,000","50,000,000","44,100,000","38,200,000","32,900,000","28,500,000","23,000,000","16,400,000","12,000,000","7,600,000","5,600,000",,
		GainsLossesNotAffectingRetainedEarnings,"800,000","1,100,000","1,100,000","800,000","500,000","900,000","200,000","300,000","100,000","300,000","100,000","0","-300,000","-2,200,000"
			OtherEquityAdjustments,,,,,,,"200,000","300,000","100,000","300,000","100,000",,"-300,000","-2,200,000"
