name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,08/31/2016
TotalAssets,"1,554,052,000","1,508,513,000","1,323,698,000","1,344,798,000","1,189,057,000","820,807,000","784,725,000","786,608,000","792,300,000","808,437,000","782,733,000","704,137,000","670,013,000","776,408,000","771,075,000","672,762,000","613,052,000","565,110,000","529,310,000","480,028,000","475,285,000","440,937,000","458,655,000"
	CurrentAssets,"1,167,566,000","1,131,717,000","943,837,000","950,818,000","806,245,000","578,827,000","558,523,000","556,710,000","567,106,000","549,907,000","532,328,000","472,260,000","520,144,000","621,414,000","622,168,000","522,049,000","494,763,000","442,074,000","400,086,000","346,989,000","347,982,000","307,163,000","319,258,000"
		CashCashEquivalentsAndShortTermInvestments,"387,326,000","365,768,000","233,050,000","222,986,000","188,992,000","139,803,000","164,097,000","150,811,000","131,845,000","141,860,000","111,389,000","98,139,000","126,099,000","95,174,000","62,954,000","31,375,000","64,495,000","51,816,000","23,503,000","22,436,000","22,341,000","23,341,000","58,634,000"
			CashAndCashEquivalents,"387,326,000","365,768,000","233,050,000","222,986,000","188,992,000","139,803,000","164,097,000","150,811,000","131,845,000","141,860,000","111,389,000","98,139,000","126,099,000","95,174,000","62,954,000","31,375,000","64,495,000","51,816,000","23,503,000","22,436,000","22,341,000","23,341,000","58,634,000"
		Receivables,"357,457,000","385,925,000","344,107,000","313,393,000","288,617,000","212,807,000","219,932,000","224,370,000","237,681,000","229,706,000","244,080,000","235,711,000","244,529,000","340,717,000","349,753,000","253,130,000","266,717,000","226,651,000","239,587,000","189,473,000","178,855,000","144,182,000","147,506,000"
			AccountsReceivable,"357,457,000","385,925,000","344,107,000","313,393,000","274,950,000","203,376,000","212,886,000","215,918,000","223,211,000","217,361,000","228,782,000","217,433,000","230,177,000","326,470,000","330,473,000","237,212,000","262,101,000","223,500,000","236,199,000","183,303,000","175,558,000","139,887,000","142,465,000"
				GrossAccountsReceivable,,,,,"275,572,000","203,474,000","212,975,000","216,019,000","223,428,000","217,515,000","229,038,000","217,617,000","230,377,000","326,626,000","330,594,000","237,437,000","262,399,000","223,881,000","236,540,000","183,617,000","175,968,000","140,079,000","142,693,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,"-622,000","-98,000","-89,000","-101,000","-217,000","-154,000","-256,000","-184,000","-200,000","-156,000","-121,000","-225,000","-298,000","-381,000","-341,000","-314,000","-410,000","-192,000","-228,000"
			TaxesReceivable,,,,,"10,357,000","4,607,000","3,163,000","2,119,000","1,648,000","1,207,000","1,022,000","963,000","534,000","730,000","854,000","2,557,000","1,485,000","612,000","1,127,000","1,890,000","2,013,000","2,791,000","1,478,000"
			OtherReceivables,,,,,"3,310,000","4,824,000","3,883,000","6,333,000","12,822,000","11,138,000","14,276,000","17,315,000","13,818,000","13,517,000","18,426,000","13,361,000","3,131,000","2,539,000","2,261,000","4,280,000","1,284,000","1,504,000","3,563,000"
