name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"603,000,000","157,000,000","123,000,000","138,000,000","185,000,000","166,000,000","147,000,000","149,000,000","192,000,000","162,000,000","139,000,000","175,000,000","133,000,000","150,000,000","140,800,000","154,400,000","104,200,000","109,000,000","156,400,000","100,700,000","81,800,000","93,500,000","68,900,000","73,400,000","78,300,000","72,400,000","104,600,000","67,900,000","52,800,000","57,400,000","48,400,000","26,000,000","13,300,000","35,900,000","-3,100,000","-2,800,000","5,700,000","25,300,000"
	CashFlowFromContinuingOperatingActivities,"603,000,000","157,000,000","123,000,000","138,000,000","185,000,000","166,000,000","147,000,000","149,000,000","192,000,000","162,000,000","139,000,000","175,000,000","133,000,000","150,000,000","140,800,000","154,400,000","104,200,000","109,000,000","156,400,000","100,700,000","81,800,000","93,500,000","68,900,000","73,400,000","78,300,000","72,400,000","104,600,000","67,900,000","52,800,000","57,400,000","48,400,000","26,000,000","13,300,000","35,900,000","-3,100,000","-2,800,000","5,700,000","25,300,000"
		NetIncomeFromContinuingOperations,"561,000,000","160,000,000","106,000,000","129,000,000","166,000,000","167,000,000","133,000,000","137,000,000","144,000,000","142,000,000","144,000,000","146,000,000","119,000,000","137,000,000","148,000,000","154,200,000","115,400,000","64,800,000","173,600,000","74,500,000","70,700,000","73,000,000","72,300,000","58,800,000","66,300,000","68,000,000","111,800,000","74,400,000","45,300,000","41,400,000","35,600,000","31,400,000","26,400,000","15,000,000","2,900,000","22,400,000","11,000,000","200,000"
		OperatingGainsLosses,"-21,000,000","-21,000,000","25,000,000","-20,000,000","-5,000,000","-5,000,000","2,000,000","-5,000,000",,,"-1,000,000","-2,000,000","0","-3,000,000","-3,300,000","-300,000","-1,300,000","-900,000","-2,300,000","-2,600,000","-700,000","-800,000","-800,000","1,700,000","2,000,000","-1,000,000",,,,,"0",,,,"0",,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,
			EarningsLossesFromEquityInvestments,"-21,000,000","-21,000,000","25,000,000","-20,000,000","-5,000,000","-5,000,000","2,000,000","-5,000,000","-1,000,000","0","-1,000,000","-2,000,000","0","-3,000,000","-3,300,000","-300,000","-1,300,000","-900,000","-2,400,000","-2,600,000","-700,000","-800,000","-900,000","1,700,000","2,000,000","-1,000,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"49,000,000","12,000,000","13,000,000","12,000,000","12,000,000","13,000,000","11,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","12,000,000","12,000,000","11,500,000","11,600,000","11,400,000","11,400,000","17,000,000","8,900,000","12,900,000","6,200,000","6,000,000","6,000,000","5,800,000","5,900,000","11,200,000","3,500,000","3,500,000","3,400,000","3,400,000","2,900,000","2,500,000","2,800,000","2,000,000","1,600,000","1,700,000","1,600,000"
			DepreciationAndAmortization,"49,000,000","12,000,000","13,000,000","12,000,000","12,000,000","13,000,000","11,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","12,000,000","12,000,000","11,500,000","11,600,000","11,400,000","11,400,000","17,000,000","8,900,000","12,900,000","6,200,000","6,000,000","6,000,000","5,800,000","5,900,000","11,200,000","3,500,000","3,500,000","3,400,000","3,400,000","2,900,000","2,500,000","2,800,000","2,000,000","1,600,000","1,700,000","1,600,000"
				Depreciation,"49,000,000","12,000,000","13,000,000","12,000,000","12,000,000","13,000,000","11,000,000","13,000,000","13,000,000","13,000,000","13,000,000","12,000,000","12,000,000","12,000,000","11,500,000","11,600,000","11,400,000","11,400,000","17,000,000","8,900,000","12,900,000","6,200,000","6,000,000","6,000,000","5,800,000","5,900,000","11,200,000","3,500,000","3,500,000","3,400,000","3,400,000","2,900,000","2,500,000","2,800,000","2,000,000","1,600,000","1,700,000","1,600,000"
		AssetImpairmentCharge,"0","0","0","0","0","3,000,000",,,,,,,,,"5,500,000",,,,"0","0",,,,,,,"700,000",,,,"3,000,000",,,,,,,
