name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
OperatingCashFlow,"-43,686,000","-13,512,000","-12,714,000","-9,309,000","-8,151,000","-9,359,000","-7,882,000","-5,552,000","-7,873,000","-9,355,000","-9,033,000","-7,120,000","-8,396,000","-7,078,000","-6,317,000","-2,529,000","-1,262,000","-4,411,000","-4,036,000","-3,974,000"
	CashFlowFromContinuingOperatingActivities,"-43,686,000","-13,512,000","-12,714,000","-9,309,000","-8,151,000","-9,359,000","-7,882,000","-5,552,000","-7,873,000","-9,355,000","-9,033,000","-7,120,000","-8,396,000","-7,078,000","-6,317,000","-2,529,000","-1,262,000","-4,411,000","-4,036,000","-3,974,000"
		NetIncomeFromContinuingOperations,"-61,740,000","-17,410,000","-14,477,000","-15,872,000","-13,981,000","-12,242,000","-8,979,000","-9,474,000","-12,472,000","-12,772,000","-9,098,000","-11,306,000","-8,654,000","-9,345,000","-5,313,000","-4,792,000","-3,147,000","-4,201,000","-4,905,000","-5,683,000"
		OperatingGainsLosses,"2,174,000","31,000","95,000","2,027,000","21,000","104,000","125,000","168,000",,,"19,000","54,000","480,000","-382,000","-64,000","457,000","105,000","119,000","69,000","-266,000"
			GainLossOnSaleOfPPE,"326,000","31,000","95,000","179,000","21,000","104,000","128,000","168,000","80,000","0","19,000","54,000","1,000","97,000",,,,"40,000",,
			GainLossOnInvestmentSecurities,,,,,,,"-3,000","0",,,,,,"-479,000","-64,000","457,000","145,000","79,000","69,000","-266,000"
		DepreciationAmortizationDepletion,"2,459,000","713,000","650,000","591,000","505,000","340,000","344,000","281,000","256,000","249,000","204,000","175,000","202,000","193,000","186,000","180,000","188,000","168,000","196,000","251,000"
			DepreciationAndAmortization,"2,459,000","713,000","650,000","591,000","505,000","340,000","344,000","281,000","256,000","249,000","204,000","175,000","202,000","193,000","186,000","180,000","188,000","168,000","196,000","251,000"
		AmortizationOfSecurities,"1,207,000","244,000","238,000","335,000","390,000","331,000","131,000","4,000","5,000","-25,000","-125,000","-348,000",,,,,,,,
		AssetImpairmentCharge,,,"14,000","0","0","0","-1,000","35,000","8,000","192,000",,,,,"-43,000","47,000",,,"692,000","1,376,000"
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,"-2,000","4,000",,,"-44,000","-16,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,"0","0","0","145,000","457,000","145,000","79,000","69,000","-266,000"
		StockBasedCompensation,"18,343,000","5,507,000","4,338,000","4,241,000","4,257,000","4,030,000","3,170,000","3,180,000","2,955,000","2,622,000","1,868,000","1,911,000","1,814,000","1,871,000","1,231,000","327,000","362,000","392,000","400,000","344,000"
		OtherNonCashItems,"251,000","51,000","54,000","59,000","87,000","88,000","88,000","104,000","35,000","65,000","65,000","64,000","65,000","65,000","65,000","64,000","65,000","65,000","50,000","78,000"
		ChangeInWorkingCapital,"-6,394,000","-2,648,000","-3,626,000","-690,000","570,000","-2,010,000","-2,760,000","150,000","-231,000","314,000","-1,966,000","2,330,000","-1,363,000","520,000","-2,377,000","1,184,000","1,124,000","-954,000","-494,000","-58,000"
			ChangeInReceivables,"453,000","1,603,000","-1,629,000","-686,000","1,165,000","581,000","-2,249,000","-1,224,000","-920,000","2,207,000","-1,853,000","-467,000","-1,003,000","87,000","-1,380,000","156,000","-32,000","233,000","-908,000","-387,000"
				ChangesInAccountReceivables,"453,000","1,603,000","-1,629,000","-686,000","1,165,000","581,000","-2,249,000","-1,224,000","-920,000","2,207,000","-1,853,000","-467,000","-1,003,000","87,000","-1,380,000","156,000","-32,000","233,000","-908,000","-387,000"
