name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991
TotalAssets,"220,355,000,000","211,478,000,000","190,996,000,000","163,399,000,000","142,346,620,000","115,511,007,000","96,916,771,000","85,730,985,000","75,009,640,000","71,004,903,000","68,231,233,000","63,773,739,000","60,160,285,000","56,927,979,000","58,139,734,000","55,867,745,000","53,500,787,000","51,214,467,000","50,754,287,000","48,400,379,000","46,413,339,000","44,683,660,000","43,274,037,000","43,132,654,000","43,573,902,000","44,686,703,000","41,730,982,000","40,236,118,000","39,695,990,000","39,344,640,000","36,041,007,000","33,309,016,000","29,711,039,000","26,417,189,000","23,740,864,000","22,153,901,000","22,796,000,000","22,766,123,000","21,576,934,000","21,289,772,000","20,818,337,000","19,968,894,000","19,195,363,000","19,366,735,000","18,618,266,000","17,527,761,000","15,660,069,000","14,903,986,000","14,125,249,000","12,841,399,000","12,538,603,000","11,465,887,000","10,958,768,000","10,020,892,000","8,070,945,000","7,309,871,000","6,897,303,000","6,692,456,000","6,304,088,000","6,605,080,000","5,847,856,000","6,081,452,000","5,873,109,000","5,471,651,000","5,446,268,000","5,541,715,000","5,369,066,000","5,307,826,000","5,047,636,000","5,153,600,000","4,930,633,000","4,857,521,000","4,492,255,000","4,465,370,000","4,259,816,000","4,294,590,000","3,988,088,000","4,183,181,000","3,863,599,000","3,831,770,000","3,987,475,000","4,172,077,000","4,147,885,000","4,422,761,000","4,842,755,000","5,626,775,000","5,504,131,000","5,393,225,000","5,064,525,000","4,596,400,000","3,721,800,000","4,081,400,000","3,938,600,000","3,545,500,000","3,216,200,000","3,123,100,000","2,800,900,000","2,625,100,000","2,405,800,000","2,215,800,000","1,951,500,000","1,924,500,000","1,703,800,000","1,736,500,000","1,424,500,000","1,407,600,000","1,256,300,000","1,173,500,000","1,119,300,000","1,161,500,000","981,300,000","924,600,000","990,300,000","992,300,000","963,300,000","926,000,000","935,000,000","959,300,000","1,025,700,000","915,900,000","899,800,000","869,500,000","869,200,000"
TotalLiabilitiesNetMinorityInterest,"203,995,000,000","194,869,000,000","176,327,000,000","151,432,000,000","132,225,841,000","107,077,516,000","88,949,391,000","78,262,672,000","67,826,419,000","64,383,823,000","62,182,764,000","58,067,564,000","54,676,462,000","51,663,136,000","53,069,689,000","51,062,904,000","48,941,063,000","46,895,052,000","46,556,989,000","44,360,344,000","42,509,883,000","40,906,623,000","39,550,720,000","39,498,861,000","40,062,862,000","41,353,472,000","38,416,754,000","37,046,646,000","35,418,759,000","35,288,216,000","32,100,991,000","29,370,992,000","26,344,058,000","23,337,861,000","20,817,220,000","19,481,806,000","20,133,942,000","20,160,890,000","19,021,588,000","18,845,447,000","18,475,634,000","17,718,505,000","17,003,035,000","17,350,684,000","16,771,235,000","15,779,483,000","13,963,773,000","13,277,031,000","12,576,089,000","11,367,289,000","11,145,831,000","10,140,677,000","9,666,371,000","8,711,785,000","7,015,295,000","6,333,369,000","5,949,418,000","5,775,700,000","5,395,323,000","5,718,998,000","4,999,398,000","5,286,923,000","5,120,641,000","4,750,497,000","4,721,785,000","4,852,958,000","4,713,903,000","4,676,816,000","4,445,846,000","4,550,658,000","4,343,833,000","4,315,352,000","3,959,887,000","3,967,621,000","3,718,008,000","3,776,256,000","3,338,848,000","3,510,201,000","3,169,336,000","3,103,591,000","3,320,285,000","3,477,646,000","3,414,987,000","3,698,802,000","4,113,569,000","4,943,397,000","4,876,590,000","4,918,479,000","4,625,291,000","4,189,000,000","3,439,800,000","3,815,900,000","3,676,800,000","3,291,100,000","2,967,500,000","2,886,300,000","2,613,300,000","2,450,600,000","2,243,500,000","2,065,100,000","1,811,300,000","1,789,100,000","1,578,700,000","1,617,500,000","1,312,300,000","1,302,600,000","1,158,100,000","1,081,300,000","1,035,300,000","1,084,200,000","907,000,000","853,000,000","918,500,000","922,000,000","895,400,000","858,500,000","867,800,000","893,300,000","960,500,000","841,300,000","828,900,000","803,100,000","806,300,000"
TotalEquityGrossMinorityInterest,"16,360,000,000","16,609,000,000","14,669,000,000","11,967,000,000","10,120,779,000","8,433,491,000","7,967,380,000","7,468,313,000","7,183,221,000","6,621,080,000","6,048,469,000","5,706,175,000","5,483,823,000","5,264,843,000","5,070,045,000","4,804,841,000","4,559,724,000","4,319,415,000","4,197,298,000","4,040,035,000","3,903,456,000","3,777,037,000","3,723,317,000","3,633,793,000","3,511,040,000","3,333,231,000","3,314,228,000","3,189,472,000","4,277,231,000","4,056,424,000","3,940,016,000","3,938,024,000","3,366,981,000","3,079,328,000","2,923,644,000","2,672,095,000","2,662,058,000","2,605,233,000","2,555,346,000","2,444,325,000","2,342,703,000","2,250,389,000","2,192,328,000","2,016,051,000","1,847,031,000","1,748,278,000","1,696,296,000","1,626,955,000","1,549,160,000","1,474,110,000","1,392,772,000","1,325,210,000","1,292,397,000","1,309,107,000","1,055,650,000","976,502,000","947,885,000","916,756,000","908,765,000","886,082,000","848,458,000","794,529,000","752,468,000","721,154,000","724,483,000","688,757,000","655,163,000","631,010,000","601,790,000","602,942,000","586,800,000","542,169,000","532,368,000","497,749,000","541,808,000","518,334,000","649,240,000","672,980,000","694,263,000","728,179,000","667,190,000","694,431,000","732,898,000","723,959,000","729,186,000","683,378,000","627,541,000","474,746,000","439,234,000","407,400,000","282,000,000","265,500,000","261,800,000","254,400,000","248,700,000","236,800,000","187,600,000","174,500,000","162,300,000","150,700,000","140,200,000","135,400,000","125,100,000","119,000,000","112,200,000","105,000,000","98,200,000","92,200,000","84,000,000","77,300,000","74,300,000","71,600,000","71,800,000","70,300,000","67,900,000","67,500,000","67,200,000","66,000,000","65,200,000","74,600,000","70,900,000","66,400,000","62,900,000"
	StockholdersEquity,"15,980,000,000","16,236,000,000","14,300,000,000","11,667,000,000","9,894,892,000","8,219,700,000","7,792,935,000","7,319,373,000","7,034,749,000","6,470,307,000","5,890,680,000","5,554,043,000","5,342,773,000","5,116,209,000","4,924,369,000","4,657,653,000","4,415,446,000","4,179,795,000","4,059,813,000","3,899,435,000","3,764,331,000","3,642,554,000","3,593,051,000","3,505,578,000","3,381,044,000","3,198,134,000","3,174,899,000","3,051,102,000","2,971,637,000","2,817,762,000","2,721,957,000","2,675,739,000","2,094,000,000","1,966,270,000","1,944,927,000","1,847,956,000","1,882,219,000","1,830,555,000","1,784,924,000","1,715,360,000","1,639,490,000","1,569,392,000","1,536,098,000","1,436,893,000","1,313,574,000","1,274,350,000","1,268,611,000","1,237,103,000","1,173,480,000","1,128,343,000","1,067,377,000","1,019,219,000","992,123,000","988,751,000","730,652,000","685,127,000","675,156,000","676,654,000","672,634,000","668,910,000","653,465,000","628,514,000","595,778,000","568,121,000","586,118,000","569,301,000","545,847,000","532,930,000","516,866,000","532,268,000","512,061,000","473,477,000","476,433,000","447,005,000","455,106,000","432,135,000","566,136,000","590,350,000","622,304,000","658,843,000","640,755,000","627,515,000","664,113,000","655,017,000","659,970,000","614,121,000","571,610,000","436,183,000","400,684,000","368,900,000","243,500,000","227,000,000","223,300,000","215,900,000","210,200,000","198,300,000","187,600,000","174,500,000","162,300,000","150,700,000","140,200,000","135,400,000","125,100,000","119,000,000","112,200,000","105,000,000","98,200,000","92,200,000","84,000,000","77,300,000","74,300,000","71,600,000","71,800,000","70,300,000","67,900,000","67,500,000","67,200,000","66,000,000","65,200,000","74,600,000","70,900,000","66,400,000","62,900,000"
		CapitalStock,"3,646,000,000","3,646,000,000","2,064,000,000","2,064,000,000","1,079,387,000","340,190,000","340,190,000","340,190,000","340,190,000","340,190,000","52,000","52,000","52,000","53,000","53,000","53,000","53,000","53,000","53,000","53,000","52,000","52,000","52,000","52,000","52,000","52,000","51,000","51,000","51,000","51,000","51,000","51,000","46,000","46,000","46,000","45,000","45,000","45,000","45,000","44,000","44,000","44,000","43,000","43,000","43,000","42,000","42,000","42,000","42,000","41,000","223,042,000","222,424,000","221,816,000","221,218,000","33,000","32,000","32,000","33,000","33,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","36,000","35,000","35,000","35,000","34,000","39,000","41,000","43,000","46,000","46,000","45,000","47,000","49,000","49,000","49,000","49,000","46,000","23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"3,646,000,000","3,646,000,000","2,064,000,000","2,064,000,000","1,079,333,000","340,138,000","340,138,000","340,138,000","340,138,000","340,138,000","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","223,009,000","222,391,000","221,783,000","221,185,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,,,,,"54,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","53,000","53,000","53,000","53,000","53,000","53,000","53,000","52,000","52,000","52,000","52,000","52,000","52,000","51,000","51,000","51,000","51,000","51,000","51,000","46,000","46,000","46,000","45,000","45,000","45,000","45,000","44,000","44,000","44,000","43,000","43,000","43,000","42,000","42,000","42,000","42,000","41,000","33,000","33,000","33,000","33,000","33,000","32,000","32,000","33,000","33,000","34,000","34,000","34,000","34,000","35,000","35,000","35,000","35,000","35,000","35,000","36,000","36,000","36,000","35,000","35,000","35,000","34,000","39,000","41,000","43,000","46,000","46,000","45,000","47,000","49,000","49,000","49,000","49,000","46,000","23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"5,180,000,000","5,157,000,000","5,100,000,000","2,755,000,000","2,590,576,000","1,585,244,000","1,548,918,000","1,522,728,000","1,489,240,000","1,470,071,000","1,441,730,000","1,421,565,000","1,394,130,000","1,378,438,000","1,360,030,000","1,346,586,000","1,326,998,000","1,314,377,000","1,294,499,000","1,283,485,000","1,268,507,000","1,242,741,000","1,219,555,000","1,209,821,000","1,192,782,000","1,189,032,000","1,171,649,000","1,162,508,000","1,140,435,000","1,120,350,000","1,107,337,000","1,092,582,000","642,311,000","624,256,000","607,463,000","593,328,000","570,789,000","547,079,000","538,454,000","529,113,000","515,614,000","484,216,000","472,443,000","462,885,000","443,453,000","422,334,000","410,590,000","404,521,000","398,510,000","389,490,000","92,367,000","86,478,000","71,761,000","45,872,000","23,816,000",,,,,"3,851,000",,"4,873,000",,"8,876,000","7,812,000","8,439,000","6,028,000","5,263,000","20,079,000","44,886,000","41,202,000","34,491,000","23,586,000","14,240,000","5,453,000","1,758,000","69,649,000","99,979,000","143,897,000","196,387,000","198,640,000","196,143,000","241,071,000","259,328,000","286,623,000","280,008,000","273,944,000","178,457,000","171,034,000","153,400,000","96,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"7,914,000,000","7,442,000,000","7,071,000,000","6,706,000,000","6,203,969,000","5,671,749,000","5,283,433,000","4,841,720,000","4,612,785,000","4,575,601,000","4,312,745,000","4,051,194,000","3,963,965,000","3,791,838,000","3,672,696,000","3,397,879,000","3,160,081,000","2,866,837,000","2,749,627,000","2,601,007,000","2,477,814,000","2,376,331,000","2,276,865,000","2,165,784,000","2,072,820,000","1,993,646,000","1,906,135,000","1,824,626,000","1,738,483,000","1,654,657,000","1,595,825,000","1,532,830,000","1,482,033,000","1,390,732,000","1,331,975,000","1,264,354,000","1,215,770,000","1,174,878,000","1,124,415,000","1,082,126,000","1,034,523,000","999,733,000","964,159,000","926,588,000","860,838,000","827,831,000","810,379,000","772,592,000","751,472,000","732,907,000","726,455,000","705,847,000","701,708,000","727,450,000","725,737,000","698,729,000","678,078,000","682,911,000","687,350,000","690,350,000","668,486,000","641,528,000","614,964,000","596,128,000","609,764,000","587,713,000","562,067,000","539,035,000","511,659,000","487,509,000","467,954,000","451,851,000","436,144,000","422,131,000","437,428,000","419,999,000","487,028,000","476,610,000","464,693,000","451,597,000","436,612,000","423,252,000","411,168,000","392,566,000","368,434,000","335,098,000","299,359,000","264,420,000","230,708,000","176,100,000","151,200,000","140,600,000","131,700,000","123,900,000","119,300,000","110,800,000","102,600,000","95,000,000","87,600,000","80,300,000","73,500,000","67,300,000","61,400,000","56,200,000","50,500,000","45,900,000","40,400,000","35,000,000","31,000,000","27,700,000","24,700,000","22,600,000","20,400,000","18,600,000","18,500,000","18,200,000","18,000,000","17,000,000","16,700,000","26,100,000","27,000,000","23,900,000","20,500,000"
		GainsLossesNotAffectingRetainedEarnings,"-760,000,000","-9,000,000","65,000,000","142,000,000","20,960,000","622,517,000","620,394,000","614,735,000","592,534,000","84,445,000","136,153,000","81,232,000","-15,374,000","-54,120,000","-108,410,000","-86,865,000","-71,686,000","-1,472,000","15,634,000","14,890,000","17,958,000","23,430,000","96,579,000","129,921,000","115,390,000","15,404,000","97,064,000","63,917,000","92,668,000","42,704,000","18,744,000","50,276,000","-30,390,000","-48,764,000","5,443,000","-9,771,000","95,615,000","108,553,000","122,010,000","104,077,000","89,309,000","85,399,000","99,453,000","47,377,000","9,240,000","24,143,000","47,600,000","59,948,000","23,456,000","5,905,000","25,513,000","4,470,000","-3,162,000","-5,789,000","-18,934,000","-13,634,000","-2,954,000","-6,290,000","-14,749,000","-25,325,000","-15,055,000","-17,921,000","-19,220,000","-36,918,000","-31,493,000","-26,886,000","-22,283,000","-11,403,000","-14,907,000","-163,000","2,869,000","-12,901,000","16,668,000","10,599,000","12,190,000","10,344,000","9,420,000","13,720,000","13,671,000","10,813,000","5,457,000","8,075,000","11,827,000","3,074,000","4,864,000","-1,034,000","-1,742,000","-6,740,000","-1,081,000","39,400,000","-3,700,000","-6,200,000","800,000","2,100,000","4,000,000","1,900,000","2,600,000","2,400,000","2,000,000","200,000","-1,700,000","2,500,000","-500,000","-900,000","-300,000","-200,000","-300,000",,,"4,200,000",,,,,,,,,,,,,
