name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OperatingCashFlow,"-39,738,000","75,209,000","-218,373,000","39,515,000","63,908,000","14,506,000","8,755,000","26,460,000","40,803,000","59,700,000","31,671,000","63,497,000","39,339,000","32,015,000","28,416,000","94,348,000","28,566,000","22,212,000","48,155,000","60,801,000","38,552,000","42,013,000","22,291,000","46,188,000","18,022,000","42,409,000","18,032,000","50,212,000","13,115,000","24,088,000","29,856,000","44,169,000","16,466,000","46,952,000","24,956,000","29,097,000","36,589,000","29,508,000","12,731,000","43,060,000","15,112,000","26,147,000","23,173,000","39,339,000","28,856,000","-2,626,000","34,453,000","30,949,000","21,418,000","31,115,000","42,786,000","51,624,000","14,774,000","11,757,000","38,597,000","35,816,000","21,620,000","23,649,000","50,521,000","9,869,000","-27,127,000","21,518,000","10,731,000","38,265,000","12,677,000","21,610,000","29,585,000","20,363,000","28,231,000","25,811,000","36,850,000","21,733,000","21,837,000","15,845,000","41,894,000","9,403,000","1,915,000","18,670,000","17,785,000","10,832,000","4,594,000","5,828,000","6,852,000","995,000","763,000","3,102,000","9,722,000","7,912,000","702,000","4,274,000"
	CashFlowFromContinuingOperatingActivities,"196,731,000","85,209,000","42,954,000","42,504,000","-8,766,000","14,506,000","8,755,000","26,460,000","40,803,000","59,700,000","31,671,000","63,497,000","39,339,000","32,015,000","28,416,000","94,348,000","28,566,000","22,212,000","48,155,000","60,801,000","38,552,000","42,013,000","22,291,000","46,188,000","18,022,000","42,409,000","18,032,000","50,212,000","13,115,000","24,088,000","29,856,000","44,169,000","16,466,000","46,952,000","24,956,000","29,097,000","36,589,000","29,508,000","12,731,000","43,060,000","15,112,000","26,147,000","23,173,000","39,339,000","28,856,000","-2,626,000","34,453,000","30,949,000","21,418,000","31,115,000","42,786,000","51,624,000","14,774,000","11,757,000","38,597,000","35,816,000","21,620,000","23,649,000","48,926,000","19,883,000","-38,383,000","178,710,000","10,731,000","38,265,000","12,677,000","21,610,000","29,585,000","20,363,000","28,231,000","25,811,000","36,850,000","21,733,000","21,837,000","15,845,000","41,894,000","9,403,000","1,915,000","18,670,000","17,785,000","10,832,000","4,594,000","5,828,000","6,852,000","995,000","763,000","3,102,000","9,722,000","7,912,000","702,000","4,274,000"
		NetIncomeFromContinuingOperations,"2,126,797,000","22,907,000","-3,098,000","2,087,056,000","19,932,000","13,509,000","8,948,000","3,162,000","-1,823,000","2,244,000","9,715,000","20,181,000","-16,029,000","5,398,000","15,145,000","27,761,000","14,280,000","26,405,000","-4,852,000","19,949,000","16,569,000","15,426,000","20,109,000","20,018,000","15,559,000","5,808,000","5,658,000","9,975,000","7,575,000","6,378,000","10,024,000","5,608,000","14,279,000","8,110,000","10,642,000","6,531,000","12,612,000","20,034,000",,,,,,,,"-1,960,000","12,883,000","18,233,000","21,047,000","21,079,000","40,252,000","22,439,000","9,730,000","671,000","6,324,000","1,154,000","14,643,000","10,814,000","21,316,000","20,434,000","7,473,000","155,613,000","5,223,000","4,734,000","10,137,000","11,064,000","15,264,000","-745,000","15,614,000","17,373,000","12,929,000","21,043,000","22,806,000","19,915,000","20,923,000","13,932,000","10,904,000","-1,043,000","9,825,000","7,882,000","2,654,000","356,000","429,000","-36,528,000","-4,886,000","-4,588,000","2,866,000","3,965,000","4,181,000","3,005,000"
		OperatingGainsLosses,"-13,196,000","-1,194,000","-13,728,000","0","0","3,370,000","83,000","292,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,"0",,,,"1,000","0","24,000","8,000","10,950,000","0","0","-15,000","-184,000","61,000","34,000","153,000","149,000","3,892,000","-12,897,000","12,768,000","9,694,000","11,016,000","4,083,000","907,000","709,000","875,000","1,602,000","1,406,000","5,620,000","2,997,000","802,000","900,000","1,182,000","399,000","115,000","173,000","662,000","34,756,000",,,"1,352,000","-88,000","0","-34,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,"0","21,000","0","0","1,000","0","24,000","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-13,196,000","-1,194,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"62,504,000","15,507,000","15,660,000","15,810,000","14,852,000","16,234,000","16,876,000","15,641,000","15,986,000","14,010,000","13,901,000","13,643,000","14,466,000","14,457,000","14,911,000","19,094,000","15,878,000","10,131,000","10,413,000","10,720,000","10,531,000","10,348,000","9,558,000","9,164,000","10,919,000","11,290,000","10,669,000","10,253,000","11,218,000","9,508,000","7,882,000","7,336,000","7,485,000","7,781,000","8,301,000","8,832,000","6,132,000","6,137,000","6,527,000","9,940,000","5,485,000","5,823,000","5,911,000","5,932,000","6,447,000","6,310,000","5,094,000","4,725,000","4,744,000","4,728,000","4,784,000","5,032,000","4,984,000","4,929,000","5,579,000","5,738,000","3,654,000","3,653,000","4,016,000","3,825,000","4,223,000","4,021,000","5,196,000","5,494,000","4,865,000","5,677,000","971,000","9,769,000","4,175,000","5,615,000","5,827,000","5,858,000","5,940,000","6,118,000","7,093,000","6,175,000","6,141,000","4,746,000","5,060,000","4,641,000","4,260,000","3,626,000","3,474,000","3,632,000","5,546,000","5,522,000","5,178,000","4,555,000","2,189,000","1,912,000"
			DepreciationAndAmortization,"62,504,000","15,507,000","15,660,000","15,810,000","14,852,000","16,234,000","16,876,000","15,641,000","15,986,000","14,010,000","13,901,000","13,643,000","14,466,000","14,457,000","14,911,000","19,094,000","15,878,000","10,131,000","10,413,000","10,720,000","10,531,000","10,348,000","9,558,000","9,164,000","10,919,000","11,290,000","10,669,000","10,253,000","11,218,000","9,508,000","7,882,000","7,336,000","7,485,000","7,781,000","8,301,000","8,832,000","6,132,000","6,137,000","6,527,000","9,940,000","5,485,000","5,823,000","5,911,000","5,932,000","6,447,000","6,310,000","5,094,000","4,725,000","4,744,000","4,728,000","4,784,000","5,032,000","4,984,000","4,929,000","5,579,000","5,738,000","3,654,000","3,653,000","4,016,000","3,825,000","4,223,000","4,021,000","5,196,000","5,494,000","4,865,000","5,677,000","971,000","9,769,000","4,175,000","5,615,000","5,827,000","5,858,000","5,940,000","6,118,000","7,093,000","6,175,000","6,141,000","4,746,000","5,060,000","4,641,000","4,260,000","3,626,000","3,474,000","3,632,000","5,546,000","5,522,000","5,178,000","4,555,000","2,189,000","1,912,000"
				Depreciation,"19,099,000","5,156,000","5,126,000","4,741,000","3,655,000","4,529,000","4,884,000","4,468,000","4,245,000","4,183,000","4,208,000","4,228,000","4,310,000","4,137,000","4,131,000","4,138,000","3,939,000","3,704,000","3,698,000","3,760,000","3,712,000","3,596,000","3,304,000","3,237,000","3,365,000","3,310,000","3,224,000","3,264,000","3,042,000","2,987,000","3,049,000","3,085,000","3,137,000","3,290,000","3,441,000","3,416,000","3,337,000","3,297,000","3,374,000","3,498,000","3,206,000","3,543,000","3,451,000","3,439,000","3,427,000","3,253,000","3,061,000","2,915,000","2,942,000","2,879,000","2,866,000","3,058,000","3,010,000","2,953,000","2,839,000","2,693,000","2,613,000","2,621,000","2,676,000","2,635,000","3,007,000","2,787,000","3,703,000","4,143,000","3,702,000","4,695,000","4,776,000","4,444,000","4,255,000","4,237,000","4,305,000","4,047,000","3,818,000","4,021,000","4,421,000","3,869,000","4,040,000","3,097,000","3,522,000","3,109,000","2,841,000","2,283,000","2,071,000","2,209,000","1,819,000","1,869,000",,,,
				AmortizationCashFlow,"43,405,000","10,351,000","10,534,000","11,069,000","11,197,000","11,705,000","11,992,000","11,173,000","11,741,000","9,827,000","9,693,000","9,415,000","10,156,000","10,320,000","10,780,000","14,956,000","11,939,000","6,427,000","6,715,000","6,960,000","6,819,000","6,752,000","6,254,000","5,927,000","7,554,000","7,980,000","7,445,000","6,989,000","8,176,000","6,521,000","4,833,000","4,251,000","4,348,000","4,491,000","4,860,000","5,416,000","2,795,000","2,840,000","3,153,000","6,442,000","2,279,000","2,280,000","2,460,000","2,493,000","3,020,000","3,057,000","2,033,000","1,810,000","1,802,000","1,849,000","1,918,000","1,974,000","1,974,000","1,976,000","2,740,000","3,045,000","1,041,000","1,032,000","1,340,000","1,190,000","1,216,000","1,234,000","1,493,000","1,351,000","1,163,000","982,000","-3,805,000","5,325,000","-80,000","1,378,000","1,522,000","1,811,000","2,122,000","2,097,000","2,672,000","2,306,000","2,101,000","1,649,000","1,538,000","1,532,000","1,419,000","1,343,000","1,403,000","1,423,000","3,727,000","3,653,000",,,,
