name,ttm,03/31/2022,12/31/2021,09/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"85,746,000","22,980,000","22,994,000","19,992,000","18,860,000","28,223,000","14,233,000"
	OperatingRevenue,"76,853,000","20,016,000","21,040,000","18,337,000","15,529,000","25,187,000","12,596,000"
CostOfRevenue,"38,870,000","11,652,000","10,463,000","8,770,000","6,245,000","10,234,000","4,913,000"
GrossProfit,"46,876,000","11,328,000","12,531,000","11,222,000","12,615,000","17,989,000","9,320,000"
OperatingExpense,"145,155,000","44,615,000","40,889,000","36,228,000","20,927,000","17,696,000","15,221,000"
	SellingGeneralAndAdministration,"95,977,000","30,815,000","29,697,000","20,632,000","12,809,000","10,127,000","8,337,000"
	ResearchAndDevelopment,"49,178,000","13,800,000","11,192,000","15,596,000","8,118,000","7,569,000","6,884,000"
OperatingIncome,"-98,279,000","-33,287,000","-28,358,000","-25,006,000","-8,312,000","293,000","-5,901,000"
NetNonOperatingInterestIncomeExpense,"279,000","206,000","99,000","53,000","-1,172,000","-8,656,000","-1,582,000"
	InterestIncomeNonOperating,"429,000","206,000","99,000","55,000","2,000","92,000","13,000"
	InterestExpenseNonOperating,"150,000","0","0","2,000","1,174,000","8,748,000","1,595,000"
OtherIncomeExpense,,"29,102,000","4,952,000","-16,466,000",,,
	GainOnSaleOfSecurity,,"12,640,000","1,159,000","-8,111,000",,,
	SpecialIncomeCharges,"10,270,000","16,462,000","3,793,000","-8,355,000","0","-551,000","0"
		RestructuringAndMergernAcquisition,"-14,593,000","-16,462,000","-3,793,000","5,662,000","0","0","0"
		OtherSpecialCharges,,,"0","2,693,000",,,
PretaxIncome,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
NetIncomeCommonStockholders,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
	NetIncome,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
		NetIncomeIncludingNoncontrollingInterests,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
			NetIncomeContinuousOperations,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
DilutedNIAvailtoComStockholders,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
BasicEPS,,"-0.02","-0.13","-0.55","-0.052",,"-0.041"
DilutedEPS,,"-0.02","-0.13","-0.55","-0.052",,"-0.041"
BasicAverageShares,,"182,050,468","181,338,298","75,684,521","181,163,363",,"181,163,363"
DilutedAverageShares,,"182,050,468","181,338,298","75,684,521","181,163,363",,"181,163,363"
TotalOperatingIncomeAsReported,"-98,279,000","-33,287,000","-28,358,000","-25,006,000","-8,312,000","293,000","-5,901,000"
TotalExpenses,"184,025,000","56,267,000","51,352,000","44,998,000","27,172,000","27,930,000","20,134,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
NormalizedIncome,"-98,000,000","-33,081,000","-28,259,000","-24,953,000","-9,484,000","-8,363,000","-7,483,000"
InterestIncome,"429,000","206,000","99,000","55,000","2,000","92,000","13,000"
InterestExpense,"150,000","0","0","2,000","1,174,000","8,748,000","1,595,000"
NetInterestIncome,"279,000","206,000","99,000","53,000","-1,172,000","-8,656,000","-1,582,000"
EBIT,"-81,892,000","-3,979,000","-23,307,000","-41,417,000","-8,310,000","-166,000","-5,888,000"
EBITDA,"-79,271,000"
ReconciledCostOfRevenue,"38,870,000","11,652,000","10,463,000","8,770,000","6,245,000","10,234,000","4,913,000"
ReconciledDepreciation,"2,621,000","755,000","660,000",,"703,000","744,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-82,042,000","-3,979,000","-23,307,000","-41,419,000","-9,484,000","-8,914,000","-7,483,000"
TotalUnusualItemsExcludingGoodwill,"15,958,000","29,102,000","4,952,000","-16,466,000","0","-551,000","0"
TotalUnusualItems,"15,958,000","29,102,000","4,952,000","-16,466,000","0","-551,000","0"
NormalizedEBITDA,"-95,229,000","-32,326,000","-27,599,000","-24,951,000","-7,607,000","1,129,000","-5,888,000"
TaxRateForCalcs,"0","0","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0"
