name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,03/31/2017
OperatingCashFlow,"107,964,000","37,040,000","37,652,000","-7,329,000","40,601,000","51,724,000","24,567,000","15,197,000","34,821,000","38,986,000","-6,958,000","-7,928,000","20,413,000","30,798,000","8,883,000","12,948,000","24,815,000","10,872,000","16,518,000","8,833,000","99,490"
	CashFlowFromContinuingOperatingActivities,"107,964,000","37,040,000","37,652,000","-7,329,000","40,601,000","51,724,000","24,567,000","15,197,000","34,821,000","38,986,000","-6,958,000","-7,928,000","20,413,000","30,798,000","8,883,000","12,948,000","24,815,000","10,872,000","16,518,000","8,833,000","99,490"
		NetIncomeFromContinuingOperations,"96,693,000","38,834,000","18,461,000","21,152,000","18,246,000","-18,986,000","19,120,000","22,500,000","12,427,000","16,409,000","10,657,000","-4,793,000","6,091,000","13,466,000","12,722,000","15,257,000","11,706,000","7,137,000","41,394,000","10,218,000","-90,422"
		OperatingGainsLosses,"35,759,000","-76,000","11,965,000","17,670,000","6,200,000","60,987,000","-994,000","9,000","-1,254,000","418,000","194,000","-16,000","31,000","153,000","-124,000","398,000","-165,000","1,080,000","-529,000","-355,000",
			GainLossOnSaleOfPPE,,,,,,,,,"0",,,,"0","0",,,"51,000","5,000",,,
			NetForeignCurrencyExchangeGainLoss,"214,000","-76,000","-780,000","353,000","717,000","273,000","-994,000","9,000","-1,254,000","418,000","194,000","-16,000","31,000","153,000","-130,000","398,000","-216,000","1,075,000","-601,000","-355,000",
			GainLossOnInvestmentSecurities,"35,545,000","0","12,745,000","17,317,000","5,483,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"25,685,000","6,488,000","6,481,000","6,384,000","6,332,000","5,619,000","5,579,000","5,695,000","5,546,000","5,538,000","5,620,000","3,151,000","1,890,000","1,929,000","1,939,000","1,886,000","1,879,000","1,911,000","1,948,000","1,934,000",
			DepreciationAndAmortization,"25,685,000","6,488,000","6,481,000","6,384,000","6,332,000","5,619,000","5,579,000","5,695,000","5,546,000","5,538,000","5,620,000","3,151,000","1,890,000","1,929,000","1,939,000","1,886,000","1,879,000","1,911,000","1,948,000","1,934,000",
				Depreciation,"25,685,000","6,488,000","6,481,000","6,384,000","6,332,000","5,619,000","5,579,000","5,695,000","5,546,000","5,538,000","5,620,000","3,151,000",,,,,,,,,
