name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"412,901,000","406,223,000","414,769,000","411,568,000","409,857,000","411,896,000","417,136,000","419,848,000","445,526,000","505,072,000","506,140,000","492,726,000","431,553,000","425,157,000","372,824,000","337,808,000","309,863,000","287,060,000","217,189,000","204,747,000","87,088,000","77,236,000"
	CurrentAssets,"81,001,000","81,068,000","87,852,000","83,369,000","79,924,000","81,732,000","82,777,000","80,617,000","100,817,000","117,582,000","108,528,000","88,486,000","64,438,000","80,765,000","53,703,000","49,371,000","59,792,000","87,554,000","74,225,000","86,954,000","12,028,000","9,846,000"
		CashCashEquivalentsAndShortTermInvestments,"25,128,000","36,497,000","42,831,000","46,276,000","55,060,000","60,366,000","60,944,000","63,632,000","46,027,000","66,882,000","51,686,000","29,719,000","9,351,000","25,057,000","2,077,000","5,442,000","26,413,000","63,421,000","53,996,000","70,088,000","1,778,000","3,568,000"
			CashAndCashEquivalents,"25,128,000","36,497,000","42,831,000","46,276,000","55,060,000","60,366,000","60,944,000","63,632,000","46,027,000","66,882,000","51,686,000","29,719,000","9,351,000","25,057,000","2,077,000","5,442,000","26,413,000","63,421,000","53,996,000","70,088,000","1,778,000","3,568,000"
				CashFinancial,,,,,,,,,,,"51,686,000","29,719,000","9,351,000","25,057,000","2,077,000","5,442,000","26,413,000","63,421,000","53,996,000","70,088,000","1,778,000","3,568,000"
		Receivables,"45,657,000","35,020,000","37,461,000","31,341,000","21,421,000","18,243,000","18,044,000","11,160,000","49,390,000","38,554,000","45,873,000","44,343,000","40,330,000","39,746,000","34,578,000","27,104,000","20,066,000","12,979,000","9,805,000","7,420,000","5,568,000","4,604,000"
			AccountsReceivable,"45,657,000","33,120,000","37,461,000","31,341,000","21,421,000","18,243,000","18,044,000","11,160,000","47,901,000","38,554,000","44,115,000","44,343,000","40,330,000","39,746,000","34,578,000","27,104,000","20,066,000","12,979,000","9,543,000","7,131,000","5,521,000","4,510,000"
				GrossAccountsReceivable,"46,403,000","33,866,000","38,397,000","32,261,000","22,175,000","19,342,000",,"12,236,000","49,133,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-746,000","-746,000","-936,000","-920,000","-754,000","-1,099,000",,"-1,076,000","-1,232,000",,,,,,,,,,,,,
			OtherReceivables,,"1,900,000",,,,,,,"1,489,000",,"1,758,000",,,,,,,,"262,000","289,000","47,000","94,000"
		Inventory,"2,136,000","1,654,000","1,223,000","1,939,000","1,509,000","954,000","1,073,000","1,016,000","2,840,000","7,144,000","7,481,000","8,639,000","10,399,000","10,470,000","8,575,000","6,973,000","7,124,000","7,532,000","6,675,000","4,348,000","1,816,000","1,365,000"
			OtherInventories,,"1,654,000",,,,"3,519,000",,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,"-2,565,000",,,,,,,,,,,,,,,,
		PrepaidAssets,"8,080,000","5,843,000","6,337,000","3,813,000","1,934,000","874,000","2,716,000","4,809,000","2,560,000","3,165,000","3,488,000","4,508,000","3,319,000","4,260,000","6,661,000","8,069,000","5,999,000","3,381,000","3,749,000","5,098,000","2,866,000","309,000"
		OtherCurrentAssets,,"2,054,000",,,,"1,295,000",,,,"1,837,000",,"1,277,000","1,039,000","1,232,000","1,812,000","1,783,000","190,000","241,000",,,,
	TotalNonCurrentAssets,"331,878,000","325,155,000","326,963,000","328,151,000","329,920,000","330,164,000","334,405,000","339,231,000","344,709,000","387,490,000","397,612,000","404,240,000","367,115,000","344,392,000","319,121,000","288,437,000","250,071,000","199,506,000","142,964,000","117,793,000","75,060,000","67,390,000"
		NetPPE,"251,646,000","244,273,000","244,917,000","245,449,000","246,979,000","250,592,000","255,112,000","260,277,000","267,750,000","314,454,000","319,285,000","322,387,000","318,852,000","296,538,000","269,033,000","234,870,000","193,783,000","151,163,000","100,006,000","74,255,000","60,957,000","54,350,000"
			GrossPPE,"362,246,000","348,335,000","343,317,000","338,249,000","335,079,000","331,891,000","329,912,000","328,571,000","331,218,000","373,974,000","372,021,000","368,368,000","358,435,000","329,882,000","296,585,000","257,227,000","212,189,000","166,427,000","112,840,000","85,272,000","70,639,000","62,724,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"600,000","612,000","600,000","600,000","600,000","612,000","600,000","612,000","612,000","612,000","612,000","612,000","612,000","612,000","611,000","608,000","608,000","578,000","578,000","578,000","578,000","578,000"
				BuildingsAndImprovements,"4,400,000","4,425,000","4,500,000","4,400,000","4,300,000","4,342,000","4,400,000","4,342,000","4,342,000","4,339,000","4,339,000","4,339,000","4,314,000","4,280,000","4,035,000","3,732,000","3,482,000","3,251,000","3,237,000","3,154,000","3,008,000","3,008,000"
