name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalAssets,"1,570,775,000","1,554,806,000","1,428,734,000","1,546,632,000","1,594,771,000","1,646,482,000","1,449,309,000","1,938,523,000","1,997,524,000","2,171,921,000","1,889,672,000","1,938,927,000","2,307,731,000","2,352,649,000","3,126,117,000","3,069,810,000","3,782,723,000","3,629,314,000","4,308,641,000","4,356,720,000","4,326,393,000","4,567,167,000","5,096,670,000","5,201,164,000","4,834,855,000","4,856,993,000","4,394,325,000","4,348,523,000","4,103,141,000","4,357,182,000","4,408,538,000","4,321,972,000","3,826,341,000","3,898,690,000","3,759,092,000","3,673,555,000","3,162,717,000","3,340,948,000","3,193,062,000","3,185,482,000","3,214,087,000","3,275,197,000","3,153,179,000","3,328,932,000","3,464,621,000","3,379,331,000","2,908,743,000","3,426,640,000","3,292,973,000","2,696,036,000","2,616,231,000","2,450,348,000","2,108,081,000","2,076,135,000","1,927,076,000","1,827,963,000","1,691,945,000","1,653,738,000","1,536,762,000","1,110,292,000","1,076,336,000","576,836,000","564,370,000","542,247,000","331,033,000","317,654,000","164,803,000"
	CurrentAssets,"1,159,893,000","1,073,466,000","1,139,413,000","1,061,347,000","1,101,647,000","790,315,000","861,328,000","1,112,778,000","1,203,398,000","1,380,931,000","1,106,425,000","1,011,440,000","1,490,132,000","1,073,771,000","1,225,155,000","1,219,747,000","1,204,963,000","1,351,513,000","1,505,094,000","1,663,654,000","1,649,694,000","1,914,699,000","2,346,186,000","2,608,632,000","2,373,900,000","2,514,520,000","2,038,652,000","2,172,113,000","2,061,397,000","2,402,847,000","2,609,849,000","2,525,400,000","2,034,827,000","2,188,478,000","2,093,891,000","2,107,445,000","1,725,715,000","1,938,232,000","1,941,246,000","1,920,301,000","1,910,456,000","2,102,668,000","1,765,216,000","1,636,671,000","1,803,765,000","1,793,849,000","1,410,327,000","1,536,083,000","1,508,590,000","1,282,342,000","1,236,280,000","1,129,815,000","805,348,000","847,980,000","919,324,000","911,797,000","757,797,000","802,260,000","791,669,000","463,258,000","463,782,000","288,601,000","369,240,000","373,110,000","170,659,000","185,473,000","51,781,000"
		CashCashEquivalentsAndShortTermInvestments,"451,085,000","493,010,000","579,294,000","513,282,000","538,485,000","232,765,000","324,741,000","235,307,000","205,452,000","422,955,000","188,983,000","167,253,000","185,554,000","309,407,000","220,789,000","256,689,000","260,672,000","435,097,000","275,004,000","327,281,000","387,378,000","425,309,000","383,868,000","590,091,000","555,178,000","954,528,000","502,881,000","623,043,000","601,573,000","956,175,000","922,729,000","980,858,000","754,741,000","762,511,000","743,575,000","680,481,000","505,587,000","457,487,000","377,126,000","366,250,000","302,137,000","657,934,000","374,562,000","245,790,000","409,949,000","644,140,000","281,384,000","383,140,000","499,326,000","621,051,000","475,592,000","457,631,000","151,407,000","219,510,000","295,598,000","226,775,000","196,053,000","390,667,000","465,747,000","175,907,000","209,462,000","182,092,000","273,632,000","297,393,000","117,118,000","143,592,000","20,322,000"
			CashAndCashEquivalents,"142,250,000","127,130,000","268,574,000","140,462,000","213,105,000","232,765,000","324,741,000","235,307,000","205,452,000","422,955,000","188,983,000","167,253,000","185,554,000","309,407,000","220,789,000","256,689,000","260,672,000","435,097,000","275,004,000","327,281,000","387,378,000","425,309,000","383,868,000","590,091,000","555,178,000","954,528,000","502,881,000","623,043,000","601,573,000","956,175,000","922,729,000","980,858,000","754,741,000","762,511,000","743,575,000","580,560,000","505,587,000","457,487,000","377,126,000","366,250,000","302,137,000","657,934,000","374,562,000","245,790,000","367,860,000","605,420,000","281,212,000","382,968,000","499,154,000","615,879,000","472,126,000","456,835,000","149,110,000","202,331,000","256,616,000","189,542,000","132,522,000","285,214,000","407,177,000","150,352,000","209,462,000","165,596,000","253,735,000","277,493,000","117,118,000","143,592,000","20,322,000"
			OtherShortTermInvestments,"308,835,000","365,880,000","310,720,000","372,820,000","325,380,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,892,000","9,179,000","99,921,000","10,860,000",,"0","9,383,000","0","0","0","0","42,089,000","38,720,000","172,000","172,000","172,000","5,172,000","3,466,000","796,000","2,297,000","17,179,000","38,982,000","37,233,000","63,531,000","105,453,000","58,570,000","25,555,000",,"16,496,000","19,897,000","19,900,000",,,
		Receivables,"160,558,000","213,121,000","208,222,000","200,403,000","239,711,000","243,892,000","255,371,000","288,695,000","379,575,000","371,028,000","350,034,000","319,930,000","262,936,000","292,167,000","338,795,000","321,268,000","310,772,000","294,258,000","307,362,000","296,053,000","279,633,000","352,512,000","359,949,000","324,866,000","328,254,000","322,654,000","330,231,000","565,053,000","613,537,000","778,884,000","663,791,000","493,709,000","385,695,000","525,924,000","598,622,000","691,061,000","506,640,000","434,545,000","552,994,000","341,562,000","623,814,000","445,116,000","536,919,000","540,361,000","496,422,000","470,390,000","430,383,000","324,056,000","344,355,000","322,589,000","311,986,000","293,780,000","149,179,000","287,786,000","250,539,000","342,009,000","260,105,000","194,598,000","179,493,000","126,838,000","104,610,000","51,680,000","57,067,000","44,263,000","31,975,000","25,498,000","17,900,000"
			AccountsReceivable,"116,354,000","126,789,000","112,059,000","110,450,000","104,804,000","108,864,000","94,756,000","157,132,000","243,476,000","226,476,000","205,667,000","211,921,000","156,445,000","175,605,000","219,036,000","205,795,000","190,795,000","215,479,000","186,230,000","195,871,000","167,861,000","219,638,000","223,836,000","211,753,000","177,443,000","190,448,000","207,073,000","433,627,000","467,868,000","504,316,000","520,166,000","345,873,000","265,402,000","360,594,000","377,824,000","459,373,000","303,009,000","398,150,000","297,696,000","272,972,000","348,068,000","390,262,000","438,091,000","395,991,000","341,400,000","381,200,000","265,832,000","199,603,000","221,640,000","248,833,000","243,528,000","219,644,000","149,179,000","224,548,000","250,539,000","300,243,000","220,758,000","177,386,000","164,870,000","116,512,000","101,864,000","51,680,000","47,067,000","34,263,000","31,975,000","25,498,000","17,900,000"
				GrossAccountsReceivable,"131,872,000","142,090,000","127,006,000","125,726,000","119,818,000","124,402,000","112,025,000","180,825,000","266,884,000","247,258,000","227,596,000","233,858,000","176,027,000","193,980,000","253,476,000","255,068,000","230,568,000","252,840,000","225,714,000","231,747,000","196,000,000","242,451,000","246,090,000","232,688,000","196,720,000","207,860,000","225,881,000","453,853,000","485,614,000","523,613,000","541,024,000","372,832,000","293,813,000","389,152,000","407,680,000","492,704,000","338,147,000","429,977,000","326,011,000","296,934,000",,"413,152,000","452,672,000","410,705,000",,"389,554,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-15,518,000","-15,301,000","-14,947,000","-15,276,000","-15,014,000","-15,538,000","-17,269,000","-23,693,000","-23,408,000","-20,782,000","-21,929,000","-21,937,000","-19,582,000","-18,375,000","-34,440,000","-49,273,000","-39,773,000","-37,361,000","-39,484,000","-35,876,000","-28,139,000","-22,813,000","-22,254,000","-20,935,000","-19,277,000","-17,412,000","-18,808,000","-20,226,000","-17,746,000","-19,297,000","-20,858,000","-26,959,000","-28,411,000","-28,558,000","-29,856,000","-33,331,000","-35,138,000","-31,827,000","-28,315,000","-23,962,000",,"-22,890,000","-14,581,000","-14,714,000",,"-8,354,000",,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","10,000,000",,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000",,"10,000,000","10,000,000",,,,,,,,,,,,,,,,,,,
