name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
OperatingCashFlow,"158,341,000","56,595,000","19,364,000","35,332,000","47,050,000","78,781,000","-15,881,000","46,845,000","43,246,000","68,695,000","60,739,000","38,344,000","44,405,000","58,658,000","61,514,000","-44,673,000","12,977,000","17,049,000","11,783,000","11,608,000","7,705,000","25,059,000","14,403,000","7,682,000","7,745,000","14,680,000","23,077,000","10,365,000","13,064,000","30,392,000","15,437,000","16,916,000","11,980,000","33,217,000","11,932,000","20,583,000","20,185,000","31,393,000","24,816,000","14,585,000","6,179,000","36,482,000","31,614,000","35,316,000","20,261,000","67,172,000","21,375,000","53,592,000","24,747,000","63,107,000","51,923,000","17,964,000","24,820,000","47,065,000","25,614,000","19,487,000","9,249,000","34,222,000","31,984,000","4,188,000","25,175,000","19,406,000","22,404,000","8,618,000","5,808,000","24,939,000","20,273,000","9,835,000","5,722,000","19,313,000","17,462,000","13,960,000","10,321,000","15,940,000","25,704,000","4,003,000","6,174,000","13,394,000","12,282,000","5,783,000","2,202,000","11,414,000","7,001,000","5,651,000","-873,000","16,066,000","5,717,000","6,481,000","1,991,000","13,065,000","2,800,000","3,900,000","1,600,000","10,000,000","500,000","7,300,000","2,400,000","8,800,000","-1,000,000","6,800,000","700,000","6,400,000","-1,700,000","6,500,000"
	CashFlowFromContinuingOperatingActivities,"158,341,000","56,595,000","19,364,000","35,332,000","47,050,000","78,781,000","-15,881,000","46,845,000","43,246,000","68,695,000","60,739,000","38,344,000","44,405,000","58,658,000","61,514,000","-44,673,000","12,977,000","17,049,000","11,783,000","11,608,000","7,705,000","25,059,000","14,403,000","7,682,000","7,745,000","14,680,000","23,077,000","10,365,000","13,064,000","30,392,000","15,437,000","16,916,000","11,980,000","33,217,000","11,932,000","20,583,000","20,185,000","31,393,000","24,816,000","14,585,000","6,179,000","36,482,000","31,614,000","35,316,000","20,261,000","67,172,000","21,375,000","53,592,000","24,747,000","63,107,000","51,923,000","17,964,000","24,820,000","47,065,000","25,614,000","19,487,000","9,249,000","34,222,000","31,984,000","4,188,000","25,175,000","19,406,000","22,404,000","8,618,000","5,808,000","24,939,000","20,273,000","9,835,000","5,722,000","19,313,000","17,462,000","13,960,000","10,321,000","15,940,000","25,704,000","4,003,000","6,174,000","13,394,000","12,282,000","5,783,000","2,202,000","11,414,000","7,001,000","5,651,000","-873,000","16,066,000","5,717,000","6,481,000","1,991,000","13,065,000","2,800,000","3,900,000","1,600,000","10,000,000","500,000","7,300,000","2,400,000","8,800,000","-1,000,000","6,800,000","700,000","6,400,000","-1,700,000","6,500,000"
		NetIncomeFromContinuingOperations,"52,539,000","7,029,000","21,680,000","3,854,000","19,976,000","9,577,000","5,917,000","10,960,000","34,152,000","35,239,000","28,537,000","16,692,000","24,409,000","11,500,000","22,455,000","-52,781,000","5,188,000","9,467,000","-6,495,000","6,227,000","10,302,000","10,578,000","11,718,000","2,878,000","7,786,000","12,420,000","13,041,000","3,723,000","11,874,000","11,385,000","12,943,000","4,953,000","13,677,000","14,783,000","-18,957,000","3,149,000","15,002,000","17,231,000","16,627,000","4,102,000","21,212,000","23,989,000","26,671,000","13,935,000","29,647,000","35,791,000","35,883,000","23,341,000","35,657,000","36,379,000","31,859,000","16,666,000","27,500,000","29,053,000","24,202,000","11,762,000","21,322,000","23,522,000","19,496,000","9,275,000","17,360,000","18,806,000","15,996,000","6,337,000","14,018,000","15,956,000","15,011,000","6,438,000","12,525,000","14,091,000","13,282,000","5,088,000","11,402,000","11,468,000","11,104,000","4,857,000","8,841,000","8,872,000","8,260,000","2,711,000","7,383,000","7,430,000","6,416,000","2,008,000","6,248,000","8,137,000","6,895,000","2,126,000","5,878,000","6,810,000","6,100,000","1,500,000","5,500,000","6,200,000","5,700,000","1,900,000","4,900,000","5,400,000","4,400,000","1,700,000","4,100,000","4,200,000","3,600,000","5,000,000"
		OperatingGainsLosses,,,"-1,975,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-66,000","-288,000","-118,000",,,"93,000","0","155,000","0","0","0","0","-785,000",,,,,,,,"1,115,000","2,000","-16,000","-42,000","-21,000","-15,000","-35,000","-112,000","-35,000","0","-1,838,000","26,000","46,000","1,102,000","-665,000","332,000","-526,000","-180,000","-470,000","-807,000","-534,000","-270,000","-364,000","120,000","-338,000","0","-400,000","0","-500,000","-300,000","-400,000","0","-400,000","-100,000","-600,000","-300,000","-600,000",,
			GainLossOnSaleOfPPE,,,"-1,975,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-66,000","-288,000",,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"85,117,000","16,272,000","15,228,000","21,564,000","32,053,000","34,571,000","30,965,000","26,208,000","26,248,000","25,733,000","25,999,000","26,365,000","26,514,000","25,983,000","25,436,000","19,192,000","4,880,000","5,035,000","5,015,000","4,743,000","4,605,000","4,370,000","4,541,000","4,403,000","4,448,000","4,425,000","4,393,000","4,419,000","4,579,000","4,713,000","4,848,000","4,955,000","5,024,000","5,803,000","17,002,000","6,127,000","6,244,000","6,190,000","6,116,000","6,108,000","5,932,000","5,817,000","5,746,000","5,614,000","5,261,000","4,904,000","4,496,000","4,452,000","4,163,000","4,198,000","3,818,000","3,660,000","3,330,000","3,129,000","2,760,000","3,087,000","2,371,000","2,262,000","2,082,000","2,150,000","2,032,000","1,996,000","1,948,000","1,848,000","1,751,000","1,702,000","1,778,000","1,800,000","1,777,000","1,494,000","1,576,000","1,522,000","1,514,000","1,377,000","1,271,000","1,196,000","1,162,000","1,075,000","1,064,000","859,000","838,000","790,000","699,000","702,000","634,000","608,000","556,000","523,000","507,000","477,000","500,000","500,000","400,000","500,000","400,000","400,000","400,000","400,000","300,000","300,000","300,000","300,000","400,000","200,000"
			DepreciationAndAmortization,"85,117,000","16,272,000","15,228,000","21,564,000","32,053,000","34,571,000","30,965,000","26,208,000","26,248,000","25,733,000","25,999,000","26,365,000","26,514,000","25,983,000","25,436,000","19,192,000","4,880,000","5,035,000","5,015,000","4,743,000","4,605,000","4,370,000","4,541,000","4,403,000","4,448,000","4,425,000","4,393,000","4,419,000","4,579,000","4,713,000","4,848,000","4,955,000","5,024,000","5,803,000","17,002,000","6,127,000","6,244,000","6,190,000","6,116,000","6,108,000","5,932,000","5,817,000","5,746,000","5,614,000","5,261,000","4,904,000","4,496,000","4,452,000","4,163,000","4,198,000","3,818,000","3,660,000","3,330,000","3,129,000","2,760,000","3,087,000","2,371,000","2,262,000","2,082,000","2,150,000","2,032,000","1,996,000","1,948,000","1,848,000","1,751,000","1,702,000","1,778,000","1,800,000","1,777,000","1,494,000","1,576,000","1,522,000","1,514,000","1,377,000","1,271,000","1,196,000","1,162,000","1,075,000","1,064,000","859,000","838,000","790,000","699,000","702,000","634,000","608,000","556,000","523,000","507,000","477,000","500,000","500,000","400,000","500,000","400,000","400,000","400,000","400,000","300,000","300,000","300,000","300,000","400,000","200,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,519,000","3,400,000","3,200,000",,,"2,571,000","2,420,000","2,288,000","2,139,000","2,078,000","2,018,000","1,894,000","1,796,000","1,665,000","1,704,000","1,675,000","1,747,000","1,696,000","1,501,000","1,404,000","1,407,000","1,322,000","1,242,000","1,132,000","1,099,000","1,124,000","1,012,000","990,000","940,000",,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-70,000","-70,000","-71,000",,,"-200,000","-158,000","-206,000","11,000","-46,000","-22,000","54,000","52,000","86,000","-2,000","103,000","53,000","81,000","-7,000","172,000","115,000","192,000","135,000","139,000","97,000","38,000","63,000","74,000","-81,000",,,,,,,,,,,,,,,,,,,,,,,,
