name,03/31/2022,12/31/2021
TotalAssets,"407,791,000","454,861,000"
	CurrentAssets,"387,305,000","433,496,000"
		CashCashEquivalentsAndShortTermInvestments,"259,044,000","363,047,000"
			CashAndCashEquivalents,"259,044,000","363,047,000"
		Receivables,"28,598,000","13,291,000"
			AccountsReceivable,"28,598,000","13,291,000"
		Inventory,"72,339,000","44,875,000"
			RawMaterials,"66,102,000","43,358,000"
			FinishedGoods,"6,237,000","1,517,000"
		PrepaidAssets,"27,315,000","11,781,000"
		CurrentDeferredAssets,"9,000","502,000"
	TotalNonCurrentAssets,"20,486,000","21,365,000"
		NetPPE,"19,201,000","19,990,000"
			GrossPPE,"40,346,000","39,751,000"
				Properties,"0","0"
				MachineryFurnitureEquipment,"37,427,000","36,847,000"
				Leases,"2,919,000","2,904,000"
			AccumulatedDepreciation,"-21,145,000","-19,761,000"
		GoodwillAndOtherIntangibleAssets,"944,000","1,035,000"
		OtherNonCurrentAssets,"341,000","340,000"
TotalLiabilitiesNetMinorityInterest,"1,440,999,000","1,433,474,000"
	CurrentLiabilities,"296,609,000","334,579,000"
		PayablesAndAccruedExpenses,"90,318,000","80,998,000"
			Payables,"66,936,000","50,140,000"
				AccountsPayable,"55,751,000","34,463,000"
				TotalTaxPayable,"11,185,000","15,677,000"
			CurrentAccruedExpenses,"23,382,000","30,858,000"
		CurrentDeferredLiabilities,"206,291,000","253,581,000"
			CurrentDeferredRevenue,"206,291,000","253,581,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,144,390,000","1,098,895,000"
		NonCurrentDeferredLiabilities,"262,787,000","242,787,000"
			NonCurrentDeferredRevenue,"262,787,000","242,787,000"
		PreferredSecuritiesOutsideStockEquity,"877,180,000","852,121,000"
		OtherNonCurrentLiabilities,"4,423,000","3,987,000"
TotalEquityGrossMinorityInterest,"-1,033,208,000","-978,613,000"
	StockholdersEquity,"-1,033,208,000","-978,613,000"
		CapitalStock,"217,604,000","217,604,000"
			CommonStock,"217,604,000","217,604,000"
		AdditionalPaidInCapital,"0","0"
		RetainedEarnings,"-1,248,771,000","-1,193,831,000"
		GainsLossesNotAffectingRetainedEarnings,"-2,041,000","-2,386,000"
TotalCapitalization,"-1,033,208,000","-978,613,000"
CommonStockEquity,"-1,033,208,000","-978,613,000"
NetTangibleAssets,"-1,034,152,000","-979,648,000"
WorkingCapital,"90,696,000","98,917,000"
InvestedCapital,"-1,033,208,000","-978,613,000"
TangibleBookValue,"-1,034,152,000","-979,648,000"
ShareIssued,"50,664,146","50,664,146"
OrdinarySharesNumber,"50,664,146","50,664,146"
