name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
OperatingCashFlow,"394,077,000","70,887,000","185,979,000","48,504,000","88,707,000","127,088,000","114,326,000","156,002,000","193,772,000","-38,607,000","160,548,000","74,419,000","96,820,000","-13,306,000","112,448,000","125,826,000","112,159,000","-46,985,000","88,512,000","11,322,000","22,726,000","75,698,000","14,208,000","50,748,000","45,022,000","-646,000","63,618,000","45,847,000","51,644,000","43,631,000","14,119,000","36,932,000","49,186,000","31,210,000","24,863,000","15,883,000"
	CashFlowFromContinuingOperatingActivities,"394,077,000","70,887,000","185,979,000","48,504,000","88,707,000","127,088,000","114,326,000","156,002,000","193,772,000","-38,607,000","160,548,000","74,419,000","96,820,000","-13,306,000","112,448,000","125,826,000","112,159,000","-46,985,000","88,512,000","11,322,000","22,726,000","75,698,000","14,208,000","50,748,000","45,022,000","-646,000","63,618,000","45,847,000","51,644,000","43,631,000","14,119,000","36,932,000","49,186,000","31,210,000","24,863,000","15,883,000"
		NetIncomeFromContinuingOperations,"242,283,000","46,176,000","75,959,000","78,243,000","41,905,000","38,724,000","91,886,000","63,416,000","3,911,000","33,574,000","91,050,000","58,920,000","11,292,000","-30,004,000","45,670,000","-10,394,000","13,560,000","-24,552,000","-15,047,000","-147,998,000","3,389,000","21,187,000","37,491,000","27,331,000","30,403,000","17,405,000","30,656,000","37,814,000","23,321,000","25,256,000","-49,780,000","12,555,000","15,307,000","-1,552,000","-12,979,000","-1,170,000"
		OperatingGainsLosses,"7,037,000","434,000","1,202,000","-2,757,000","8,158,000","-8,919,000","5,997,000","5,140,000","2,478,000","-15,019,000","2,506,000","-5,133,000","-880,000","4,278,000","-999,000","6,495,000","-24,120,000","6,612,000","2,168,000","484,000","3,175,000","2,707,000","1,892,000","5,635,000","5,819,000","7,774,000","1,507,000","2,161,000","7,721,000","-2,389,000","52,146,000","-5,599,000","-2,382,000","-2,328,000","-128,000","-1,379,000"
			NetForeignCurrencyExchangeGainLoss,"4,028,000","434,000","392,000","-2,757,000","5,959,000","-9,522,000","11,895,000","4,794,000","2,478,000","-15,019,000","17,256,000","-5,133,000","-880,000","-77,000","-1,238,000","4,706,000","-25,997,000","6,364,000","1,648,000","382,000","3,175,000","2,707,000","1,892,000","5,196,000","5,819,000","7,774,000","1,507,000","2,161,000","-2,074,000","-2,389,000","3,307,000","-5,756,000","-2,613,000","-2,328,000","-589,000","-1,402,000"
		DepreciationAmortizationDepletion,"239,889,000","62,202,000","63,722,000","56,254,000","57,711,000","57,938,000","54,776,000","55,448,000","56,021,000","56,107,000","60,379,000","60,137,000","60,749,000","61,200,000","70,128,000","68,034,000","67,502,000","68,021,000","83,348,000","65,432,000","15,528,000","15,628,000","15,559,000","14,769,000","14,523,000","14,353,000","14,058,000","13,819,000","13,893,000","14,244,000","14,578,000","14,331,000","11,263,000","14,371,000","15,051,000","14,553,000"
			DepreciationAndAmortization,"239,889,000","62,202,000","63,722,000","56,254,000","57,711,000","57,938,000","54,776,000","55,448,000","56,021,000","56,107,000","60,379,000","60,137,000","60,749,000","61,200,000","70,128,000","68,034,000","67,502,000","68,021,000","83,348,000","65,432,000","15,528,000","15,628,000","15,559,000","14,769,000","14,523,000","14,353,000","14,058,000","13,819,000","13,893,000","14,244,000","14,578,000","14,331,000","11,263,000","14,371,000","15,051,000","14,553,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,734,000",,,,"4,730,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,597,000",,,,"9,823,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,597,000",,,,"9,823,000"
