name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,038,165,000","774,123,000","774,647,000","756,487,000","732,908,000","727,051,000","937,575,000","738,389,000","577,627,000","684,189,000","693,955,000","551,857,000","536,932,000","516,753,000","642,136,000","538,976,000","524,080,000","502,090,000","490,323,000","464,264,000","489,369,000","778,471,000","887,416,000","860,265,000","811,785,000","781,732,000","649,708,000","807,086,000","1,521,392,000","1,472,765,000","1,700,967,000","1,443,137,000","1,460,004,000","1,404,066,000","1,368,038,000","1,252,890,000","1,302,699,000","1,237,735,000","1,518,309,000","1,309,261,000","1,307,040,000","1,218,587,000","1,387,755,000","1,266,034,000","1,334,939,000","1,251,261,000","1,461,615,000","1,312,335,000","1,365,143,000","1,322,405,000","1,485,339,000","1,336,583,000","1,412,593,000","1,378,478,000","1,735,482,000","1,637,310,000","1,717,989,000","1,676,869,000","1,856,485,000","1,812,756,000","1,928,225,000","1,871,195,000","2,208,349,000","1,914,555,000","2,027,909,000","1,882,541,000","2,054,954,000","1,864,903,000","1,936,477,000","1,792,097,000","1,962,412,000","1,815,884,000","1,873,303,000","1,729,684,000","1,822,304,000","1,631,283,000","1,705,283,000","1,552,245,000","1,692,417,000","1,580,928,000","1,624,296,000","1,524,608,000","1,624,137,000","1,517,928,000","1,627,232,000","1,574,948,000","1,768,386,000","1,599,289,000","1,490,200,000","1,364,443,000","1,310,600,000","1,358,200,000","1,343,300,000","1,248,100,000","1,391,200,000","1,226,100,000","1,304,100,000","1,199,900,000","1,318,800,000","1,146,100,000","1,187,800,000","1,076,800,000","1,111,500,000","1,117,700,000","1,208,700,000","1,104,200,000","1,146,700,000","932,300,000","1,013,900,000","913,800,000","1,048,600,000","932,400,000","966,900,000","876,600,000","982,600,000","876,500,000","937,800,000","844,700,000","935,100,000","848,600,000","892,100,000","793,100,000","901,200,000","819,700,000","874,600,000","786,500,000","904,500,000","829,900,000","893,800,000","813,400,000","968,600,000","827,900,000","904,200,000","817,600,000","905,300,000","804,300,000","846,900,000","757,900,000","835,300,000","751,100,000","789,800,000","703,200,000","781,500,000","689,100,000","716,200,000","614,700,000","619,500,000","550,300,000"
	OperatingRevenue,"3,000,175,000","764,086,000","762,622,000","747,916,000","725,551,000","718,999,000","929,700,000","731,776,000","570,102,000","675,342,000","715,657,000","546,199,000","536,932,000","516,753,000","661,537,000","532,725,000","524,080,000","502,090,000","490,323,000","464,264,000","489,369,000","778,471,000","887,416,000","860,265,000","811,785,000","781,732,000","649,708,000","807,086,000","1,521,392,000","1,472,765,000","1,700,967,000","1,443,137,000","1,460,004,000","1,404,066,000","1,368,038,000","1,252,890,000","1,302,699,000","1,237,735,000","1,518,309,000","1,309,261,000","1,307,040,000","1,218,587,000","1,387,755,000","1,266,034,000","1,334,939,000","1,251,261,000","1,461,615,000","1,312,335,000","1,365,143,000","1,322,405,000","1,485,339,000","1,336,583,000","1,412,593,000","1,378,478,000","1,735,482,000","1,637,310,000","1,717,989,000","1,676,869,000","1,856,485,000","1,812,756,000","1,928,225,000","1,871,195,000","2,208,349,000","1,914,555,000","2,027,909,000","1,882,541,000","2,054,954,000","1,864,903,000","1,936,477,000","1,792,097,000","1,962,412,000","1,815,884,000","1,873,303,000","1,729,684,000","1,822,304,000","1,631,283,000","1,705,283,000","1,552,245,000","1,692,417,000","1,580,928,000","1,624,296,000","1,524,608,000","1,624,137,000","1,517,928,000","1,627,232,000","1,574,948,000","1,768,386,000","1,599,289,000","1,490,200,000","1,364,443,000","1,310,600,000","1,358,200,000","1,343,300,000","1,248,100,000","1,391,200,000","1,226,100,000","1,304,100,000","1,199,900,000","1,318,800,000","1,146,100,000","1,187,800,000","1,076,800,000","1,111,500,000","1,117,700,000","1,208,700,000","1,104,200,000","1,146,700,000","932,300,000","1,013,900,000","913,800,000","1,048,600,000","932,400,000","966,900,000","876,600,000","982,600,000","876,500,000","937,800,000","844,700,000","935,100,000","848,600,000","892,100,000","793,100,000","901,200,000","819,700,000","874,600,000","786,500,000","904,500,000","829,900,000","893,800,000","813,400,000","968,600,000","827,900,000","904,200,000","817,600,000","905,300,000","804,300,000","846,900,000","757,900,000","835,300,000","751,100,000","789,800,000","703,200,000","781,500,000","689,100,000","716,200,000","614,700,000","619,500,000","550,300,000"
CostOfRevenue,"1,615,517,000","411,450,000","407,198,000","399,751,000","397,118,000","394,692,000","399,367,000","379,185,000","355,367,000","369,368,000","355,159,000","306,474,000","285,293,000","281,311,000","271,990,000","271,156,000","264,294,000","258,493,000","237,153,000","235,474,000","229,683,000","295,809,000","273,874,000","261,065,000","255,472,000","248,256,000","130,386,000","256,941,000","710,865,000","700,639,000","748,119,000","757,301,000","775,627,000","767,532,000","722,487,000","713,369,000","726,869,000","719,724,000","779,777,000","720,941,000","720,889,000","722,240,000","782,040,000","721,888,000","739,654,000","717,515,000","755,451,000","747,416,000","745,489,000","748,559,000","801,484,000","796,984,000","867,312,000","839,004,000","1,052,685,000","985,004,000","988,538,000","986,500,000","1,027,630,000","1,026,041,000","1,052,476,000","1,074,270,000","1,196,747,000","1,070,148,000","1,096,263,000","1,075,078,000","1,089,209,000","1,020,307,000","1,000,720,000","974,425,000","983,086,000","952,349,000","946,552,000","939,448,000","911,087,000","849,088,000","856,972,000","836,622,000","804,945,000","820,131,000","810,361,000","818,566,000","831,745,000","824,839,000","824,030,000","839,547,000","820,730,000","820,171,000","715,655,000","700,696,000","614,300,000","686,700,000","646,200,000","661,400,000","655,900,000","648,300,000","646,800,000","643,000,000","624,000,000","602,400,000","575,600,000","566,500,000","526,600,000","627,300,000","640,500,000","641,200,000","629,700,000","546,200,000","542,400,000","534,200,000","550,300,000","524,000,000","516,100,000","516,400,000","532,600,000","507,300,000","517,900,000","509,400,000","529,800,000","505,000,000","502,400,000","487,400,000","514,300,000","505,200,000","506,600,000","496,300,000","510,400,000","491,000,000","498,100,000","484,000,000","537,700,000","481,900,000","492,800,000",,,,,,,,,,,,,,,
GrossProfit,"1,422,648,000","362,673,000","367,449,000","356,736,000","335,790,000","332,359,000","538,208,000","359,204,000","222,260,000","314,821,000","338,796,000","245,383,000","251,639,000","235,442,000","370,146,000","267,820,000","259,786,000","243,597,000","253,170,000","228,790,000","259,686,000","482,662,000","613,542,000","599,200,000","556,313,000","533,476,000","519,322,000","550,145,000","810,527,000","772,126,000","952,848,000","685,836,000","684,377,000","636,534,000","645,551,000","539,521,000","575,830,000","518,011,000","738,532,000","588,320,000","586,151,000","496,347,000","605,715,000","544,146,000","595,285,000","533,746,000","706,164,000","564,919,000","619,654,000","573,846,000","683,855,000","539,599,000","545,281,000","539,474,000","682,797,000","652,306,000","729,451,000","690,369,000","828,855,000","786,715,000","875,749,000","796,925,000","1,011,602,000","844,407,000","931,646,000","807,463,000","965,745,000","844,596,000","935,757,000","817,672,000","979,326,000","863,535,000","926,751,000","790,236,000","911,217,000","782,195,000","848,311,000","715,623,000","887,472,000","760,797,000","813,935,000","706,042,000","792,392,000","693,089,000","803,202,000","735,401,000","947,656,000","779,118,000","774,545,000","663,747,000","696,300,000","671,500,000","697,100,000","586,700,000","735,300,000","577,800,000","657,300,000","556,900,000","694,800,000","543,700,000","612,200,000","510,300,000","584,900,000","490,400,000","568,200,000","463,000,000","517,000,000","386,100,000","471,500,000","379,600,000","498,300,000","408,400,000","450,800,000","360,200,000","450,000,000","369,200,000","419,900,000","335,300,000","405,300,000","343,600,000","389,700,000","305,700,000","386,900,000","314,500,000","368,000,000","290,200,000","394,100,000","338,900,000","395,700,000","329,400,000","430,900,000","346,000,000","411,400,000",,,,,,,,,,,,,,,
OperatingExpense,"608,167,000","153,594,000","157,948,000","144,882,000","151,743,000","137,852,000","143,984,000","134,405,000","147,279,000","147,798,000","156,008,000","138,630,000","113,133,000","109,806,000","119,474,000","116,541,000","111,977,000","106,582,000","103,977,000","104,376,000","108,256,000","327,103,000","320,569,000","320,210,000","325,991,000","331,557,000","262,940,000","333,788,000","521,366,000","528,814,000","565,682,000","408,698,000","413,100,000","417,720,000","388,868,000","361,943,000","368,450,000","362,169,000","410,139,000","366,890,000","364,536,000","355,901,000","380,262,000","345,985,000","347,137,000","347,474,000","362,432,000","341,586,000","347,045,000","355,662,000","378,319,000","343,390,000","355,132,000","373,281,000","-2,078,700,000","393,125,000","-1,404,095,000","362,738,000","456,198,000","383,868,000","392,503,000","397,722,000","425,527,000","389,434,000","393,763,000","388,157,000","388,078,000","371,388,000","376,251,000","362,178,000","366,053,000","351,359,000","350,370,000","344,387,000","331,796,000","319,733,000","320,169,000","304,630,000","318,537,000","310,137,000","309,730,000","303,533,000","353,556,000","356,491,000","356,840,000","367,362,000","363,584,000","358,133,000","319,864,000","306,229,000","234,300,000","301,500,000","277,900,000","274,800,000","282,500,000","265,100,000","267,500,000","268,700,000","281,600,000","259,000,000","254,700,000","249,400,000","248,200,000","249,900,000","265,900,000","265,000,000","238,200,000","216,700,000","225,200,000","222,500,000","245,800,000","221,100,000","220,200,000","217,700,000","219,800,000","206,300,000","218,700,000","215,200,000","211,800,000","201,700,000","213,100,000","200,500,000","204,100,000","197,200,000","205,700,000","193,700,000","196,500,000","188,200,000","202,600,000","191,800,000","201,000,000","180,000,000","195,800,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"481,666,000","123,289,000","125,929,000","112,316,000","120,132,000","106,196,000","109,688,000","101,206,000","113,320,000","114,682,000","122,740,000","108,231,000","89,777,000","86,200,000","97,072,000","94,232,000","90,154,000","86,329,000","85,232,000","83,795,000","89,550,000","274,998,000","269,276,000","268,415,000","275,112,000","281,034,000","215,368,000","283,564,000","439,094,000","447,244,000","483,361,000","347,123,000","353,779,000","355,213,000","341,451,000","315,677,000","320,615,000","314,115,000","360,422,000","318,385,000","316,301,000","308,319,000","331,741,000","297,001,000","297,196,000","297,547,000","310,366,000","289,443,000","292,691,000","299,759,000","320,720,000","284,111,000","293,102,000","309,380,000","355,207,000","328,320,000","299,539,000","294,896,000","315,279,000","313,654,000","320,636,000","325,296,000","355,540,000","320,062,000","325,275,000","319,234,000","319,551,000","303,651,000","301,496,000","297,470,000","306,125,000","290,707,000","288,286,000","283,030,000","274,161,000","259,147,000","262,917,000","248,571,000","262,893,000","253,735,000","254,534,000","248,331,000","245,102,000","244,308,000","246,324,000","254,738,000","254,083,000","254,542,000","237,415,000","225,855,000","198,800,000","214,400,000","199,300,000","195,900,000","205,400,000","188,100,000","190,900,000","189,200,000","204,900,000","184,100,000","179,800,000","174,800,000","179,900,000","177,000,000","188,600,000","187,600,000","178,900,000","167,000,000","174,800,000","171,800,000","194,200,000","167,400,000","168,500,000","165,900,000","166,700,000","154,500,000","166,200,000","163,000,000","164,600,000","151,600,000","163,100,000","149,900,000","154,300,000","146,700,000","155,900,000","144,000,000","148,800,000","139,400,000","153,800,000","143,200,000","155,500,000","131,700,000","147,500,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"481,666,000","123,289,000","125,929,000","112,316,000","120,132,000","106,196,000","109,688,000","101,206,000","113,320,000","114,682,000","122,740,000","108,231,000","89,777,000","86,200,000","97,072,000","94,232,000","90,154,000","86,329,000","85,232,000","83,795,000","89,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"481,666,000","123,289,000","125,929,000","112,316,000","120,132,000","106,196,000","109,688,000","101,206,000","113,320,000","114,682,000","122,740,000","108,231,000","89,777,000","86,200,000","97,072,000","94,232,000","90,154,000","86,329,000","85,232,000","83,795,000","89,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,"100,425,000","96,949,000","89,326,000","97,682,000","89,943,000","85,008,000","92,968,000","102,959,000","78,439,000","73,941,000","71,465,000","86,127,000","76,639,000","78,933,000","73,621,000","72,751,000","70,914,000","75,302,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"126,501,000","30,305,000","32,019,000","32,566,000","31,611,000","31,656,000","34,296,000","33,199,000","33,959,000","33,116,000","33,268,000","30,399,000","23,356,000","23,606,000","22,402,000","22,309,000","21,823,000","20,253,000","18,745,000","20,581,000","18,706,000","52,105,000","51,293,000","51,795,000","50,879,000","50,523,000","47,572,000","50,224,000","82,272,000","81,570,000","82,321,000","61,575,000","59,321,000","62,507,000","47,417,000","46,266,000","47,835,000","48,054,000","49,717,000","48,505,000","48,235,000","47,582,000","48,521,000","48,984,000","49,941,000","49,927,000","52,066,000","52,143,000","54,354,000","55,903,000","57,599,000","59,279,000","62,030,000","63,901,000","57,458,000","64,805,000","72,093,000","67,842,000","68,889,000","70,214,000","71,867,000","72,426,000","69,987,000","69,372,000","68,488,000","68,923,000","68,527,000","67,737,000","74,755,000","64,708,000","59,928,000","60,652,000","62,084,000","61,357,000","57,635,000","60,586,000","57,252,000","56,059,000","55,644,000","56,402,000","55,196,000","55,202,000","108,454,000","112,183,000","110,516,000","112,624,000","109,501,000","103,591,000","82,449,000","80,374,000","35,500,000","87,100,000","78,600,000","78,900,000","77,100,000","77,000,000","76,600,000","79,500,000","76,700,000","74,900,000","74,900,000","74,600,000","68,300,000","72,900,000","77,300,000","77,400,000","59,300,000","49,700,000","50,400,000","50,700,000","51,600,000","53,700,000","51,700,000","51,800,000","53,100,000","51,800,000","52,500,000","52,200,000","47,200,000","50,100,000","50,000,000","50,600,000","49,800,000","50,500,000","49,800,000","49,700,000","47,700,000","48,800,000","48,800,000","48,600,000","45,500,000","48,300,000","48,300,000",,,,,,,,,,,,,,,
