name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,01/31/1989,01/31/1988,01/31/1987
TotalAssets,"27,709,904,000","28,461,458,000","30,070,986,000","28,783,446,000","30,301,434,000","30,813,555,000","31,565,500,000","26,568,402,000","25,415,240,000","24,145,003,000","24,288,704,000","22,854,979,000","22,489,064,000","14,326,029,000","15,025,242,000","14,111,428,000","14,007,124,000","14,058,015,000","13,877,695,000","12,935,615,000","12,763,481,000","12,883,808,000","12,866,836,000","11,670,653,000","11,704,722,000","11,499,482,000","11,992,433,000","11,341,042,000","11,365,946,000","11,128,381,000","11,592,048,000","10,921,997,000","10,429,938,000","10,201,022,000","10,669,239,000","9,926,043,000","9,840,364,000","9,511,855,000","9,172,089,000","8,636,641,000","8,503,079,000","8,281,605,000","8,530,980,000","8,097,126,000","7,984,470,000","7,971,763,000","8,182,100,000","7,686,709,000","7,754,510,000","7,463,977,000","7,983,064,000","7,836,000,000","6,938,867,000","6,178,242,000","6,788,416,000","6,792,555,000","6,646,702,000","6,599,934,000","6,942,238,000","6,619,915,000","6,487,715,000","6,085,700,000","6,305,740,000","5,996,512,000","5,619,608,000","5,496,305,000","5,806,194,000","5,592,309,000","5,177,559,000","5,075,473,000","5,293,818,000","4,613,367,000","4,508,673,000","4,396,767,000","4,448,177,000","4,097,276,000","4,029,917,000","3,940,489,000","3,957,950,000","3,820,585,000","3,772,147,000","3,595,743,000","3,638,326,000","3,440,191,000","3,352,352,000","2,932,283,000","3,323,283,000","3,020,394,000","3,039,806,000","2,804,963,000","2,950,700,000","2,849,300,000","2,918,800,000","2,747,800,000","2,787,100,000","2,612,500,000","2,767,600,000","2,609,600,000","2,668,800,000","2,574,000,000","2,788,500,000","2,561,200,000","2,837,600,000","2,864,600,000","2,779,300,000","2,745,600,000","1,903,300,000","1,810,900,000","1,824,800,000","1,638,200,000","1,785,100,000","1,608,200,000","1,518,200,000","1,427,400,000","1,615,800,000","1,489,800,000","1,383,800,000","1,305,100,000","1,330,000,000","1,258,500,000","1,200,400,000","1,105,300,000","1,155,400,000","1,085,400,000","1,088,500,000","1,047,300,000","1,115,800,000","1,062,700,000","1,016,700,000","949,100,000","1,150,700,000","1,166,400,000","1,461,800,000","564,700,000","504,600,000"
	CurrentAssets,"12,480,222,000","13,258,597,000","14,576,110,000","13,389,030,000","15,016,049,000","15,739,337,000","16,653,906,000","11,517,947,000","10,296,248,000","8,890,622,000","9,374,615,000","8,268,604,000","8,067,212,000","8,469,222,000","9,317,013,000","8,439,972,000","8,422,275,000","8,485,727,000","8,390,034,000","7,567,781,000","7,548,500,000","7,750,774,000","7,942,334,000","6,810,674,000","6,877,701,000","6,772,560,000","7,348,157,000","6,796,837,000","6,872,089,000","6,715,061,000","7,154,622,000","6,593,763,000","6,235,550,000","6,067,998,000","6,623,575,000","5,950,244,000","5,976,143,000","5,711,543,000","5,694,665,000","5,340,790,000","5,231,816,000","5,132,632,000","5,418,051,000","5,029,069,000","5,008,421,000","5,099,527,000","5,296,700,000","4,948,919,000","5,105,417,000","4,803,856,000","5,330,657,000","5,211,702,000","4,406,913,000","3,626,129,000","4,262,434,000","4,166,239,000","4,052,239,000","3,992,294,000","4,285,743,000","4,125,648,000","4,057,462,000","3,748,813,000","3,939,595,000","3,652,816,000","3,257,761,000","3,140,127,000","3,516,153,000","3,384,043,000","2,995,309,000","2,905,120,000","3,259,238,000","2,679,305,000","2,582,853,000","2,451,748,000","2,586,485,000","2,314,663,000","2,299,848,000","2,240,540,000","2,368,910,000","2,289,525,000","2,268,072,000","2,115,926,000","2,225,612,000","2,126,339,000","2,117,835,000","1,721,947,000","2,123,853,000","1,868,008,000","1,917,392,000","1,700,565,000","1,852,600,000","1,784,100,000","1,889,200,000","1,743,100,000","1,819,800,000","1,673,100,000","1,847,100,000","1,682,600,000","1,730,200,000","1,652,700,000","1,889,500,000","1,662,300,000","1,796,900,000","1,824,400,000","1,736,900,000","1,686,700,000","1,305,800,000","1,201,900,000","1,227,900,000","1,046,200,000","1,201,100,000","1,045,100,000","969,100,000","881,900,000","1,085,500,000","983,400,000","899,300,000","821,100,000","854,000,000","791,900,000","746,700,000","656,300,000","720,400,000","661,500,000","671,900,000","631,300,000","709,000,000","662,600,000","624,900,000","563,100,000","628,500,000","649,800,000","935,100,000","374,000,000","335,100,000"
		CashCashEquivalentsAndShortTermInvestments,"4,295,068,000","6,226,765,000","6,791,596,000","7,106,016,000","8,775,485,000","10,469,570,000","10,581,993,000","6,620,411,000","4,287,835,000","3,216,752,000","2,060,176,000","2,186,382,000","2,235,056,000","3,030,229,000","2,711,767,000","2,872,717,000","3,117,008,000","3,264,642,000","2,875,862,000","2,952,062,000","3,126,586,000","3,473,091,000","2,826,336,000","2,224,801,000","2,347,857,000","2,447,786,000","2,123,050,000","2,238,276,000","2,588,791,000","2,776,398,000","2,430,850,000","2,468,333,000","2,319,183,000","2,444,448,000","2,262,028,000","2,090,011,000","2,227,878,000","2,047,810,000","1,842,901,000","1,796,697,000","1,738,563,000","1,601,803,000","1,028,669,000","1,059,859,000","1,462,495,000","1,818,012,000","1,469,100,000","1,519,398,000","1,959,341,000","1,745,243,000","1,522,291,000","1,561,522,000","1,069,242,000","453,527,000","387,351,000","517,493,000","698,115,000","732,612,000","388,131,000","533,786,000","781,210,000","856,669,000","341,636,000","273,717,000","279,882,000","465,649,000","201,019,000","181,689,000","177,750,000","307,187,000","143,411,000","135,585,000","241,510,000","246,403,000","87,622,000","44,008,000","171,452,000","492,330,000","151,939,000","292,644,000","516,859,000","492,776,000","76,088,000","138,617,000","304,687,000","132,535,000","55,481,000","39,400,000","236,009,000","371,759,000","24,600,000","47,200,000","309,400,000","461,200,000","155,700,000","58,000,000","327,400,000","404,400,000","143,600,000","138,200,000","397,100,000","474,700,000","236,000,000","245,300,000","191,400,000","209,200,000","26,900,000","19,800,000","21,200,000","41,600,000","26,200,000","20,600,000","30,300,000","58,100,000","47,200,000","17,800,000","46,900,000","106,700,000","25,500,000","22,100,000","20,400,000","67,300,000","31,800,000","27,200,000","60,400,000","83,300,000","43,400,000","27,000,000","44,300,000","54,300,000","18,300,000","17,300,000","122,700,000","54,900,000","16,400,000"
			CashAndCashEquivalents,"4,295,068,000","6,226,765,000","6,791,596,000","7,106,016,000","8,775,485,000","10,469,570,000","10,581,993,000","6,620,411,000","4,287,835,000","3,216,752,000","2,060,176,000","2,186,382,000","2,235,056,000","3,030,229,000","2,711,767,000","2,872,717,000","2,681,105,000","2,758,477,000","2,364,244,000","2,449,305,000","2,669,495,000","2,929,849,000","2,375,532,000","1,803,648,000","1,944,155,000","2,095,473,000","1,723,336,000","1,910,770,000","2,259,965,000","2,493,775,000","2,153,625,000","2,183,330,000","2,059,296,000","2,149,746,000","2,010,752,000","1,858,798,000","1,989,835,000","1,811,957,000","1,641,915,000","1,620,402,000","1,563,691,000","1,507,112,000","956,932,000","977,763,000","1,377,146,000","1,741,751,000","1,339,100,000","1,380,169,000","1,833,270,000","1,614,607,000","1,445,648,000","1,426,895,000","1,012,495,000","453,527,000","387,351,000","517,493,000","698,115,000","732,612,000","388,131,000","533,786,000","781,210,000","856,669,000","341,636,000","273,717,000","279,882,000","465,649,000","201,019,000","181,689,000","177,750,000","307,187,000","143,411,000","135,585,000","241,510,000","246,403,000","87,622,000","44,008,000","171,452,000","492,330,000","151,939,000","292,644,000","516,859,000","492,776,000","76,088,000","138,617,000","304,687,000","132,535,000","55,481,000","39,400,000","236,009,000","371,759,000","24,600,000","47,200,000","309,400,000","461,200,000","155,700,000","58,000,000","327,400,000","404,400,000","143,600,000","138,200,000","397,100,000","474,700,000","236,000,000","245,300,000","191,400,000","209,200,000","26,900,000","19,800,000","21,200,000","41,600,000","26,200,000","20,600,000","30,300,000","58,100,000","47,200,000","17,800,000","46,900,000","106,700,000","25,500,000","22,100,000","20,400,000","67,300,000","31,800,000","27,200,000","60,400,000","83,300,000","43,400,000","27,000,000","44,300,000","54,300,000","18,300,000","17,300,000","122,700,000","54,900,000","16,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,"0","0","0","0","435,903,000","506,165,000","511,618,000","502,757,000","457,091,000","543,242,000","450,804,000","421,153,000","403,702,000","352,313,000","399,714,000","327,506,000","328,826,000","282,623,000","277,225,000","285,003,000","259,887,000","294,702,000","251,276,000","231,213,000","238,043,000","235,853,000","200,986,000","176,295,000","174,872,000","94,691,000","71,737,000","82,096,000","85,349,000","76,261,000","130,000,000","139,229,000","126,071,000","130,636,000","76,643,000","134,627,000","56,747,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"630,015,000","632,160,000","701,809,000","737,337,000","685,388,000","497,401,000","649,380,000","749,853,000","654,106,000","386,261,000","442,883,000","377,057,000","393,276,000","346,298,000","517,406,000","485,384,000","368,314,000","327,166,000","365,603,000","323,837,000","334,359,000","258,831,000","321,841,000","302,740,000","294,142,000","249,131,000","289,734,000","275,695,000","277,075,000","226,299,000","260,940,000","242,549,000","255,775,000","210,094,000","250,886,000","221,164,000","257,985,000","222,788,000","238,251,000","202,140,000","232,884,000","204,304,000","235,975,000","218,083,000","231,119,000","200,147,000","519,700,000","171,203,000","168,043,000","148,126,000","163,555,000","145,387,000","150,406,000","143,500,000","166,553,000","141,826,000","172,772,000","143,289,000","192,483,000","147,502,000","155,233,000","115,245,000","161,570,000","119,482,000","153,865,000","140,747,000","173,516,000","120,932,000","132,210,000","119,611,000","142,640,000","99,567,000","106,793,000","90,902,000","113,471,000","86,527,000","95,011,000","75,515,000","94,724,000","69,905,000","80,434,000","69,209,000","94,130,000","68,743,000","73,638,000","61,845,000","70,719,000","57,411,000","63,763,000","55,461,000","114,300,000","88,000,000","92,800,000","67,300,000","104,400,000","81,500,000","90,700,000","60,700,000","110,100,000","75,700,000","91,500,000","57,300,000","90,700,000","110,000,000","140,900,000","98,400,000","167,200,000","48,600,000","130,600,000","43,400,000","68,600,000","38,500,000","49,600,000","30,600,000","50,800,000","32,000,000","37,500,000","24,100,000","43,000,000","29,800,000","35,000,000","21,800,000","37,500,000","24,800,000","30,200,000","20,900,000","37,800,000","23,200,000","27,900,000","14,600,000","35,100,000","25,800,000","249,800,000","9,200,000","6,200,000"
			AccountsReceivable,"576,300,000","517,623,000","615,119,000","615,634,000","621,177,000","461,139,000","463,732,000","444,229,000","172,463,000","386,261,000","442,883,000","377,057,000","393,276,000","346,298,000","419,790,000","356,180,000","368,314,000","327,166,000","345,866,000","305,401,000","317,224,000","258,831,000","306,426,000","288,777,000","281,631,000","238,072,000","273,856,000","260,952,000","263,466,000","213,824,000","260,940,000","242,549,000","255,775,000","210,094,000","250,886,000","221,164,000","257,985,000","222,788,000","238,251,000","202,140,000","232,884,000","204,304,000","235,975,000","218,083,000","231,119,000","200,147,000","519,700,000","171,203,000","168,043,000","148,126,000","163,555,000","145,387,000","150,406,000","143,500,000","166,553,000","141,826,000","172,772,000","143,289,000","192,483,000","147,502,000","155,233,000","115,245,000","161,570,000","119,482,000","153,865,000","140,747,000","173,516,000","120,932,000","132,210,000","119,611,000","142,640,000","99,567,000","106,793,000","90,902,000","113,471,000","86,527,000","95,011,000","75,515,000","94,724,000","69,905,000","80,434,000","69,209,000","94,130,000","68,743,000","73,638,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"53,715,000","114,537,000","86,690,000","121,703,000","64,211,000","36,262,000","185,648,000","305,624,000","481,643,000",,,,,,"97,616,000","129,204,000",,,"19,737,000","18,436,000","17,135,000",,"15,415,000","13,963,000","12,511,000","11,059,000","15,878,000","14,743,000","13,609,000","12,475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"6,989,788,000","5,961,573,000","6,633,328,000","5,086,631,000","5,114,643,000","4,337,389,000","4,997,506,000","3,744,062,000","4,945,720,000","4,872,592,000","6,274,778,000","5,087,046,000","5,057,202,000","4,579,033,000","5,543,413,000","4,498,523,000","4,369,893,000","4,187,243,000","4,725,850,000","3,864,454,000","3,736,114,000","3,644,959,000","4,384,171,000","3,870,605,000","3,904,989,000","3,695,113,000","4,441,989,000","3,749,636,000","3,531,600,000","3,217,923,000","3,958,648,000","3,388,182,000","3,208,460,000","2,966,490,000","3,663,171,000","3,188,489,000","3,091,473,000","3,014,214,000","3,297,119,000","3,007,731,000","2,909,805,000","2,950,523,000","3,706,022,000","3,368,082,000","3,014,809,000","2,765,464,000","3,273,000,000","2,884,602,000","2,615,079,000","2,532,318,000","3,267,667,000","3,100,175,000","2,817,711,000","2,619,336,000","3,279,305,000","3,104,817,000","2,899,795,000","2,737,378,000","3,364,500,000","3,050,201,000","2,829,303,000","2,581,969,000","3,246,287,000","2,923,434,000","2,555,286,000","2,365,861,000","2,913,469,000","2,814,691,000","2,460,401,000","2,352,032,000","2,777,366,000","2,216,980,000","2,010,178,000","1,941,698,000","2,242,904,000","2,017,932,000","1,882,582,000","1,563,450,000","2,001,514,000","1,771,378,000","1,528,766,000","1,456,976,000","1,990,920,000","1,854,626,000","1,642,749,000","1,452,877,000","1,949,730,000","1,690,933,000","1,560,315,000","1,229,587,000","1,638,800,000","1,578,100,000","1,436,600,000","1,186,000,000","1,501,400,000","1,470,000,000","1,381,300,000","1,190,200,000","1,459,600,000","1,421,500,000","1,384,400,000","1,059,500,000","1,335,100,000","1,437,600,000","1,372,000,000","1,343,900,000","1,111,700,000","1,092,100,000","1,076,100,000","937,700,000","1,081,300,000","963,300,000","859,400,000","772,300,000","958,700,000","911,900,000","784,000,000","672,400,000","769,900,000","726,300,000","675,000,000","552,500,000","637,200,000","596,400,000","565,100,000","513,900,000","619,500,000","589,800,000","534,300,000","466,700,000","562,700,000","567,300,000","420,400,000","299,000,000","306,100,000"
			FinishedGoods,"6,989,788,000","5,961,573,000","6,633,328,000","5,086,631,000","5,114,643,000","4,337,389,000","4,997,506,000","3,744,062,000","4,945,720,000","4,872,592,000","6,274,778,000","5,087,046,000","5,057,202,000","4,579,033,000","5,543,413,000","4,498,523,000","4,369,893,000","4,187,243,000","4,725,850,000","3,864,454,000","3,736,114,000","3,644,959,000","4,384,171,000","3,870,605,000","3,904,989,000","3,695,113,000","4,441,989,000","3,749,636,000","3,531,600,000","3,217,923,000","3,958,648,000","3,388,182,000","3,208,460,000","2,966,490,000","3,663,171,000","3,188,489,000","3,091,473,000","3,014,214,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
