name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989
OperatingCashFlow,"2,855,736,000","-634,476,000","1,110,552,000","1,000,054,000","1,379,606,000","-432,727,000","285,129,000","4,079,985,000","3,357,258,000","-3,160,483,000","2,193,012,000","974,284,000","750,005,000","149,239,000","1,610,702,000","917,092,000","835,780,000","724,885,000","1,096,201,000","826,377,000","654,612,000","448,434,000","1,514,600,000","928,675,000","738,351,000","420,268,000","1,280,779,000","727,984,000","481,041,000","447,539,000","1,196,032,000","736,353,000","602,235,000","473,749,000","956,957,000","822,093,000","530,530,000","280,749,000","965,651,000","772,223,000","603,182,000","704,558,000","1,085,204,000","505,109,000","182,627,000","143,094,000","877,289,000","433,223,000","138,553,000","527,416,000","982,705,000","584,487,000","343,703,000","361,031,000","427,737,000","258,415,000","204,961,000","263,459,000","783,027,000","353,729,000","207,440,000","16,911,000","718,238,000","272,712,000","153,274,000","50,809,000","651,424,000","321,087,000","-1,592,000","187,100,000","385,234,000","344,253,000","157,038,000","193,306,000","441,429,000","287,402,000","112,081,000","-70,412,000","555,045,000","105,478,000","60,655,000","187,382,000","653,398,000","127,256,000","85,052,000","46,740,000","463,308,000","188,783,000","-147,518,000","52,190,000","521,370,000","177,000,000","-133,100,000","12,700,000","418,900,000","281,200,000","-113,000,000","55,700,000","373,100,000","227,100,000","-123,300,000","-36,900,000","405,500,000","158,900,000","142,900,000","6,500,000","409,600,000","14,200,000","-53,800,000","-129,200,000","121,900,000","29,700,000","-46,900,000","-200,000","164,300,000","29,500,000","-76,800,000","-32,600,000","127,000,000","44,200,000","-34,400,000","1,800,000","64,800,000","40,900,000","-3,200,000","3,100,000","75,400,000","65,800,000","-36,000,000","22,400,000","97,900,000","62,200,000"
	CashFlowFromContinuingOperatingActivities,"2,855,736,000","-634,476,000","1,110,552,000","1,000,054,000","1,379,606,000","-432,727,000","285,129,000","4,079,985,000","3,357,258,000","-3,160,483,000","2,193,012,000","974,284,000","750,005,000","149,239,000","1,610,702,000","917,092,000","835,780,000","724,885,000","1,096,201,000","826,377,000","654,612,000","448,434,000","1,514,600,000","928,675,000","738,351,000","420,268,000","1,280,779,000","727,984,000","481,041,000","447,539,000","1,196,032,000","736,353,000","602,235,000","473,749,000","956,957,000","822,093,000","530,530,000","280,749,000","965,651,000","772,223,000","603,182,000","704,558,000","1,085,204,000","505,109,000","182,627,000","143,094,000","877,289,000","433,223,000","138,553,000","527,416,000","982,705,000","584,487,000","343,703,000","361,031,000","459,065,000","227,087,000","204,961,000","263,459,000","783,027,000","353,729,000","207,440,000","16,911,000","718,238,000","272,712,000","153,274,000","50,809,000","651,424,000","321,087,000","-1,592,000","187,100,000","385,234,000","344,253,000","157,038,000","193,306,000","441,429,000","287,402,000","112,081,000","-70,412,000","555,045,000","105,478,000","60,655,000","187,382,000","653,398,000","127,256,000","85,052,000","46,740,000","463,308,000","188,783,000","-147,518,000","52,190,000","521,370,000","177,000,000","-133,100,000","12,700,000","418,900,000","281,200,000","-113,000,000","55,700,000","373,100,000","227,100,000","-123,300,000","-91,400,000","338,300,000","176,700,000","142,900,000","6,500,000","409,500,000","9,100,000","-55,800,000","-129,200,000","121,900,000","29,700,000","-46,900,000","-200,000","164,300,000","29,500,000","-76,800,000","-32,600,000","127,000,000","44,200,000","-34,400,000","1,800,000","114,800,000","40,900,000","-3,200,000","3,100,000","75,400,000","65,800,000","-36,000,000","22,400,000","115,800,000","62,200,000"
		NetIncomeFromContinuingOperations,"3,336,358,000","587,473,000","940,204,000","1,023,000,000","785,681,000","533,930,000","325,523,000","866,656,000","-214,220,000","-887,489,000","984,790,000","828,263,000","758,962,000","700,178,000","841,538,000","762,253,000","739,626,000","716,381,000","877,276,000","641,436,000","552,957,000","536,279,000","677,928,000","549,786,000","562,174,000","508,346,000","666,466,000","587,256,000","549,335,000","474,601,000","648,230,000","594,957,000","517,624,000","454,317,000","582,292,000","622,655,000","479,559,000","452,890,000","604,844,000","461,551,000","421,092,000","419,200,000",,"406,487,000","348,338,000","265,951,000","334,414,000","372,309,000","304,984,000","331,434,000","394,998,000","347,799,000","261,561,000","209,214,000","250,696,000","235,849,000","200,223,000","193,849,000","301,149,000","249,461,000","59,032,000","162,108,000","205,462,000","230,612,000","138,156,000","163,809,000","246,775,000","171,163,000","123,141,000","149,344,000","176,935,000","200,855,000","118,242,000","168,112,000","238,739,000","182,833,000","123,262,000","113,531,000","154,303,000","147,355,000","129,627,000","147,103,000","155,320,000","109,498,000","111,908,000","123,671,000","135,179,000","158,274,000","114,033,000","130,580,000","127,522,000","157,000,000","114,600,000","127,700,000","126,900,000","124,700,000","84,800,000","87,800,000","98,600,000","107,000,000","52,500,000","48,500,000","212,200,000","90,400,000","36,000,000","30,100,000","12,500,000","33,900,000","-24,900,000","8,100,000","11,600,000","32,800,000","18,800,000","19,400,000","30,600,000","47,800,000","25,900,000","22,700,000","29,300,000","40,500,000","19,100,000","15,100,000","-36,000,000","27,500,000","13,800,000","14,800,000","15,300,000","29,800,000","14,400,000","14,600,000","14,100,000","29,600,000"
		OperatingGainsLosses,"253,801,000","3,883,000","8,075,000","44,000","241,799,000","931,000","357,057,000","0","12,546,000","26,424,000","9,801,000","3,038,000","911,000","2,304,000","3,079,000","42,091,000","6,861,000","1,744,000","6,662,000","-967,000","2,117,000","1,059,000","3,559,000","83,355,000","-4,016,000","5,255,000","1,287,000","730,000","-13,000","1,379,000","1,207,000","956,000","17,827,000","737,000","1,247,000","1,001,000","5,692,000","-26,000","7,578,000","3,289,000","174,000","835,000","9,061,000","3,849,000","-336,000","985,000","89,082,000","2,002,000","3,201,000","1,788,000","3,506,000","5,897,000","541,000","326,000","32,727,000","7,283,000","12,971,000","2,250,000","-3,859,000","40,898,000","-1,826,000","5,984,000","45,858,000","2,070,000","2,135,000","1,359,000","-10,175,000","11,518,000","5,077,000","4,180,000","11,369,000","3,737,000","3,986,000","6,726,000","4,006,000","7,061,000","5,058,000","3,126,000","5,181,000","5,954,000","4,539,000","4,792,000","13,910,000","48,457,000","14,515,000","594,000","29,198,000","-15,512,000","2,768,000","4,046,000","-4,320,000","-3,900,000","600,000","-15,500,000","-1,900,000","9,900,000","1,200,000","-400,000","13,000,000","-3,100,000","2,400,000","2,600,000","-131,900,000","1,900,000","3,300,000","1,100,000","-28,100,000","-2,600,000","33,400,000","900,000","2,900,000","100,000","700,000","2,500,000","200,000","800,000","400,000","300,000","6,300,000","700,000","700,000","1,800,000","1,200,000","200,000","200,000","200,000","1,100,000","300,000",,,"-500,000","900,000"
			GainLossOnSaleOfPPE,"11,553,000","3,883,000","8,075,000","44,000","-449,000","931,000","44,824,000","0","12,546,000","26,424,000","9,801,000","3,038,000","911,000","2,304,000","3,079,000","5,969,000","6,861,000","1,744,000","6,662,000","-967,000","2,117,000","1,059,000","3,559,000","409,000","-4,016,000","5,255,000","1,287,000","730,000","-13,000","1,379,000","1,207,000","956,000","997,000","737,000","1,247,000","1,001,000","5,692,000","-26,000","7,578,000","3,289,000","174,000","835,000","9,061,000","3,849,000","-336,000","985,000","89,082,000","2,002,000","3,201,000","1,788,000","3,506,000","5,897,000","541,000","326,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"872,228,000","219,605,000","220,392,000","217,049,000","215,182,000","215,379,000","212,261,000","218,972,000","220,065,000","219,460,000","219,914,000","219,555,000","215,633,000","212,201,000","218,428,000","204,912,000","204,020,000","192,295,000","193,533,000","184,294,000","175,645,000","172,485,000","166,401,000","167,628,000","167,753,000","157,014,000","162,990,000","155,248,000","149,918,000","148,540,000","150,813,000","146,511,000","147,496,000","144,155,000","141,541,000","141,312,000","135,427,000","130,543,000","136,562,000","125,906,000","125,823,000","120,638,000","128,758,000","120,501,000","120,214,000","116,228,000","116,983,000","113,838,000","113,618,000","113,613,000","116,278,000","109,520,000","105,273,000","104,147,000","151,911,000","76,531,000","112,657,000","111,837,000","112,134,000","103,488,000","106,223,000","104,921,000","105,655,000","105,746,000","105,955,000","105,558,000","167,012,000","78,566,000","79,913,000","79,984,000","76,478,000","71,497,000","69,946,000","70,517,000","70,319,000","66,125,000","56,592,000","55,557,000","54,137,000","52,233,000","52,050,000","49,456,000","51,695,000","52,509,000","51,161,000","48,716,000","44,707,000","48,249,000","42,223,000","40,602,000","44,593,000","39,800,000","38,800,000","37,200,000","36,200,000","34,700,000","33,000,000","32,600,000","32,400,000","31,900,000","30,700,000","29,900,000","32,600,000","29,100,000","33,000,000","32,100,000","28,900,000","19,500,000","16,400,000","21,100,000","20,300,000","19,600,000","18,200,000","18,400,000","17,800,000","17,000,000","16,500,000","16,200,000","16,200,000","16,100,000","15,500,000","15,100,000","15,800,000","14,300,000","13,600,000","13,100,000","13,000,000","12,300,000","11,800,000","11,400,000","10,200,000","11,200,000"
			DepreciationAndAmortization,"872,228,000","219,605,000","220,392,000","217,049,000","215,182,000","215,379,000","212,261,000","218,972,000","220,065,000","219,460,000","219,914,000","219,555,000","215,633,000","212,201,000","218,428,000","204,912,000","204,020,000","192,295,000","193,533,000","184,294,000","175,645,000","172,485,000","166,401,000","167,628,000","167,753,000","157,014,000","162,990,000","155,248,000","149,918,000","148,540,000","150,813,000","146,511,000","147,496,000","144,155,000","141,541,000","141,312,000","135,427,000","130,543,000","136,562,000","125,906,000","125,823,000","120,638,000","128,758,000","120,501,000","120,214,000","116,228,000","116,983,000","113,838,000","113,618,000","113,613,000","116,278,000","109,520,000","105,273,000","104,147,000","151,911,000","76,531,000","112,657,000","111,837,000","112,134,000","103,488,000","106,223,000","104,921,000","105,655,000","105,746,000","105,955,000","105,558,000","167,012,000","78,566,000","79,913,000","79,984,000","76,478,000","71,497,000","69,946,000","70,517,000","70,319,000","66,125,000","56,592,000","55,557,000","54,137,000","52,233,000","52,050,000","49,456,000","51,695,000","52,509,000","51,161,000","48,716,000","44,707,000","48,249,000","42,223,000","40,602,000","44,593,000","39,800,000","38,800,000","37,200,000","36,200,000","34,700,000","33,000,000","32,600,000","32,400,000","31,900,000","30,700,000","29,900,000","32,600,000","29,100,000","33,000,000","32,100,000","28,900,000","19,500,000","16,400,000","21,100,000","20,300,000","19,600,000","18,200,000","18,400,000","17,800,000","17,000,000","16,500,000","16,200,000","16,200,000","16,100,000","15,500,000","15,100,000","15,800,000","14,300,000","13,600,000","13,100,000","13,000,000","12,300,000","11,800,000","11,400,000","10,200,000","11,200,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,119,000","99,676,000","97,056,000","91,196,000","90,618,000","90,526,000","91,540,000","89,028,000","86,518,000","86,024,000","81,350,000","76,282,000","77,848,000","78,805,000","73,977,000","69,367,000","68,358,000","67,357,000","67,331,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,538,000","12,161,000","15,078,000","12,292,000","15,605,000","14,395,000","14,115,000","16,718,000","19,437,000","19,534,000","85,662,000","2,284,000","2,065,000","1,179,000","2,501,000","2,130,000","1,588,000","3,160,000","2,988,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
