name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,12/31/2011
TotalAssets,"8,517,975,000","8,727,777,000","8,403,049,000","8,138,763,000","7,975,485,000","7,737,995,000","7,834,448,000","8,322,334,000","8,262,372,000","5,245,686,000","5,339,860,000","5,177,772,000","5,190,404,000","5,264,441,000","4,331,693,000","4,220,821,000","4,083,887,000","4,325,893,000","4,317,328,000","4,258,086,000","4,148,745,000","4,220,926,000","4,269,535,000","4,231,088,000","4,249,992,000","4,137,290,000","4,121,668,000","3,879,384,000","3,869,766,000","4,133,113,000","4,033,140,000","3,913,276,000","3,734,148,000","3,438,558,000","3,401,813,000","3,255,251,000","2,777,703,000","2,756,813,000","2,156,299,000","1,671,067,000"
	CurrentAssets,"6,970,445,000","7,269,245,000","6,970,902,000","6,781,383,000","6,611,189,000","6,406,697,000","6,459,056,000","6,962,033,000","6,905,374,000","4,661,958,000","4,752,631,000","4,574,913,000","4,580,731,000","4,679,133,000","3,891,111,000","3,763,079,000","3,597,638,000","3,888,599,000","3,789,107,000","3,736,718,000","3,656,875,000","3,740,886,000","3,772,409,000","3,731,922,000","3,763,108,000","3,671,908,000","3,639,197,000","3,419,377,000","3,439,537,000","3,119,472,000","3,477,875,000","3,384,141,000","3,241,396,000","2,965,746,000","2,962,867,000","2,823,321,000","2,351,036,000","2,338,964,000","2,060,342,000","1,603,893,000"
		CashCashEquivalentsAndShortTermInvestments,"569,249,000","832,821,000","373,407,000","366,267,000","392,500,000","532,843,000","547,916,000","674,685,000","507,761,000","326,437,000","222,049,000","196,529,000","171,982,000","329,645,000","382,054,000","320,102,000","287,970,000","573,925,000","264,862,000","246,477,000","300,839,000","300,179,000","160,519,000","131,879,000","141,124,000","126,188,000","158,279,000","145,546,000","399,537,000","234,217,000","281,528,000","300,821,000","433,000,000","389,181,000","355,415,000","421,147,000","237,963,000","300,567,000","412,779,000","279,322,000"
			CashAndCashEquivalents,"569,249,000","832,821,000","373,407,000","366,267,000","392,500,000","532,843,000","547,916,000","674,685,000","507,761,000","326,437,000","222,049,000","196,529,000","171,982,000","329,645,000","382,054,000","320,102,000","287,970,000","573,925,000","264,862,000","246,477,000","300,839,000","300,179,000","160,519,000","131,879,000","141,124,000","126,188,000","158,279,000","145,546,000","399,537,000","234,217,000","281,528,000","300,821,000","433,000,000","389,181,000","355,415,000","421,147,000","237,963,000","300,567,000","412,779,000","279,322,000"
		Receivables,"155,660,000","150,864,000","127,947,000","100,969,000","105,915,000","96,241,000","90,722,000","97,588,000","115,119,000","70,447,000","80,886,000","68,500,000","92,585,000","86,587,000","98,048,000","94,320,000","91,830,000","94,488,000","98,948,000","101,453,000","100,774,000","115,246,000","129,165,000","126,566,000","126,406,000","120,729,000","128,131,000","115,847,000","99,354,000","85,274,000","154,937,000","141,279,000","113,280,000","94,824,000","172,789,000","128,911,000","203,789,000","205,274,000","261,951,000","231,875,000"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,689,000",
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,125,000","48,028,000","40,800,000","33,395,000","41,507,000","39,185,000","43,997,000","48,685,000","62,946,000","55,895,000"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,383,000","5,534,000","5,267,000","5,216,000","29,104,000","28,682,000","109,231,000","107,638,000","113,316,000","122,871,000"
			OtherReceivables,"155,660,000","150,864,000","127,947,000","100,969,000","105,915,000","96,241,000","90,722,000","97,588,000","115,119,000","70,447,000","80,886,000","68,500,000","92,585,000","86,587,000","98,048,000","94,320,000","91,830,000","94,488,000","98,948,000","101,453,000","100,774,000","115,246,000","129,165,000","126,566,000","126,406,000","120,729,000","128,131,000","115,847,000","99,354,000","85,274,000","107,429,000","87,717,000","67,213,000","56,213,000","102,178,000","61,044,000","50,561,000","48,951,000",,"53,109,000"
		Inventory,"5,743,127,000","5,499,521,000","5,904,196,000","5,756,470,000","5,625,185,000","5,332,426,000","5,422,882,000","5,771,661,000","5,893,220,000","3,986,544,000","4,253,674,000","4,103,587,000","4,116,176,000","3,980,565,000","3,269,111,000","3,195,703,000","3,066,530,000","2,959,236,000","3,243,771,000","3,200,027,000","3,063,698,000","3,017,219,000","3,287,297,000","3,242,920,000","3,296,798,000","3,126,787,000","3,129,193,000","2,946,894,000","2,754,730,000","2,518,321,000","2,843,282,000","2,729,425,000","2,482,991,000","2,262,339,000","2,268,630,000","2,102,604,000","1,737,849,000","1,633,050,000","1,275,763,000","1,003,482,000"
			FinishedGoods,"5,743,127,000","5,499,521,000","5,904,196,000","5,756,470,000","5,625,185,000","5,332,426,000","5,422,882,000","5,771,661,000","5,893,220,000","3,986,544,000","4,253,674,000","4,103,587,000","4,116,176,000","3,980,565,000","3,269,111,000","3,195,703,000","3,066,530,000","2,959,236,000","3,243,771,000","3,200,027,000","3,063,698,000","3,017,219,000","3,287,297,000","3,242,920,000","3,296,798,000","3,126,787,000","3,129,193,000","2,946,894,000","2,754,730,000","2,518,321,000","2,843,282,000","2,729,425,000","2,482,991,000","2,262,339,000","2,268,630,000","2,102,604,000","1,737,849,000","1,633,050,000",,"1,003,482,000"
		PrepaidAssets,"271,180,000","40,114,000","277,768,000","278,806,000","243,363,000","50,368,000","223,891,000","205,954,000","177,372,000","48,674,000","85,725,000","79,794,000","94,459,000","69,917,000","56,828,000","52,029,000","56,971,000","53,439,000","72,546,000","76,244,000","81,165,000","59,372,000","75,111,000","83,294,000","88,326,000","81,321,000","118,220,000","99,909,000","101,854,000","75,700,000","112,338,000","117,569,000","120,477,000","73,683,000","101,905,000","110,779,000","118,174,000","65,022,000","62,675,000","37,832,000"
		RestrictedCash,"1,578,000","3,519,000","1,578,000","1,854,000","976,000","1,266,000","1,144,000","2,218,000","3,671,000","2,135,000","1,747,000","1,698,000","1,824,000","2,214,000","1,319,000","1,319,000","1,318,000","1,578,000","1,315,000","1,611,000","1,320,000","1,633,000","1,320,000","1,300,000","1,280,000","1,280,000","1,280,000","655,000","655,000","1,310,000","12,871,000","18,037,000","17,890,000","24,814,000","18,893,000","15,042,000","13,206,000","13,683,000","2,955,000","5,000,000"
		AssetsHeldForSaleCurrent,"229,651,000","467,534,000","286,006,000","277,017,000","243,250,000","201,177,000","172,501,000","209,927,000","208,231,000","190,880,000","108,550,000","124,805,000","103,705,000","181,897,000","83,751,000","99,606,000","93,019,000","187,038,000","107,665,000","110,906,000","109,079,000","233,184,000","118,997,000","145,963,000","109,174,000","201,733,000","104,094,000","110,526,000","83,407,000","191,140,000","72,919,000","77,010,000","73,758,000","95,718,000","45,235,000","44,838,000","40,055,000","84,963,000",,"33,961,000"
		HedgingAssetsCurrent,,,,,,,,"7,212,000","8,711,000","2,099,000","2,903,000","3,055,000","3,470,000","1,838,000","2,329,000","2,888,000","2,453,000","1,584,000","2,037,000","1,797,000","1,961,000","2,291,000",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,"274,872,000",,,,"192,376,000",,,,"36,841,000",,,,"28,308,000",,,,"18,895,000",,,,"14,053,000",,,,"13,870,000",,,,"13,510,000",,,,"25,187,000",,,,"36,405,000","44,219,000","12,421,000"
	TotalNonCurrentAssets,"1,547,530,000","1,458,532,000","1,432,147,000","1,357,380,000","1,364,296,000","1,331,298,000","1,375,392,000","1,360,301,000","1,356,998,000","583,728,000","587,229,000","602,859,000","609,673,000","585,308,000","440,582,000","457,742,000","486,249,000","437,294,000","528,221,000","521,368,000","491,870,000","480,040,000","497,126,000","499,166,000","486,884,000","465,382,000","482,471,000","460,007,000","430,229,000","1,013,641,000","555,265,000","529,135,000","492,752,000","472,812,000","438,946,000","431,930,000","426,667,000","417,849,000","95,957,000","67,174,000"
		NetPPE,"554,361,000","470,579,000","381,454,000","322,374,000","319,022,000","296,774,000","305,025,000","325,120,000","339,617,000","162,339,000","163,195,000","172,243,000","169,716,000","144,665,000","86,113,000","79,430,000","101,005,000","56,880,000","57,108,000","58,910,000","42,338,000","43,819,000","41,411,000","44,949,000","38,676,000","41,500,000","41,177,000","41,945,000","36,257,000","39,881,000","56,687,000","54,235,000","73,630,000","51,254,000","42,460,000","38,656,000","35,757,000","35,147,000","5,995,000","19,801,000"
			GrossPPE,"554,361,000","470,579,000","381,454,000","322,374,000","319,022,000","296,774,000","305,025,000","325,120,000","339,617,000","162,339,000","163,195,000","172,243,000","169,716,000","144,665,000","86,113,000","79,430,000","101,005,000","56,880,000","57,108,000","58,910,000","42,338,000","43,819,000","41,411,000","44,949,000","38,676,000","41,500,000","41,177,000","41,945,000","36,257,000","39,881,000","56,687,000","54,235,000","73,630,000","58,327,000","42,460,000","38,656,000","35,757,000","35,147,000",,"19,801,000"
				OtherProperties,"293,500,000","241,044,000","217,724,000","196,359,000","194,553,000","171,149,000","166,865,000","172,160,000","172,588,000","122,529,000","121,405,000","118,029,000","114,653,000","86,736,000","38,258,000","38,916,000","39,044,000","7,112,000","6,229,000","5,933,000","6,055,000","6,586,000","6,320,000","6,334,000","7,483,000","7,387,000","5,821,000","5,690,000","4,893,000","5,337,000","7,871,000","7,721,000","7,355,000","14,588,000","6,724,000","5,839,000","6,162,000","6,423,000",,"6,236,000"
				ConstructionInProgress,"260,861,000","229,535,000","163,730,000","126,015,000","124,469,000","125,625,000","138,160,000","152,960,000","167,029,000","39,810,000","41,790,000","54,214,000","55,063,000","57,929,000","47,855,000","40,514,000","61,961,000","49,768,000","50,879,000","52,977,000","36,283,000","37,233,000","35,091,000","38,615,000","31,193,000","34,113,000","35,356,000","36,255,000","31,364,000","34,544,000","48,816,000","46,514,000","66,275,000","43,739,000","35,736,000","32,817,000","29,595,000","28,724,000",,"13,565,000"
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,073,000",,,,,,
		GoodwillAndOtherIntangibleAssets,"663,197,000","663,197,000","663,197,000","663,197,000","663,197,000","663,197,000","664,452,000","638,530,000","612,610,000","150,065,000","150,171,000","152,967,000","153,077,000","153,188,000","67,535,000","67,799,000","68,064,000","68,328,000","68,593,000","68,858,000","69,122,000","69,387,000","69,652,000","69,916,000","70,181,000","61,946,000","62,594,000","38,197,000","29,767,000","28,834,000","34,164,000","35,202,000","36,060,000","37,088,000","36,372,000","36,872,000","38,718,000","33,480,000","9,166,000","9,733,000"
			Goodwill,"663,197,000","663,197,000","663,197,000","663,197,000","663,197,000","663,197,000","663,502,000","637,440,000","612,079,000","149,428,000","149,428,000","152,116,000","152,116,000","152,116,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","66,198,000","57,698,000","57,698,000","32,500,000","23,375,000","23,375,000","23,375,000","23,375,000","23,375,000","23,375,000","21,594,000","14,594,000","14,594,000","15,526,000",,"0"
			OtherIntangibleAssets,,,,,,,"950,000","1,090,000","531,000","637,000","743,000","851,000","961,000","1,072,000","1,337,000","1,601,000","1,866,000","2,130,000","2,395,000","2,660,000","2,924,000","3,189,000","3,454,000","3,718,000","3,983,000","4,248,000","4,896,000","5,697,000","6,392,000","5,459,000","10,789,000","11,827,000","12,685,000","13,713,000","14,778,000","22,278,000","24,124,000","17,954,000","9,166,000","9,733,000"
		InvestmentsAndAdvances,"173,231,000","171,406,000","145,780,000","130,044,000","136,105,000","127,955,000","125,132,000","112,333,000","127,367,000","128,759,000","128,363,000","129,518,000","138,334,000","140,541,000","179,249,000","189,733,000","196,695,000","192,364,000","184,817,000","178,878,000","171,815,000","157,909,000","151,606,000","149,844,000","144,278,000","128,448,000","126,359,000","128,473,000","112,813,000","110,291,000","216,777,000","187,505,000","133,451,000","139,550,000","89,256,000","82,230,000","77,469,000","74,465,000","77,987,000","37,640,000"
			LongTermEquityInvestment,"173,231,000","171,406,000","145,780,000","130,044,000","136,105,000","127,955,000","125,132,000","112,333,000","127,367,000","128,759,000","128,363,000","129,518,000","138,334,000","140,541,000","179,249,000","189,733,000","196,695,000","192,364,000","184,817,000","178,878,000","171,815,000","157,909,000","151,606,000","149,844,000","144,278,000","128,448,000","126,359,000","128,473,000","112,813,000","110,291,000","216,777,000","187,505,000","133,451,000","139,550,000","89,256,000","82,230,000","77,469,000","74,465,000","77,987,000","37,640,000"
