name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
OperatingCashFlow,"578,415,000","57,461,000","480,191,000","-5,951,000","46,714,000","-144,308,000","325,253,000","474,825,000","251,103,000","72,101,000","239,839,000","7,703,000","173,968,000","-28,294,000","79,598,000","45,507,000","9,784,000","705,000","253,458,000","32,805,000","-47,941,000","147,911,000","230,179,000","76,757,000","82,249,000","-16,583,000","9,025,000","21,195,000","-122,730,000","-170,178,000","237,319,000","-20,105,000","-104,458,000","-246,446,000","186,480,000","-43,892,000","-241,190,000","-53,331,000","-56,081,000","-74,404,000","-8,195,000","-75,789,000"
	CashFlowFromContinuingOperatingActivities,"578,415,000","57,461,000","480,191,000","-5,951,000","46,714,000","-144,308,000","325,253,000","474,825,000","251,103,000","72,101,000","239,839,000","7,703,000","173,968,000","-28,294,000","79,598,000","45,507,000","9,784,000","705,000","253,458,000","32,805,000","-47,941,000","147,911,000","230,179,000","76,757,000","82,249,000","-16,583,000","10,422,000","21,195,000","-122,730,000","-113,516,000","237,319,000","-20,105,000","-104,458,000","-246,446,000","186,479,000","-43,891,000","-241,190,000","-53,331,000","-56,081,000","-74,404,000","-8,195,000","-75,789,000"
		NetIncomeFromContinuingOperations,"758,385,000","178,461,000","282,702,000","172,467,000","124,755,000","102,443,000","96,662,000","115,200,000","67,221,000","-29,556,000","54,709,000","67,036,000","81,888,000","51,281,000","9,215,000","94,441,000","59,292,000","47,532,000","30,426,000","54,693,000","55,930,000","35,601,000","76,111,000","58,684,000","45,664,000","26,104,000","66,385,000","45,794,000","20,022,000","96,844,000","104,531,000","66,175,000","55,499,000","41,296,000","96,185,000","52,632,000","-78,286,000","24,337,000","349,019,000","42,436,000","28,834,000","10,559,000"
		OperatingGainsLosses,"-7,300,000","-1,831,000","-1,861,000","-1,482,000","-2,126,000","-5,661,000","-2,298,000","7,290,000","-3,495,000","-2,426,000","-1,526,000","1,507,000","-1,365,000","-2,319,000","16,495,000","-2,514,000","-4,017,000","-3,246,000","-1,903,000","-2,787,000","-3,071,000","-1,085,000","-2,719,000","-1,647,000","-2,305,000","-782,000","-351,000","119,000","32,093,000","-30,286,000","-4,238,000","-11,756,000","-8,112,000","-2,629,000","-16,515,000","-9,424,000","1,675,000","-3,158,000","-20,876,000","5,700,000","3,599,000","-3,534,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-29,983,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-7,300,000","-1,831,000","-1,861,000","-1,482,000","-2,126,000","-5,661,000","-2,298,000","-2,957,000","-3,495,000","-2,426,000","-1,526,000","-2,103,000","-3,561,000","-2,319,000","-3,555,000","-2,514,000","-4,017,000","-3,246,000","-1,903,000","-2,787,000","-3,071,000","-1,085,000","-2,719,000","-1,647,000","-2,305,000","-782,000","-351,000","119,000","-1,224,000","-303,000","-4,238,000","-11,756,000","-8,112,000","-2,629,000","-16,515,000","-9,424,000","-8,466,000","-3,158,000","-20,876,000","5,700,000","-4,254,000","-3,534,000"
		DepreciationAmortizationDepletion,"39,185,000","8,841,000","10,254,000","9,928,000","10,162,000","9,636,000","10,397,000","9,322,000","9,016,000","8,601,000","9,337,000","7,733,000","6,589,000","7,765,000","8,785,000","6,300,000","6,291,000","5,015,000","959,000","897,000","1,026,000","1,071,000","972,000","1,026,000","896,000","1,078,000","1,180,000","1,075,000","991,000","861,000","132,000","1,333,000","3,012,000","-387,000","917,000","-178,000","1,422,000","1,301,000","-225,000","2,130,000","1,029,000","1,436,000"
			DepreciationAndAmortization,"39,185,000","8,841,000","10,254,000","9,928,000","10,162,000","9,636,000","10,397,000","9,322,000","9,016,000","8,601,000","9,337,000","7,733,000","6,589,000","7,765,000","8,785,000","6,300,000","6,291,000","5,015,000","959,000","897,000","1,026,000","1,071,000","972,000","1,026,000","896,000","1,078,000","1,180,000","1,075,000","991,000","861,000","132,000","1,333,000","3,012,000","-387,000","917,000","-178,000","1,422,000","1,301,000","-225,000","2,130,000","1,029,000","1,436,000"
		DeferredTax,,,"86,838,000",,,,"38,886,000",,,,"2,131,000","524,000","0","0","31,690,000","12,536,000","140,000","106,000","97,528,000","-2,741,000","-6,291,000","0","27,823,000","0","-708,000","-261,000","18,853,000","-949,000","0","6,798,000","-13,932,000","4,455,000","-2,500,000","-5,726,000","26,869,000","0","3,793,000","0","-271,972,000","-1,883,000","-2,574,000","-2,451,000"
			DeferredIncomeTax,,,"86,838,000",,,,"38,886,000",,,,"2,131,000","524,000","0","0","31,690,000","12,536,000","140,000","106,000","97,528,000","-2,741,000","-6,291,000","0","27,823,000","0","-708,000","-261,000","18,853,000","-949,000","0","6,798,000","-13,932,000","4,455,000","-2,500,000","-5,726,000","26,869,000","0","3,793,000","0","-271,972,000","-1,883,000","-2,574,000","-2,451,000"
