name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989
OperatingCashFlow,"1,070,888,000","75,726,000","-280,698,000","854,699,000","421,161,000","-28,056,000","55,323,000","866,522,000","332,731,000","175,280,000","-366,416,000","415,200,000","108,139,000","99,547,000","-185,225,000","674,641,000","252,707,000","4,854,000","-329,801,000","534,857,000","164,461,000","218,437,000","41,964,000","474,024,000","-309,373,000","7,345,000","-23,225,000","171,433,000","-73,309,000","-4,894,000","-33,048,000","274,584,000","104,801,000","184,203,000","-250,388,000","-112,428,000","-11,127,000","-139,586,000","-305,822,000","65,134,000","38,763,000","-110,928,000","-161,931,000","6,382,000","-51,177,000","174,833,000","-77,188,000","-83,758,000","161,367,000","-151,435,000","-72,458,000","226,220,000","25,591,000","90,703,000","-59,323,000","165,934,000","276,851,000","323,826,000","60,185,000","228,969,000","189,731,000","28,051,000","-116,282,000","274,076,000","-3,769,000","-237,248,000","-137,513,000","284,627,000","-20,731,000","115,346,000","-44,546,000","416,584,000","-67,749,000","-109,725,000","-127,498,000","96,557,000","-100,926,000","29,133,000","-70,835,000","38,110,000","-53,972,000","-20,172,000","-58,071,000","72,983,000","17,957,000","-98,811,000","-140,508,000","59,536,000","10,831,000","22,970,000","-110,200,000","61,200,000","-27,400,000","-53,500,000","-101,200,000","7,400,000","22,700,000","-25,100,000","-51,700,000","37,600,000","-16,600,000","2,400,000","-30,300,000","-3,700,000","-11,400,000","-7,300,000","-31,400,000","18,300,000","13,900,000","-16,700,000","-62,000,000","-1,000,000","-700,000","-4,000,000","-23,800,000","6,700,000","-31,600,000","-8,500,000","-21,700,000","8,200,000","-15,900,000","-17,700,000","100,000","12,900,000","7,600,000","5,600,000","1,500,000","14,100,000","8,000,000","5,200,000","4,300,000","3,800,000","600,000"
	CashFlowFromContinuingOperatingActivities,"1,070,888,000","75,726,000","-280,698,000","854,699,000","421,161,000","-28,056,000","55,323,000","866,522,000","332,731,000","175,280,000","-366,416,000","415,200,000","108,139,000","99,547,000","-185,225,000","674,641,000","252,707,000","4,854,000","-329,801,000","534,857,000","164,461,000","218,437,000","41,964,000","474,024,000","-309,373,000","7,345,000","-23,225,000","171,433,000","-73,309,000","-4,894,000","-33,048,000","274,584,000","104,801,000","184,203,000","-250,388,000","-112,428,000","-11,127,000","-139,586,000","-305,822,000","65,134,000","38,763,000","-110,928,000","-161,931,000","6,382,000","-51,177,000","174,833,000","-77,188,000","-83,758,000","161,367,000","-151,435,000","-72,458,000","226,220,000","25,591,000","90,703,000","-59,323,000","165,934,000","276,851,000","323,826,000","60,185,000","228,969,000","189,731,000","28,051,000","-116,282,000","274,076,000","-3,769,000","-237,248,000","-137,513,000","284,627,000","-20,731,000","115,346,000","-44,546,000","416,584,000","-67,749,000","-109,725,000","-127,498,000","96,557,000","-100,926,000","29,133,000","-70,835,000","38,110,000","-53,972,000","-20,172,000","-58,071,000","72,983,000","17,957,000","-98,811,000","-140,508,000","59,536,000","10,831,000","22,970,000","-110,200,000","61,200,000","-27,400,000","-53,500,000","-101,200,000","7,400,000","22,700,000","-25,100,000","-51,700,000","37,600,000","-16,600,000","2,400,000","-30,300,000","-3,700,000","-11,400,000","-7,300,000","-31,400,000","18,300,000","13,900,000","-16,700,000","-62,000,000","-1,000,000","-700,000","-4,000,000","-23,800,000","6,700,000","-31,600,000","-8,500,000","-21,700,000","8,200,000","-15,900,000","-17,700,000","100,000","12,900,000","7,600,000","5,600,000","1,500,000","14,100,000","8,000,000","5,200,000","4,300,000","3,800,000","600,000"
		NetIncomeFromContinuingOperations,"981,759,000","220,593,000","151,904,000","374,330,000","234,932,000","127,866,000","96,499,000","199,317,000","114,761,000","75,670,000","56,876,000","202,315,000","146,318,000","129,324,000","112,050,000","310,976,000","193,258,000","111,810,000","132,107,000","191,878,000","148,563,000","124,638,000","70,416,000","114,378,000","105,483,000","89,054,000","73,180,000","147,163,000","66,749,000","67,930,000","81,325,000","131,524,000","97,706,000","65,222,000","45,580,000","94,905,000","46,595,000","24,674,000","4,432,000","411,417,000",,,"-2,786,000","15,043,000","42,108,000","-20,773,000","3,417,000","50,479,000","27,302,000","-40,401,000","-40,754,000","-111,434,000","-472,331,000","-83,165,000","-88,895,000","-78,821,000","-29,295,000","-93,737,000","-95,957,000","-81,841,000","26,486,000","36,690,000","54,316,000","173,794,000","174,632,000","174,937,000","163,850,000","310,252,000","215,532,000","170,133,000","110,193,000","180,574,000","106,015,000","72,438,000","50,084,000","93,382,000","68,159,000","52,865,000","45,414,000","69,383,000","53,500,000","52,510,000","44,494,000","68,526,000","59,444,000","45,778,000","39,925,000","58,366,000","37,234,000","27,943,000","22,400,000","33,400,000","30,100,000","22,100,000","17,400,000","27,800,000","25,800,000","15,600,000","16,600,000","24,500,000","16,600,000","12,600,000","14,100,000","22,000,000","15,500,000","7,900,000","8,300,000","17,000,000","15,200,000","9,400,000","8,300,000","15,400,000","7,900,000","4,400,000","8,500,000","12,500,000","6,300,000","3,700,000","4,900,000","8,100,000","5,000,000","2,000,000","2,300,000","2,600,000","600,000","300,000","200,000","300,000","3,000,000","2,300,000","3,300,000","4,100,000","3,900,000"
		OperatingGainsLosses,"-87,328,000","-2,933,000","-22,037,000","-45,722,000","-16,636,000","24,301,000","-39,473,000","4,335,000","2,441,000","-8,891,000","-12,426,000","-30,515,000","-7,336,000","-5,745,000","-18,496,000","-31,609,000","-12,712,000","-3,142,000","-39,328,000","-4,442,000","-20,194,000","-49,292,000","-47,075,000","-24,791,000","-5,176,000","-8,980,000","-10,191,000","-10,116,000","-7,939,000","-9,087,000","-7,246,000","-4,758,000","-7,040,000","-15,627,000","-29,555,000","-11,636,000","-6,019,000","-7,012,000","-6,094,000","-2,043,000","-5,916,000","-10,556,000","-9,992,000","-9,929,000","-8,013,000","-4,734,000","-6,205,000","-15,051,000","4,732,000","-1,280,000","-366,000","12,859,000","-1,561,000","-325,000","-246,000","92,543,000","17,126,000","89,573,000","29,057,000","62,772,000","-12,601,000","-1,212,000","-9,704,000","-7,062,000","-35,492,000","6,449,000","-1,722,000","-3,447,000","-2,647,000","-3,162,000","408,000","-3,775,000","-3,854,000","440,000","232,000","1,771,000","1,420,000","2,158,000","1,000,000","5,954,000","-246,000",,,"819,000","-2,314,000","-2,875,000","-2,386,000","-181,000","0",,,"100,000","-100,000","0","900,000",,,,,,,,,"0","900,000",,,"2,800,000","-400,000","0","1,000,000","-600,000","1,800,000","-100,000","2,600,000","2,100,000",,,,,,,,"2,900,000","0","-800,000","-900,000","3,900,000","0","-1,000,000","-300,000",,
			GainLossOnSaleOfPPE,,,,,,,,"0","0",,,"-22,946,000","0","-1,145,000","-12,186,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,"-21,000","-125,000","-192,000","-285,000","-460,000","-136,000","-181,000","-170,000","-282,000","-243,000","-578,000","-448,000","-650,000","-269,000","-3,388,000","-630,000","-6,797,000","-178,000","138,000","-1,553,000","-6,077,000","-1,987,000","-2,860,000","-2,345,000","-1,809,000","-6,090,000","-1,300,000","-6,640,000","-6,088,000","-5,251,000","-2,019,000","-3,011,000","0","-1,000","0","-39,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-87,328,000","-2,933,000","-22,037,000","-45,722,000","-16,636,000","-10,483,000","-1,194,000","4,356,000","2,566,000","4,271,000","-12,141,000","-7,109,000","-7,200,000","-4,419,000","-6,140,000","-31,327,000","-12,469,000","-2,564,000","-38,880,000","-3,792,000","-19,925,000","-45,904,000","-46,445,000","-17,994,000","-4,998,000","-9,118,000","-8,638,000","-4,039,000","-5,952,000","-6,227,000","-4,901,000","-2,949,000","-950,000","-14,327,000","-22,915,000","-5,548,000","-768,000","-4,993,000","-3,083,000","-2,043,000",,,"-9,953,000","-5,229,000",,,,"-15,567,000","4,040,000","-1,280,000","-366,000","-834,000","-1,561,000","-325,000","-246,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"76,605,000","18,857,000","14,679,000","22,312,000","20,757,000","16,305,000","16,876,000","22,173,000","16,415,000","15,618,000","14,667,000","20,726,000","18,109,000","17,645,000","15,669,000","6,535,000","6,204,000","6,349,000","6,171,000","6,938,000","6,300,000","6,093,000","6,030,000","6,283,000","5,809,000","5,496,000","5,533,000","5,890,000","5,895,000","5,963,000","5,809,000","6,309,000","5,595,000","5,806,000","5,289,000","6,073,000","6,369,000","6,243,000","6,525,000","6,063,000","5,825,000","5,469,000","5,229,000","6,019,000","6,786,000","5,950,000","4,387,000","6,089,000","4,930,000","4,539,000","4,486,000","5,572,000","6,269,000","6,230,000","5,854,000","7,271,000","6,980,000","7,121,000","6,961,000","7,319,000","7,264,000","8,366,000","8,291,000","8,904,000","8,231,000","7,822,000","7,357,000","7,141,000","6,327,000","5,678,000","5,201,000","10,536,000","3,895,000","3,773,000","3,563,000","3,234,000","2,913,000","2,883,000","3,045,000","2,391,000","2,741,000","2,460,000","2,903,000","2,123,000","2,360,000","2,608,000","2,265,000","2,413,000","2,149,000","1,866,000","2,100,000","1,700,000","2,000,000","1,700,000","1,200,000","1,300,000","1,300,000","1,400,000","1,600,000","1,100,000","1,100,000","1,000,000","900,000","900,000","800,000","800,000","800,000","1,100,000","400,000","700,000","700,000","700,000","700,000","600,000","700,000","700,000","700,000","600,000","700,000","700,000","700,000","600,000","600,000","700,000","600,000","600,000","600,000","700,000","700,000","600,000","600,000","900,000","600,000"
			DepreciationAndAmortization,"76,605,000","18,857,000","14,679,000","22,312,000","20,757,000","16,305,000","16,876,000","22,173,000","16,415,000","15,618,000","14,667,000","20,726,000","18,109,000","17,645,000","15,669,000","6,535,000","6,204,000","6,349,000","6,171,000","6,938,000","6,300,000","6,093,000","6,030,000","6,283,000","5,809,000","5,496,000","5,533,000","5,890,000","5,895,000","5,963,000","5,809,000","6,309,000","5,595,000","5,806,000","5,289,000","6,073,000","6,369,000","6,243,000","6,525,000","6,063,000","5,825,000","5,469,000","5,229,000","6,019,000","6,786,000","5,950,000","4,387,000","6,089,000","4,930,000","4,539,000","4,486,000","5,572,000","6,269,000","6,230,000","5,854,000","7,271,000","6,980,000","7,121,000","6,961,000","7,319,000","7,264,000","8,366,000","8,291,000","8,904,000","8,231,000","7,822,000","7,357,000","7,141,000","6,327,000","5,678,000","5,201,000","10,536,000","3,895,000","3,773,000","3,563,000","3,234,000","2,913,000","2,883,000","3,045,000","2,391,000","2,741,000","2,460,000","2,903,000","2,123,000","2,360,000","2,608,000","2,265,000","2,413,000","2,149,000","1,866,000","2,100,000","1,700,000","2,000,000","1,700,000","1,200,000","1,300,000","1,300,000","1,400,000","1,600,000","1,100,000","1,100,000","1,000,000","900,000","900,000","800,000","800,000","800,000","1,100,000","400,000","700,000","700,000","700,000","700,000","600,000","700,000","700,000","700,000","600,000","700,000","700,000","700,000","600,000","600,000","700,000","600,000","600,000","600,000","700,000","700,000","600,000","600,000","900,000","600,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,116,000","7,061,000","7,923,000","7,849,000","8,402,000","7,728,000","7,319,000","6,908,000","5,990,000","5,377,000","4,727,000","4,251,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
