name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,12/31/1989
TotalAssets,"406,768,000","398,266,000","411,236,000","416,809,000","407,178,000","1,132,839,000","1,161,540,000","1,188,594,000","1,269,764,000","1,271,922,000","1,415,700,000","1,439,186,000","1,459,525,000","1,385,527,000","1,392,239,000","1,379,619,000","1,408,262,000","1,308,614,000","1,301,410,000","1,317,885,000","1,299,493,000","1,315,540,000","1,372,050,000","1,386,423,000","1,437,304,000","1,656,376,000","1,941,313,000","2,003,645,000","2,028,875,000","2,067,836,000","2,194,239,000","1,228,266,000","1,218,286,000","1,206,533,000","1,201,552,000","1,171,552,000","1,200,037,000","1,261,818,000","1,278,394,000","1,198,770,000","1,219,246,000","1,203,310,000","1,244,482,000","1,250,952,000","1,231,334,000","1,299,628,000","1,333,629,000","1,337,022,000","1,342,100,000","1,347,599,000","1,415,107,000","1,418,998,000","1,435,378,000","1,412,624,000","1,410,532,000","1,454,726,000","1,312,864,000","1,295,536,000","1,182,404,000","1,150,946,000","1,118,531,000","1,086,190,000","1,021,384,000","947,743,000","868,341,000","726,850,000","673,930,000","531,648,000","509,486,000","508,988,000","485,350,000","333,878,000","316,426,000","309,599,000","321,621,000","328,986,000","312,927,000","308,817,000","297,053,000","302,961,000","289,131,000","309,809,000","304,949,000","291,457,000","285,893,000","278,940,000","298,030,000","293,046,000","295,735,000","290,636,000","297,600,000","295,900,000","308,000,000","311,000,000","313,800,000","306,100,000","280,300,000","263,800,000","245,200,000","209,700,000","190,000,000","178,500,000","156,300,000","146,600,000","134,900,000","129,900,000","113,100,000","108,500,000","104,700,000","102,500,000","97,100,000","89,200,000","88,300,000","89,200,000","88,200,000","88,400,000","86,900,000","88,200,000","91,100,000","90,500,000","92,700,000","99,400,000","93,000,000","87,600,000","85,900,000","65,700,000","60,400,000","55,700,000","36,900,000"
	CurrentAssets,"217,247,000","210,390,000","209,388,000","215,798,000","205,392,000","931,546,000","317,642,000","308,987,000","363,980,000","351,354,000","371,132,000","392,846,000","410,293,000","400,691,000","414,462,000","410,246,000","446,803,000","338,354,000","315,431,000","316,173,000","284,469,000","275,791,000","297,439,000","287,670,000","294,313,000","355,404,000","411,025,000","451,473,000","459,189,000","500,548,000","499,570,000","356,336,000","350,450,000","373,939,000","372,046,000","355,122,000","381,399,000","435,109,000","404,169,000","390,685,000","464,568,000","528,501,000","565,231,000","644,261,000","403,099,000","414,938,000","416,083,000","431,499,000","422,508,000","390,818,000","427,585,000","438,129,000","435,703,000","435,313,000","421,925,000","513,103,000","394,022,000","423,491,000","405,974,000","408,919,000","408,190,000","408,097,000","382,543,000","364,404,000","308,957,000","249,479,000","190,986,000","182,704,000","163,954,000","157,896,000","142,046,000","153,159,000","144,719,000","136,801,000","145,033,000","134,036,000","114,032,000","112,743,000","109,873,000","122,811,000","116,253,000","136,347,000","136,145,000","130,817,000","125,285,000","118,084,000","130,724,000","124,796,000","127,298,000","121,608,000","125,700,000","122,900,000","133,400,000","130,900,000","133,300,000","132,800,000","116,800,000","109,900,000","104,200,000","91,100,000","82,300,000","76,100,000","72,100,000","64,000,000","61,400,000","61,400,000","55,800,000","55,400,000","54,700,000","55,700,000","49,800,000","46,900,000","44,100,000","46,900,000","50,300,000","47,600,000","47,400,000","50,300,000","48,600,000","50,400,000","55,200,000","66,500,000","61,400,000","59,300,000","61,000,000","43,400,000","38,900,000","36,400,000","19,300,000"
		CashCashEquivalentsAndShortTermInvestments,"32,851,000","31,551,000","41,863,000","50,314,000","54,163,000","67,252,000","75,165,000","56,722,000","29,473,000","17,704,000","35,918,000","25,979,000","36,868,000","40,038,000","53,899,000","70,157,000","104,113,000","26,128,000","20,850,000","23,098,000","12,828,000","29,840,000","22,210,000","23,917,000","25,833,000","23,057,000","25,478,000","41,941,000","34,516,000","48,384,000","36,215,000","37,569,000","30,302,000","38,754,000","28,676,000","30,512,000","28,583,000","74,048,000","20,908,000","49,212,000","121,399,000","204,412,000","224,888,000","323,774,000","72,481,000","65,360,000","74,154,000","89,227,000","74,410,000","33,394,000","8,157,000","22,596,000","12,105,000","3,882,000","21,937,000","33,848,000","155,000","21,833,000","1,257,000","9,728,000","3,230,000","5,535,000","1,702,000","1,482,000","2,330,000","2,433,000","3,240,000","4,756,000","482,000","5,561,000","3,412,000","36,859,000","37,233,000","16,677,000","15,053,000","621,000","2,092,000","3,366,000","5,243,000","5,493,000","3,101,000","13,115,000","2,814,000","4,105,000","7,038,000","6,594,000","3,901,000","2,681,000","2,581,000","6,184,000","4,900,000","1,600,000","2,100,000","2,800,000","2,500,000","5,600,000","1,400,000","2,800,000","3,600,000","7,700,000","8,300,000","2,800,000","5,100,000","1,100,000","2,500,000","7,500,000","10,300,000","11,600,000","10,300,000","8,400,000","10,400,000","12,900,000","400,000","6,900,000","10,100,000","13,600,000","10,600,000","11,600,000","18,500,000","8,300,000","7,500,000","7,500,000","16,700,000","18,500,000","32,300,000","18,300,000","15,300,000","17,700,000","800,000"
			CashAndCashEquivalents,"32,851,000","31,551,000","41,863,000","50,314,000","54,163,000","67,252,000","75,165,000","56,722,000","29,473,000","17,704,000","35,918,000","25,979,000","36,868,000","40,038,000","53,899,000","70,157,000","104,113,000","26,128,000","20,850,000","23,098,000","12,828,000","29,840,000","22,210,000","23,917,000","25,833,000","23,057,000","25,478,000","41,941,000","34,516,000","48,384,000","36,215,000","37,569,000","30,302,000","38,754,000","28,676,000","30,512,000","28,583,000","74,048,000","20,908,000","49,212,000","121,399,000","204,412,000","224,888,000","323,774,000","72,481,000","65,360,000","74,154,000","89,227,000","74,410,000","33,394,000","8,157,000","22,596,000","12,105,000","3,882,000","21,937,000","33,848,000","155,000","21,833,000","1,257,000","9,728,000","3,230,000","5,535,000","1,702,000","1,482,000","2,330,000","2,433,000","3,240,000","4,756,000","482,000","5,561,000","3,412,000","36,859,000","37,233,000","16,677,000","15,053,000","621,000","2,092,000","3,366,000","5,243,000","5,493,000","3,101,000","13,115,000","2,814,000","4,105,000","7,038,000","6,594,000","3,901,000","2,681,000","2,581,000","6,184,000","4,900,000","1,600,000","2,100,000","2,800,000","2,500,000","5,600,000","1,400,000","2,800,000","3,600,000","7,700,000","8,300,000","2,800,000","5,100,000","1,100,000","2,500,000","7,500,000","10,300,000","11,600,000","10,300,000","8,400,000","10,400,000","12,900,000","400,000","6,900,000","10,100,000","13,600,000","10,600,000","11,600,000","18,500,000","8,300,000","7,500,000","7,500,000","16,700,000","18,500,000","32,300,000","18,300,000","15,300,000","17,700,000","800,000"
				CashFinancial,,,,,,"67,252,000",,"56,722,000","29,473,000","17,704,000","35,918,000","25,979,000","36,868,000","40,038,000",,,"104,113,000","26,128,000",,,,"29,840,000","22,210,000",,,"23,057,000","25,478,000",,"34,516,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"103,461,000","91,202,000","79,118,000","79,467,000","62,408,000","64,078,000","108,222,000","114,306,000","169,231,000","176,513,000","170,168,000","203,051,000","191,232,000","195,136,000","188,830,000","181,454,000","175,262,000","172,977,000","152,872,000","148,027,000","128,050,000","114,284,000","120,175,000","110,685,000","109,724,000","184,172,000","203,768,000","190,908,000","191,378,000","227,053,000","233,827,000","179,888,000","169,555,000","180,659,000","196,143,000","171,448,000","180,355,000","176,352,000","218,132,000","183,841,000","164,169,000","141,537,000","161,631,000","161,082,000","158,314,000","162,405,000","164,817,000","169,883,000","164,530,000","181,038,000","236,419,000","224,075,000","209,055,000","225,491,000","204,589,000","259,267,000","197,062,000","215,284,000","246,882,000","238,113,000","248,186,000","243,352,000","233,097,000","221,074,000","171,467,000","147,982,000","105,123,000","107,424,000","96,305,000","86,544,000","75,449,000","70,161,000","60,079,000","70,769,000","84,174,000","84,316,000","64,854,000","58,544,000","51,526,000","62,527,000","59,948,000","72,688,000","82,155,000","82,012,000","73,273,000","63,997,000","69,322,000","63,063,000","58,475,000","50,220,000","51,900,000","53,300,000","64,400,000","61,800,000","61,300,000","71,900,000","63,200,000","60,900,000","60,000,000","45,700,000","42,000,000","45,200,000","40,200,000","35,900,000","34,800,000","34,500,000","29,100,000","27,600,000","28,300,000","28,400,000","24,000,000","18,600,000","16,900,000","18,600,000","20,300,000","15,000,000","17,900,000","18,800,000","19,800,000","18,100,000","17,300,000","27,000,000","19,500,000","17,000,000","16,000,000","17,300,000","16,900,000","8,900,000","14,200,000"
			AccountsReceivable,"103,461,000","91,202,000","79,118,000","79,467,000","62,408,000","64,078,000","108,222,000","114,306,000","169,231,000","176,513,000","170,168,000","195,424,000","183,646,000","187,592,000","188,830,000","181,454,000","175,262,000","172,977,000","152,872,000","148,027,000","128,050,000","114,284,000","120,175,000","110,685,000","109,724,000","184,172,000","203,768,000","190,908,000","191,378,000","227,053,000","233,827,000","179,888,000","169,555,000","180,659,000","196,143,000","171,448,000","180,355,000","176,352,000","218,132,000","183,841,000","164,169,000","141,537,000","161,631,000","161,082,000","158,314,000","162,405,000","164,817,000","169,883,000","164,530,000","181,038,000","236,419,000","224,075,000","209,055,000","225,491,000","204,589,000","259,267,000","197,062,000","215,284,000","246,882,000","238,113,000","248,186,000","243,352,000","233,097,000","221,074,000","171,467,000","147,982,000","105,123,000","107,424,000","96,305,000","86,544,000","75,449,000","70,161,000","60,079,000","70,769,000","84,174,000","84,316,000","64,854,000","58,544,000","51,526,000","62,527,000","59,948,000","72,688,000","82,155,000","82,012,000","73,273,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"103,838,000","91,491,000","79,532,000","86,107,000","69,248,000","70,902,000","115,964,000","124,529,000","175,539,000","181,775,000","174,634,000","197,685,000","185,297,000","190,175,000","191,023,000","182,834,000","176,335,000","174,731,000","157,118,000","152,047,000","134,356,000","120,575,000","126,418,000","116,071,000","117,235,000","192,019,000","210,568,000","196,207,000","193,752,000","229,538,000","236,349,000","181,328,000","170,792,000","182,008,000","196,999,000","172,513,000","181,584,000","177,437,000","218,995,000","185,617,000","166,110,000","143,386,000","164,053,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-377,000","-289,000","-414,000","-6,640,000","-6,840,000","-6,824,000","-7,742,000","-10,223,000","-6,308,000","-5,262,000","-4,466,000","-2,261,000","-1,651,000","-2,583,000","-2,193,000","-1,380,000","-1,073,000","-1,754,000","-4,246,000","-4,020,000","-6,306,000","-6,291,000","-6,243,000","-5,386,000","-7,511,000","-7,847,000","-6,800,000","-5,299,000","-2,374,000","-2,485,000","-2,522,000","-1,440,000","-1,237,000","-1,349,000","-856,000","-1,065,000","-1,229,000","-1,085,000","-863,000","-1,776,000","-1,941,000","-1,849,000","-2,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
