name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"1,545,880,000","1,484,150,000","1,550,612,000","1,298,766,000","1,475,223,000"
	CurrentAssets,"700,457,000","678,939,000","749,235,000","492,092,000","711,766,000"
		CashCashEquivalentsAndShortTermInvestments,"339,638,000","368,209,000","452,810,000","215,950,000","490,841,000"
			CashAndCashEquivalents,"339,638,000","368,209,000","452,810,000","215,950,000","490,841,000"
		Receivables,"286,752,000","249,931,000","244,937,000","217,599,000","201,523,000"
			AccountsReceivable,"146,835,000","145,874,000","118,420,000","102,219,000","113,183,000"
				GrossAccountsReceivable,"157,266,000","154,790,000","127,505,000","112,140,000","123,568,000"
				AllowanceForDoubtfulAccountsReceivable,"-10,431,000","-8,916,000","-9,085,000","-9,921,000","-10,385,000"
			OtherReceivables,"139,917,000","104,057,000","126,517,000","115,380,000","88,340,000"
		PrepaidAssets,"74,067,000","15,994,000","11,086,000","13,693,000","19,402,000"
		OtherCurrentAssets,,"44,805,000","40,402,000","44,850,000",
	TotalNonCurrentAssets,"845,423,000","805,211,000","801,377,000","806,674,000","763,457,000"
		NetPPE,"73,903,000","34,500,000","35,038,000","32,271,000","26,347,000"
			GrossPPE,"73,903,000","79,853,000",,,"61,250,000"
				Properties,,"0",,,"0"
				MachineryFurnitureEquipment,,"59,428,000",,,"41,860,000"
				OtherProperties,"73,903,000",,,,
				Leases,,"20,425,000",,,"19,390,000"
			AccumulatedDepreciation,,"-45,353,000",,,"-34,903,000"
		GoodwillAndOtherIntangibleAssets,"741,910,000","745,586,000","748,651,000","757,320,000","720,206,000"
			Goodwill,"345,595,000","346,719,000","346,831,000","350,551,000","318,151,000"
			OtherIntangibleAssets,"396,315,000","398,867,000","401,820,000","406,769,000","402,055,000"
		NonCurrentDeferredAssets,,,,"5,595,000",
			NonCurrentDeferredTaxesAssets,,,,"5,595,000",
		OtherNonCurrentAssets,"29,610,000","25,125,000","17,688,000","11,488,000","16,904,000"
TotalLiabilitiesNetMinorityInterest,"810,974,000","775,659,000","881,279,000","1,809,456,000","990,511,000"
	CurrentLiabilities,"195,753,000","180,530,000","180,895,000","170,816,000","118,157,000"
		PayablesAndAccruedExpenses,"59,426,000","77,531,000","88,159,000","79,112,000","49,978,000"
			Payables,"48,629,000","64,842,000","70,820,000","61,353,000","33,220,000"
				AccountsPayable,"6,379,000","4,773,000","6,060,000","8,216,000","4,349,000"
				TotalTaxPayable,"41,307,000","59,126,000","64,161,000","52,920,000","26,564,000"
					IncomeTaxPayable,"20,029,000","15,693,000","15,840,000","13,846,000","11,032,000"
				OtherPayable,"943,000","943,000","599,000","217,000","2,307,000"
			CurrentAccruedExpenses,"10,797,000","12,689,000","17,339,000","17,759,000","16,758,000"
