Date,Open,High,Low,Close,Adj Close,Volume
2009-10-30,15.083646,15.098898,14.626104,14.778618,3.141444,7344
2009-11-02,14.793870,14.793870,14.717612,14.717612,3.128476,19539
2009-11-03,14.595601,14.641355,14.473590,14.504093,3.083088,24916
2009-11-04,14.473590,14.504093,13.909288,14.260070,3.031217,32063
2009-11-05,14.183813,14.336327,14.183813,14.290573,3.037703,17572
2009-11-06,14.138059,14.260070,13.863533,14.061802,2.989073,1639
2009-11-09,14.031299,14.031299,13.726271,13.756774,2.924234,33702
2009-11-10,14.031299,14.824372,13.344985,13.390740,2.846428,229290
2009-11-11,13.650014,13.726271,13.436494,13.650014,2.901539,83140
2009-11-12,14.031299,14.473590,13.726271,13.756774,2.924234,82025
2009-11-13,13.802528,13.863533,13.268728,13.863533,2.946927,35341
2009-11-16,13.863533,13.878785,13.726271,13.833031,2.940444,39603
2009-11-17,13.756774,13.878785,13.726271,13.848282,2.943686,43012
2009-11-18,13.878785,14.031299,13.711019,13.802528,2.933959,16654
2009-11-19,13.878785,14.107556,13.650014,14.107556,2.998798,23604
2009-11-20,14.016048,14.092305,14.000796,14.077053,2.992314,26883
2009-11-23,13.878785,13.955042,13.802528,13.878785,2.950169,43144
2009-11-24,13.939790,13.955042,13.878785,13.955042,2.966378,3868
2009-11-25,13.939790,14.107556,13.878785,13.985545,2.972864,9245
2009-11-27,13.878785,13.878785,13.650014,13.802528,2.933959,18162
2009-11-30,13.741522,13.802528,13.726271,13.802528,2.933959,4983
2009-12-01,13.756774,14.321076,13.589008,14.321076,3.044185,39931
2009-12-02,14.305824,14.488841,14.305824,14.488841,3.079847,17834
2009-12-03,14.488841,14.488841,14.183813,14.183813,3.015008,3016
2009-12-04,14.092305,14.336327,14.092305,14.336327,3.047427,328
2009-12-07,14.336327,14.488841,14.275322,14.473590,3.076605,9573
2009-12-08,14.488841,15.403926,14.488841,15.098898,3.209523,12523
2009-12-09,15.083646,15.098898,14.946384,14.946384,3.177106,5311
2009-12-10,15.022641,15.022641,14.793870,14.793870,3.144686,4524
2009-12-11,14.809121,14.809121,14.809121,14.809121,3.147928,131
2009-12-14,14.870127,14.870127,14.870127,14.870127,3.160896,2426
2009-12-15,14.824372,14.824372,14.412584,14.641355,3.112266,3213
2009-12-16,14.748115,14.946384,14.717612,14.946384,3.177106,1508
2009-12-17,14.656607,14.656607,14.641355,14.641355,3.112266,2623
2009-12-18,14.641355,14.641355,14.336327,14.549847,3.092815,4524
2009-12-21,14.412584,14.488841,14.412584,14.488841,3.079847,22818
2009-12-22,14.488841,14.885378,14.488841,14.870127,3.160896,4918
2009-12-23,14.946384,14.946384,14.793870,14.946384,3.177106,6294
2009-12-24,14.778618,15.007389,14.107556,15.007389,3.190075,7671
2009-12-28,14.870127,15.022641,14.870127,14.946384,3.177106,11999
2009-12-29,14.809121,15.236160,14.305824,14.641355,3.197087,13573
