name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"2,072,945,000","2,109,006,000","2,033,482,000","2,049,257,000","1,555,513,000","1,544,264,000","1,552,778,000","1,232,560,000","1,181,961,000","1,186,830,000","1,213,570,000","1,331,747,000","864,410,000","807,354,000","811,491,000","825,464,000","504,108,000","482,062,000","476,350,000","261,973,000","260,680,000","244,320,000","234,573,000","245,836,000","236,718,000","231,041,000","228,563,000","123,103,000","117,049,000","113,039,000","114,112,000","127,860,000","30,079,000","28,652,000"
	CurrentAssets,"428,761,000","393,852,000","1,115,102,000","1,135,623,000","637,570,000","604,882,000","635,590,000","324,989,000","275,000,000","260,948,000","294,866,000","348,198,000","522,128,000","521,680,000","531,755,000","553,952,000","237,475,000","248,053,000","257,716,000","170,459,000","180,712,000","184,698,000","185,924,000","201,781,000","197,273,000","192,907,000","194,366,000","96,649,000","93,252,000","89,988,000","93,842,000","108,190,000","9,526,000","11,191,000"
		CashCashEquivalentsAndShortTermInvestments,"216,620,000","232,932,000","934,348,000","953,107,000","486,830,000","500,629,000","481,329,000","194,803,000","138,200,000","170,593,000","154,091,000","218,723,000","423,606,000","474,772,000","467,226,000","488,834,000","182,110,000","223,370,000","202,434,000","37,435,000","142,889,000","168,730,000","156,927,000","188,251,000","186,710,000","183,729,000","175,324,000","88,224,000","83,077,000","86,929,000","80,558,000","104,762,000","5,699,000","7,012,000"
			CashAndCashEquivalents,"216,620,000","232,932,000","934,348,000","953,107,000","486,830,000","500,629,000","481,329,000","194,803,000","138,200,000","170,593,000","154,091,000","218,723,000","423,606,000","449,772,000","442,226,000","488,834,000","182,110,000","223,370,000","202,434,000","37,435,000","142,889,000","168,730,000","156,927,000","188,251,000","186,710,000","183,729,000","175,324,000","88,224,000","83,077,000","86,929,000","80,558,000","104,762,000","5,699,000","7,012,000"
			OtherShortTermInvestments,,,,,,,,,,"0","0","0","0","25,000,000","25,000,000",,,,,,,,,,,,,,,,,,,
		Receivables,"107,712,000","96,726,000","95,390,000","101,394,000","74,744,000","46,277,000","95,756,000","71,580,000","75,411,000","33,655,000","84,797,000","71,578,000","70,262,000","32,636,000","49,651,000","50,031,000","40,290,000","14,174,000","42,332,000","23,426,000","28,672,000","7,860,000","20,974,000","5,242,000","1,262,000","975,000","12,688,000","4,393,000","4,305,000","350,000","10,038,000","655,000","632,000","1,835,000"
			AccountsReceivable,"60,870,000","62,847,000","51,788,000","101,394,000","64,377,000","40,205,000","95,756,000","43,803,000","50,376,000","15,890,000","48,417,000","71,578,000","70,262,000","32,636,000","49,651,000","50,031,000","40,290,000","14,174,000","42,332,000","23,426,000","28,672,000","7,859,000","20,974,000","5,242,000","1,262,000","360,000","12,688,000","4,393,000","4,305,000","350,000","10,038,000","655,000","632,000","1,835,000"
				GrossAccountsReceivable,"73,250,000","74,533,000","62,732,000",,"71,478,000","46,141,000",,"46,343,000","52,307,000","17,190,000","50,217,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-12,380,000","-11,686,000","-10,944,000",,"-7,101,000","-5,936,000",,"-2,540,000","-1,931,000","-1,300,000","-1,800,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"46,842,000","33,879,000","43,602,000",,"10,367,000","6,072,000",,"27,777,000","25,035,000","17,765,000","36,380,000",,,,,,,,,,,"1,000",,,,"615,000",,,,,,,,
