name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"298,971,000","306,701,000","315,970,000","139,918,000","16,011,000"
	CurrentAssets,"294,025,000","304,057,000","313,501,000","135,421,000","15,281,000"
		CashCashEquivalentsAndShortTermInvestments,"292,499,000","302,182,000","312,823,000","135,204,000","15,224,000"
			CashAndCashEquivalents,"292,499,000","302,182,000","312,823,000","135,204,000","15,224,000"
		PrepaidAssets,"1,526,000","1,875,000","678,000","217,000","57,000"
	TotalNonCurrentAssets,"4,946,000","2,644,000","2,469,000","4,497,000","730,000"
		NetPPE,"3,584,000","2,089,000","1,908,000","1,923,000","466,000"
			GrossPPE,"3,817,000","2,258,000","2,027,000","2,010,000","509,000"
				Properties,"0","0","0","0",
				MachineryFurnitureEquipment,"212,000","185,000","148,000","114,000","47,000"
				OtherProperties,"3,449,000","1,932,000","1,757,000","1,846,000","462,000"
				Leases,"156,000","141,000","122,000","50,000",
			AccumulatedDepreciation,"-233,000","-169,000","-119,000","-87,000","-43,000"
		NonCurrentDeferredAssets,,,,"2,310,000","0"
		OtherNonCurrentAssets,"1,362,000","555,000","561,000","264,000","264,000"
TotalLiabilitiesNetMinorityInterest,"7,787,000","4,964,000","6,239,000","162,585,000","29,649,000"
	CurrentLiabilities,"4,901,000","3,616,000","4,768,000","3,749,000","1,858,000"
		PayablesAndAccruedExpenses,"4,782,000","3,414,000","4,633,000","3,613,000","1,716,000"
			Payables,"1,356,000","599,000","2,068,000","1,875,000","664,000"
				AccountsPayable,"1,356,000","599,000","2,068,000","1,875,000","664,000"
			CurrentAccruedExpenses,"3,426,000","2,815,000","2,565,000","1,738,000","1,052,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"1,004,000","1,278,000","634,000","359,000","774,000"
		CurrentDebtAndCapitalLeaseObligation,"119,000","202,000","135,000","136,000","142,000"
			CurrentCapitalLeaseObligation,"119,000","202,000","135,000","136,000","142,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,886,000","1,348,000","1,471,000","158,836,000","27,791,000"
		LongTermDebtAndCapitalLeaseObligation,"2,583,000","981,000","1,037,000","1,091,000","0"
			LongTermCapitalLeaseObligation,"2,583,000","981,000","1,037,000","1,091,000","0"
		PreferredSecuritiesOutsideStockEquity,,"0","0","157,274,000","27,651,000"
		OtherNonCurrentLiabilities,"303,000","367,000","434,000","471,000","140,000"
TotalEquityGrossMinorityInterest,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
	StockholdersEquity,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
		CapitalStock,"4,000","4,000","4,000","0","0"
			PreferredStock,"0","0",,,
			CommonStock,"4,000","4,000","4,000","0","0"
		AdditionalPaidInCapital,"346,377,000","342,104,000","340,168,000","1,131,000","439,000"
		RetainedEarnings,"-55,197,000","-40,371,000","-30,441,000","-23,798,000","-14,077,000"
TotalCapitalization,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
CommonStockEquity,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
CapitalLeaseObligations,"2,702,000","1,183,000","1,172,000","1,227,000","142,000"
NetTangibleAssets,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
WorkingCapital,"289,124,000","300,441,000","308,733,000","131,672,000","13,423,000"
InvestedCapital,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
TangibleBookValue,"291,184,000","301,737,000","309,731,000","-22,667,000","-13,638,000"
TotalDebt,"2,702,000","1,183,000","1,172,000","1,227,000","142,000"
ShareIssued,"41,696,564","42,536,183","42,535,661","36,815,139","36,815,139"
OrdinarySharesNumber,"41,696,564","41,441,135","41,207,660","36,815,139","36,815,139"
TreasurySharesNumber,,"1,095,048","1,328,001",,
