name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalAssets,"69,038,000,000","68,175,000,000","69,294,000,000","71,049,000,000","61,662,000,000","59,548,000,000","61,189,000,000","54,901,000,000","53,055,000,000","52,611,000,000","52,199,000,000","52,150,000,000","50,639,000,000","44,792,000,000","44,837,000,000","44,691,000,000","44,018,000,000","42,326,000,000","42,565,000,000","42,307,000,000","41,445,000,000","40,140,000,000","40,327,000,000","40,476,000,000","40,373,000,000","40,861,000,000","41,869,000,000","39,367,000,000","39,091,000,000","37,353,000,000","38,011,000,000","38,447,000,000","37,185,000,000","36,812,000,000","37,260,000,000","37,468,000,000","36,842,000,000","37,628,000,000","37,905,000,000","38,694,000,000","38,199,000,000","37,988,000,000","39,054,000,000","39,694,000,000","40,552,000,000","39,598,000,000","20,055,000,000","20,134,000,000","19,952,000,000","18,684,000,000","18,347,000,000","18,806,000,000","19,101,000,000","19,461,000,000","20,731,000,000","21,336,000,000","23,813,000,000","24,220,000,000","25,608,000,000","25,665,000,000","24,739,000,000","25,369,000,000","25,863,000,000","26,022,000,000","25,550,000,000","19,342,000,000","20,170,000,000","20,207,000,000","20,444,000,000","20,705,000,000","21,605,000,000","21,565,000,000","21,848,000,000","21,979,000,000","22,373,000,000","22,950,000,000","23,121,000,000","23,656,000,000","24,190,000,000","25,679,000,000","25,310,000,000","25,197,000,000","25,604,000,000","24,914,000,000","24,720,000,000","24,355,000,000","23,073,000,000","22,375,000,000","21,652,000,000","20,963,000,000","21,209,000,000","21,044,000,000","19,071,000,000","18,559,000,000","18,900,000,000","18,269,000,000","17,068,000,000","15,803,000,000","15,386,000,000","13,925,000,000","13,350,000,000","12,677,000,000","12,282,000,000","11,533,000,000","11,572,000,000","11,641,000,000","12,070,000,000","12,102,000,000","11,821,000,000","11,764,000,000","12,312,000,000","13,256,000,000","12,840,000,000","12,953,000,000","13,116,000,000","13,288,000,000","12,257,000,000","11,387,300,000","10,824,000,000","10,557,800,000"
	CurrentAssets,"22,612,000,000","21,834,000,000","23,057,000,000","24,673,000,000","16,019,000,000","14,800,000,000","16,476,000,000","10,041,000,000","7,905,000,000","8,194,000,000","8,533,000,000","8,910,000,000","7,608,000,000","7,194,000,000","8,671,000,000","8,881,000,000","8,287,000,000","7,113,000,000","7,877,000,000","8,248,000,000","7,724,000,000","7,309,000,000","7,970,000,000","7,844,000,000","7,224,000,000","7,828,000,000","10,097,000,000","8,793,000,000","9,509,000,000","8,138,000,000","9,225,000,000","9,619,000,000","8,788,000,000","8,702,000,000","9,389,000,000","9,621,000,000","9,148,000,000","10,049,000,000","10,774,000,000","11,708,000,000","11,261,000,000","10,997,000,000","11,986,000,000","12,391,000,000","13,148,000,000","12,045,000,000","7,070,000,000","6,983,000,000","6,520,000,000","5,105,000,000","4,526,000,000","4,754,000,000","4,857,000,000","4,861,000,000","5,970,000,000","6,181,000,000","5,889,000,000","6,095,000,000","6,966,000,000","6,916,000,000","5,761,000,000","6,273,000,000","6,552,000,000","6,745,000,000","6,113,000,000","4,259,000,000","5,176,000,000","4,701,000,000","4,414,000,000","3,914,000,000","4,267,000,000","4,089,000,000","4,279,000,000","4,024,000,000","3,949,000,000","3,778,000,000","3,194,000,000","3,379,000,000","4,060,000,000","5,097,000,000","5,253,000,000","5,086,000,000","5,644,000,000","4,465,000,000","4,540,000,000","4,779,000,000","4,066,000,000","3,826,000,000","3,322,000,000","2,935,000,000","3,775,000,000","3,557,000,000","2,633,000,000","2,908,000,000","3,191,000,000","3,348,000,000","2,851,000,000","2,948,000,000","3,224,000,000","2,624,000,000","2,994,000,000","2,682,000,000","2,689,000,000","2,655,000,000","2,804,000,000","3,043,000,000","3,536,000,000","3,694,000,000","3,407,000,000","3,192,000,000","3,653,000,000","4,393,000,000","3,713,000,000","3,620,000,000","3,755,000,000","3,961,000,000","3,298,000,000","3,320,400,000","3,158,400,000","2,997,700,000"
		CashCashEquivalentsAndShortTermInvestments,"18,679,000,000","18,406,000,000","19,422,000,000","21,068,000,000","12,975,000,000","11,683,000,000","13,702,000,000","7,463,000,000","5,221,000,000","4,944,000,000","5,126,000,000","5,444,000,000","4,067,000,000","3,950,000,000","4,935,000,000","5,071,000,000","4,475,000,000","3,798,000,000","4,328,000,000","4,649,000,000","4,379,000,000","4,428,000,000","4,856,000,000","4,685,000,000","3,972,000,000","5,196,000,000","5,599,000,000","4,985,000,000","5,608,000,000","4,384,000,000","5,514,000,000","5,796,000,000","5,024,000,000","5,121,000,000","5,736,000,000","5,964,000,000","5,390,000,000","6,543,000,000","6,680,000,000","7,704,000,000","7,273,000,000","7,762,000,000","8,357,000,000","8,579,000,000","8,887,000,000","8,680,000,000","4,938,000,000","4,906,000,000","3,516,000,000","3,042,000,000","2,525,000,000","2,566,000,000","2,457,000,000","2,039,000,000","2,931,000,000","2,899,000,000","2,924,000,000","3,554,000,000","4,162,000,000","4,249,000,000","3,369,000,000","4,144,000,000","4,083,000,000","4,153,000,000","3,637,000,000","1,838,000,000","1,787,000,000","1,693,000,000","1,440,000,000","1,301,000,000","1,534,000,000","1,388,000,000","1,870,000,000","1,718,000,000","1,773,000,000","1,567,000,000","922,000,000","1,274,000,000","1,623,000,000","2,704,000,000","2,875,000,000","2,628,000,000","2,743,000,000","1,280,000,000","1,797,000,000","2,344,000,000","1,174,000,000","1,164,000,000","793,000,000","689,000,000","1,398,000,000","1,375,000,000","639,000,000","815,000,000","894,000,000","1,027,000,000","718,000,000","845,000,000","1,123,000,000","599,000,000","957,000,000","697,000,000","244,000,000","720,000,000","891,000,000","1,143,000,000","1,629,000,000","1,946,000,000","1,705,000,000","1,532,000,000","1,863,000,000","2,621,000,000","437,000,000","647,000,000","705,000,000","1,030,000,000","522,000,000","760,900,000","871,400,000","885,200,000"
			CashAndCashEquivalents,"18,468,000,000","18,283,000,000","19,256,000,000","20,838,000,000","12,666,000,000","11,269,000,000","13,150,000,000","6,505,000,000","3,442,000,000","2,762,000,000","2,959,000,000","3,221,000,000","1,848,000,000","1,694,000,000","2,621,000,000","2,884,000,000","2,404,000,000","1,482,000,000","1,870,000,000","2,371,000,000","2,164,000,000","2,179,000,000","2,630,000,000","2,483,000,000","1,795,000,000","3,006,000,000","3,427,000,000","2,796,000,000","3,352,000,000","2,002,000,000","3,117,000,000","3,424,000,000","3,009,000,000","3,220,000,000","3,935,000,000","4,143,000,000","3,538,000,000","4,770,000,000","5,129,000,000","6,086,000,000","5,606,000,000","6,246,000,000","6,984,000,000","7,519,000,000","8,165,000,000","8,069,000,000","4,938,000,000","4,906,000,000","3,516,000,000","3,042,000,000","2,525,000,000","2,566,000,000","2,457,000,000","2,039,000,000","2,931,000,000","2,899,000,000","2,438,000,000","1,259,000,000","1,263,000,000","1,667,000,000","3,176,000,000","3,832,000,000","4,081,000,000","4,094,000,000","3,633,000,000","1,761,000,000","1,712,000,000","1,677,000,000","1,382,000,000","1,223,000,000","1,493,000,000","1,377,000,000","1,859,000,000","1,640,000,000","1,619,000,000","1,272,000,000","637,000,000","886,000,000","1,011,000,000","2,095,000,000","2,275,000,000","1,688,000,000","2,110,000,000","798,000,000","1,250,000,000","1,679,000,000","618,000,000","661,000,000","400,000,000","310,000,000","915,000,000","1,144,000,000","256,000,000","390,000,000","447,000,000","588,000,000","216,000,000","295,000,000","529,000,000","77,000,000","455,000,000","229,000,000","244,000,000","194,000,000","248,000,000","194,000,000","431,000,000","380,000,000","529,000,000","500,000,000","739,000,000","1,579,000,000","437,000,000","647,000,000","705,000,000","1,030,000,000","522,000,000","760,900,000","871,400,000","885,200,000"
			OtherShortTermInvestments,"211,000,000","123,000,000","166,000,000","230,000,000","309,000,000","414,000,000","552,000,000","958,000,000","1,779,000,000","2,182,000,000","2,167,000,000","2,223,000,000","2,219,000,000","2,256,000,000","2,314,000,000","2,187,000,000","2,071,000,000","2,316,000,000","2,458,000,000","2,278,000,000","2,215,000,000","2,249,000,000","2,226,000,000","2,202,000,000","2,177,000,000","2,190,000,000","2,172,000,000","2,189,000,000","2,256,000,000","2,382,000,000","2,397,000,000","2,372,000,000","2,015,000,000","1,901,000,000","1,801,000,000","1,821,000,000","1,852,000,000","1,773,000,000","1,551,000,000","1,618,000,000","1,667,000,000","1,516,000,000","1,373,000,000","1,060,000,000","722,000,000","611,000,000",,,,,,,,"0","0","0","486,000,000","2,295,000,000","2,899,000,000","2,582,000,000","193,000,000","312,000,000","2,000,000","59,000,000","4,000,000","77,000,000","75,000,000","16,000,000","58,000,000","78,000,000","41,000,000","11,000,000","11,000,000","78,000,000","154,000,000","295,000,000","285,000,000","388,000,000","612,000,000","609,000,000","600,000,000","940,000,000","633,000,000","482,000,000","547,000,000","665,000,000","556,000,000","503,000,000","393,000,000","379,000,000","483,000,000","231,000,000","383,000,000","425,000,000","447,000,000","439,000,000","502,000,000","550,000,000","594,000,000","522,000,000","502,000,000","468,000,000",,"526,000,000","643,000,000","949,000,000","1,198,000,000","1,566,000,000","1,176,000,000","1,032,000,000","1,124,000,000","1,042,000,000",,,,,,,,
		Receivables,"2,062,000,000","1,663,000,000","1,709,000,000","1,793,000,000","1,389,000,000","1,295,000,000","1,171,000,000","857,000,000","792,000,000","1,364,000,000","1,617,000,000","1,762,000,000","1,789,000,000","1,346,000,000","1,752,000,000","1,840,000,000","1,760,000,000","1,340,000,000","1,603,000,000","1,499,000,000","1,429,000,000","1,176,000,000","1,481,000,000","1,450,000,000","1,581,000,000","1,128,000,000","1,513,000,000","1,471,000,000","1,471,000,000","1,146,000,000","1,559,000,000","1,665,000,000","1,609,000,000","1,503,000,000","1,693,000,000","1,732,000,000","1,679,000,000","1,338,000,000","1,862,000,000","1,818,000,000","1,908,000,000","1,358,000,000","1,713,000,000","1,863,000,000","2,357,000,000","1,613,000,000","1,044,000,000","971,000,000","1,640,000,000","743,000,000","843,000,000","921,000,000","738,000,000","714,000,000","1,037,000,000","1,345,000,000","1,118,000,000","888,000,000","1,095,000,000","1,138,000,000","1,071,000,000","820,000,000","1,040,000,000","1,079,000,000","1,010,000,000","839,000,000","1,124,000,000","1,131,000,000","1,158,000,000","951,000,000","1,134,000,000","1,171,000,000","1,062,000,000","929,000,000","990,000,000","1,000,000,000","1,241,000,000","1,114,000,000","1,485,000,000","1,443,000,000","1,404,000,000","1,221,000,000","1,484,000,000","1,680,000,000","1,635,000,000","1,326,000,000","1,931,000,000","1,688,000,000","1,494,000,000","1,316,000,000","1,500,000,000","1,360,000,000","1,134,000,000","1,138,000,000","1,405,000,000","1,331,000,000","1,171,000,000","1,051,000,000","1,241,000,000","1,163,000,000","1,119,000,000","962,000,000","1,122,000,000","1,060,000,000","1,042,000,000","951,000,000","1,120,000,000","1,040,000,000","988,000,000","889,000,000","1,143,000,000","1,101,000,000","1,095,000,000","1,120,000,000","1,224,000,000","1,200,000,000","1,066,000,000","1,165,500,000","1,021,300,000","1,049,400,000"
			AccountsReceivable,"2,062,000,000","1,663,000,000","1,709,000,000","1,793,000,000","1,389,000,000","1,295,000,000","1,171,000,000","857,000,000","792,000,000","1,364,000,000","1,617,000,000","1,762,000,000","1,789,000,000","1,346,000,000","1,752,000,000","1,840,000,000","1,760,000,000","1,340,000,000","1,603,000,000","1,499,000,000","1,429,000,000","1,176,000,000","1,481,000,000","1,450,000,000","1,581,000,000","1,128,000,000","1,513,000,000","1,471,000,000","1,471,000,000","1,146,000,000","1,559,000,000","1,665,000,000","1,609,000,000","1,503,000,000","1,693,000,000","1,732,000,000","1,679,000,000","1,338,000,000","1,874,000,000","1,830,000,000","1,908,000,000","1,365,000,000","1,720,000,000","1,863,000,000",,,,,"968,000,000",,,,,,,,,,,,,"820,000,000",,,"1,010,000,000",,,,,,,,,,,,,,,,,"1,047,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"2,092,000,000","1,691,000,000","1,779,000,000","1,871,000,000","1,463,000,000","1,373,000,000","1,180,000,000","868,000,000","822,000,000","1,373,000,000","1,628,000,000","1,771,000,000","1,797,000,000","1,354,000,000","1,758,000,000","1,847,000,000","1,767,000,000","1,347,000,000","1,614,000,000","1,510,000,000","1,439,000,000","1,186,000,000","1,493,000,000","1,462,000,000","1,592,000,000","1,146,000,000","1,531,000,000","1,493,000,000","1,494,000,000","1,168,000,000","1,583,000,000","1,680,000,000","1,626,000,000","1,516,000,000","1,709,000,000","1,753,000,000","1,699,000,000","1,351,000,000",,,"1,916,000,000",,,"1,869,000,000",,,,,,,,,,,,,,,,,,"847,000,000",,,"1,035,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-30,000,000","-28,000,000","-70,000,000","-78,000,000","-74,000,000","-78,000,000","-9,000,000","-11,000,000","-30,000,000","-9,000,000","-11,000,000","-9,000,000","-8,000,000","-8,000,000","-6,000,000","-7,000,000","-7,000,000","-7,000,000","-11,000,000","-11,000,000","-10,000,000","-10,000,000","-12,000,000","-12,000,000","-11,000,000","-18,000,000","-18,000,000","-22,000,000","-23,000,000","-22,000,000","-24,000,000","-15,000,000","-17,000,000","-13,000,000","-16,000,000","-21,000,000","-20,000,000","-13,000,000",,,"-8,000,000",,,"-6,000,000",,,,,,,,,,,,,,,,,,"-27,000,000",,,"-25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"672,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
