name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
OperatingCashFlow,"493,974,000","-321,443,000","454,961,000","107,633,000","252,823,000","-150,588,000","462,571,000","59,703,000","57,302,000","-366,712,000","406,563,000","-10,239,000","202,496,000","-89,789,000","509,413,000","-27,190,000","123,983,000","22,024,000","263,256,000","33,576,000","-29,207,000","-33,562,000","398,649,000","54,576,000","19,537,000","-168,275,000","269,344,000","-133,535,000","-3,387,000","-176,526,000","291,529,000","-26,830,000","101,870,000","-147,536,000","232,411,000","-21,865,000","-15,940,000","-74,536,000","205,773,000","20,823,000","46,213,000","-73,048,000","141,302,000","-42,411,000","1,824,000","-85,497,000","82,021,000","-19,582,000","-549,000","-11,776,000","93,384,000","18,355,000","9,095,000","-1,793,000","62,963,000","28,999,000","-5,614,000","-16,832,000","32,272,000","-14,407,000","-24,246,000","-8,247,000","26,557,000","2,539,000","-16,598,000","-1,797,000","13,298,000","615,000"
	CashFlowFromContinuingOperatingActivities,"493,974,000","-321,443,000","454,961,000","107,633,000","252,823,000","-150,588,000","462,571,000","59,703,000","57,302,000","-366,712,000","406,563,000","-10,239,000","202,496,000","-89,789,000","509,413,000","-27,190,000","123,983,000","22,024,000","263,256,000","33,576,000","-29,207,000","-33,562,000","398,649,000","54,576,000","19,537,000","-168,275,000","269,344,000","-133,535,000","-3,387,000","-176,526,000","291,529,000","-26,830,000","101,870,000","-147,536,000","232,411,000","-21,865,000","-15,940,000","-74,536,000","205,773,000","20,823,000","46,213,000","-73,048,000","141,302,000","-42,411,000","1,824,000","-85,497,000","82,021,000","-19,582,000","-549,000","-11,776,000","93,384,000","18,355,000","9,095,000","-1,793,000","62,963,000","28,999,000","-5,614,000","-16,832,000","32,272,000","-14,407,000","-24,246,000","-8,247,000","26,557,000","2,539,000","-16,598,000","-1,797,000","13,298,000","615,000"
		NetIncomeFromContinuingOperations,"222,698,000","-59,610,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,268,000","-95,544,000","-30,244,000","-87,920,000","54,241,000","-12,309,000","-2,272,000","103,231,000","128,224,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000",,,,,,,,"12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","6,160,000"
		OperatingGainsLosses,"59,613,000","-6,981,000","8,368,000","25,156,000","33,070,000","15,277,000","-184,744,000","180,000","-13,414,000","13,105,000","-13,202,000","16,399,000","87,000","-717,000","5,551,000","-2,919,000","20,518,000","-4,871,000","1,977,000","-233,000","-20,921,000","-7,757,000","18,549,000","-944,000","7,466,000","-10,864,000","8,797,000","5,628,000","-2,160,000","21,643,000","7,041,000","4,986,000","-734,000","707,000","618,000","-464,000","1,421,000","662,000","-2,425,000","85,000","10,000","390,000","17,000","-3,300,000","17,000","2,000","0","23,000","1,000","20,000","0","0","-159,000","196,000","-14,000","7,000","145,000","-123,000",,,,,"476,000","107,000","-732,000","425,000","2,944,000",
			GainLossOnSaleOfPPE,"5,497,000","1,604,000","1,844,000","1,229,000","820,000","575,000","193,000","2,722,000","696,000","129,000","1,756,000","437,000","1,439,000","1,008,000","878,000","882,000","2,337,000","159,000","795,000","803,000","159,000","556,000","1,076,000","41,000","79,000","384,000","115,000","174,000","33,000","227,000","183,000","5,000","21,000","52,000","-266,000","132,000","410,000","56,000","39,000","85,000","10,000","390,000","17,000","0","17,000","2,000","0","23,000","1,000","20,000","0","0","-159,000","196,000",,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-4,410,000","-8,585,000","6,524,000","129,000","-2,478,000","14,702,000","-5,619,000","-2,542,000","-14,110,000","12,976,000","-14,958,000","15,962,000","-1,352,000","-1,725,000","4,673,000","-3,801,000","18,181,000","-5,030,000","1,182,000","-1,036,000","-21,080,000","-8,313,000","17,473,000","-985,000","7,387,000","-11,248,000","8,682,000","5,454,000","-2,193,000","21,416,000","6,858,000","4,981,000","-755,000","655,000","884,000","-596,000","1,011,000","606,000","-59,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"140,592,000","34,960,000","33,297,000","37,188,000","35,147,000","35,512,000","40,815,000","37,250,000","38,354,000","48,565,000","45,982,000","46,722,000","47,257,000","46,464,000","46,739,000","43,758,000","45,173,000","46,098,000","45,259,000","45,121,000","42,354,000","41,013,000","39,388,000","37,645,000","35,716,000","32,021,000","28,729,000","26,147,000","24,756,000","21,308,000","19,702,000","18,044,000","17,027,000","17,320,000","14,497,000","12,434,000","11,776,000","11,842,000","11,327,000","11,041,000","10,123,000","10,591,000","10,333,000","9,238,000","8,117,000","8,613,000","8,130,000","7,842,000","7,752,000","7,597,000","7,454,000","7,262,000","6,701,000","6,832,000","5,864,000","5,710,000","5,283,000","4,490,000","4,626,000","3,880,000","3,144,000","2,972,000","3,050,000","2,691,000","2,245,000","1,838,000","2,164,000","987,000"
			DepreciationAndAmortization,"140,592,000","34,960,000","33,297,000","37,188,000","35,147,000","35,512,000","40,815,000","37,250,000","38,354,000","48,565,000","45,982,000","46,722,000","47,257,000","46,464,000","46,739,000","43,758,000","45,173,000","46,098,000","45,259,000","45,121,000","42,354,000","41,013,000","39,388,000","37,645,000","35,716,000","32,021,000","28,729,000","26,147,000","24,756,000","21,308,000","19,702,000","18,044,000","17,027,000","17,320,000","14,497,000","12,434,000","11,776,000","11,842,000","11,327,000","11,041,000","10,123,000","10,591,000","10,333,000","9,238,000","8,117,000","8,613,000","8,130,000","7,842,000","7,752,000","7,597,000","7,454,000","7,262,000","6,701,000","6,832,000","5,864,000","5,710,000","5,283,000","4,490,000","4,626,000","3,880,000","3,144,000","2,972,000","3,050,000","2,691,000","2,245,000","1,838,000","2,164,000","987,000"
		DeferredTax,"-5,133,000","-2,500,000","20,772,000","-22,406,000","-999,000","-9,000","24,820,000","-3,124,000","-957,000","23,253,000","14,305,000","37,717,000","-12,376,000","-1,514,000","-28,579,000","26,004,000","-25,324,000","-10,645,000","13,205,000","28,970,000","-2,170,000","15,905,000","18,557,000","-37,822,000","-26,463,000","2,724,000","10,840,000","273,000","-19,588,000","4,049,000","2,199,000","-12,395,000","-475,000","-6,913,000","-8,141,000","2,537,000","-7,560,000","-5,668,000","-5,464,000","-529,000","-5,143,000","-1,837,000","6,553,000","-3,012,000","16,000","63,000","-5,221,000","-1,085,000","-2,328,000","-1,703,000","-2,771,000","2,094,000","-2,916,000","-1,619,000","-1,652,000","496,000","475,000","-2,137,000","1,400,000","-1,979,000","-2,856,000","-1,474,000","-276,000","-3,753,000","-2,751,000","59,000","1,117,000","-1,032,000"
			DeferredIncomeTax,"-5,133,000","-2,500,000","20,772,000","-22,406,000","-999,000","-9,000","24,820,000","-3,124,000","-957,000","23,253,000","14,305,000","37,717,000","-12,376,000","-1,514,000","-28,579,000","26,004,000","-25,324,000","-10,645,000","13,205,000","28,970,000","-2,170,000","15,905,000","18,557,000","-37,822,000","-26,463,000","2,724,000","10,840,000","273,000","-19,588,000","4,049,000","2,199,000","-12,395,000","-475,000","-6,913,000","-8,141,000","2,537,000","-7,560,000","-5,668,000","-5,464,000","-529,000","-5,143,000","-1,837,000","6,553,000","-3,012,000","16,000","63,000","-5,221,000","-1,085,000","-2,328,000","-1,703,000","-2,771,000","2,094,000","-2,916,000","-1,619,000","-1,652,000","496,000","475,000","-2,137,000","1,400,000","-1,979,000","-2,856,000","-1,474,000","-276,000","-3,753,000","-2,751,000","59,000","1,117,000","-1,032,000"
		AssetImpairmentCharge,,,,,,"5,601,000","17,598,000","3,855,000","11,573,000","437,517,000","39,000,000","0","0","0","-37,000","270,000","7,412,000","2,248,000","16,262,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"-21,754,000","-5,250,000","-6,551,000","-786,000","-9,167,000","-9,262,000","-12,563,000","3,138,000","9,642,000","10,130,000","-3,318,000","-12,582,000","-541,000","-9,655,000","4,075,000","-1,068,000","13,189,000","-251,194,000","64,964,000","52,374,000","12,606,000","-21,187,000","-377,000","17,014,000","40,894,000","12,657,000","20,814,000","8,867,000","4,918,000","5,792,000","20,556,000","10,793,000","-2,281,000","2,282,000","1,938,000","11,075,000","-2,685,000","3,617,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"45,186,000","11,764,000","10,841,000","11,048,000","11,533,000","10,372,000","9,300,000","9,512,000","12,793,000","10,465,000","11,570,000","12,413,000","13,142,000","12,493,000","9,338,000","11,772,000","12,536,000","8,137,000","5,523,000","9,633,000","12,694,000","12,082,000","2,704,000","14,822,000","14,220,000","14,403,000","15,576,000","23,504,000","12,253,000","9,043,000","11,847,000","15,105,000","10,640,000","13,220,000","17,598,000","6,708,000","6,970,000","11,908,000","4,690,000","4,805,000","3,932,000","6,418,000","4,471,000","6,458,000","3,819,000","3,315,000","6,181,000","3,778,000","2,932,000","3,336,000","5,150,000","2,488,000","2,615,000","2,657,000",,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,"0",,,,"3,000",,,"0","-431,000","-706,000","2,320,000","-1,258,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"31,633,000","-1,322,000","12,024,000","9,880,000","16,652,000","5,273,000","5,160,000","5,043,000","1,804,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000",,,,,,,,,,,,,,,,,,"56,507,000","12,537,000","11,058,000","35,543,000","59,243,000","16,384,000","-4,688,000","3,552,000","-7,366,000","7,458,000","-42,000","3,749,000","-4,130,000","-2,731,000","-487,000","4,071,000","6,692,000","541,000","2,866,000","1,583,000","6,622,000","-687,000","1,215,000","-541,000","4,803,000",,,,
