name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
TotalRevenue,"306,763,000","78,716,000","75,730,000","76,053,000","76,264,000","73,969,000","78,247,000","74,184,000","71,315,000","68,032,000","66,066,000","55,065,000","53,013,000","48,493,000","45,180,000","37,144,000","35,946,000","31,615,000","27,847,000","26,072,000","23,281,000","20,752,000","19,374,000","19,241,000","18,570,000","17,582,000","17,600,000","17,105,000","17,678,000","17,528,000","16,475,000","16,275,000","16,211,000","15,613,000","12,134,000","10,392,000"
	OperatingRevenue,"306,763,000","78,716,000","75,730,000","76,053,000","76,264,000","73,969,000","78,247,000","74,184,000","71,315,000","68,032,000","66,066,000","55,065,000","53,013,000","48,493,000","45,180,000","37,144,000","35,946,000","31,615,000","27,847,000","26,072,000","23,281,000","20,752,000","19,374,000","19,241,000","18,570,000","17,582,000","17,600,000","17,105,000","17,678,000","17,528,000","16,475,000","16,275,000","16,211,000","15,613,000","12,134,000","10,392,000"
CostOfRevenue,"99,781,000","24,755,000","25,198,000","24,816,000","25,012,000","24,427,000","26,990,000","25,583,000","23,672,000","22,201,000","21,073,000","16,673,000","16,583,000","14,788,000","15,012,000","12,083,000","10,849,000","10,645,000","9,503,000","9,113,000","8,003,000","7,028,000","7,183,000","6,792,000","6,740,000","6,850,000","7,010,000","6,448,000","6,573,000","6,640,000","5,987,000","5,793,000","5,686,000","5,655,000","3,854,000","3,487,000"
GrossProfit,"206,982,000","53,961,000","50,532,000","51,237,000","51,252,000","49,542,000","51,257,000","48,601,000","47,643,000","45,831,000","44,993,000","38,392,000","36,430,000","33,705,000","30,168,000","25,061,000","25,097,000","20,970,000","18,344,000","16,959,000","15,278,000","13,724,000","12,191,000","12,449,000","11,830,000","10,732,000","10,590,000","10,657,000","11,105,000","10,888,000","10,488,000","10,482,000","10,525,000","9,958,000","8,280,000","6,905,000"
OperatingExpense,"216,847,000","58,325,000","50,347,000","53,294,000","54,881,000","57,484,000","47,560,000","47,708,000","48,806,000","45,996,000","42,291,000","34,633,000","32,698,000","28,547,000","24,970,000","22,217,000","22,648,000","18,327,000","16,010,000","14,887,000","15,803,000","13,649,000","12,053,000","12,711,000","12,914,000","12,465,000","11,995,000","12,290,000","13,253,000","13,470,000","12,501,000","12,044,000","11,490,000","21,577,000","9,542,000","7,662,000"
	SellingGeneralAndAdministration,"130,404,000","35,207,000","29,618,000","32,089,000","33,490,000","36,801,000","28,443,000","28,624,000","29,475,000","27,607,000","25,335,000","20,905,000","20,031,000","16,976,000","14,546,000","13,310,000","13,712,000","11,408,000","9,518,000","9,342,000","10,613,000","9,125,000","7,987,000","7,767,000","7,500,000","7,192,000","6,932,000","7,423,000","8,160,000","8,651,000","8,082,000","7,322,000","7,068,000","5,759,000","5,746,000","4,388,000"
		GeneralAndAdministrativeExpense,"72,146,000","19,614,000","15,615,000","17,725,000","19,192,000","24,369,000","16,877,000","16,864,000","17,655,000","16,676,000","13,845,000","12,196,000","12,042,000","9,994,000","8,566,000","8,011,000","8,464,000","7,000,000","5,727,000","5,084,000","6,576,000","5,904,000","4,946,000","4,670,000","4,547,000","4,123,000","3,874,000","4,494,000","4,714,000","5,119,000","4,330,000","3,555,000","3,053,000","2,623,000","2,250,000","1,662,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,"802,000","660,000",,,,,,,,,,
			OtherGandA,"72,146,000","19,614,000","15,615,000","17,725,000","19,192,000","24,369,000","16,877,000","16,864,000","17,655,000","16,676,000","13,845,000","12,196,000","12,042,000","9,994,000","8,566,000","8,011,000","8,464,000","7,000,000","5,727,000","5,084,000","6,576,000","5,904,000","4,946,000","4,670,000","4,547,000","4,123,000","3,874,000","4,494,000","4,714,000","5,119,000","4,330,000","3,555,000","3,053,000","2,623,000","2,250,000","1,662,000"
		SellingAndMarketingExpense,"58,258,000","15,593,000","14,003,000","14,364,000","14,298,000","12,432,000","11,566,000","11,760,000","11,820,000","10,931,000","11,490,000","8,709,000","7,989,000","6,982,000","5,980,000","5,299,000","5,248,000","4,408,000","3,791,000","4,258,000","4,037,000","3,221,000","3,041,000","3,097,000","2,953,000","3,069,000","3,058,000","2,929,000","3,446,000","3,532,000","3,752,000","3,767,000","4,015,000","3,136,000","3,496,000","2,726,000"
