name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"2,103,601,000","646,973,000","652,644,000","453,955,000","350,029,000","617,590,000","672,931,000","377,025,000","315,811,000","632,094,000","505,049,000","475,921,000","296,915,000","671,723,000","636,107,000","539,604,000","379,719,000","607,496,000","653,581,000","488,248,000","284,622,000","650,030,000","668,771,000","456,942,000","295,475,000","803,980,000","584,592,000","456,382,000","275,419,000","778,159,000","758,054,000","464,116,000","271,472,000","689,916,000","767,802,000","650,869,000","433,528,000","645,092,000","680,029,000","675,187,000","461,391,000","653,966,000","672,420,000","641,026,000","479,465,000","680,215,000","688,208,000","664,188,000","538,916,000","566,503,000","661,205,000","647,918,000","616,112,000","563,638,000","699,144,000","785,590,000","506,287,000","467,181,000","573,094,000","655,330,000","450,217,000","497,297,000","515,914,000","629,656,000","943,209,000","853,105,000","878,779,000","919,304,000","860,144,000","826,399,000","852,346,000","860,171,000","737,141,000","801,011,000","786,601,000","677,086,000","593,836,000","708,578,000","657,276,000","592,353,000","547,073,000","744,275,000","616,377,000","615,584,000","756,168,000","995,062,000","650,765,000","585,321,000","1,001,207,000","1,032,500,000","783,000,000","605,100,000","1,222,800,000","1,297,700,000","879,300,000","846,200,000","1,152,700,000","1,265,200,000","1,023,200,000","940,900,000","1,013,700,000","1,337,200,000","820,800,000","752,300,000","942,600,000","1,032,800,000","842,500,000","686,300,000","974,900,000","963,700,000","656,000,000","671,100,000","749,600,000","863,700,000","690,700,000","495,600,000","836,700,000","888,300,000","826,600,000","477,800,000","941,500,000","874,200,000","695,400,000","229,400,000","908,200,000","1,015,000,000","743,900,000","542,900,000","702,100,000","891,300,000","678,800,000","571,900,000","753,000,000","903,400,000","692,000,000","543,100,000","561,200,000","770,100,000","539,800,000","456,400,000","533,100,000","696,700,000","417,600,000","218,200,000","282,100,000","394,400,000","234,000,000"
	OperatingRevenue,"2,091,150,000","640,610,000","647,680,000","453,247,000","349,613,000","609,137,000","664,578,000","376,348,000","315,400,000","613,992,000","505,049,000","474,513,000","295,901,000","657,696,000","636,107,000","539,604,000","379,719,000","607,496,000","653,581,000","488,248,000","284,622,000","650,030,000","668,771,000","456,942,000","295,475,000","803,980,000","584,592,000","456,382,000","275,419,000","778,159,000","758,054,000","464,116,000","271,472,000","689,916,000","767,802,000","650,869,000","433,528,000","645,092,000","680,029,000","675,187,000","461,391,000","653,966,000","672,420,000","641,026,000","479,465,000","680,215,000","688,208,000","664,188,000","538,916,000","566,503,000","661,205,000","647,918,000","616,112,000","563,638,000","699,144,000","785,590,000","506,287,000","467,181,000","573,094,000","655,330,000","450,217,000","497,297,000","515,914,000","629,656,000","943,209,000","853,105,000","878,779,000","919,304,000","860,144,000","826,399,000","852,346,000","860,171,000","737,141,000","801,011,000","786,601,000","677,086,000","593,836,000","708,578,000","657,276,000","592,353,000","547,073,000","744,275,000","616,377,000","615,584,000","756,168,000","995,062,000","650,765,000","585,321,000","1,001,207,000","1,032,500,000","783,000,000","605,100,000","1,222,800,000","1,297,700,000","879,300,000","846,200,000","1,152,700,000","1,265,200,000","1,023,200,000","940,900,000","1,013,700,000","1,337,200,000","820,800,000","752,300,000","942,600,000","1,032,800,000","842,500,000","686,300,000","974,900,000","963,700,000","656,000,000","671,100,000","749,600,000","863,700,000","690,700,000","495,600,000","836,700,000","888,300,000","826,600,000","477,800,000","941,500,000","874,200,000","695,400,000","229,400,000","908,200,000","1,015,000,000","743,900,000","542,900,000","702,100,000","891,300,000","678,800,000","571,900,000","753,000,000","903,400,000","692,000,000","543,100,000","561,200,000","770,100,000","539,800,000","456,400,000","533,100,000","696,700,000","417,600,000","218,200,000","282,100,000","394,400,000","234,000,000"
CostOfRevenue,"1,694,675,000","524,676,000","521,171,000","361,272,000","287,556,000","493,610,000","533,431,000","308,267,000","262,046,000","522,934,000","412,076,000","379,892,000","238,265,000","552,243,000","520,677,000","440,144,000","307,498,000","490,999,000","545,063,000","395,172,000","230,765,000","530,845,000","533,318,000","369,098,000","243,278,000","663,038,000","464,686,000","358,288,000","227,030,000","656,068,000","610,482,000","379,045,000","215,932,000","586,712,000","628,495,000","531,557,000","362,060,000","538,195,000","554,588,000","537,138,000","369,361,000","542,863,000","525,315,000","521,600,000","385,107,000","561,437,000","534,164,000","530,914,000","436,679,000","455,609,000","516,541,000","500,575,000","476,748,000","468,442,000","533,176,000","630,447,000","403,253,000","390,972,000","446,089,000","512,614,000","366,049,000","424,129,000","378,348,000","500,224,000","786,934,000","714,264,000","742,497,000","754,833,000","720,576,000","648,202,000","705,758,000","709,660,000","601,067,000","640,893,000","647,008,000","521,320,000","475,090,000","576,644,000","525,571,000","476,230,000","419,996,000","610,590,000","499,911,000","497,457,000","605,880,000","853,756,000","529,182,000","373,720,000","840,881,000","883,800,000","653,500,000","389,700,000","1,080,100,000","1,129,200,000","742,700,000","641,100,000","996,900,000","1,103,600,000","880,900,000","750,800,000","871,900,000","1,185,100,000","700,300,000","606,600,000","803,100,000","883,100,000","738,800,000","529,700,000","867,800,000","842,900,000","566,600,000","533,900,000","668,900,000","753,800,000","575,300,000","383,000,000","741,300,000","768,700,000","706,600,000","382,500,000","839,800,000","764,100,000","593,100,000","399,800,000","734,900,000","806,500,000","576,400,000","373,100,000","536,600,000","692,900,000",,,,,,,,,,,,,,,,,
GrossProfit,"408,926,000","122,297,000","131,473,000","92,683,000","62,473,000","123,980,000","139,500,000","68,758,000","53,765,000","109,160,000","92,973,000","96,029,000","58,650,000","119,480,000","115,430,000","99,460,000","72,221,000","116,497,000","108,518,000","93,076,000","53,857,000","119,185,000","135,453,000","87,844,000","52,197,000","140,942,000","119,906,000","98,094,000","48,389,000","122,091,000","147,572,000","85,071,000","55,540,000","103,204,000","139,307,000","119,312,000","71,468,000","106,897,000","125,441,000","138,049,000","92,030,000","111,103,000","147,105,000","119,426,000","94,358,000","118,778,000","154,044,000","133,274,000","102,237,000","110,894,000","144,664,000","147,343,000","139,364,000","95,196,000","165,968,000","155,143,000","103,034,000","76,209,000","127,005,000","142,716,000","84,168,000","73,168,000","137,566,000","129,432,000","156,275,000","138,841,000","136,282,000","164,471,000","139,568,000","178,197,000","146,588,000","150,511,000","136,074,000","160,118,000","139,593,000","155,766,000","118,746,000","131,934,000","131,705,000","116,123,000","127,077,000","133,685,000","116,466,000","118,127,000","150,288,000","141,306,000","121,583,000","211,601,000","160,326,000","148,700,000","129,500,000","215,400,000","142,700,000","168,500,000","136,600,000","205,100,000","155,800,000","161,600,000","142,300,000","190,100,000","141,800,000","152,100,000","120,500,000","145,700,000","139,500,000","149,700,000","103,700,000","156,600,000","107,100,000","120,800,000","89,400,000","137,200,000","80,700,000","109,900,000","115,400,000","112,600,000","95,400,000","119,600,000","120,000,000","95,300,000","101,700,000","110,100,000","102,300,000","-170,400,000","173,300,000","208,500,000","167,500,000","169,800,000","165,500,000","198,400,000",,,,,,,,,,,,,,,,,
OperatingExpense,"240,686,000","65,173,000","60,267,000","65,402,000","49,844,000","58,637,000","59,335,000","52,407,000","49,410,000","70,078,000","48,858,000","52,830,000","51,136,000","57,874,000","58,302,000","45,090,000","63,852,000","56,219,000","48,839,000","48,101,000","47,302,000","58,868,000","52,068,000","40,834,000","60,199,000","60,498,000","54,081,000","60,810,000","51,296,000","73,061,000","53,539,000","59,809,000","63,777,000","60,471,000","66,468,000","68,455,000","66,619,000","65,889,000","60,928,000","59,275,000","49,203,000","67,654,000","53,636,000","106,751,000","51,986,000","64,939,000","55,458,000","51,649,000","60,183,000","68,267,000","75,719,000","71,478,000","69,592,000","72,058,000","88,556,000","83,948,000","64,847,000","60,125,000","47,869,000","66,569,000","51,107,000","36,732,000","63,010,000","73,587,000","124,769,000","116,053,000","100,794,000","99,933,000","100,566,000","112,635,000","94,602,000","100,728,000","94,849,000","83,621,000","79,939,000","85,307,000","69,887,000","74,942,000","67,199,000","88,977,000","68,861,000","73,362,000","61,644,000","59,781,000","76,198,000","78,151,000","69,647,000","156,615,000","81,418,000","89,200,000","77,900,000","157,100,000","87,600,000","85,700,000","78,300,000","141,500,000","89,400,000","77,000,000","78,400,000","136,100,000","83,100,000","77,000,000","71,500,000","103,500,000","85,900,000","85,600,000","71,100,000","108,300,000","73,400,000","85,100,000","66,200,000","124,500,000","58,300,000","66,900,000","73,700,000","100,700,000","56,100,000","55,800,000","70,700,000","83,900,000","59,200,000","56,700,000","58,900,000","-215,800,000","146,700,000","165,800,000","148,000,000","172,600,000","148,100,000","154,100,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"240,686,000","65,173,000","60,267,000","65,402,000","49,844,000","58,637,000","59,335,000","52,407,000","49,410,000","70,078,000","48,858,000","52,830,000","51,136,000","57,874,000","58,302,000","45,090,000","63,852,000","56,219,000","48,839,000","48,101,000","47,302,000","58,868,000","52,068,000","40,834,000","60,199,000","60,498,000","54,081,000","60,810,000","51,296,000","73,061,000","53,539,000","59,809,000","63,777,000","60,471,000","66,468,000","68,455,000","66,619,000","65,889,000","60,928,000","59,275,000","49,203,000","67,654,000","64,747,000","57,660,000","61,578,000","64,939,000","74,826,000","51,649,000","60,183,000","68,267,000","75,719,000","71,478,000","69,592,000","72,058,000","88,556,000","83,948,000","64,847,000","60,125,000","47,869,000","66,569,000","51,107,000","36,732,000","63,010,000","73,587,000","112,480,000","116,053,000","100,794,000","99,933,000","100,566,000","127,543,000","94,602,000","85,820,000","94,849,000","83,621,000","79,939,000","85,307,000","69,887,000","74,942,000","67,199,000","88,977,000","68,861,000","73,362,000","61,644,000","59,781,000","76,198,000","78,151,000","69,647,000","104,593,000","81,418,000","89,200,000","77,900,000","104,300,000","87,600,000","85,700,000","78,300,000","90,400,000","89,400,000","77,000,000","78,400,000","84,500,000","83,100,000","77,000,000","71,500,000","90,700,000","85,900,000","85,600,000","71,100,000","96,900,000","73,400,000","85,100,000","66,200,000","79,600,000","58,300,000","66,900,000","73,700,000","67,900,000","56,100,000","55,800,000","70,700,000","54,700,000","59,200,000","56,700,000","58,900,000","-241,600,000","146,700,000","165,800,000","148,000,000","145,500,000","148,100,000","154,100,000",,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,"-4,173,000",,,,,,,,,,,,,,,,,"0","-3,390,000",,,"-12,676,000",,,,"0",,,"-81,619,000",,,,,"0","-11,111,000","49,091,000","-9,592,000","0","-19,368,000",,,,,,,,,,,,,,,,,,"12,289,000",,,,,,,"14,908,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"168,240,000","57,124,000","71,206,000","27,281,000","12,629,000","65,343,000","80,165,000","16,351,000","4,355,000","39,082,000","44,115,000","43,199,000","7,514,000","61,606,000","57,128,000","54,370,000","8,369,000","60,278,000","59,679,000","44,975,000","6,555,000","60,317,000","83,385,000","47,010,000","-8,002,000","80,444,000","65,825,000","37,284,000","-2,907,000","49,030,000","94,033,000","25,262,000","-8,237,000","42,733,000","72,839,000","50,857,000","4,849,000","41,008,000","64,513,000","78,774,000","42,827,000","43,449,000","93,469,000","12,675,000","42,372,000","53,839,000","98,586,000","81,625,000","42,054,000","42,627,000","68,945,000","75,865,000","69,772,000","23,138,000","77,412,000","71,195,000","38,187,000","16,084,000","79,136,000","76,147,000","33,061,000","36,436,000","74,556,000","55,845,000","31,506,000","22,788,000","35,488,000","64,538,000","39,002,000","65,562,000","51,986,000","49,783,000","41,225,000","76,497,000","59,654,000","70,459,000","48,859,000","56,992,000","64,506,000","27,146,000","58,216,000","60,323,000","54,822,000","58,346,000","74,090,000","63,155,000","51,936,000","54,986,000","78,908,000","59,500,000","51,600,000","58,300,000","55,100,000","82,800,000","58,300,000","63,600,000","66,400,000","84,600,000","63,900,000","54,000,000","58,700,000","75,100,000","49,000,000","42,200,000","53,600,000","64,100,000","32,600,000","48,300,000","33,700,000","35,700,000","23,200,000","12,700,000","22,400,000","43,000,000","41,700,000","11,900,000","39,300,000","63,800,000","49,300,000","11,400,000","42,500,000","53,400,000","43,400,000","45,400,000","26,600,000","42,700,000","19,500,000","-2,800,000","17,400,000","44,300,000","678,800,000","-2,243,100,000","753,000,000","903,400,000","692,000,000","-1,778,500,000","561,200,000","770,100,000","539,800,000","-1,539,700,000","533,100,000","696,700,000","417,600,000","-863,000,000","282,100,000","394,400,000","234,000,000"
NetNonOperatingInterestIncomeExpense,"-26,830,000","-6,829,000","-7,253,000","-6,613,000","-6,135,000","-5,751,000","-6,733,000","-5,494,000","-6,651,000","-5,324,000","-5,033,000","-4,896,000","-3,020,000","-3,748,000","-4,499,000","-4,294,000","-3,437,000","-3,381,000","-3,854,000","-3,438,000","-3,262,000","-3,563,000","-3,569,000","-4,064,000","-3,691,000","-3,654,000","-3,485,000","-3,707,000","-3,645,000","-3,393,000","-4,489,000","-4,785,000","-3,877,000","-3,483,000","-4,813,000","-6,017,000","-5,045,000","-3,991,000","-5,487,000","-5,868,000","-6,013,000","-5,388,000","-5,656,000","-5,301,000","-5,176,000","-5,704,000","-5,503,000","-4,446,000","-4,682,000","-3,596,000","-5,308,000","-6,463,000","-7,590,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"917,000","118,000","209,000","517,000","73,000","63,000","2,000","101,000","159,000","169,000","164,000","240,000","1,008,000","488,000","233,000","299,000","512,000","324,000","166,000","526,000","670,000","281,000","482,000","271,000","363,000","282,000","452,000","205,000","239,000","218,000","148,000","67,000","143,000","201,000","344,000","143,000","261,000","244,000","183,000","70,000","157,000","74,000","519,000","364,000","357,000","109,000","754,000","1,416,000","444,000","327,000","130,000","231,000","565,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
