name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
OperatingCashFlow,"97,529,000","2,595,000","39,301,000","26,203,000","29,430,000","-2,965,000","39,499,000","-712,000","27,173,000","-6,417,000","46,699,000","12,949,000","22,951,000","9,899,000"
	CashFlowFromContinuingOperatingActivities,"97,529,000","2,595,000","39,301,000","26,203,000","29,430,000","-2,965,000","39,499,000","-712,000","27,173,000","-6,417,000","46,699,000","12,059,000","23,841,000","9,899,000"
		NetIncomeFromContinuingOperations,"-4,101,000","-334,000","-627,000","-3,948,000","808,000","2,288,000","230,000","-21,028,000","-29,075,000","-29,064,000","4,710,000","11,900,000","7,122,000","7,325,000"
		DepreciationAmortizationDepletion,"48,872,000","12,906,000","12,880,000","14,205,000","8,881,000","8,816,000","8,629,000","8,170,000","7,980,000","7,436,000","7,038,000","5,998,000","6,180,000","5,974,000"
			DepreciationAndAmortization,"48,872,000","12,906,000","12,880,000","14,205,000","8,881,000","8,816,000","8,629,000","8,170,000","7,980,000","7,436,000","7,038,000","5,998,000","6,180,000","5,974,000"
		DeferredTax,"-2,439,000","62,000","-41,000","-263,000","-2,197,000","-615,000","2,361,000",,,,,,,
			DeferredIncomeTax,"-2,439,000","62,000","-41,000","-263,000","-2,197,000","-615,000","2,361,000",,,,,,,
		AssetImpairmentCharge,"372,000","372,000","0",,,,"36,000",,,"0","0",,,"0"
		ProvisionandWriteOffofAssets,"-192,000","-279,000","43,000","-571,000","615,000","379,000","207,000","-102,000","193,000","-39,000","2,011,000","655,000","142,000","-824,000"
		StockBasedCompensation,"24,550,000","4,933,000","5,910,000","7,422,000","6,285,000","6,543,000","7,014,000","64,294,000","41,676,000","34,920,000","5,530,000","1,310,000","1,310,000","1,310,000"
		OtherNonCashItems,"5,296,000","1,787,000","1,240,000","1,267,000","1,002,000","1,037,000","38,000","-22,889,000","149,000","293,000","-311,000","963,000","-812,000","99,000"
		ChangeInWorkingCapital,"25,171,000","-16,852,000","19,896,000","8,091,000","14,036,000","-21,413,000","20,984,000","1,496,000","6,250,000","-19,963,000","27,721,000","-7,877,000","9,009,000","-3,985,000"
			ChangeInReceivables,"-8,160,000","2,688,000","-9,158,000","1,127,000","-2,817,000","13,810,000","-10,905,000","-2,950,000","-2,360,000","9,453,000","-13,126,000","-11,616,000","2,895,000","11,731,000"
				ChangesInAccountReceivables,"-8,160,000","2,688,000","-9,158,000","1,127,000","-2,817,000","13,810,000","-10,905,000","-2,950,000","-2,360,000","9,453,000","-13,126,000","-11,616,000","2,895,000","11,731,000"
			ChangeInPrepaidAssets,"7,154,000","-1,091,000","-1,523,000","-271,000","10,039,000","-13,437,000","2,791,000","-2,668,000","438,000","-2,102,000","455,000","240,000","763,000","-2,267,000"
			ChangeInPayablesAndAccruedExpense,"13,208,000","5,361,000","7,973,000","2,276,000","-2,402,000","-790,000","151,000","1,145,000","5,169,000","-3,739,000","8,046,000","-1,317,000","2,041,000","-2,363,000"
				ChangeInPayable,"3,144,000","1,555,000","2,318,000","-986,000","257,000","2,258,000","-3,035,000","-1,718,000","5,608,000","-2,697,000","3,740,000","895,000","760,000","-1,527,000"
					ChangeInAccountPayable,"3,144,000","1,555,000","2,318,000","-986,000","257,000","2,258,000","-3,035,000","-1,718,000","5,608,000","-2,697,000","3,740,000","895,000","760,000","-1,527,000"
				ChangeInAccruedExpense,"10,064,000","3,806,000","5,655,000","3,262,000","-2,659,000","-3,048,000","3,186,000","2,863,000","-439,000","-1,042,000","4,306,000","-2,212,000","1,281,000","-836,000"
			ChangeInOtherCurrentLiabilities,"-3,941,000","-763,000","-1,012,000","-1,153,000","-1,013,000","-1,519,000",,,,,,,,
			ChangeInOtherWorkingCapital,"16,910,000","-23,047,000","23,616,000","6,112,000","10,229,000","-19,477,000","28,947,000","5,969,000","3,003,000","-23,575,000","32,346,000","4,816,000","3,310,000","-11,086,000"
InvestingCashFlow,"-299,201,000","-17,259,000","-13,245,000","-68,609,000","-200,088,000","-14,516,000","-7,829,000","-6,399,000","-8,491,000","-21,656,000","-11,900,000","-9,288,000","-8,257,000","-8,115,000"
	CashFlowFromContinuingInvestingActivities,"-299,201,000","-17,259,000","-13,245,000","-68,609,000","-200,088,000","-14,516,000","-7,829,000","-6,399,000","-8,491,000","-21,656,000","-11,900,000","-9,288,000","-8,257,000","-8,115,000"
		CapitalExpenditureReported,"-12,351,000","-2,912,000","-3,758,000","-2,777,000","-2,904,000","-2,221,000","-2,604,000","-1,982,000","-3,558,000","-3,706,000","-4,876,000","-4,244,000","-4,186,000","-3,915,000"
		NetPPEPurchaseAndSale,"-41,064,000","-13,873,000","-9,487,000","-8,011,000","-9,693,000","-6,195,000","-5,973,000","-4,417,000","-4,933,000","-5,632,000","-7,024,000","-5,044,000","-4,071,000","-4,200,000"
			PurchaseOfPPE,"-41,064,000","-13,873,000","-9,487,000","-8,011,000","-9,693,000","-6,195,000","-5,973,000","-4,417,000","-4,933,000","-5,632,000","-7,024,000","-5,044,000","-4,071,000","-4,200,000"
		NetIntangiblesPurchaseAndSale,"-17,012,000",,,,,,,,"-3,558,000","-3,706,000",,,"-4,186,000","-3,915,000"
			PurchaseOfIntangibles,"-17,012,000",,,,,,,,"-3,558,000","-3,706,000",,,"-4,186,000","-3,915,000"
		NetBusinessPurchaseAndSale,"-245,786,000","-474,000","0","-57,821,000","-187,491,000","-6,100,000","748,000","0","0","-12,318,000","0","0","0","0"
			PurchaseOfBusiness,"-245,786,000","-474,000","0","-57,821,000","-187,491,000","-6,100,000","748,000","0","0","-12,318,000","0","0","0","0"
FinancingCashFlow,"38,821,000","39,780,000","-3,146,000","-14,693,000","16,880,000","-8,140,000","1,197,000","229,052,000","-120,271,000","103,654,000","-5,145,000","-890,000","-12,202,000","-12,392,000"
	CashFlowFromContinuingFinancingActivities,"38,821,000","39,780,000","-3,146,000","-14,693,000","16,880,000","-8,140,000","1,197,000","229,052,000","-120,271,000","103,654,000","-5,145,000","-890,000","-12,202,000","-12,392,000"
		NetIssuancePaymentsOfDebt,"49,707,000","50,000,000","-279,000","0","-14,000","-671,000","-222,000","-175,020,000","32,000","123,959,000","-1,227,000","-1,227,000","-1,228,000","-1,884,000"
