name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"358,850,000","88,282,000","90,281,000","84,911,000","95,376,000","88,796,000","84,302,000","78,112,000","70,761,000","63,401,000","63,125,000","70,772,000","63,355,000","65,725,000","73,720,000","78,035,000","74,196,000","65,269,000","58,771,000","56,888,000","57,709,000","54,462,000","48,085,000","53,227,000","52,941,000","46,027,000","51,394,000","48,664,000","56,119,000","64,017,000","60,735,000","58,402,000","53,361,000","53,233,000","55,258,000","55,091,000","46,865,000","41,946,000","50,424,000","52,948,000","55,467,000","59,668,000","58,551,000","58,560,000","65,402,000","70,455,000","72,975,000","68,672,000","57,377,000","51,709,000","49,138,000","47,746,000","50,627,000","50,448,000","51,324,000","51,278,000","49,297,000","53,469,000","53,947,000","47,693,000","47,206,000","46,981,000","48,033,000","46,932,000","49,210,000","47,872,000","46,294,000","45,298,000","44,579,000","43,180,000","40,637,000","43,048,000","45,374,000","42,521,000","39,111,000","35,877,000","38,693,000","37,740,000","41,637,000","39,503,000","36,831,000","34,620,000","39,032,000","51,599,000","50,260,000","55,019,000","69,168,000","67,851,000","62,778,000","57,786,000","53,800,000","49,400,000","44,800,000","42,000,000","40,400,000","39,300,000","41,700,000","43,200,000","43,100,000","41,400,000","39,700,000","37,939,000","36,800,000","35,700,000","36,700,000","35,800,000","37,800,000","37,300,000","35,100,000","33,800,000","31,900,000","30,100,000","27,700,000","25,800,000","23,500,000","21,700,000","20,100,000","18,700,000","16,800,000","16,400,000","15,600,000","15,100,000","15,400,000","14,500,000","13,500,000","12,100,000","11,000,000","9,700,000","8,700,000","7,400,000","7,200,000","7,100,000","7,100,000","7,100,000","5,900,000","5,900,000","5,800,000","5,800,000"
	OperatingRevenue,"358,850,000","88,282,000","90,281,000","84,911,000","95,376,000","88,796,000","84,302,000","78,112,000","70,761,000","63,401,000","63,125,000","70,772,000","63,355,000","65,725,000","73,720,000","78,035,000","74,196,000","65,269,000","58,771,000","56,888,000","57,709,000","54,462,000","48,085,000","53,227,000","52,941,000","46,027,000","51,394,000","48,664,000","56,119,000","64,017,000","60,735,000","58,402,000","53,361,000","53,233,000","55,258,000","55,091,000","46,865,000","41,946,000","50,424,000","52,948,000","55,467,000","59,668,000","58,551,000","58,560,000","65,402,000","70,455,000","72,975,000","68,672,000","57,377,000","51,709,000","49,138,000","47,746,000","50,627,000","50,448,000","51,324,000","51,278,000","49,297,000","53,469,000","53,947,000","47,693,000","47,206,000","46,981,000","48,033,000","46,932,000","49,210,000","47,872,000","46,294,000","45,298,000","44,579,000","43,180,000","40,637,000","43,048,000","45,374,000","42,521,000","39,111,000","35,877,000","38,693,000","37,740,000","41,637,000","39,503,000","36,831,000","34,620,000","39,032,000","51,599,000","50,260,000","55,019,000","69,168,000","67,851,000","62,778,000","57,786,000","53,800,000","49,400,000","44,800,000","42,000,000","40,400,000","39,300,000","41,700,000","43,200,000","43,100,000","41,400,000","39,700,000","37,939,000","36,800,000","35,700,000","36,700,000","35,800,000","37,800,000","37,300,000","35,100,000","33,800,000","31,900,000","30,100,000","27,700,000","25,800,000","23,500,000","21,700,000","20,100,000","18,700,000","16,800,000","16,400,000","15,600,000","15,100,000","15,400,000","14,500,000","13,500,000","12,100,000","11,000,000","9,700,000","8,700,000","7,400,000","7,200,000","7,100,000","7,100,000","7,100,000","5,900,000","5,900,000","5,800,000","5,800,000"
CostOfRevenue,"187,749,000","50,681,000","49,465,000","42,098,000","45,505,000","44,096,000","43,851,000","44,765,000","40,443,000","36,070,000","33,364,000","37,770,000","34,238,000","34,639,000","39,847,000","39,031,000","38,313,000","35,058,000","31,840,000","31,745,000","31,779,000","30,810,000","26,586,000","27,304,000","28,470,000","26,711,000","28,563,000","27,378,000","29,609,000","35,126,000","34,619,000","32,852,000","30,699,000","30,441,000","31,827,000","32,111,000","28,404,000","25,339,000","30,299,000","29,995,000","31,361,000","35,201,000","34,060,000","34,120,000","38,093,000","40,001,000","39,991,000","36,199,000","31,638,000","28,385,000","26,641,000","27,078,000","28,029,000","28,617,000","30,515,000","29,375,000","28,184,000","31,009,000","32,668,000","29,789,000","27,607,000","26,754,000","28,359,000","26,981,000","28,101,000","26,770,000","26,525,000","26,284,000","29,000,000","26,135,000","25,960,000","26,817,000","27,994,000","27,521,000","28,130,000","27,290,000","28,156,000","28,833,000","30,786,000","29,380,000","28,148,000","26,458,000","28,558,000","35,614,000","36,045,000","37,204,000","36,561,000","33,371,000","31,087,000","28,486,000","26,900,000","24,300,000","22,100,000","19,600,000","20,100,000","18,900,000","19,800,000","20,300,000","19,100,000","17,900,000","17,200,000","17,877,000","15,000,000","14,300,000","14,800,000","14,500,000","16,600,000","15,600,000","14,000,000","13,800,000","13,700,000","13,000,000","12,000,000","11,100,000","10,000,000","9,400,000","8,800,000","7,900,000","7,000,000","6,800,000","6,300,000","6,600,000","6,000,000","5,900,000","5,900,000","5,400,000","4,900,000","4,300,000","3,900,000",,,,,,,,,
GrossProfit,"171,101,000","37,601,000","40,816,000","42,813,000","49,871,000","44,700,000","40,451,000","33,347,000","30,318,000","27,331,000","29,761,000","33,002,000","29,117,000","31,086,000","33,873,000","39,004,000","35,883,000","30,211,000","26,931,000","25,143,000","25,930,000","23,652,000","21,499,000","25,923,000","24,471,000","19,316,000","22,831,000","21,286,000","26,510,000","28,891,000","26,116,000","25,550,000","22,662,000","22,792,000","23,431,000","22,980,000","18,461,000","16,607,000","20,125,000","22,953,000","24,106,000","24,467,000","24,491,000","24,440,000","27,309,000","30,454,000","32,984,000","32,473,000","25,739,000","23,324,000","22,497,000","20,668,000","22,598,000","21,831,000","20,809,000","21,903,000","21,113,000","22,460,000","21,279,000","17,904,000","19,599,000","20,227,000","19,674,000","19,951,000","21,109,000","21,102,000","19,769,000","19,014,000","15,579,000","17,045,000","14,677,000","16,231,000","17,380,000","15,000,000","10,981,000","8,587,000","10,537,000","8,907,000","10,851,000","10,123,000","8,683,000","8,162,000","10,474,000","15,985,000","14,215,000","17,815,000","32,607,000","34,480,000","31,691,000","29,300,000","26,900,000","25,100,000","22,700,000","22,400,000","20,300,000","20,400,000","21,900,000","22,900,000","24,000,000","23,500,000","22,500,000","20,062,000","21,800,000","21,400,000","21,900,000","21,300,000","21,200,000","21,700,000","21,100,000","20,000,000","18,200,000","17,100,000","15,700,000","14,700,000","13,500,000","12,300,000","11,300,000","10,800,000","9,800,000","9,600,000","9,300,000","8,500,000","9,400,000","8,600,000","7,600,000","6,700,000","6,100,000","5,400,000","4,800,000",,,,,,,,,
OperatingExpense,"125,439,000","32,821,000","31,915,000","30,841,000","29,862,000","29,980,000","28,846,000","27,244,000","28,285,000","29,704,000","28,866,000","26,950,000","26,736,000","26,593,000","26,797,000","25,971,000","27,217,000","26,525,000","26,475,000","25,043,000","26,468,000","25,030,000","24,056,000","23,650,000","25,072,000","24,745,000","25,283,000","23,504,000","25,717,000","25,281,000","26,070,000","27,699,000","27,676,000","28,231,000","27,065,000","24,335,000","25,443,000","23,742,000","24,342,000","22,657,000","23,397,000","24,003,000","23,283,000","22,766,000","22,925,000","24,034,000","22,461,000","21,091,000","21,098,000","20,748,000","16,671,000","18,736,000","20,489,000","20,574,000","22,482,000","21,504,000","21,878,000","21,563,000","19,999,000","20,049,000","18,477,000","19,413,000","57,691,000","19,186,000","19,685,000","18,456,000","17,826,000","17,734,000","15,267,000","17,200,000","17,243,000","16,847,000","17,112,000","16,121,000","16,554,000","16,276,000","16,227,000","15,658,000","15,964,000","14,735,000","16,262,000","15,360,000","15,213,000","15,852,000","16,674,000","15,767,000","20,934,000","20,567,000","20,490,000","20,077,000","19,700,000","17,700,000","17,400,000","17,800,000","17,200,000","17,200,000","16,900,000","15,900,000","14,900,000","13,700,000","13,800,000","11,826,000","13,300,000","12,700,000","12,200,000","11,600,000","11,200,000","10,600,000","10,200,000","9,500,000","8,600,000","8,300,000","7,800,000","7,600,000","7,400,000","6,600,000","6,400,000","6,000,000","5,700,000","5,200,000","4,900,000","4,500,000","4,500,000","3,800,000","3,600,000","3,400,000","3,100,000","3,000,000","3,000,000",,,,,,,,,
	SellingGeneralAndAdministration,"71,098,000","18,568,000","18,619,000","17,322,000","16,589,000","16,954,000","16,127,000","15,212,000","15,455,000","16,369,000","16,711,000","15,443,000","15,030,000","15,373,000","15,731,000","15,280,000","15,814,000","15,399,000","15,033,000","14,500,000","14,536,000","14,023,000","14,032,000","13,312,000","14,315,000","14,016,000","14,982,000","13,383,000","15,086,000","14,862,000","15,830,000","17,354,000","17,033,000","17,980,000","16,917,000","14,478,000","15,455,000","13,887,000","14,405,000","13,425,000","13,665,000","14,160,000","13,767,000","13,072,000","13,022,000","14,180,000","13,310,000","12,166,000","12,061,000","11,880,000","7,382,000","11,751,000","12,878,000","12,823,000","14,476,000","13,703,000","13,975,000","14,052,000","12,429,000","12,314,000","12,163,000","12,013,000","12,641,000","11,225,000","11,657,000","10,914,000","10,426,000","10,144,000","10,137,000","10,104,000","10,186,000","10,141,000","10,607,000","10,178,000","10,322,000","10,230,000","10,394,000","10,324,000","10,805,000","9,646,000","11,134,000","10,253,000","10,545,000","11,111,000","11,342,000","10,314,000","11,144,000","11,155,000","10,607,000","10,273,000","10,300,000","9,100,000","8,600,000","8,900,000","8,900,000","9,100,000","8,600,000","8,300,000","8,000,000","7,400,000","7,500,000","7,447,000","7,400,000","6,800,000","6,800,000","6,200,000","6,000,000","5,500,000","5,200,000","4,900,000","12,300,000","4,500,000","4,000,000","3,900,000","5,500,000","5,100,000","4,800,000","4,500,000","4,200,000","4,100,000","3,800,000","3,500,000","3,500,000","3,100,000","2,900,000","2,800,000","2,500,000","2,600,000","2,600,000",,,,,,,,,
	ResearchAndDevelopment,"54,341,000","14,253,000","13,296,000","13,519,000","13,273,000","13,026,000","12,719,000","12,032,000","12,830,000","13,335,000","12,155,000","11,507,000","11,706,000","11,220,000","11,066,000","10,691,000","11,403,000","11,126,000","11,442,000","10,543,000","11,932,000","11,007,000","10,024,000","10,338,000","10,757,000","10,729,000","10,301,000","10,121,000","10,631,000","10,419,000","10,240,000","10,345,000","10,643,000","10,251,000","10,148,000","9,857,000","9,988,000","9,855,000","9,937,000","9,232,000","9,732,000","9,843,000","9,516,000","9,694,000","9,903,000","9,854,000","9,151,000","8,925,000","9,037,000","8,868,000","8,443,000","7,831,000","7,611,000","7,751,000","8,006,000","7,801,000","8,080,000","7,511,000","7,570,000","7,735,000","7,667,000","7,400,000","7,850,000","7,961,000","8,028,000","7,542,000","7,400,000","7,590,000","7,380,000","7,096,000","7,057,000","6,706,000","6,505,000","5,943,000","6,232,000","6,046,000","5,833,000","5,334,000","5,159,000","5,089,000","5,128,000","5,107,000","4,668,000","4,741,000","5,332,000","5,453,000","4,982,000","4,962,000","5,348,000","5,271,000","4,900,000","4,900,000","4,900,000","5,200,000","5,100,000","4,900,000","5,200,000","5,500,000","4,900,000","4,200,000","4,200,000","4,379,000","3,800,000","3,800,000","3,300,000","3,400,000","3,200,000","3,000,000","2,900,000","2,600,000",,"1,900,000","1,900,000","1,900,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000","47,000",,,,,,,,,,,,,,,,,,,,,,,,,,"4,808,000","4,450,000","4,535,000","4,533,000","4,500,000","3,700,000","3,900,000","3,700,000","3,200,000","3,200,000","3,100,000","2,100,000","2,000,000","2,100,000","2,100,000",,"2,100,000","2,100,000","2,100,000","2,000,000","2,000,000","2,100,000","2,100,000","2,000,000","1,900,000","1,900,000","1,900,000","1,800,000","1,900,000","1,500,000","1,600,000","1,500,000","1,500,000","1,100,000","1,100,000","1,000,000","1,000,000","700,000","700,000","600,000","600,000","400,000","400,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000","47,000",,,,,,,,,,,,,,,,,,,,,,,,,,"4,808,000","4,450,000","4,535,000","4,533,000","4,500,000","3,700,000","3,900,000","3,700,000","3,200,000","3,200,000","3,100,000","2,100,000","2,000,000","2,100,000","2,100,000",,"2,100,000","2,100,000","2,100,000","2,000,000","2,000,000","2,100,000","2,100,000","2,000,000","1,900,000","1,900,000","1,900,000","1,800,000","1,900,000","1,500,000","1,600,000","1,500,000","1,500,000","1,100,000","1,100,000","1,000,000","1,000,000","700,000","700,000","600,000","600,000","400,000","400,000",,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000","47,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
