name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
TotalRevenue,"851,000,000","214,700,000","198,800,000","226,300,000","211,200,000","203,500,000","177,100,000","170,000,000","171,200,000","197,000,000","200,100,000","202,400,000","196,700,000","195,800,000","185,700,000","204,800,000","191,200,000","201,200,000","176,200,000","215,700,000","170,100,000","154,800,000","157,400,000","172,100,000","151,400,000","149,800,000","146,800,000","160,000,000"
	OperatingRevenue,"851,000,000","214,700,000","198,800,000","226,300,000","211,200,000","203,500,000","177,100,000","170,000,000","171,200,000","197,000,000","200,100,000","202,400,000","196,700,000","195,800,000","185,700,000","204,800,000","191,200,000","201,200,000","176,200,000","215,700,000","170,100,000","154,800,000","157,400,000","172,100,000","151,400,000","149,800,000","146,800,000","160,000,000"
CostOfRevenue,"565,700,000","143,900,000","134,000,000","150,700,000","137,100,000","138,900,000","119,900,000","124,800,000","144,900,000","139,400,000","139,000,000","130,800,000","136,000,000","131,400,000","125,700,000","145,600,000","128,200,000","131,100,000","114,700,000","138,000,000","110,600,000","97,200,000","98,600,000","102,900,000","88,400,000","90,700,000","89,700,000","99,700,000"
GrossProfit,"285,300,000","70,800,000","64,800,000","75,600,000","74,100,000","64,600,000","57,200,000","45,200,000","26,300,000","57,600,000","61,100,000","71,600,000","60,700,000","64,400,000","60,000,000","59,200,000","63,000,000","70,100,000","61,500,000","77,700,000","59,500,000","57,600,000","58,800,000","69,200,000","63,000,000","59,100,000","57,100,000","60,300,000"
OperatingExpense,"192,500,000","44,200,000","50,800,000","49,100,000","48,400,000","48,800,000","51,100,000","58,000,000","50,400,000","56,200,000","56,500,000","50,600,000","56,100,000","49,900,000","49,600,000","52,800,000","55,700,000","52,900,000","47,900,000","51,100,000","44,000,000","34,100,000","40,200,000","36,200,000","34,600,000","33,900,000","34,500,000","34,300,000"
	SellingGeneralAndAdministration,"118,900,000","25,300,000","33,100,000","31,300,000","29,200,000","30,600,000","34,400,000","40,700,000","31,400,000","35,300,000","34,800,000","31,000,000","35,200,000","31,100,000","30,800,000","32,100,000","35,200,000","30,900,000","28,200,000","29,200,000","26,300,000","19,700,000","26,900,000","22,300,000","20,600,000","20,800,000","22,000,000","18,600,000"
	ResearchAndDevelopment,"73,600,000","18,900,000","17,700,000","17,800,000","19,200,000","18,200,000","16,700,000","17,300,000","19,000,000","20,900,000","21,700,000","19,600,000","20,900,000","18,800,000","18,800,000","20,700,000","20,500,000","22,000,000","19,700,000","21,900,000","17,700,000","14,400,000","13,300,000","13,900,000","14,000,000","13,100,000","12,500,000","15,700,000"
OperatingIncome,"92,800,000","26,600,000","14,000,000","26,500,000","25,700,000","15,800,000","6,100,000","-12,800,000","-24,100,000","1,400,000","4,600,000","21,000,000","4,600,000","14,500,000","10,400,000","6,400,000","7,300,000","17,200,000","13,600,000","26,600,000","15,500,000","23,500,000","18,600,000","33,000,000","28,400,000","25,200,000","22,600,000","26,000,000"
NetNonOperatingInterestIncomeExpense,"-42,200,000","-11,000,000","-9,900,000","-10,700,000","-10,600,000","-10,400,000","-10,300,000","-14,500,000","-6,900,000","-4,500,000","-5,400,000","-5,400,000","-5,100,000","-5,400,000","-5,100,000","-5,100,000","-5,400,000","-5,600,000","-5,400,000","-6,500,000","-4,100,000","-1,000,000","-500,000","-700,000","-300,000","-400,000","-200,000","-200,000"
	InterestIncomeNonOperating,"200,000","100,000",,"100,000","0","0",,"0","0","100,000",,"0","0","100,000","0","100,000",,,"100,000","0","100,000","0","100,000","-100,000","100,000","100,000","100,000","200,000"
	InterestExpenseNonOperating,"41,100,000","9,300,000","9,400,000","12,400,000","10,000,000","9,900,000","9,800,000","14,500,000","6,900,000","4,600,000","5,400,000","5,400,000","5,100,000","5,500,000","5,100,000","5,200,000","5,400,000","5,600,000","5,500,000","6,500,000","4,200,000","1,000,000","600,000","600,000","400,000","500,000","300,000","400,000"
	TotalOtherFinanceCost,,"1,800,000","500,000",,"600,000","500,000","500,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-3,600,000","-2,000,000","-800,000","-1,000,000","200,000","-2,200,000","-500,000","-3,200,000","-8,800,000","2,000,000","-400,000","-5,400,000","-100,000","-1,300,000","-1,200,000","-1,100,000","700,000","4,100,000","-1,100,000","-1,900,000","4,400,000","-100,000","200,000","-500,000","-1,000,000","100,000","-1,200,000","-200,000"
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,"-500,000",,,,"-400,000"
	SpecialIncomeCharges,,,,"0","0",,,"-1,900,000","-2,700,000","0",,"0",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,"0","0",,,"100,000","2,700,000","0",,"0",,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-3,600,000","-2,000,000","-800,000","-1,000,000","200,000","-2,200,000","-500,000","-2,300,000","-6,100,000","2,000,000","-400,000","-600,000","-100,000","-1,300,000","-1,200,000","-1,000,000","700,000","4,100,000","-1,100,000","-1,900,000","4,400,000","-100,000","200,000","0","-1,000,000","100,000","-1,200,000","200,000"
PretaxIncome,"47,000,000","13,600,000","3,300,000","14,800,000","15,300,000","3,200,000","-4,700,000","-30,500,000","-39,800,000","-1,100,000","-1,200,000","10,200,000","-600,000","7,800,000","4,100,000","200,000","2,600,000","15,700,000","7,100,000","18,200,000","15,800,000","22,400,000","18,300,000","31,800,000","27,100,000","24,900,000","21,200,000","25,600,000"
TaxProvision,"16,800,000","6,000,000","1,700,000","6,000,000","3,100,000","0","1,600,000","-4,300,000","-11,600,000","700,000","0","2,000,000","700,000","1,900,000","1,100,000","-200,000","-1,300,000","3,400,000","-4,300,000","3,200,000","5,100,000","7,400,000","7,100,000","9,600,000","9,300,000","10,100,000","7,000,000","9,500,000"
NetIncomeCommonStockholders,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
	NetIncome,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
		NetIncomeIncludingNoncontrollingInterests,"30,200,000","7,600,000","1,600,000","8,800,000","12,200,000","3,200,000","-6,300,000","-26,200,000","-28,200,000","-1,800,000","-1,200,000","8,200,000","-1,300,000","5,900,000","3,000,000","400,000","3,900,000","12,300,000","11,400,000","15,000,000","10,700,000","15,000,000","11,200,000","22,200,000","17,800,000","14,800,000","14,200,000","16,100,000"
			NetIncomeContinuousOperations,"30,200,000","7,600,000","1,600,000","8,800,000","12,200,000","3,200,000","-6,300,000","-26,200,000","-28,200,000","-1,800,000","-1,200,000","8,200,000","-1,300,000","5,900,000","3,000,000","400,000","3,900,000","12,300,000","11,400,000","15,000,000","10,700,000","15,000,000","11,200,000","22,200,000","17,800,000","14,800,000","14,200,000","16,100,000"
		MinorityInterests,"-500,000","0","-200,000","-100,000","-200,000","-100,000","-100,000","-200,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","0","-400,000","-100,000","-100,000","-100,000","-200,000","-100,000","0","-100,000","-200,000","-200,000","-100,000","-100,000","-500,000"
DilutedNIAvailtoComStockholders,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
BasicEPS,,"0.19","0.04","0.22","0.31","0.08","-0.16","-0.66","-0.73","-0.05","-0.03","0.21","-0.04","0.15","0.08","0.01","0.1","0.32","0.3","0.4","0.28","0.4","0.297",,"0.461","0.385","0.369",
DilutedEPS,,"0.18","0.03","0.2","0.29","0.08","-0.16","-0.66","-0.73","-0.05","-0.03","0.21","-0.04","0.15","0.08","0.01","0.1","0.32","0.3","0.39","0.28","0.4","0.297",,"0.458","0.383","0.367",
BasicAverageShares,,"39,700,000","39,500,000","39,400,000","39,400,000","39,200,000","39,100,000","39,100,000","39,000,000","38,600,000","38,500,000","38,400,000","38,300,000","38,200,000","38,100,000","38,000,000","37,900,000","37,800,000","37,700,000","37,600,000","37,600,000","37,500,000","37,400,000",,"38,200,000","38,200,000","38,200,000",
DilutedAverageShares,,"42,200,000","43,900,000","43,500,000","41,300,000","40,000,000","39,100,000","39,100,000","39,000,000","38,600,000","38,500,000","38,900,000","38,300,000","38,500,000","38,300,000","38,400,000","38,400,000","38,400,000","38,200,000","38,000,000","38,000,000","37,800,000","37,400,000",,"38,400,000","38,400,000","38,400,000",
TotalOperatingIncomeAsReported,"92,800,000","26,600,000","14,000,000","26,500,000","25,700,000","15,800,000","6,100,000","-12,900,000","-26,800,000","1,400,000","4,600,000","16,200,000","4,600,000","14,500,000","10,400,000","6,400,000","7,300,000","17,200,000","13,600,000","26,600,000","15,500,000","23,500,000","18,600,000","33,000,000","28,400,000","25,200,000","22,600,000","26,000,000"
TotalExpenses,"758,200,000","188,100,000","184,800,000","199,800,000","185,500,000","187,700,000","171,000,000","182,800,000","195,300,000","195,600,000","195,500,000","181,400,000","192,100,000","181,300,000","175,300,000","198,400,000","183,900,000","184,000,000","162,600,000","189,100,000","154,600,000","131,300,000","138,800,000","139,100,000","123,000,000","124,600,000","124,200,000","134,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"29,700,000","7,600,000","1,400,000","8,700,000","12,000,000","3,100,000","-6,400,000","-26,400,000","-28,300,000","-1,900,000","-1,300,000","8,100,000","-1,400,000","5,800,000","3,000,000","0","3,800,000","12,200,000","11,300,000","14,800,000","10,600,000","15,000,000","11,100,000","22,000,000","17,600,000","14,700,000","14,100,000","15,600,000"
