name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
TotalAssets,"4,259,825,000","4,527,318,000","4,567,167,000","4,591,477,000","5,160,358,000","5,147,786,000","5,190,743,000","5,360,012,000","5,285,532,000","5,292,798,000","5,720,935,000","5,327,712,000","5,274,284,000","5,060,644,000","5,046,194,000","4,858,284,000","4,815,606,000","4,957,885,000","4,995,519,000","5,076,494,000","4,914,227,000","4,296,766,000","4,435,619,000","4,213,540,000","4,228,450,000","4,063,490,000","4,001,902,000","4,153,465,000","4,198,854,000","4,192,247,000","4,357,197,000","4,354,772,000","4,354,343,000","4,515,328,000","4,609,263,000","4,638,064,000","4,585,269,000","4,526,045,000","4,269,573,000","4,270,207,000","4,299,434,000","4,295,759,000","4,309,872,000","4,326,483,000","4,330,590,000","4,362,466,000","4,459,172,000","4,517,670,000","4,684,305,000","4,721,637,000","4,757,236,000","4,535,045,000","4,409,128,000","4,443,922,000","4,492,890,000","4,541,287,000","4,560,962,000","4,593,202,000","4,615,835,000","4,620,222,000","4,473,403,000","4,422,889,000","4,668,761,000","4,622,422,000","4,314,965,000","4,247,502,000","4,157,504,000","4,121,216,000","4,193,212,000","3,850,165,000","3,810,106,000","3,820,851,000","3,694,491,000","3,749,570,000","3,711,515,000","3,794,873,000","3,809,480,000","3,796,429,000","3,812,330,000","3,775,508,000","3,768,371,000","3,746,770,000","3,728,839,000","3,759,919,000","3,681,059,000","3,676,977,000","3,646,162,000","3,628,104,000","3,650,756,000","3,629,601,000","3,598,100,000","3,538,600,000","3,498,900,000","3,452,194,000","3,424,900,000","3,352,700,000","3,085,300,000","2,593,444,000","1,417,200,000","1,373,700,000","1,302,000,000","1,026,328,000","421,800,000","402,300,000","371,700,000","363,900,000","262,900,000","254,500,000","242,600,000","225,300,000"
	CurrentAssets,"554,572,000","777,622,000","656,621,000","254,876,000","827,821,000","840,689,000","899,125,000","1,271,914,000","1,097,499,000","1,185,541,000","587,352,000","227,352,000","542,089,000","419,088,000","354,867,000","330,999,000","316,199,000","478,292,000","573,223,000","559,444,000","405,406,000","309,946,000","389,591,000","352,900,000","539,641,000","266,324,000","258,273,000","243,806,000","250,075,000","250,573,000","441,429,000","361,418,000","345,972,000","436,305,000","584,469,000","394,109,000","335,534,000","314,224,000","392,406,000","184,920,000","184,634,000","393,137,000","393,818,000","178,322,000","170,254,000","390,511,000","263,105,000","294,534,000","429,599,000","652,972,000","427,245,000","178,681,000","169,489,000","382,425,000","149,067,000","176,451,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"26,138,000","31,754,000","23,308,000","37,628,000","261,682,000","38,096,000","22,872,000","26,295,000","25,264,000","25,589,000","34,768,000","60,638,000","12,061,000","29,633,000","10,823,000","29,664,000","25,307,000","28,180,000","88,789,000","21,719,000","168,316,000","31,611,000","21,555,000","29,457,000","116,421,000","37,077,000","30,866,000","19,813,000","19,315,000","29,549,000","105,528,000","80,943,000","58,734,000","221,706,000","308,043,000","177,939,000","24,184,000","58,245,000","21,543,000","19,303,000","20,524,000","20,496,000","15,854,000","18,094,000","10,728,000","21,851,000","105,812,000","140,990,000","274,066,000","291,059,000","279,156,000","33,203,000","31,898,000","21,621,000","7,680,000","33,777,000","35,748,000","29,555,000","35,092,000","199,962,000","319,032,000","101,223,000","20,780,000","20,417,000","11,605,000","111,244,000","9,571,000","15,710,000","13,087,000","12,270,000","11,562,000","7,933,000","10,975,000","78,375,000","35,294,000","8,585,000","15,262,000","1,167,000","76,819,000","64,939,000","2,136,000","12,835,000","44,966,000","22,738,000","11,720,000","13,179,000","10,590,000","10,535,000","6,174,000","8,671,000",,,,"5,809,000",,,,"2,704,000",,,,"204,807,000",,,,,,,,
			CashAndCashEquivalents,"26,138,000","31,754,000","23,308,000","37,628,000","261,682,000","38,096,000","22,872,000","26,295,000","25,264,000","25,589,000","34,768,000","60,638,000","12,061,000","29,633,000","10,823,000","29,664,000","25,307,000","28,180,000","88,789,000","21,719,000","168,316,000","31,611,000","21,555,000","29,457,000","116,421,000","37,077,000","30,866,000","19,813,000","19,315,000","29,549,000","105,528,000","80,943,000","58,734,000","221,706,000","308,043,000","177,939,000","24,184,000","58,245,000","21,543,000","19,303,000","20,524,000","20,496,000","15,854,000","18,094,000","10,728,000","21,851,000","105,812,000","140,990,000","274,066,000","291,059,000","279,156,000","33,203,000","31,898,000","21,621,000","7,680,000","33,777,000","30,591,000","24,716,000","29,981,000","18,903,000","150,171,000","101,223,000","20,780,000","20,417,000","11,605,000","60,397,000","9,571,000","15,710,000","13,087,000","12,270,000","11,562,000","7,933,000","10,975,000","78,375,000","35,294,000","8,585,000","15,262,000","1,167,000","76,819,000","64,939,000","2,136,000","12,835,000","44,966,000","22,738,000","11,720,000","13,179,000","10,590,000","10,535,000","6,174,000","8,671,000",,,,"5,809,000",,,,"2,704,000",,,,"204,807,000",,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,"320,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,"5,157,000","4,839,000","5,111,000","181,059,000","168,861,000","0","0","0","0","50,847,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"58,774,000","78,663,000","82,664,000","85,760,000","98,406,000","95,452,000","98,894,000","107,966,000","103,952,000","104,503,000","106,280,000","104,717,000","146,941,000","153,518,000","157,427,000","156,539,000","160,040,000","157,795,000","224,619,000","118,058,000","117,480,000","123,920,000","128,809,000","123,690,000","142,981,000","144,496,000","141,203,000","143,533,000","154,419,000","153,952,000","208,947,000","221,256,000","172,389,000","167,221,000","165,920,000","154,413,000","155,432,000","149,163,000","144,712,000","144,799,000","142,845,000","141,455,000","140,483,000","139,841,000","139,702,000","139,312,000","139,257,000","134,224,000","133,679,000","127,558,000","127,369,000","124,693,000","124,673,000","135,663,000","129,198,000","129,780,000","130,581,000","144,166,000","136,324,000","135,647,000","104,934,000","100,847,000","107,757,000","129,716,000","105,009,000","98,493,000","94,695,000","91,571,000","92,885,000","87,150,000","86,289,000","83,741,000","81,064,000","79,066,000","75,567,000","73,538,000","71,039,000","71,049,000","66,424,000","65,973,000","68,723,000","65,990,000","65,337,000","66,239,000","63,497,000","58,745,000","54,890,000","50,771,000","64,241,000","60,063,000","5,300,000","48,400,000","6,800,000","44,966,000","6,300,000","5,500,000","3,800,000","38,424,000","12,900,000","3,500,000","3,600,000","21,779,000","1,400,000","1,300,000","1,800,000","1,300,000","1,100,000","1,600,000","1,200,000","1,100,000"
			AccountsReceivable,"2,233,000","2,363,000","3,842,000","3,921,000","7,551,000","9,378,000","10,784,000","11,448,000","6,255,000","7,192,000","8,250,000","9,476,000","7,202,000","5,372,000","7,197,000","6,389,000","7,331,000","6,786,000","7,579,000","7,706,000","9,603,000","9,617,000","9,949,000","5,793,000","9,511,000","10,754,000","9,180,000","12,137,000","9,442,000","8,576,000","10,841,000","11,256,000","11,246,000","8,931,000","9,178,000","8,008,000","9,105,000","9,179,000","8,023,000","8,943,000","7,851,000","7,154,000","8,616,000","8,842,000","10,994,000","12,395,000","14,691,000","11,623,000","12,046,000","8,089,000","10,300,000","9,374,000","11,130,000","23,139,000","19,430,000","19,578,000","21,546,000","36,405,000","29,573,000","29,432,000","25,454,000","27,639,000","42,098,000","25,689,000","6,134,000","5,801,000","6,101,000","5,750,000","7,057,000","4,564,000","3,685,000","3,159,000","3,419,000","4,458,000","4,968,000","3,285,000","3,999,000","6,290,000","4,815,000","4,447,000","5,151,000","5,161,000","6,043,000","8,121,000","9,223,000","8,246,000","7,770,000","6,950,000","8,855,000","6,810,000","5,300,000","48,400,000","6,800,000","3,928,000","6,300,000","5,500,000","3,800,000","3,736,000","12,900,000","3,500,000","3,600,000","2,074,000","1,400,000","1,300,000","1,800,000","1,300,000","1,100,000","1,600,000","1,200,000","1,100,000"
				GrossAccountsReceivable,,,,,,,,,,,"9,651,000","10,795,000","7,804,000","6,480,000","7,734,000","6,718,000","8,094,000","7,924,000","8,899,000","8,851,000","10,658,000","10,952,000","11,257,000","7,018,000","10,113,000","12,161,000","10,759,000","14,008,000","10,955,000","11,160,000","12,249,000","13,419,000","13,208,000","11,763,000","12,300,000","10,092,000","11,324,000","11,793,000","10,971,000","11,918,000","10,056,000","9,851,000","11,191,000","11,061,000","13,077,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,"-1,401,000","-1,319,000","-602,000","-1,108,000","-537,000","-329,000","-763,000","-1,138,000","-1,320,000","-1,145,000","-1,055,000","-1,335,000","-1,308,000","-1,225,000","-602,000","-1,407,000","-1,579,000","-1,871,000","-1,513,000","-2,584,000","-1,408,000","-2,163,000","-1,962,000","-2,832,000","-3,122,000","-2,084,000","-2,219,000","-2,614,000","-2,948,000","-2,975,000","-2,205,000","-2,697,000","-2,575,000","-2,219,000","-2,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"3,380,000","4,015,000","5,871,000","11,053,000","11,000,000","1,167,000","1,292,000","1,417,000","1,542,000","1,625,000","1,792,000","1,917,000","47,893,000","47,409,000","50,910,000","51,898,000","54,291,000","50,167,000","114,760,000","4,805,000","5,019,000","13,251,000","13,313,000","13,374,000","13,435,000","13,496,000","13,557,000","13,619,000","21,430,000","21,491,000","73,828,000","83,889,000","21,925,000","21,986,000","22,047,000","3,683,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"7,250,000",,,,,,,,,,,,
