name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
OperatingCashFlow,"815,952,000","207,100,000","206,243,000","260,065,000","142,508,000","198,336,000","195,221,000","139,590,000","215,312,000","180,060,000","193,598,000","208,119,000","164,845,000","187,330,000","218,500,000","187,461,000","201,817,000","89,989,000","199,193,000","174,671,000","180,711,000","148,186,000","195,472,000","168,186,000","160,665,000","143,626,000","188,535,000","155,322,000","174,956,000","132,669,000","170,473,000","167,738,000","121,109,000","141,629,000","147,440,000","134,484,000","146,836,000","150,637,000","170,759,000","121,622,000","134,971,000","110,278,000","124,214,000","108,451,000","12,949,000","90,287,000","46,727,000","-81,841,000","149,200,000","101,120,000","173,149,000","100,777,000","82,827,000","38,438,000","122,977,000","115,285,000","169,478,000","74,303,000","206,222,000","109,206,000","111,055,000","43,977,000","143,677,000","92,796,000","144,585,000","93,721,000","169,448,000","125,579,000","140,066,000","73,860,000","134,956,000","84,477,000","98,403,000","47,502,000","83,759,000","93,558,000","80,806,000","100,317,000","83,185,000","86,101,000","46,635,000","24,170,000","60,007,000","51,985,000","49,503,000","66,043,000","40,938,000","84,002,000","64,442,000","2,615,000","11,165,000","3,200,000","3,600,000","-3,300,000","-1,200,000","-2,900,000","-2,100,000","-5,600,000"
	CashFlowFromContinuingOperatingActivities,"815,952,000","207,100,000","206,243,000","260,065,000","142,508,000","198,336,000","195,221,000","139,590,000","215,312,000","180,060,000","193,598,000","208,119,000","164,845,000","187,330,000","218,500,000","187,461,000","201,817,000","89,989,000","199,193,000","174,671,000","180,711,000","148,186,000","195,472,000","168,186,000","160,665,000","143,626,000","188,535,000","155,322,000","174,956,000","132,669,000","170,473,000","167,738,000","121,109,000","141,629,000","147,440,000","134,484,000","146,836,000","150,637,000","170,759,000","121,622,000","134,971,000","110,278,000","124,214,000","108,451,000","12,949,000","90,287,000","46,727,000","-81,841,000","149,200,000","101,120,000","173,149,000","100,777,000","82,827,000","38,438,000","122,977,000","115,285,000","169,478,000","74,303,000","206,222,000","110,563,000","111,055,000","43,977,000","143,677,000","92,796,000","144,585,000","93,721,000","171,282,000","125,579,000","140,066,000","73,860,000","134,956,000","84,477,000","98,403,000","47,502,000","83,759,000","93,558,000","80,806,000","100,317,000","83,185,000","86,101,000","46,635,000","24,170,000","60,007,000","51,985,000","49,503,000","66,043,000","40,938,000","84,002,000","64,442,000","2,615,000","11,165,000","3,200,000","3,600,000","-3,300,000","-1,200,000","-2,900,000","-2,100,000","-5,600,000"
		NetIncomeFromContinuingOperations,"791,930,000","157,500,000","330,082,000","156,622,000","147,772,000","150,354,000","157,314,000","170,979,000","152,479,000","334,116,000","148,325,000","153,913,000","147,534,000","162,527,000","182,195,000","137,680,000","128,351,000","134,263,000","102,837,000","114,899,000","123,100,000","116,412,000","105,552,000","114,427,000","113,210,000","107,456,000","101,530,000","92,457,000","93,011,000","88,238,000","65,472,000","95,189,000","100,176,000","94,423,000","292,149,000","80,898,000","86,890,000","84,513,000","105,641,000","77,910,000","68,472,000","68,009,000","53,814,000","58,916,000","-10,610,000","40,771,000","-40,505,000","785,545,000","36,374,000","52,440,000","93,353,000","54,599,000","35,772,000","65,515,000","-100,511,000","-200,034,000","-55,560,000","-18,587,000","-215,542,000","19,004,000","-4,717,000","61,753,000","-29,532,000","15,274,000","373,502,000","19,771,000","271,417,000","44,574,000","41,295,000","49,175,000","114,812,000","40,398,000","21,945,000","9,070,000","-32,290,000","-31,303,000","-142,850,000","-53,436,000","-39,380,000","-79,672,000","-4,802,535,000","-39,710,000","-401,110,000","-386,735,000","-11,190,730,000","-1,377,377,000","-1,312,195,000","-1,324,186,000","-452,938,000","-26,155,000","4,555,000","1,500,000","-100,000","-2,000,000","-2,500,000","-7,100,000","-4,900,000","-5,200,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"-54,840,000","0",,,"893,000","186,000",,,"9,000","-1,440,000","94,000","-1,065,000","4,887,000","4,747,000","-2,708,000","7,019,000","1,709,000","6,562,000","-5,246,000","-5,269,000",,,,,,,,,,,,,"10,237,000",,,,,"42,593,000","23,742,000","-6,098,000","-140,826,000","-36,634,000","95,527,000","1,121,000","125,055,000","-27,813,000","40,305,000","-75,707,000","753,000","1,905,000","-11,060,000","6,719,000","-183,174,000","-8,420,000","22,787,000","2,751,000","-69,888,000","-12,734,000","19,558,000","24,348,000","-201,000","0","165,000","25,636,000","28,851,000","69,699,000","132,167,000","12,593,000","31,596,000","10,500,000","-1,805,000","74,900,000","6,899,000","-1,659,000","54,083,000","-32,668,000","-151,000",,,"-200,000",,"1,800,000","-100,000","-400,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,"-54,840,000",,,,"0","186,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"10,237,000",,,,,"8,695,000","37,305,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-292,000","1,658,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,"9,000","-1,440,000","94,000","-1,065,000","4,887,000","4,747,000","-2,708,000","7,019,000","1,704,000","6,562,000","-5,246,000","-5,269,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"48,240,000","11,900,000","12,331,000","12,032,000","12,003,000","11,574,000","11,889,000","11,622,000","11,609,000","11,232,000","12,003,000","11,443,000","11,291,000","11,593,000","11,917,000","12,255,000","12,078,000","12,117,000","12,213,000","12,493,000","12,070,000","13,102,000","14,053,000","14,697,000","14,550,000","14,867,000","14,937,000","14,934,000","15,873,000","15,747,000","15,766,000","15,809,000","16,107,000","16,008,000","15,240,000","14,889,000","15,408,000","15,118,000","15,167,000","13,379,000","13,532,000","12,741,000","14,251,000","13,813,000","13,674,000","13,968,000","14,276,000","13,573,000","17,901,000","21,905,000","24,551,000","20,317,000","20,868,000","20,530,000","19,819,000","29,676,000","34,764,000","43,772,000","55,617,000","58,868,000","57,057,000","59,963,000","62,448,000","59,324,000","57,313,000","52,444,000","54,089,000","50,205,000","48,441,000","44,524,000","44,509,000","45,931,000","40,519,000","37,258,000","52,640,000","107,675,000","208,238,000","88,817,000","114,523,000","76,311,000","4,713,623,000","114,695,000","492,551,000","467,954,000","11,285,458,000","1,390,355,000","1,370,086,000","1,370,306,000","414,948,000","63,187,000","1,504,000","1,500,000","1,300,000","1,100,000","1,000,000","1,200,000","900,000","800,000"
			DepreciationAndAmortization,"48,240,000","11,900,000","12,331,000","12,032,000","12,003,000","11,574,000","11,889,000","11,622,000","11,609,000","11,232,000","12,003,000","11,443,000","11,291,000","11,593,000","11,917,000","12,255,000","12,078,000","12,117,000","12,213,000","12,493,000","12,070,000","13,102,000","14,053,000","14,697,000","14,550,000","14,867,000","14,937,000","14,934,000","15,873,000","15,747,000","15,766,000","15,809,000","16,107,000","16,008,000","15,240,000","14,889,000","15,408,000","15,118,000","15,167,000","13,379,000","13,532,000","12,741,000","14,251,000","13,813,000","13,674,000","13,968,000","14,276,000","13,573,000","17,901,000","21,905,000","24,551,000","20,317,000","20,868,000","20,530,000","19,819,000","29,676,000","34,764,000","43,772,000","55,617,000","58,868,000","57,057,000","59,963,000","62,448,000","59,324,000","57,313,000","52,444,000","54,089,000","50,205,000","48,441,000","44,524,000","44,509,000","45,931,000","40,519,000","37,258,000","52,640,000","107,675,000","208,238,000","88,817,000","114,523,000","76,311,000","4,713,623,000","114,695,000","492,551,000","467,954,000","11,285,458,000","1,390,355,000","1,370,086,000","1,370,306,000","414,948,000","63,187,000","1,504,000","1,500,000","1,300,000","1,100,000","1,000,000","1,200,000","900,000","800,000"
