name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,03/31/1996
TotalAssets,"6,389,346,000","6,086,794,000","5,992,860,000","5,994,533,000","5,349,467,000","5,248,706,000","5,203,396,000","4,904,374,000","4,883,868,000","4,513,684,000","4,367,051,000","4,262,286,000","3,915,287,000","3,629,716,000","3,629,627,000","3,544,268,000","3,414,109,000","3,315,607,000","3,288,221,000","3,078,714,000","2,954,653,000","2,883,080,000","2,583,235,000","2,491,249,000","2,405,846,000","2,336,058,000","2,245,799,000","2,202,996,000","2,158,378,000","2,153,324,000","2,014,764,000","2,056,280,000","1,960,115,000","1,929,408,000","1,899,553,000","1,837,271,000","1,794,072,000","1,748,935,000","1,743,369,000","1,721,617,000","1,727,153,000","1,579,663,000","1,525,567,000","1,414,245,000","1,405,748,000","1,355,901,000","1,333,651,000","1,271,787,000","1,293,552,000","1,254,031,000","738,518,000","703,235,000","622,942,000","584,795,000","563,290,000","540,878,000","551,094,000","543,454,000","512,327,000","490,250,000","483,939,000","442,724,000","415,687,000","406,641,000","365,069,000","345,086,000","326,872,000","314,447,000","301,825,000","293,974,000","281,494,000","273,599,000","272,682,000","253,912,000","248,622,000","246,168,000","237,155,000","244,555,000","239,845,000","244,801,000","238,667,000","206,419,000","192,743,000","170,867,000","169,378,000","163,130,000","151,491,000","153,721,000","61,930,000","55,200,000","52,600,000","51,200,000","50,000,000","48,900,000","46,500,000","44,100,000","42,800,000","42,600,000","40,400,000","37,900,000","35,700,000","31,900,000","13,300,000"
	CurrentAssets,"1,159,472,000","1,027,871,000","1,066,387,000","1,133,028,000","991,233,000","967,603,000","1,041,119,000","921,525,000","1,045,704,000","750,241,000","755,633,000","804,182,000","887,172,000","684,656,000","785,766,000","613,869,000","612,553,000","648,273,000","748,375,000","619,746,000","614,856,000","751,724,000","528,705,000","518,886,000","523,334,000","580,708,000","584,118,000","569,606,000","548,746,000","577,145,000","525,742,000","541,018,000","531,621,000","519,758,000","530,538,000","530,319,000","544,873,000","533,532,000","555,623,000","542,309,000","563,152,000","429,896,000","419,719,000","370,489,000","370,880,000","359,735,000","354,869,000","347,116,000","395,147,000","394,788,000","407,947,000","401,668,000","338,824,000","332,298,000","344,210,000","352,589,000","375,626,000","373,481,000","335,438,000","312,590,000","308,154,000","299,850,000","275,101,000","261,841,000","244,453,000","233,713,000","234,186,000","222,287,000","209,792,000","202,130,000","186,445,000","178,444,000","174,531,000","153,294,000","143,883,000","137,853,000","125,245,000","136,442,000","128,269,000","132,244,000","127,223,000","118,258,000","120,349,000","120,591,000","119,950,000","120,638,000","109,188,000","107,865,000","53,011,000","47,300,000","46,000,000","44,300,000","42,300,000","40,900,000","38,400,000","36,100,000","35,000,000","35,300,000","34,100,000","32,200,000","30,200,000","27,600,000","10,300,000"
		CashCashEquivalentsAndShortTermInvestments,"310,459,000","166,032,000","217,654,000","275,688,000","295,949,000","317,344,000","350,433,000","232,418,000","304,309,000","47,778,000","87,045,000","129,883,000","261,701,000","43,365,000","44,458,000","54,789,000","71,446,000","161,821,000","242,708,000","160,556,000","130,098,000","284,943,000","51,275,000","47,252,000","42,088,000","63,864,000","46,406,000","42,494,000","52,263,000","97,644,000","41,929,000","58,140,000","58,347,000","41,362,000","67,103,000","79,682,000","105,738,000","112,667,000","136,118,000","129,892,000","172,583,000","45,842,000","36,007,000","26,113,000","40,490,000","45,364,000","53,781,000","57,331,000","89,631,000","67,116,000","83,884,000","104,272,000","63,491,000","63,711,000","90,790,000","110,865,000","125,219,000","133,026,000","128,043,000","113,232,000","103,392,000","76,783,000","47,433,000","46,390,000","36,887,000","22,238,000","28,282,000","19,316,000","14,741,000","9,016,000","11,375,000","19,560,000","18,670,000","20,446,000","10,731,000","6,009,000","4,269,000","4,398,000","8,107,000","8,076,000","6,620,000","5,300,000","12,938,000","17,750,000","17,721,000","24,504,000","20,443,000","29,430,000","19,641,000","19,200,000","18,700,000","16,300,000","6,000,000","3,800,000","2,700,000","6,800,000","3,300,000","13,100,000","13,300,000","12,900,000","12,700,000","13,800,000","2,300,000"
			CashAndCashEquivalents,"310,459,000","166,032,000","217,654,000","275,688,000","295,949,000","317,344,000","350,433,000","232,418,000","304,309,000","47,778,000","87,045,000","129,883,000","261,701,000","43,365,000","44,458,000","54,789,000","71,446,000","161,821,000","242,708,000","160,556,000","130,098,000","284,943,000","51,275,000","47,252,000","42,088,000","63,864,000","46,406,000","42,494,000","52,263,000","97,644,000","41,929,000","58,140,000","58,347,000","41,362,000","67,103,000","79,682,000","105,738,000","112,667,000","136,118,000","129,892,000","172,583,000","45,842,000","36,007,000","26,113,000","40,490,000","45,364,000","53,781,000","57,331,000","89,631,000","67,116,000","83,884,000","104,272,000","63,491,000","63,711,000","90,790,000","110,865,000","125,176,000","121,073,000","128,001,000","113,191,000","103,345,000","76,619,000","47,268,000","46,226,000","36,723,000","22,075,000","28,119,000","19,154,000","14,579,000","8,855,000","11,214,000","19,400,000","18,510,000","20,286,000","10,572,000","5,850,000","4,111,000","4,240,000","7,950,000","7,920,000","6,464,000","5,147,000","12,785,000","17,598,000","17,721,000","24,504,000","20,443,000","29,430,000","19,520,000","16,600,000","12,500,000","4,500,000","6,000,000","3,800,000","2,700,000","6,800,000","3,300,000","13,100,000","13,300,000","12,900,000","12,700,000","13,800,000","2,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"43,000","11,953,000","42,000","41,000","47,000","164,000","165,000","164,000","164,000","163,000","163,000","162,000","162,000","161,000","161,000","160,000","160,000","160,000","159,000","159,000","158,000","158,000","157,000","156,000","156,000","153,000","153,000","152,000",,,,,"121,000","2,600,000","6,200,000","11,800,000",,,,,,,,,,,
		Receivables,"359,269,000","363,013,000","369,222,000","364,494,000","238,652,000","202,792,000","249,581,000","270,436,000","330,698,000","316,439,000","294,067,000","303,619,000","300,307,000","307,642,000","401,823,000","236,085,000","267,665,000","228,037,000","251,879,000","215,053,000","263,721,000","254,759,000","276,497,000","262,670,000","286,724,000","259,754,000","304,517,000","294,522,000","266,339,000","268,102,000","279,732,000","279,148,000","271,891,000","282,594,000","273,231,000","260,701,000","266,970,000","237,551,000","231,606,000","221,894,000","211,711,000","204,529,000","198,488,000","177,066,000","191,915,000","178,948,000","174,874,000","164,477,000","185,373,000","190,661,000","214,792,000","183,832,000","164,106,000","166,149,000","157,844,000","152,422,000","155,484,000","150,334,000","137,161,000","131,640,000","139,789,000","154,915,000","163,874,000","151,378,000","144,715,000","159,717,000","157,723,000","154,951,000","141,298,000","138,356,000","125,981,000","114,987,000","110,766,000","89,180,000","86,624,000","85,770,000","80,962,000","81,069,000","74,483,000","80,145,000","80,170,000","73,885,000","68,362,000","61,307,000","64,105,000","59,449,000","67,009,000","59,802,000","26,268,000","22,300,000","21,200,000","22,100,000","16,200,000","18,300,000","17,900,000","16,300,000","19,100,000","15,300,000","13,400,000","12,000,000","10,300,000","7,700,000","6,200,000"
			AccountsReceivable,"263,383,000","268,013,000","272,689,000","262,591,000","172,559,000","145,323,000","185,907,000","196,234,000","260,431,000","220,068,000","198,553,000","208,376,000","218,276,000","209,587,000","188,915,000","156,860,000","184,536,000","131,474,000","157,903,000","115,662,000","145,626,000","126,592,000","144,785,000","144,386,000","146,309,000","127,304,000","140,396,000","142,386,000","120,345,000","119,555,000","124,148,000","131,010,000","129,794,000","155,299,000","129,725,000","131,309,000","134,206,000","237,551,000","112,022,000","117,349,000","108,758,000","184,299,000","97,073,000","177,066,000","191,889,000","175,949,000","171,944,000","161,808,000","176,351,000","185,601,000","206,816,000","183,832,000","164,106,000","166,149,000","157,844,000","152,422,000","155,484,000","147,356,000","132,963,000","131,640,000","139,789,000","154,915,000","163,874,000","151,378,000","144,715,000","157,498,000","157,723,000","154,951,000","141,298,000","138,356,000","125,981,000","112,940,000","110,766,000","89,180,000","86,624,000","85,770,000","80,962,000","81,069,000","74,483,000","80,145,000","80,170,000","73,885,000","68,362,000","61,307,000","64,105,000",,,,"26,268,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,"145,323,000","185,907,000","196,234,000","260,431,000","220,068,000","198,553,000","208,376,000","218,276,000","209,587,000","188,915,000","156,860,000","184,536,000","131,474,000","157,903,000","115,662,000","145,626,000","126,592,000","144,785,000","144,386,000","146,309,000","127,304,000","140,396,000","142,386,000","120,345,000","119,555,000","124,148,000","131,010,000","129,794,000","155,299,000","129,725,000","131,309,000","134,206,000","238,805,000","113,160,000","118,377,000","108,758,000",,"97,979,000",,"192,382,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,254,000","-1,138,000","-1,028,000",,,"-906,000",,"-493,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,000","230,000",,,"26,000","2,999,000","2,930,000","2,669,000","9,022,000","5,060,000","7,976,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
