name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
OperatingCashFlow,"16,106,000,000","3,489,000,000","4,232,000,000","3,971,000,000","4,414,000,000","3,329,000,000","3,513,000,000","2,096,000,000","3,002,000,000","1,467,000,000","3,875,000,000","4,042,000,000","3,384,000,000","2,064,000,000","3,294,000,000","3,494,000,000","3,637,000,000","2,820,000,000","2,762,000,000","2,767,000,000","3,537,000,000","396,000,000","2,508,000,000","2,452,000,000","303,000,000","840,000,000","1,979,000,000","1,734,000,000","2,111,000,000","978,000,000","1,761,000,000","1,793,000,000","1,942,000,000","1,929,000,000","1,541,000,000","2,045,000,000","2,157,000,000","1,644,000,000","-2,824,000,000","1,369,000,000","1,257,000,000","1,097,000,000","1,286,000,000","868,000,000","1,395,000,000","603,000,000","1,006,000,000","893,000,000","1,218,000,000","609,000,000","-29,000,000","-209,000,000","349,000,000","233,000,000","185,000,000","274,000,000","509,000,000","-434,000,000","182,000,000","-37,725,000","157,297,000","208,575,000","177,000,000","-83,559,000","197,016,000"
	CashFlowFromContinuingOperatingActivities,"16,106,000,000","3,489,000,000","4,232,000,000","3,971,000,000","4,414,000,000","3,329,000,000","3,513,000,000","2,096,000,000","3,002,000,000","1,467,000,000","3,875,000,000","4,042,000,000","3,384,000,000","2,064,000,000","3,294,000,000","3,494,000,000","3,637,000,000","2,820,000,000","2,762,000,000","2,767,000,000","3,537,000,000","396,000,000","2,508,000,000","2,452,000,000","303,000,000","840,000,000","1,979,000,000","1,734,000,000","2,111,000,000","978,000,000","1,761,000,000","1,793,000,000","1,942,000,000","1,929,000,000","1,541,000,000","2,045,000,000","2,157,000,000","1,644,000,000","-2,824,000,000","1,369,000,000","1,257,000,000","1,097,000,000","1,286,000,000","868,000,000","1,395,000,000","603,000,000","1,006,000,000","893,000,000","1,218,000,000","609,000,000","-29,000,000","-209,000,000","349,000,000","233,000,000","185,000,000","274,000,000","509,000,000","-434,000,000","182,000,000","-37,725,000","157,297,000","208,575,000","177,000,000","-83,559,000","197,016,000"
		NetIncomeFromContinuingOperations,"13,765,000,000","3,647,000,000","3,959,000,000","3,584,000,000","2,575,000,000","3,026,000,000","3,126,000,000","2,137,000,000","2,373,000,000","3,084,000,000","3,272,000,000","3,025,000,000","3,101,000,000","2,977,000,000","2,977,000,000","2,845,000,000","2,329,000,000","2,605,000,000","2,522,000,000","2,140,000,000","2,059,000,000","430,000,000","2,070,000,000","1,931,000,000","412,000,000","1,707,000,000","1,941,000,000","1,512,000,000","1,697,000,000","1,550,000,000","1,569,000,000","1,073,000,000","1,360,000,000","1,598,000,000","1,407,000,000","1,192,000,000","1,225,000,000","1,270,000,000","1,293,000,000","1,662,000,000","-1,839,000,000","1,292,000,000","1,027,000,000","878,000,000","1,004,000,000","880,000,000","884,000,000","773,000,000","716,000,000","712,000,000","763,000,000","514,000,000","729,000,000","536,000,000","574,000,000","-356,000,000","422,000,000","314,000,000","424,000,000","-1,684,575,000","223,349,000","179,131,000","206,000,000","110,857,000","144,053,000"
		OperatingGainsLosses,"-644,000,000","127,000,000","-231,000,000","-101,000,000",,,,,,,"1,748,000,000","1,693,000,000","1,546,000,000","1,478,000,000","1,456,000,000","1,502,000,000","1,374,000,000","1,289,000,000","1,326,000,000","1,346,000,000","1,147,000,000","1,031,000,000","1,041,000,000","0","0","0","-255,000,000","0","670,000,000","676,000,000","713,000,000","768,000,000","638,000,000","587,000,000","599,000,000","680,000,000","521,000,000","567,000,000","553,000,000",,,,,"-92,000,000","1,000,000",,,"-7,000,000","0","-12,000,000","-1,000,000","-8,000,000","-466,000,000","7,000,000","1,000,000","29,000,000","-3,000,000",,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"2,000,000",,,"0",,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-255,000,000","0",,,,,,,,,,,,,,,,"-92,000,000","1,000,000",,,"-10,000,000","-3,000,000","-13,000,000","-1,000,000","-3,000,000","-473,000,000","1,000,000","7,000,000",,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-644,000,000","127,000,000","-231,000,000","-101,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","3,000,000","2,000,000","0","0","0","-1,000,000","1,000,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"811,000,000","207,000,000","198,000,000","202,000,000","204,000,000","201,000,000","197,000,000","196,000,000","197,000,000","192,000,000","182,000,000","172,000,000","165,000,000","160,000,000","159,000,000","163,000,000","152,000,000","153,000,000","145,000,000","147,000,000","132,000,000","131,000,000","146,000,000","141,000,000","120,000,000","121,000,000","120,000,000","119,000,000","130,000,000","125,000,000","120,000,000","112,000,000","109,000,000","107,000,000","107,000,000","106,000,000","101,000,000","98,000,000","92,000,000","89,000,000","84,000,000","80,000,000","80,000,000","77,000,000","74,000,000","70,000,000","67,000,000","78,000,000","63,000,000","62,000,000","62,000,000","61,000,000","57,000,000","56,000,000","52,000,000","-803,000,000","331,000,000","396,000,000","313,000,000","-218,389,000","66,067,000","159,962,000","129,000,000","304,472,000","87,922,000"
			DepreciationAndAmortization,"811,000,000","207,000,000","198,000,000","202,000,000","204,000,000","201,000,000","197,000,000","196,000,000","197,000,000","192,000,000","182,000,000","172,000,000","165,000,000","160,000,000","159,000,000","163,000,000","152,000,000","153,000,000","145,000,000","147,000,000","132,000,000","131,000,000","146,000,000","141,000,000","120,000,000","121,000,000","120,000,000","119,000,000","130,000,000","125,000,000","120,000,000","112,000,000","109,000,000","107,000,000","107,000,000","106,000,000","101,000,000","98,000,000","92,000,000","89,000,000","84,000,000","80,000,000","80,000,000","77,000,000","74,000,000","70,000,000","67,000,000","78,000,000","63,000,000","62,000,000","62,000,000","61,000,000","57,000,000","56,000,000","52,000,000","-803,000,000","331,000,000","396,000,000","313,000,000","-218,389,000","66,067,000","159,962,000","129,000,000","304,472,000","87,922,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,000,000","57,000,000","59,000,000","62,000,000",,,"28,068,000","29,000,000",,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-862,000,000","274,000,000","337,000,000","251,000,000","-343,894,000","123,135,000","131,894,000","100,000,000","181,111,000","150,118,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-862,000,000","274,000,000","337,000,000","251,000,000","-343,894,000","123,135,000","131,894,000","100,000,000","181,111,000","150,118,000"
		DeferredTax,"921,000,000","36,000,000","-15,000,000","-108,000,000","1,008,000,000","-32,000,000","5,000,000","423,000,000","-79,000,000","10,000,000","-47,000,000","-20,000,000","-22,000,000","117,000,000","139,000,000","-144,000,000","-188,000,000","-26,000,000","-919,000,000","-15,000,000","15,000,000","1,623,000,000","77,000,000","-161,000,000","-574,000,000","-74,000,000","45,000,000","-1,000,000","23,000,000","76,000,000","97,000,000","-222,000,000","17,000,000","-394,000,000","19,000,000","-35,000,000","-18,000,000","-42,000,000","1,622,000,000","-263,000,000","-1,227,000,000","-234,000,000","34,000,000","-5,000,000","40,000,000","47,000,000","82,000,000","59,000,000","5,000,000","83,000,000","102,000,000","-13,000,000","-28,000,000","159,000,000","179,000,000","-163,000,000","12,000,000","133,000,000","-9,000,000","-871,811,000","-1,884,000","-19,000,000","19,000,000","-22,471,000","44,690,000"
