name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019
TotalAssets,"1,121,000,000","1,283,000,000","1,365,000,000","1,751,000,000","1,999,000,000","2,397,000,000","1,342,000,000","1,366,000,000"
	CurrentAssets,"1,079,000,000","1,224,000,000","1,315,000,000","1,690,000,000","1,927,000,000","2,314,000,000","1,246,000,000","1,234,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,020,000,000","1,159,000,000","1,215,000,000","1,573,000,000","1,774,000,000","2,129,000,000","1,094,000,000","1,044,000,000"
			CashAndCashEquivalents,"760,000,000","1,009,000,000","1,072,000,000","1,405,000,000","1,620,000,000","1,965,000,000","844,000,000","744,000,000"
			OtherShortTermInvestments,"260,000,000","150,000,000","143,000,000","168,000,000","154,000,000","164,000,000","250,000,000","300,000,000"
		Receivables,"14,000,000","17,000,000","27,000,000","46,000,000","65,000,000","83,000,000","67,000,000","95,000,000"
			OtherReceivables,"14,000,000","17,000,000","27,000,000","46,000,000","65,000,000","83,000,000","67,000,000","95,000,000"
		PrepaidAssets,"45,000,000","48,000,000","73,000,000","71,000,000","88,000,000","102,000,000","85,000,000","95,000,000"
	TotalNonCurrentAssets,"42,000,000","59,000,000","50,000,000","61,000,000","72,000,000","83,000,000","96,000,000","132,000,000"
		NetPPE,"29,000,000","35,000,000","37,000,000","51,000,000","62,000,000","68,000,000","67,000,000","75,000,000"
			GrossPPE,"29,000,000","35,000,000","37,000,000","51,000,000","62,000,000","98,000,000","94,000,000","97,000,000"
				Properties,,,,,,"0","0","0"
				MachineryFurnitureEquipment,,,,,,"26,000,000","26,000,000","28,000,000"
				OtherProperties,"29,000,000","35,000,000","37,000,000","51,000,000","62,000,000","43,000,000","40,000,000","41,000,000"
				Leases,,,,,,"29,000,000","28,000,000","28,000,000"
			AccumulatedDepreciation,,,,,,"-30,000,000","-27,000,000","-22,000,000"
		InvestmentsAndAdvances,"9,000,000","17,000,000","7,000,000","0","0","4,000,000","7,000,000","34,000,000"
			InvestmentinFinancialAssets,"9,000,000","17,000,000","7,000,000","0","0","4,000,000","7,000,000","34,000,000"
				AvailableForSaleSecurities,,"17,000,000","7,000,000",,,"4,000,000","7,000,000","34,000,000"
		OtherNonCurrentAssets,"4,000,000","7,000,000","6,000,000","10,000,000","10,000,000","11,000,000","22,000,000","23,000,000"
TotalLiabilitiesNetMinorityInterest,"366,000,000","465,000,000","536,000,000","889,000,000","1,069,000,000","1,370,000,000","1,229,000,000","2,805,000,000"
	CurrentLiabilities,"352,000,000","449,000,000","518,000,000","858,000,000","1,035,000,000","1,332,000,000","1,191,000,000","1,100,000,000"
		PayablesAndAccruedExpenses,"318,000,000","417,000,000","482,000,000","796,000,000","955,000,000","1,218,000,000","1,065,000,000","979,000,000"
			Payables,"210,000,000","278,000,000","320,000,000","568,000,000","672,000,000","888,000,000","785,000,000","791,000,000"
				AccountsPayable,"40,000,000","67,000,000","70,000,000","255,000,000","291,000,000","434,000,000","298,000,000","171,000,000"
				TotalTaxPayable,"20,000,000","26,000,000","34,000,000",,,,,
				OtherPayable,"150,000,000","185,000,000","216,000,000","313,000,000","381,000,000","454,000,000","487,000,000","620,000,000"
			CurrentAccruedExpenses,"108,000,000","139,000,000","162,000,000","228,000,000","283,000,000","330,000,000","280,000,000","188,000,000"
		CurrentDeferredLiabilities,"22,000,000","9,000,000","13,000,000","20,000,000","26,000,000","37,000,000","32,000,000","24,000,000"
			CurrentDeferredRevenue,"22,000,000","9,000,000","13,000,000","20,000,000","26,000,000","37,000,000","32,000,000","24,000,000"
		OtherCurrentLiabilities,"12,000,000","23,000,000","23,000,000","42,000,000","54,000,000","77,000,000","94,000,000","97,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"14,000,000","16,000,000","18,000,000","31,000,000","34,000,000","38,000,000","38,000,000","1,705,000,000"
		LongTermDebtAndCapitalLeaseObligation,"14,000,000","16,000,000","18,000,000","31,000,000","34,000,000","38,000,000","38,000,000","42,000,000"
			LongTermCapitalLeaseObligation,"14,000,000","16,000,000","18,000,000","31,000,000","34,000,000","38,000,000","38,000,000","42,000,000"
		NonCurrentDeferredLiabilities,,,,,,,"0","0"
		DerivativeProductLiabilities,,,,,,"0","0","127,000,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,"0","0","1,663,000,000"
TotalEquityGrossMinorityInterest,"755,000,000","818,000,000","829,000,000","862,000,000","930,000,000","1,027,000,000","113,000,000","-1,439,000,000"
	StockholdersEquity,"755,000,000","818,000,000","829,000,000","862,000,000","930,000,000","1,027,000,000","113,000,000","-1,439,000,000"
		CapitalStock,"0","0","0","0","0","0","0","0"
			PreferredStock,"0","0","0","0","0",,,
			CommonStock,"0","0","0","0","0","0","0","0"
		AdditionalPaidInCapital,"3,358,000,000","3,360,000,000","3,315,000,000","3,285,000,000","3,243,000,000","3,210,000,000","2,083,000,000","0"
		RetainedEarnings,"-2,605,000,000","-2,545,000,000","-2,487,000,000","-2,423,000,000","-2,312,000,000","-2,184,000,000","-1,970,000,000","-1,439,000,000"
		GainsLossesNotAffectingRetainedEarnings,"2,000,000","3,000,000","1,000,000","0","-1,000,000","1,000,000",,
TotalCapitalization,"755,000,000","818,000,000","829,000,000","862,000,000","930,000,000","1,027,000,000","113,000,000","-1,439,000,000"
CommonStockEquity,"755,000,000","818,000,000","829,000,000","862,000,000","930,000,000","1,027,000,000","113,000,000","-1,439,000,000"
CapitalLeaseObligations,"14,000,000","16,000,000","18,000,000","31,000,000","34,000,000","38,000,000","38,000,000","42,000,000"
NetTangibleAssets,"755,000,000","818,000,000","829,000,000","862,000,000","930,000,000","1,027,000,000","113,000,000","-1,439,000,000"
