name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"274,888,000","81,041,000","98,969,000","-9,470,000","104,348,000","3,440,000","162,608,000","152,435,000","133,733,000","9,871,000","124,607,000","108,871,000","62,840,000","3,656,000","89,861,000","48,330,000","9,831,000","-1,789,000","110,520,000","44,926,000","-16,537,000","-12,392,000","71,055,000","45,708,000","-132,000","5,901,000","112,517,000","35,066,000","-18,142,000","-11,025,000","74,597,000","32,065,000","-21,258,000","-25,982,000","79,719,000","36,023,000","-27,638,000","15,177,000"
	CashFlowFromContinuingOperatingActivities,"274,888,000","81,041,000","98,969,000","-9,470,000","104,348,000","3,440,000","162,608,000","152,435,000","133,733,000","9,871,000","124,607,000","108,871,000","62,840,000","3,656,000","89,861,000","48,330,000","9,831,000","-1,789,000","110,520,000","44,926,000","-16,537,000",,,,,,,,,,,,,,,,,
		NetIncomeFromContinuingOperations,"275,026,000","47,129,000","74,462,000","76,312,000","77,123,000","20,776,000","54,041,000","80,605,000","70,668,000","3,533,000","23,659,000","8,462,000","-227,451,000","1,893,000","16,550,000","29,372,000","33,651,000","-4,856,000","33,215,000","17,959,000","18,474,000",,,,,,,,,,,,,,,,,
		OperatingGainsLosses,"420,000","-1,124,000","3,313,000","-878,000","-891,000","-148,000","288,000","187,000","392,000","1,726,000","1,761,000","1,008,000","2,062,000","2,315,000","2,555,000","606,000","612,000","2,166,000","-242,000","4,860,000","3,366,000",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,392,000","-1,510,000","564,000","229,000","-675,000","-818,000","-1,082,000","-373,000","-1,082,000","2,225,000","-93,000","-793,000","1,789,000","370,000","2,877,000","-276,000","-625,000","-1,256,000","-1,398,000","-781,000","191,000",,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-1,586,000","-458,000","-717,000","-206,000","-205,000","-351,000","390,000","-67,000","-173,000","-1,371,000","99,000","-203,000","-434,000","-130,000","-466,000","558,000","133,000","1,235,000","-768,000","520,000","-248,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"141,808,000","38,121,000","34,837,000","34,194,000","34,656,000","38,265,000","35,762,000","35,778,000","35,781,000","50,508,000","31,172,000","26,566,000","16,694,000","18,988,000","17,549,000","17,536,000","17,827,000","19,210,000","17,852,000","19,720,000","18,221,000",,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"141,808,000","38,121,000","34,837,000","34,194,000","34,656,000","38,265,000","35,762,000","35,778,000","35,781,000","50,508,000","31,172,000","26,566,000","16,694,000","18,988,000","17,549,000","17,536,000","17,827,000","19,210,000","17,852,000","19,720,000","18,221,000",,,,,,,,,,,,,,,,,
		DeferredTax,"2,175,000","-4,068,000","6,228,000","-49,000","64,000","-5,445,000","-4,586,000","-1,089,000","-2,357,000","-1,826,000","-2,225,000","-1,064,000","2,191,000","10,497,000","-905,000","1,492,000","1,729,000","1,499,000","-11,937,000","-520,000","-281,000",,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"2,175,000","-4,068,000","6,228,000","-49,000","64,000","-5,445,000","-4,586,000","-1,089,000","-2,357,000","-1,826,000","-2,225,000","-1,064,000","2,191,000","10,497,000","-905,000","1,492,000","1,729,000","1,499,000","-11,937,000","-520,000","-281,000",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"107,994,000","46,094,000","23,463,000","17,631,000","20,806,000","20,021,000","18,325,000","14,626,000","12,462,000","5,030,000","11,283,000","8,657,000","254,177,000","5,686,000","4,382,000","6,180,000","5,580,000","5,759,000","4,377,000","4,405,000","4,304,000",,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-11,297,000","-1,685,000","-10,244,000","87,000","545,000","697,000","6,494,000","-406,000","367,000","104,000","-176,000","39,129,000","-2,706,000","-1,552,000","-1,977,000","-116,000","-839,000","-10,848,000","164,000","13,931,000","-1,303,000",,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"-241,238,000","-43,426,000","-33,090,000","-136,767,000","-27,955,000","-70,726,000","52,284,000","22,734,000","16,420,000","-49,204,000","59,133,000","26,113,000","17,873,000","-34,171,000","51,707,000","-6,740,000","-48,729,000","-14,719,000","67,091,000","-15,429,000","-59,318,000",,,,,,,,,,,,,,,,,
			ChangeInReceivables,"-96,990,000","-37,169,000","78,242,000","-70,675,000","-67,388,000","-47,262,000","72,608,000","-18,013,000","-42,093,000","-45,695,000","95,748,000","-389,000","-44,494,000","-34,721,000","81,417,000","-9,739,000","-54,910,000","10,490,000","96,646,000","-63,994,000","-47,469,000",,,,,,,,,,,,,,,,,
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,"10,490,000","96,646,000","-63,994,000","-47,469,000",,,,,,,,,,,,,,,,,
			ChangeInInventory,"-189,715,000","-27,837,000","-37,449,000","-95,444,000","-28,985,000","-61,370,000","-13,854,000","16,523,000","44,140,000","-24,231,000","-13,999,000","22,513,000","34,803,000","-17,739,000","-673,000","15,338,000","1,040,000","-49,401,000","-1,645,000","48,650,000","-2,445,000",,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-4,642,000","557,000","1,539,000","704,000","-7,442,000","1,080,000","1,378,000","-146,000","-3,520,000","-512,000","1,500,000","172,000","-3,089,000","1,558,000","-446,000","1,549,000","-3,665,000","-457,000","1,849,000","2,803,000","-2,547,000",,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"50,109,000","21,023,000","-75,422,000","28,648,000","75,860,000","36,826,000","-7,848,000","24,370,000","17,893,000","21,234,000","-24,116,000","3,817,000","30,653,000","16,731,000","-28,591,000","-13,888,000","8,806,000","24,649,000","-29,759,000","-2,888,000","-6,857,000",,,,,,,,,,,,,,,,,
