name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,01/31/1988,01/31/1987,01/31/1986
TotalAssets,"246,142,000,000","244,860,000,000","244,851,000,000","238,552,000,000","236,581,000,000","252,496,000,000","250,863,000,000","237,382,000,000","232,892,000,000","236,495,000,000","239,830,000,000","234,861,000,000","234,544,000,000","219,295,000,000","226,583,000,000","206,062,000,000","204,927,000,000","204,522,000,000","209,414,000,000","201,566,000,000","199,718,000,000","198,825,000,000","206,857,000,000","197,886,000,000","198,705,000,000","199,581,000,000","205,144,000,000","198,620,000,000","200,747,000,000","203,706,000,000","207,889,000,000","203,985,000,000","202,746,000,000","204,751,000,000","209,876,000,000","200,969,000,000","202,187,000,000","203,105,000,000","205,818,000,000","195,661,000,000","197,100,000,000","193,406,000,000","195,039,000,000","193,656,000,000","186,065,000,000","180,663,000,000","186,890,000,000","176,944,000,000","174,371,000,000","170,706,000,000","172,934,000,000","168,942,000,000","162,090,000,000","163,429,000,000","167,843,000,000","166,895,000,000","167,483,000,000","163,514,000,000","165,064,000,000","156,949,000,000","155,422,000,000","151,193,000,000","151,119,000,000","144,788,000,000","140,485,000,000","138,187,000,000","131,799,000,000","124,765,000,000","122,215,000,000","120,223,000,000","118,089,000,000","110,059,000,000","107,580,000,000","104,912,000,000","104,821,000,000","98,786,000,000","96,473,000,000","94,685,000,000","95,660,000,000","88,585,000,000","85,141,000,000","83,451,000,000","88,345,000,000","81,576,000,000","79,428,000,000","78,130,000,000","79,051,000,000","73,407,000,000","72,363,000,000","70,349,000,000","72,369,000,000","66,265,000,000","52,023,000,000","49,996,000,000","51,239,000,000","46,874,000,000","46,044,000,000","45,384,000,000","46,172,000,000","40,673,000,000","39,777,000,000","39,604,000,000","42,207,000,000","38,898,000,000","38,249,000,000","37,541,000,000","40,018,000,000","35,318,000,000","34,382,000,000","32,819,000,000","34,492,800,000","30,291,500,000","28,624,700,000","26,440,800,000","26,796,700,000","23,558,700,000","22,838,500,000","20,565,100,000","20,960,800,000","17,926,700,000","16,438,900,000","15,443,400,000","15,718,700,000","13,297,600,000","12,475,700,000","11,388,900,000","11,105,100,000","9,468,600,000","8,797,700,000","8,198,500,000","8,799,700,000","7,289,200,000","6,912,700,000","6,359,700,000","5,131,800,000","4,049,100,000","3,103,600,000"
	CurrentAssets,"83,220,000,000","81,070,000,000","82,964,000,000","78,243,000,000","76,591,000,000","90,067,000,000","73,602,000,000","64,996,000,000","63,328,000,000","61,806,000,000","67,912,000,000","61,371,000,000","61,739,000,000","61,897,000,000","69,446,000,000","66,370,000,000","59,242,000,000","59,664,000,000","65,368,000,000","56,763,000,000","57,336,000,000","57,689,000,000","63,401,000,000","58,232,000,000","59,097,000,000","60,239,000,000","65,112,000,000","58,132,000,000","62,133,000,000","63,278,000,000","65,841,000,000","59,632,000,000","59,687,000,000","61,185,000,000","67,142,000,000","60,002,000,000","60,176,000,000","59,940,000,000","63,431,000,000","56,259,000,000","57,276,000,000","54,975,000,000","59,271,000,000","55,414,000,000","55,958,000,000","51,893,000,000","59,568,000,000","53,045,000,000","51,674,000,000","48,331,000,000","51,948,000,000","49,025,000,000","47,746,000,000","48,949,000,000","52,856,000,000","49,534,000,000","50,295,000,000","47,585,000,000","50,912,000,000","46,387,000,000","47,579,000,000","46,588,000,000","49,623,000,000","46,172,000,000","43,532,000,000","43,824,000,000","44,924,000,000","40,393,000,000","39,641,000,000","38,491,000,000","40,977,000,000","35,616,000,000","34,753,000,000","34,421,000,000","36,790,000,000","32,153,000,000","31,348,000,000","30,483,000,000","34,778,000,000","29,796,000,000","28,895,000,000","28,246,000,000","32,620,000,000","27,996,000,000","27,281,000,000","26,555,000,000","29,429,000,000","25,245,000,000","25,101,000,000","24,356,000,000","26,955,000,000","22,833,000,000","22,346,000,000","21,132,000,000","23,518,000,000","19,937,000,000","19,690,000,000","19,352,000,000","21,634,000,000","18,534,000,000","17,833,000,000","17,993,000,000","21,024,000,000","17,958,000,000","17,779,000,000","17,331,000,000","20,213,000,000","16,509,000,000","16,161,000,000","15,338,000,000","18,011,500,000","14,395,700,000","13,631,100,000","12,114,600,000","13,897,000,000","11,542,700,000","11,650,300,000","10,197,600,000","11,909,200,000","10,089,600,000","9,164,500,000","8,575,400,000","9,159,300,000","7,352,900,000","6,969,200,000","6,414,800,000","6,744,700,000","5,459,900,000","5,104,100,000","4,712,600,000","5,545,100,000","4,360,500,000","4,087,300,000","3,631,000,000","2,905,100,000","2,353,300,000","1,784,300,000"
		CashCashEquivalentsAndShortTermInvestments,"11,817,000,000","14,760,000,000","16,111,000,000","22,831,000,000","22,846,000,000","17,741,000,000","14,325,000,000","16,906,000,000","14,930,000,000","9,465,000,000","8,606,000,000","9,283,000,000","9,255,000,000","7,722,000,000","9,174,000,000","15,840,000,000","7,885,000,000","6,756,000,000","7,026,000,000","6,469,000,000","6,545,000,000","6,867,000,000","5,939,000,000","7,676,000,000","7,597,000,000","8,705,000,000","6,990,000,000","5,751,000,000","7,759,000,000","9,135,000,000","6,718,000,000","6,184,000,000","6,012,000,000","7,281,000,000","8,736,000,000","9,016,000,000","8,855,000,000","7,781,000,000","8,643,000,000","7,935,000,000","8,117,000,000","6,550,000,000","7,063,000,000","8,102,000,000","9,400,000,000","7,395,000,000","10,616,000,000","10,195,000,000","8,516,000,000","7,907,000,000","6,003,000,000","7,997,000,000","6,578,000,000","7,275,000,000","5,920,000,000","6,907,000,000","8,072,000,000","5,569,000,000","4,950,000,000","6,094,000,000","6,563,000,000","7,373,000,000","5,908,000,000","6,386,000,000","5,858,000,000","6,414,000,000","4,535,000,000","5,673,000,000","4,955,000,000","5,488,000,000","4,639,000,000","4,709,000,000","3,828,000,000","5,199,000,000","3,312,000,000","4,472,000,000","2,468,000,000","2,758,000,000","2,095,000,000","2,288,000,000","2,418,000,000","2,161,000,000","2,033,000,000","1,834,000,000","1,477,000,000","2,054,000,000","1,311,000,000","1,310,000,000","1,360,000,000","1,856,000,000","1,435,000,000","1,508,000,000","1,967,000,000","1,879,000,000","1,009,000,000","884,000,000","771,000,000","1,447,000,000","728,000,000","930,000,000","726,000,000","883,000,000","76,000,000","24,000,000","32,000,000","83,000,000","13,000,000","6,000,000","14,000,000","45,000,000","16,700,000","9,600,000","76,500,000","20,100,000","22,300,000","14,100,000","7,700,000","12,400,000","39,500,000","38,500,000","24,800,000","30,600,000","10,200,000","86,700,000","304,600,000","13,000,000","9,800,000","12,600,000","8,500,000","12,800,000","9,400,000","9,400,000","7,900,000","12,600,000","11,300,000","165,500,000","9,300,000"
			CashAndCashEquivalents,"11,817,000,000","14,760,000,000","16,111,000,000","22,831,000,000","22,846,000,000","17,741,000,000","14,325,000,000","16,906,000,000","14,930,000,000","9,465,000,000","8,606,000,000","9,283,000,000","9,255,000,000","7,722,000,000","9,174,000,000","15,840,000,000","7,885,000,000","6,756,000,000","7,026,000,000","6,469,000,000","6,545,000,000","6,867,000,000","5,939,000,000","7,676,000,000","7,597,000,000","8,705,000,000","6,990,000,000","5,751,000,000","7,759,000,000","9,135,000,000","6,718,000,000","6,184,000,000","6,012,000,000","7,281,000,000","8,736,000,000","9,016,000,000","8,855,000,000","7,781,000,000","8,643,000,000","7,935,000,000","8,117,000,000","6,550,000,000","7,063,000,000","8,102,000,000","9,400,000,000","7,395,000,000","10,616,000,000","10,195,000,000","8,516,000,000","7,907,000,000","6,003,000,000","7,997,000,000","6,578,000,000","7,275,000,000","5,920,000,000","6,907,000,000","8,072,000,000","5,569,000,000","4,950,000,000","6,094,000,000","6,563,000,000","7,373,000,000","5,908,000,000","6,386,000,000","5,858,000,000","6,414,000,000","4,535,000,000","5,673,000,000","4,955,000,000","5,488,000,000","4,639,000,000","4,709,000,000","3,828,000,000","5,199,000,000","3,312,000,000","4,472,000,000","2,468,000,000","2,758,000,000","2,095,000,000","2,288,000,000","2,418,000,000","2,161,000,000","2,033,000,000","1,834,000,000","1,477,000,000","2,054,000,000","1,311,000,000","1,310,000,000","1,360,000,000","1,856,000,000","1,435,000,000","1,508,000,000","1,967,000,000","1,879,000,000","1,009,000,000","884,000,000","771,000,000","1,447,000,000","728,000,000","930,000,000","726,000,000","883,000,000","76,000,000","24,000,000","32,000,000","83,000,000","13,000,000","6,000,000","14,000,000","45,000,000","16,700,000","9,600,000","76,500,000","20,100,000","22,300,000","14,100,000","7,700,000","12,400,000","39,500,000","38,500,000","24,800,000","30,600,000","10,200,000","86,700,000","304,600,000","13,000,000","9,800,000","12,600,000","8,500,000","12,800,000","9,400,000","9,400,000","7,900,000","12,600,000","11,300,000","165,500,000","9,300,000"
		Receivables,"7,674,000,000","8,280,000,000","7,349,000,000","6,103,000,000","5,797,000,000","6,516,000,000","5,770,000,000","5,111,000,000","5,029,000,000","6,284,000,000","5,612,000,000","5,382,000,000","5,342,000,000","6,283,000,000","5,785,000,000","5,002,000,000","4,568,000,000","5,614,000,000","5,865,000,000","5,395,000,000","5,252,000,000","5,835,000,000","5,344,000,000","5,275,000,000","5,187,000,000","5,624,000,000","5,012,000,000","5,275,000,000","5,813,000,000","6,778,000,000","6,091,000,000","6,146,000,000","6,096,000,000","6,677,000,000","6,206,000,000","5,996,000,000","6,191,000,000","6,768,000,000","5,567,000,000","5,365,000,000","5,574,000,000","5,937,000,000","4,757,000,000","5,265,000,000","4,785,000,000","5,089,000,000","4,374,000,000","4,531,000,000","4,235,000,000","4,144,000,000","3,776,000,000","3,684,000,000","3,356,000,000","3,905,000,000","3,250,000,000","3,226,000,000","3,256,000,000","3,654,000,000","3,070,000,000","2,767,000,000","2,924,000,000","2,840,000,000","2,477,000,000","2,522,000,000","2,507,000,000","2,662,000,000","1,846,000,000","1,682,000,000","1,520,000,000","1,715,000,000","1,418,000,000","1,280,000,000","1,230,000,000","1,254,000,000","1,111,000,000","1,062,000,000","985,000,000","2,108,000,000","1,937,000,000","1,934,000,000","1,679,000,000","2,000,000,000","1,669,000,000","1,751,000,000","1,761,000,000","1,768,000,000","1,468,000,000","1,249,000,000","1,265,000,000","1,341,000,000","1,630,000,000","1,276,000,000","1,154,000,000","1,118,000,000","1,401,000,000","1,008,000,000","1,009,000,000","976,000,000","1,310,000,000","919,000,000","854,000,000","845,000,000","1,171,000,000","879,000,000","908,000,000","853,000,000","1,212,000,000","858,000,000","823,000,000","700,000,000","1,072,200,000","988,800,000","704,500,000","690,000,000","969,900,000","608,500,000","597,200,000","524,600,000","694,600,000","438,900,000","435,600,000","418,900,000","583,500,000","372,100,000","325,800,000","305,100,000","348,800,000","192,500,000","180,100,000","234,500,000","393,000,000","330,100,000","276,400,000","241,300,000","222,800,000","90,400,000","57,700,000"
			AccountsReceivable,"7,674,000,000","8,280,000,000","7,349,000,000","6,103,000,000","5,797,000,000","6,516,000,000","5,770,000,000","5,111,000,000","5,029,000,000","6,284,000,000","5,612,000,000","5,382,000,000","5,342,000,000","6,283,000,000","5,785,000,000","5,002,000,000","4,568,000,000","5,614,000,000","5,865,000,000","5,395,000,000","5,252,000,000","5,835,000,000","5,344,000,000","5,275,000,000","5,187,000,000","5,624,000,000","5,012,000,000","5,275,000,000","5,813,000,000","6,778,000,000","6,091,000,000","6,146,000,000","6,096,000,000","6,677,000,000","6,206,000,000","5,996,000,000","6,191,000,000","6,768,000,000","5,567,000,000","5,365,000,000","5,574,000,000","5,937,000,000","4,757,000,000","5,265,000,000","4,785,000,000","5,089,000,000","4,374,000,000","4,531,000,000","4,235,000,000","4,144,000,000","3,776,000,000","3,684,000,000","3,356,000,000","3,905,000,000","3,250,000,000","3,226,000,000","3,256,000,000","3,654,000,000","3,070,000,000","2,767,000,000","2,924,000,000","2,840,000,000","2,477,000,000","2,522,000,000","2,507,000,000","2,662,000,000","1,846,000,000","1,682,000,000","1,520,000,000","1,715,000,000","1,418,000,000","1,280,000,000","1,230,000,000","1,254,000,000","1,111,000,000","1,062,000,000","985,000,000","2,108,000,000","1,937,000,000","1,934,000,000","1,679,000,000","2,000,000,000","1,669,000,000","1,751,000,000","1,761,000,000","1,768,000,000","1,468,000,000","1,249,000,000","1,265,000,000","1,341,000,000","1,630,000,000","1,276,000,000","1,154,000,000","1,118,000,000","1,401,000,000","1,008,000,000","1,009,000,000","976,000,000","1,310,000,000","919,000,000","854,000,000","845,000,000","1,171,000,000","879,000,000","908,000,000","853,000,000","1,212,000,000","858,000,000","823,000,000","700,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"61,229,000,000","56,511,000,000","57,484,000,000","47,754,000,000","46,383,000,000","44,949,000,000","51,842,000,000","41,084,000,000","41,217,000,000","44,435,000,000","51,546,000,000","44,134,000,000","44,751,000,000","44,269,000,000","50,380,000,000","41,985,000,000","43,303,000,000","43,783,000,000","50,147,000,000","43,442,000,000","43,361,000,000","43,046,000,000","49,822,000,000","43,453,000,000","44,513,000,000","44,469,000,000","50,706,000,000","45,007,000,000","46,310,000,000","45,141,000,000","51,501,000,000","45,451,000,000","45,315,000,000","44,858,000,000","49,673,000,000","42,793,000,000","43,138,000,000","43,803,000,000","47,487,000,000","40,558,000,000","41,284,000,000","40,714,000,000","44,135,000,000","38,651,000,000","38,335,000,000","36,318,000,000","41,059,000,000","34,793,000,000","35,503,000,000","33,160,000,000","38,775,000,000","33,861,000,000","34,391,000,000","34,511,000,000","40,416,000,000","35,382,000,000","35,541,000,000","35,180,000,000","39,555,000,000","34,184,000,000","35,200,000,000","33,685,000,000","38,531,000,000","32,087,000,000","32,206,000,000","32,191,000,000","36,573,000,000","30,918,000,000","31,349,000,000","29,447,000,000","33,347,000,000","27,963,000,000","28,320,000,000","26,612,000,000","31,286,000,000","25,684,000,000","25,927,000,000","24,891,000,000","29,508,000,000","24,270,000,000","23,532,000,000","22,614,000,000","27,582,000,000","23,034,000,000","22,748,000,000","21,442,000,000","24,975,000,000","21,093,000,000","20,971,000,000","19,793,000,000","22,373,000,000","18,793,000,000","18,149,000,000","17,076,000,000","20,620,000,000","17,617,000,000","17,512,000,000","16,497,000,000","19,303,000,000","16,397,000,000","15,919,000,000","15,897,000,000","19,044,000,000","16,375,000,000","16,213,000,000","15,989,000,000","18,322,000,000","15,077,000,000","14,682,000,000","14,064,000,000","15,958,600,000","12,961,000,000","12,422,100,000","11,013,700,000","12,442,600,000","10,509,100,000","10,630,700,000","9,268,300,000","10,338,100,000","8,516,200,000","7,883,400,000","7,384,300,000","8,072,100,000","6,429,500,000","6,023,200,000","5,808,400,000","6,182,100,000","5,089,800,000","4,778,000,000","4,428,100,000","5,115,000,000","3,997,600,000","3,774,400,000","3,351,400,000","2,651,800,000","2,031,000,000","1,388,200,000"
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,056,000,000",,,,"22,749,000,000",,,,"21,644,000,000",,,,"20,171,000,000",,,,"17,549,000,000",,,,"16,845,000,000",,,,"16,193,000,000",,,,"16,300,000,000",,,,"14,415,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-165,000,000",,,,"-135,000,000",,,,"-202,000,000",,,,"-378,000,000",,,,"-473,000,000",,,,"-348,000,000",,,,"-296,000,000",,,,"-311,000,000",,,,"-351,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"2,500,000,000","1,519,000,000","2,020,000,000","1,555,000,000","1,565,000,000","20,861,000,000","1,665,000,000","1,895,000,000","2,152,000,000","1,622,000,000","2,148,000,000","2,572,000,000","2,391,000,000","3,623,000,000","4,107,000,000","3,543,000,000","3,486,000,000","3,511,000,000","2,330,000,000","1,457,000,000","2,178,000,000","1,941,000,000","2,296,000,000","1,828,000,000","1,800,000,000","1,441,000,000","2,404,000,000","2,099,000,000","2,251,000,000","2,224,000,000","1,531,000,000","1,851,000,000","1,811,000,000","1,909,000,000","2,160,000,000","2,197,000,000","1,992,000,000","1,588,000,000","1,654,000,000","2,319,000,000","2,221,000,000","1,685,000,000","3,227,000,000","3,308,000,000","3,330,000,000","2,960,000,000","3,382,000,000","3,395,000,000","3,291,000,000","2,980,000,000","3,249,000,000","3,336,000,000","3,266,000,000","3,063,000,000","3,245,000,000","3,311,000,000","3,426,000,000","3,182,000,000","3,337,000,000","3,342,000,000","2,892,000,000","2,690,000,000","2,707,000,000","3,307,000,000","2,961,000,000","2,557,000,000","1,970,000,000","2,120,000,000","1,817,000,000","1,841,000,000","1,573,000,000","1,664,000,000","1,375,000,000","1,356,000,000","1,081,000,000","935,000,000","824,000,000","726,000,000","1,238,000,000","1,304,000,000","1,266,000,000","1,471,000,000","1,336,000,000","1,377,000,000","1,295,000,000","1,291,000,000","1,675,000,000","1,593,000,000","1,505,000,000","1,366,000,000","1,517,000,000","1,256,000,000","1,076,000,000","1,059,000,000",,,,"432,000,000",,,,"368,000,000",,,,"406,000,000",,,,"329,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
