name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,01/31/2020
TotalAssets,"6,505,787,000","6,497,941,000","6,469,546,000","6,315,181,000","6,193,399,000","6,075,702,000","6,203,814,000","6,155,118,000"
	CurrentAssets,"1,048,885,000","1,070,777,000","989,874,000","944,155,000","875,875,000","777,549,000","873,595,000","711,005,000"
		CashCashEquivalentsAndShortTermInvestments,"190,893,000","211,602,000","221,484,000","203,404,000","174,034,000","111,402,000","195,832,000","148,785,000"
			CashAndCashEquivalents,"190,893,000","211,602,000","221,484,000","203,404,000","174,034,000","111,402,000","195,832,000","148,785,000"
		Receivables,"42,221,000","55,618,000","45,478,000","39,889,000","38,079,000","41,827,000","40,454,000","31,516,000"
			AccountsReceivable,"42,221,000","55,618,000","45,478,000","39,889,000","38,079,000","41,827,000","40,454,000","31,516,000"
				GrossAccountsReceivable,"43,335,000","56,549,000","47,095,000","41,691,000","40,296,000","45,094,000","43,539,000","33,498,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,114,000","-931,000","-1,617,000","-1,802,000","-2,217,000","-3,267,000","-3,085,000","-1,982,000"
		Inventory,"682,040,000","675,111,000","644,389,000","628,491,000","574,683,000","538,675,000","541,352,000","478,968,000"
			FinishedGoods,"682,040,000","675,111,000","644,389,000","628,491,000","574,683,000","538,675,000","541,352,000","478,968,000"
		PrepaidAssets,"52,129,000","42,355,000","37,762,000","41,990,000","46,724,000","40,032,000","38,007,000","24,854,000"
		OtherCurrentAssets,"81,602,000","86,091,000","40,761,000","30,381,000","42,355,000","45,613,000","57,950,000","26,882,000"
	TotalNonCurrentAssets,"5,456,902,000","5,427,164,000","5,479,672,000","5,371,026,000","5,317,524,000","5,298,867,000","5,330,219,000","5,444,113,000"
		NetPPE,"2,092,223,000","2,065,387,000","2,051,651,000","1,968,927,000","1,970,238,000","1,955,655,000","1,996,612,000","2,115,860,000"
			GrossPPE,"3,149,081,000","3,084,156,000","3,027,107,000","2,901,210,000","2,866,433,000","2,816,095,000","2,824,976,000","2,823,448,000"
				Properties,,"0",,,,"0","0","0"
				LandAndImprovements,,"3,254,000",,,,"3,254,000","3,889,000","3,904,000"
				BuildingsAndImprovements,,"16,959,000",,,,"16,872,000","23,114,000","23,134,000"
				MachineryFurnitureEquipment,,"329,823,000",,,,"280,948,000","280,440,000","267,458,000"
				OtherProperties,"3,149,081,000","2,110,919,000","3,027,107,000","2,901,210,000","2,866,433,000","1,976,180,000","1,992,748,000","2,038,446,000"
				Leases,,"623,201,000",,,,"538,841,000","524,785,000","490,506,000"
			AccumulatedDepreciation,"-1,056,858,000","-1,018,769,000","-975,456,000","-932,283,000","-896,195,000","-860,440,000","-828,364,000","-707,588,000"
		GoodwillAndOtherIntangibleAssets,"3,208,991,000","3,208,991,000","3,208,659,000","3,208,007,000","3,204,939,000","3,205,738,000","3,205,179,000","3,205,863,000"
			Goodwill,"2,183,991,000","2,183,991,000","2,183,202,000","2,182,465,000","2,179,310,000","2,179,310,000","2,179,310,000","2,179,310,000"
			OtherIntangibleAssets,"1,025,000,000","1,025,000,000","1,025,457,000","1,025,542,000","1,025,629,000","1,026,428,000","1,025,869,000","1,026,553,000"
		OtherNonCurrentAssets,"155,688,000","152,786,000","219,362,000","194,092,000","142,347,000","137,474,000","128,428,000","122,390,000"
TotalLiabilitiesNetMinorityInterest,"4,218,080,000","4,242,122,000","4,248,633,000","4,155,799,000","4,121,167,000","4,020,437,000","5,658,197,000","5,594,057,000"
	CurrentLiabilities,"1,011,812,000","1,053,139,000","1,031,538,000","1,009,789,000","995,180,000","875,307,000","933,297,000","841,941,000"
		PayablesAndAccruedExpenses,"731,674,000","596,845,000","754,404,000","740,923,000","698,327,000","485,331,000","530,291,000","441,384,000"
			Payables,"392,662,000","450,588,000","380,174,000","406,685,000","352,401,000","386,504,000","409,939,000","345,316,000"
				AccountsPayable,"392,662,000","403,976,000","380,174,000","406,685,000","352,401,000","339,485,000","347,789,000","293,203,000"
				TotalTaxPayable,,"46,612,000",,,,"47,019,000","62,150,000","52,113,000"
					IncomeTaxPayable,,,,,,"649,000","11,527,000","5,701,000"
			CurrentAccruedExpenses,"339,012,000","146,257,000","374,230,000","334,238,000","345,926,000","98,827,000","120,352,000","96,068,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,"150,630,000",,,"127,000,000","129,484,000","129,288,000","93,685,000"
		CurrentDebtAndCapitalLeaseObligation,"280,138,000","287,661,000","277,134,000","268,866,000","296,853,000","260,492,000","273,718,000","306,872,000"
			CurrentDebt,"21,789,000","21,764,000","20,303,000","20,235,000","20,234,000","2,203,000","27,399,000","28,643,000"
				OtherCurrentBorrowings,"21,789,000","21,764,000","20,303,000","20,235,000","20,234,000","2,203,000","27,399,000","28,643,000"
			CurrentCapitalLeaseObligation,"258,349,000","265,897,000","256,831,000","248,631,000","276,619,000","258,289,000","246,319,000","278,229,000"
		CurrentDeferredLiabilities,,"18,003,000",,,,,,
			CurrentDeferredRevenue,,"18,003,000",,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,206,268,000","3,188,983,000","3,217,095,000","3,146,010,000","3,125,987,000","3,145,130,000","4,724,900,000","4,752,116,000"
		LongTermDebtAndCapitalLeaseObligation,"2,751,633,000","2,761,575,000","2,771,624,000","2,716,526,000","2,705,568,000","2,729,856,000","4,326,517,000","4,385,189,000"
			LongTermDebt,"1,637,365,000","1,640,390,000","1,643,423,000","1,646,463,000","1,649,509,000","1,646,281,000","3,198,800,000","3,228,447,000"
			LongTermCapitalLeaseObligation,"1,114,268,000","1,121,185,000","1,128,201,000","1,070,063,000","1,056,059,000","1,083,575,000","1,127,717,000","1,156,742,000"
		NonCurrentDeferredLiabilities,"322,626,000","318,355,000","309,072,000","293,611,000","282,350,000","280,920,000","272,821,000","265,276,000"
			NonCurrentDeferredTaxesLiabilities,"322,626,000","318,355,000","309,072,000","293,611,000","282,350,000","280,920,000","272,821,000","265,276,000"
		EmployeeBenefits,,"56,486,000",,,,"57,925,000","56,140,000","60,022,000"
		OtherNonCurrentLiabilities,"132,009,000","52,567,000","136,399,000","135,873,000","138,069,000","76,429,000","69,422,000","41,629,000"
TotalEquityGrossMinorityInterest,"2,287,707,000","2,255,819,000","2,220,913,000","2,159,382,000","2,072,232,000","2,055,265,000","545,617,000","561,061,000"
	StockholdersEquity,"2,306,793,000","2,274,014,000","2,237,402,000","2,174,632,000","2,087,226,000","2,068,848,000","558,449,000","569,391,000"
		CapitalStock,"265,000","265,000","264,000","264,000","264,000","264,000","1,365,490,000","1,358,130,000"
			PreferredStock,"0","0","0","0","0","0",,
			CommonStock,"265,000","265,000","264,000","264,000","264,000","264,000","1,365,490,000","1,358,130,000"
		AdditionalPaidInCapital,"2,143,505,000","2,133,821,000","2,126,294,000","2,115,220,000","2,103,714,000","2,092,110,000",,
		RetainedEarnings,"166,859,000","142,166,000","113,172,000","60,420,000","-14,691,000","-22,251,000","-800,790,000","-780,466,000"
		GainsLossesNotAffectingRetainedEarnings,"-3,836,000","-2,238,000","-2,328,000","-1,272,000","-2,061,000","-1,275,000","-6,251,000","-8,273,000"
	MinorityInterest,"-19,086,000","-18,195,000","-16,489,000","-15,250,000","-14,994,000","-13,583,000","-12,832,000","-8,330,000"
TotalCapitalization,"3,944,158,000","3,914,404,000","3,880,825,000","3,821,095,000","3,736,735,000","3,715,129,000","3,757,249,000","3,797,838,000"
CommonStockEquity,"2,306,793,000","2,274,014,000","2,237,402,000","2,174,632,000","2,087,226,000","2,068,848,000","558,449,000","569,391,000"
CapitalLeaseObligations,"1,372,617,000","1,387,082,000","1,385,032,000","1,318,694,000","1,332,678,000","1,341,864,000","1,374,036,000","1,434,971,000"
NetTangibleAssets,"-902,198,000","-934,977,000","-971,257,000","-1,033,375,000","-1,117,713,000","-1,136,890,000","-2,646,730,000","-2,636,472,000"
WorkingCapital,"37,073,000","17,638,000","-41,664,000","-65,634,000","-119,305,000","-97,758,000","-59,702,000","-130,936,000"
InvestedCapital,"3,965,947,000","3,936,168,000","3,901,128,000","3,841,330,000","3,756,969,000","3,717,332,000","3,784,648,000","3,826,481,000"
TangibleBookValue,"-902,198,000","-934,977,000","-971,257,000","-1,033,375,000","-1,117,713,000","-1,136,890,000","-2,646,730,000","-2,636,472,000"
