name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
OperatingCashFlow,"1,372,115,000","458,024,000","399,871,000","82,238,000","431,982,000","216,781,000","-95,313,000","-53,485,000","10,143,000","-379,810,000","288,948,000","-45,184,000","-65,456,000","87,685,000","116,081,000","158,377,000","80,366,000","22,358,000","252,659,000","23,641,000","-5,000,000","129,741,000","392,085,000","9,654,000","-159,020,000","66,362,000","882,000","91,549,000","63,852,000","-118,331,000","77,161,000","31,844,000","-35,429,000","162,265,000","101,377,000","214,677,000","-93,950,000","99,681,000","194,450,000","254,778,000","-288,774,000","108,200,000","8,587,000","-18,539,000","24,555,000","351,084,000","9,244,000","7,820,000","27,244,000","161,136,000","-68,903,000","-56,785,000","-578,880,000","-136,460,000","14,541,000","64,902,000","23,774,000","48,074,000","34,189,000","53,063,000","-17,219,000","45,343,000","-151,863,000","76,759,000","-56,388,000","172,884,000","47,735,000","35,862,000","35,507,000","-2,198,000","28,866,000","9,036,000","80,737,000","5,892,000","46,046,000","44,068,000","35,049,000","12,326,000","-1,432,000","2,459,000","40,118,000","18,061,000","-16,950,000","-801,000","10,477,000","-18,179,000","16,663,000","1,962,000","9,616,000","18,602,000","5,826,000","8,000,000","8,900,000","4,200,000","-4,900,000","800,000","-5,400,000","1,200,000","2,500,000","8,500,000","-4,200,000","-800,000"
	CashFlowFromContinuingOperatingActivities,"1,372,115,000","458,024,000","399,871,000","82,238,000","431,982,000","216,781,000","-95,313,000","-53,485,000","10,143,000","-379,810,000","288,948,000","-45,184,000","-65,456,000","87,685,000","116,081,000","158,377,000","80,366,000","22,358,000","252,659,000","23,641,000","-5,000,000","129,741,000","392,085,000","9,654,000","-159,020,000","66,362,000","882,000","91,549,000","63,852,000","-118,331,000","77,161,000","31,844,000","-35,429,000","162,265,000","101,377,000","214,677,000","-93,950,000","99,681,000","194,450,000","254,778,000","-288,774,000","108,200,000","8,587,000","-18,539,000","24,555,000","351,084,000","9,244,000","7,820,000","27,244,000","161,136,000","-68,903,000","-56,785,000","-578,880,000","-136,460,000","14,541,000","64,902,000","23,774,000","48,074,000","34,189,000","53,063,000","-17,219,000","45,343,000","-151,863,000","76,759,000","-56,388,000","172,884,000","47,735,000","35,862,000","35,507,000","-2,198,000","28,866,000","9,036,000","80,737,000","5,892,000","46,046,000","44,068,000","35,049,000","12,326,000","-1,432,000","2,459,000","40,118,000","18,061,000","-16,950,000","-801,000","10,477,000","-18,179,000","16,663,000","1,962,000","9,616,000","18,602,000","5,826,000","8,000,000","8,900,000","4,200,000","-4,900,000","800,000","-5,400,000","1,200,000","2,500,000","8,500,000","-4,200,000","-800,000"
		NetIncomeFromContinuingOperations,"440,394,000","127,391,000","98,757,000","109,137,000","105,109,000","153,148,000","101,204,000","107,315,000","21,659,000","62,812,000","85,964,000","99,121,000","81,466,000","89,146,000","79,657,000","91,948,000","89,580,000","81,981,000","68,781,000","65,626,000","64,897,000","58,378,000","54,608,000","53,115,000","50,041,000","49,111,000","35,511,000","38,355,000","43,831,000","39,052,000","38,133,000","40,224,000","38,541,000","34,500,000","35,288,000","35,563,000","34,307,000","32,052,000","30,089,000","32,302,000","25,595,000","23,210,000","19,221,000","30,202,000","11,750,000","16,402,000","14,204,000","20,098,000","13,010,000","16,017,000","28,167,000","31,995,000","6,549,000","6,358,000","1,955,000","-2,448,000","11,276,000","9,705,000","15,643,000","9,919,000","15,410,000","14,681,000","15,010,000","14,859,000","17,611,000","19,013,000","16,995,000","17,837,000","17,172,000","15,012,000","14,171,000","13,076,000","12,493,000","11,594,000","10,929,000","9,907,000","9,019,000","8,263,000","7,922,000","7,284,000","6,307,000","6,362,000","5,164,000","5,008,000","4,363,000","3,904,000","3,815,000","899,000","3,319,000","3,122,000","2,827,000","2,500,000","2,300,000","1,800,000","2,000,000","2,200,000","1,000,000","1,000,000","1,600,000","1,300,000","1,200,000","700,000"
		OperatingGainsLosses,"-131,739,000","-26,028,000","-24,412,000","-54,235,000","-51,426,000","-87,048,000","-376,642,000","-105,736,000","-104,775,000","-46,779,000","-39,514,000","-46,249,000","-33,520,000","-19,757,000","-22,323,000","-31,768,000","-30,302,000","-18,541,000","-21,963,000","-23,679,000","-27,524,000","-16,155,000","-39,609,000","-34,829,000","-28,185,000","-21,896,000","-20,884,000","-24,301,000","-37,975,000","-21,051,000","-20,646,000","-22,611,000","-19,971,000","-11,392,000","-7,575,000","-9,616,000","-27,910,000","-27,669,000","-27,055,000","140,209,000","-193,135,000","-16,108,000","21,447,000","-284,168,000","-47,037,000","266,141,000","-27,209,000","-54,858,000","-120,170,000","119,044,000","873,216,000","-153,835,000","-613,836,000","-165,566,000","-1,810,000","-2,084,000","-4,333,000","-3,443,000","-10,388,000","-1,550,000","-3,992,000","-3,977,000","-5,683,000","-3,609,000","-4,484,000","-3,683,000","-1,542,000","-5,386,000","-4,837,000","-5,855,000","-4,677,000","-5,861,000","-7,995,000","-2,329,000","-2,536,000","76,000","-1,328,000","-1,548,000","2,182,000","-1,041,000","-685,000","-563,000","4,185,000","-1,406,000","-1,535,000","-1,228,000","2,836,000","-566,000","-968,000","-1,249,000","595,000",,,"-100,000",,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,633,000","55,000","-840,000","0","-27,390,000","-746,000","-9,838,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-3,652,000","-9,000","35,000","133,000","-3,811,000","29,000","229,000","189,000","7,000","-4,000","49,000","6,000","42,000","-5,000","98,000","-52,000","-7,000","25,000","-104,000","52,000","23,000","-163,000","-216,000","-92,000","-18,000","21,000","295,000","109,000","322,000","81,000","-20,000","103,000","-234,000","795,000","398,000","-375,000","-1,000","1,000","-369,000","231,000","459,000","12,000","19,000","10,000",,,"10,000","-1,000","8,000","0","-4,000","339,000","16,000","11,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"4,995,000","2,782,000","1,067,000","2,431,000","-1,285,000","-1,154,000","-767,000","-411,000","-808,000","4,359,000","-587,000","-710,000","-864,000","-1,364,000","1,751,000","-90,000","-12,000","351,000","-14,000","-39,000","-47,000","55,000","-1,575,000","-3,305,000","-1,440,000","-1,325,000","79,000","98,000","24,000","-524,000","-18,000","153,000","336,000","33,000","3,328,000","-75,000","-2,000","-251,000","-2,561,000","-409,000","-1,109,000","-816,000","-309,000","-225,000","-1,152,000","-106,000","-159,000","-9,235,000",,,"-106,924,000","125,268,000","-10,698,000","-7,378,000","3,618,000","-920,000","140,000","1,333,000","-2,834,000","76,000","-192,000","-47,000","-89,000","57,000","95,000","-80,000","0","8,647,000",,,"83,000","-1,093,000","-1,000","-852,000","-1,312,000","1,276,000","-220,000","-386,000","-64,000","-236,000","-22,000","215,000","331,000","57,000","-86,000","-286,000","-41,000","74,000",,,,,,"-100,000",,,,,,,,
		DepreciationAmortizationDepletion,"100,762,000","24,526,000","26,408,000","23,904,000","25,924,000","25,561,000","25,074,000","24,157,000","23,762,000","23,376,000","23,524,000","21,516,000","22,125,000","21,197,000","18,757,000","16,922,000","16,103,000","15,883,000","16,593,000","16,556,000","15,521,000","14,437,000","14,350,000","11,502,000","13,686,000","13,610,000","11,696,000","9,162,000","7,918,000","7,895,000","8,165,000","8,442,000","7,757,000","7,753,000","5,119,000","7,187,000","7,092,000","6,782,000","10,521,000","4,633,000","3,895,000","5,627,000","1,715,000","6,846,000","5,497,000","5,411,000","1,015,000","5,848,000","5,634,000","5,668,000","3,205,000","5,960,000","4,575,000","6,768,000","5,216,000","5,212,000","4,291,000","5,847,000","4,619,000","5,419,000","5,231,000","4,741,000","5,068,000","4,507,000","4,168,000","3,879,000","3,775,000","3,435,000","5,324,000","4,217,000","3,420,000","2,898,000","2,925,000","2,821,000","2,952,000","3,183,000","2,091,000","2,795,000","2,757,000","2,996,000","2,723,000","3,268,000","2,557,000","1,717,000","1,371,000","1,859,000","1,992,000","1,863,000","2,832,000","1,707,000","1,556,000","300,000","900,000","1,000,000","700,000","800,000","400,000","700,000","300,000","500,000","500,000","400,000"
			DepreciationAndAmortization,"100,762,000","24,526,000","26,408,000","23,904,000","25,924,000","25,561,000","25,074,000","24,157,000","23,762,000","23,376,000","23,524,000","21,516,000","22,125,000","21,197,000","18,757,000","16,922,000","16,103,000","15,883,000","16,593,000","16,556,000","15,521,000","14,437,000","14,350,000","11,502,000","13,686,000","13,610,000","11,696,000","9,162,000","7,918,000","7,895,000","8,165,000","8,442,000","7,757,000","7,753,000","5,119,000","7,187,000","7,092,000","6,782,000","10,521,000","4,633,000","3,895,000","5,627,000","1,715,000","6,846,000","5,497,000","5,411,000","1,015,000","5,848,000","5,634,000","5,668,000","3,205,000","5,960,000","4,575,000","6,768,000","5,216,000","5,212,000","4,291,000","5,847,000","4,619,000","5,419,000","5,231,000","4,741,000","5,068,000","4,507,000","4,168,000","3,879,000","3,775,000","3,435,000","5,324,000","4,217,000","3,420,000","2,898,000","2,925,000","2,821,000","2,952,000","3,183,000","2,091,000","2,795,000","2,757,000","2,996,000","2,723,000","3,268,000","2,557,000","1,717,000","1,371,000","1,859,000","1,992,000","1,863,000","2,832,000","1,707,000","1,556,000","300,000","900,000","1,000,000","700,000","800,000","400,000","700,000","300,000","500,000","500,000","400,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,182,000",,,"5,341,000","4,356,000","4,221,000","5,551,000","4,739,000","4,366,000","3,930,000","5,130,000","5,262,000","5,121,000","5,016,000","5,109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
