name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999
TotalAssets,"1,245,348,000","1,204,067,000","1,166,613,000","1,165,937,000","1,177,056,000","1,297,322,000","1,354,267,000","1,295,126,000","1,057,646,000","992,233,000","1,022,119,000","742,883,000","703,220,000","700,299,000","665,256,000","668,878,000","618,744,000","614,507,000","618,189,000","599,336,000","608,006,000","600,903,000","427,617,000","396,313,000","394,461,000","409,145,000","411,653,000","407,854,000","414,197,000","382,554,000","351,565,000","362,279,000","381,974,000","378,462,000","391,509,000","362,498,000","365,907,000","381,383,000","377,287,000","383,450,000","388,728,000","378,624,000","384,724,000","395,815,000","407,944,000","415,729,000","422,701,000","426,460,000","467,147,000","440,621,000","432,655,000","430,753,000","427,066,000","429,410,000","450,780,000","469,609,000","488,742,000","470,056,000","456,523,000","466,198,000","461,297,000","465,362,000","467,477,000","479,390,000","473,652,000","458,187,000","443,051,000","441,405,000","433,550,000","436,512,000","444,106,000","454,344,000","439,164,000","434,140,000","413,618,000","437,257,000","435,542,000","445,706,000","456,130,000","487,441,000","467,917,000","439,851,000","441,604,000","443,092,000","453,608,000","431,022,000","423,689,000","337,032,000","349,100,000","326,800,000","117,500,000"
	CurrentAssets,"650,921,000","627,256,000","610,029,000","621,157,000","614,216,000","726,852,000","759,200,000","701,380,000","461,852,000","404,310,000","419,518,000","462,064,000","439,603,000","474,008,000","448,885,000","458,034,000","404,166,000","390,982,000","372,844,000","353,851,000","362,646,000","349,306,000","167,810,000","163,839,000","164,683,000","179,758,000","191,947,000","188,133,000","209,166,000","197,221,000","158,854,000","171,668,000","195,279,000","200,197,000","213,477,000","205,669,000","221,500,000","234,532,000","232,108,000","239,683,000","245,251,000","239,743,000","244,903,000","249,894,000","257,197,000","259,069,000","267,359,000","278,258,000","318,585,000","294,859,000","292,915,000","286,131,000","280,793,000","280,028,000","284,158,000","296,306,000","331,401,000","347,720,000","341,264,000","343,929,000","323,686,000","327,972,000","336,166,000","362,018,000","359,959,000","344,516,000","338,248,000","336,748,000","332,445,000","329,935,000","343,061,000","351,568,000","346,644,000","357,986,000","337,856,000","361,254,000","341,297,000","332,326,000","344,604,000","375,687,000","354,502,000","332,749,000","335,329,000","340,507,000","348,879,000","334,299,000","335,582,000","287,852,000","308,900,000","289,400,000","85,300,000"
		CashCashEquivalentsAndShortTermInvestments,"447,813,000","415,785,000","448,766,000","442,792,000","461,114,000","593,397,000","638,251,000","547,874,000","291,519,000","250,481,000","231,347,000","296,051,000","338,208,000","359,143,000","315,589,000","341,550,000","284,871,000","297,444,000","263,008,000","262,263,000","270,683,000","267,140,000","67,574,000","79,909,000","87,559,000","102,376,000","99,570,000","110,504,000","113,648,000","115,413,000","68,738,000","78,930,000","87,266,000","109,387,000","114,824,000","122,852,000","132,253,000","152,374,000","147,099,000","170,176,000","165,919,000","155,761,000","162,785,000","169,224,000","170,912,000","166,947,000","179,728,000","197,573,000","226,459,000","208,224,000","205,764,000","208,281,000","203,193,000","177,341,000","175,863,000","184,391,000","222,059,000","266,353,000","268,702,000","266,156,000","255,404,000","254,299,000","264,286,000","280,858,000","278,006,000","278,092,000","271,317,000","258,055,000","260,009,000","266,461,000","277,755,000","273,291,000","266,688,000","273,441,000","262,997,000","271,114,000","269,949,000","263,868,000","276,988,000","294,066,000","268,334,000","264,713,000","251,916,000","239,671,000","254,755,000","251,791,000","259,095,000","208,992,000","242,600,000","226,300,000","34,300,000"
			CashAndCashEquivalents,"105,594,000","134,828,000","271,034,000","322,603,000","300,418,000","462,102,000","519,461,000","424,612,000","158,520,000","90,447,000","76,473,000","98,237,000","152,764,000","167,457,000","126,117,000","154,796,000","105,583,000","137,700,000","109,163,000","132,815,000","165,621,000","211,976,000","11,457,000","16,193,000","23,201,000","38,019,000","37,136,000","44,271,000","46,947,000","47,227,000","29,599,000","17,364,000","21,400,000","32,911,000","37,081,000","44,026,000","46,278,000","66,048,000","52,693,000","66,377,000","60,469,000","52,491,000","58,384,000","64,697,000","68,003,000","69,823,000","84,361,000","97,776,000","136,347,000","149,784,000","152,706,000","162,906,000","135,051,000","119,655,000","119,091,000","138,149,000","180,360,000","135,805,000","67,059,000","82,367,000","76,495,000","119,873,000","130,869,000","175,203,000","121,907,000","123,381,000","74,480,000","56,568,000","71,380,000","89,596,000","72,486,000","48,467,000","64,136,000","82,449,000","117,237,000","128,473,000","155,778,000","56,701,000","68,838,000","86,659,000","74,716,000","72,146,000","61,194,000","45,040,000","83,433,000","66,324,000","68,542,000","101,779,000","242,600,000","226,300,000","34,300,000"
			OtherShortTermInvestments,"342,219,000","280,957,000","177,732,000","120,189,000","160,696,000","131,295,000","118,790,000","123,262,000","132,999,000","160,034,000","154,874,000","197,814,000","185,444,000","191,686,000","189,472,000","186,754,000","179,288,000","159,744,000","153,845,000","129,448,000","105,062,000","55,164,000","56,117,000","63,716,000","64,358,000","64,357,000","62,434,000","66,233,000","66,701,000","68,186,000","39,139,000","61,566,000","65,866,000","76,476,000","77,743,000","78,826,000","85,975,000","86,326,000","94,406,000","103,799,000","105,450,000","103,270,000","104,401,000","104,527,000","102,909,000","97,124,000","95,367,000","99,797,000","90,112,000","58,440,000","53,058,000","45,375,000","68,142,000","57,686,000","56,772,000","46,242,000","41,699,000","130,548,000","201,643,000","183,789,000","178,909,000","134,426,000","133,417,000","105,655,000","156,099,000","154,711,000","196,837,000","201,487,000","188,629,000","176,865,000","205,269,000","224,824,000","202,552,000","190,992,000","145,760,000","142,641,000","114,171,000","207,167,000","208,150,000","207,407,000","193,618,000","192,567,000","190,722,000","194,631,000","171,322,000","185,467,000","190,553,000","107,213,000",,,
		Receivables,"163,192,000","171,196,000","125,448,000","113,869,000","83,760,000","52,007,000","69,262,000","120,305,000","136,315,000","124,771,000","142,906,000","132,052,000","54,983,000","78,925,000","84,367,000","83,077,000","78,517,000","65,245,000","72,057,000","55,548,000","53,345,000","53,155,000","63,742,000","55,275,000","50,064,000","58,437,000","54,265,000","38,629,000","54,884,000","40,088,000","56,669,000","53,036,000","67,363,000","59,552,000","69,537,000","57,124,000","54,839,000","50,716,000","58,959,000","47,350,000","50,123,000","56,741,000","50,730,000","48,530,000","48,878,000","52,051,000","51,761,000","48,123,000","65,538,000","62,732,000","60,613,000","59,108,000","53,283,000","60,133,000","68,594,000","79,515,000","85,608,000","56,597,000","50,337,000","54,608,000","44,505,000","55,473,000","57,858,000","67,775,000","66,848,000","50,611,000","54,352,000","61,901,000","44,876,000","48,915,000","51,290,000","62,703,000","39,048,000","42,731,000","35,565,000","49,730,000","52,142,000","48,632,000","50,988,000","63,835,000","61,885,000","44,143,000","62,846,000","72,337,000","67,562,000","56,188,000","55,709,000","60,424,000","46,900,000","41,800,000","34,700,000"
			AccountsReceivable,"163,192,000","171,196,000","125,448,000","113,869,000","83,760,000","52,007,000","69,262,000","120,305,000","136,315,000","124,771,000","142,906,000","132,052,000","54,983,000","78,925,000","84,367,000","83,077,000","78,517,000","65,245,000","72,057,000","55,548,000","53,345,000","53,155,000","63,742,000","55,275,000","50,064,000","58,437,000","54,265,000","38,629,000","54,884,000","40,088,000","56,669,000","53,036,000","67,363,000","59,552,000","69,537,000","57,124,000","54,839,000","50,716,000","58,959,000","47,350,000","50,123,000","56,741,000","50,730,000","48,530,000","48,878,000","52,051,000","51,761,000","48,123,000","65,538,000","62,732,000","60,613,000","59,108,000","53,283,000","60,133,000","68,594,000","79,515,000","85,608,000","56,597,000","50,337,000","54,608,000","44,505,000","55,473,000","57,858,000","67,775,000","66,848,000","50,611,000","54,352,000","61,901,000","44,876,000","48,915,000","51,290,000","62,703,000","39,048,000","42,731,000","35,565,000","49,730,000","52,142,000","48,632,000","50,988,000","63,835,000","61,885,000","44,143,000","62,846,000","72,337,000",,,,,,,
				GrossAccountsReceivable,"168,349,000","176,351,000","130,857,000","119,246,000","88,904,000","56,057,000","71,443,000","122,616,000","137,430,000","125,589,000","143,884,000","133,134,000","56,084,000","79,934,000","85,980,000","84,966,000","80,721,000","68,280,000","74,854,000","63,880,000","62,085,000","61,414,000",,"63,775,000","59,448,000","68,748,000","64,627,000","48,450,000","64,495,000","47,814,000","63,994,000","63,801,000","77,201,000","68,896,000","78,477,000","68,637,000","67,982,000","65,407,000","71,850,000","58,356,000","62,098,000","69,302,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,157,000","-5,155,000","-5,409,000","-5,377,000","-5,144,000","-4,050,000","-2,181,000","-2,311,000","-1,115,000","-818,000","-978,000","-1,082,000","-1,101,000","-1,009,000","-1,613,000","-1,889,000","-2,204,000","-3,035,000","-2,797,000","-8,332,000","-8,740,000","-8,259,000",,"-8,500,000","-9,384,000","-10,311,000","-10,362,000","-9,821,000","-9,611,000","-7,726,000","-7,325,000","-10,765,000","-9,838,000","-9,344,000","-8,940,000","-11,513,000","-13,143,000","-14,691,000","-12,891,000","-11,006,000","-11,975,000","-12,561,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"9,200,000","8,033,000","7,314,000","7,042,000","8,401,000","8,386,000","8,170,000","7,453,000","8,259,000","8,252,000","8,527,000","7,611,000","8,771,000","7,753,000","8,910,000","8,592,000","9,983,000","8,332,000","8,479,000","8,375,000","7,455,000","6,531,000","7,935,000","7,374,000","7,822,000","6,167,000","5,526,000","5,982,000","5,920,000","4,735,000","4,539,000","4,028,000","4,403,000","2,874,000","2,532,000","1,728,000","3,098,000","1,770,000","2,189,000","1,676,000","1,567,000","1,658,000","2,433,000","1,856,000","2,002,000","2,087,000","1,831,000","1,628,000","1,921,000","2,182,000","2,847,000","3,193,000","4,044,000","4,958,000","6,122,000","5,627,000","5,211,000","4,717,000","4,672,000","3,309,000","3,866,000","3,373,000","2,544,000","1,788,000","2,227,000","1,834,000","1,285,000","1,057,000","935,000","1,202,000","822,000","856,000","999,000","1,024,000","903,000","839,000","1,589,000","1,517,000","1,370,000","1,851,000","3,390,000","4,082,000","5,283,000","4,918,000","6,854,000","5,683,000","4,444,000","2,752,000","2,100,000","2,900,000","2,600,000"
