name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989
TotalAssets,"91,126,000,000","93,200,000,000","88,306,000,000","87,208,000,000","85,121,000,000","81,479,000,000","78,357,000,000","76,447,000,000","71,467,000,000","69,172,000,000","70,361,000,000","70,065,000,000","69,195,000,000","68,746,000,000","66,731,000,000","66,457,000,000","66,481,000,000","66,288,000,000","65,564,000,000","65,446,000,000","65,463,000,000","63,239,165,000","61,038,860,000","59,642,992,000","59,179,913,000","59,669,525,000","58,410,927,000","58,365,459,000","57,555,931,000","57,208,874,000","55,458,870,000","55,111,275,000","56,080,844,000","56,031,127,000","55,188,312,000","54,904,540,000","54,110,564,000","55,511,918,000","53,087,001,000","53,407,012,000","52,896,307,000","53,149,109,000","51,531,320,000","51,361,414,000","50,807,708,000","51,034,886,000","51,047,776,000","52,147,295,000","51,712,981,000","51,123,007,000","53,403,672,000","52,874,957,000","54,545,012,000","55,092,791,000","53,974,168,000","54,630,883,000","53,408,293,000","52,947,414,000","50,044,686,000","48,691,445,000","48,558,866,000","46,970,226,000","45,777,747,000","45,142,086,000","43,318,029,000","42,779,639,000","33,422,701,000","32,875,294,000","31,883,486,000","31,469,834,000","30,731,040,000","30,894,325,000","29,789,703,000","28,558,238,000","27,604,188,000","27,805,628,000","27,208,734,000","26,565,689,000","26,289,314,000","25,734,714,000","24,839,623,000","24,304,164,000","24,255,570,000","23,487,799,000","23,548,179,000","21,939,443,000","21,924,319,000","21,458,435,000","20,996,557,000","20,280,900,000","18,595,500,000","17,605,700,000","17,085,000,000","16,648,900,000","12,385,400,000","11,780,500,000","10,611,600,000","9,521,800,000","9,059,700,000","8,050,000,000","7,240,600,000","6,485,000,000","6,783,300,000","6,087,900,000","6,202,700,000","5,620,600,000","5,667,700,000","5,664,300,000","5,105,600,000","4,934,100,000","5,228,400,000","5,452,400,000","5,232,200,000","4,365,600,000","4,067,900,000","3,935,200,000","3,895,500,000","3,779,300,000","3,579,600,000","3,633,200,000","3,493,000,000","3,645,800,000","3,408,100,000","3,273,400,000","3,273,500,000","3,559,100,000","3,111,400,000","3,084,600,000","2,938,900,000","2,975,400,000","2,918,300,000","2,869,300,000"
TotalLiabilitiesNetMinorityInterest,"84,832,000,000","85,737,000,000","80,532,000,000","79,175,000,000","77,188,000,000","73,593,000,000","70,689,000,000","68,872,000,000","63,995,000,000","61,819,000,000","62,852,000,000","62,466,000,000","61,607,000,000","61,168,000,000","59,178,000,000","58,836,000,000","58,837,000,000","58,609,000,000","57,803,000,000","57,697,000,000","57,733,000,000","55,604,859,000","53,359,553,000","52,016,609,000","51,554,176,000","52,162,006,000","50,772,832,000","50,835,284,000","50,101,633,000","49,839,344,000","48,136,711,000","48,411,185,000","49,494,628,000","49,566,564,000","48,855,503,000","48,044,208,000","47,759,911,000","49,463,277,000","47,168,746,000","46,917,649,000","46,509,529,000","46,165,881,000","44,612,403,000","44,448,323,000","44,063,121,000","44,387,672,000","44,553,185,000","45,726,193,000","45,856,069,000","45,412,750,000","47,879,784,000","47,293,004,000","48,965,178,000","48,563,775,000","48,377,853,000","49,331,825,000","48,050,079,000","47,623,675,000","44,750,295,000","43,434,649,000","43,259,005,000","41,940,412,000","41,093,423,000","40,666,137,000","38,945,318,000","38,514,824,000","30,396,809,000","29,912,721,000","29,035,382,000","28,656,496,000","27,982,298,000","28,236,153,000","27,143,891,000","25,998,439,000","25,098,001,000","25,303,212,000","24,772,945,000","24,169,169,000","23,908,685,000","23,374,654,000","22,503,485,000","22,006,973,000","22,006,789,000","21,274,003,000","21,378,514,000","20,120,742,000","20,169,048,000","19,784,025,000","19,370,811,000","18,581,900,000","17,444,100,000","16,476,900,000","15,987,500,000","15,600,400,000","11,408,100,000","10,855,900,000","9,887,800,000","8,866,300,000","8,478,600,000","7,460,800,000","6,737,000,000","5,977,500,000","6,292,800,000","5,614,400,000","5,764,100,000","5,192,100,000","5,257,700,000","5,272,000,000","4,724,600,000","4,568,300,000","4,874,100,000","5,110,600,000","4,913,500,000","4,075,200,000","3,795,800,000","3,673,400,000","3,646,100,000","3,536,800,000","3,349,100,000","3,412,600,000","3,280,100,000","3,439,200,000","3,208,100,000","3,079,400,000","3,085,300,000","3,375,600,000","2,933,500,000","2,911,600,000","2,770,400,000","2,811,100,000","2,758,400,000","2,713,000,000"
TotalEquityGrossMinorityInterest,"6,294,000,000","7,463,000,000","7,774,000,000","8,033,000,000","7,933,000,000","7,886,000,000","7,668,000,000","7,575,000,000","7,472,000,000","7,353,000,000","7,509,000,000","7,599,000,000","7,588,000,000","7,578,000,000","7,553,000,000","7,621,000,000","7,644,000,000","7,679,000,000","7,761,000,000","7,749,000,000","7,730,000,000","7,634,306,000","7,679,307,000","7,626,383,000","7,625,737,000","7,507,519,000","7,638,095,000","7,530,175,000","7,454,298,000","7,369,530,000","7,322,159,000","6,700,090,000","6,586,216,000","6,464,563,000","6,332,809,000","6,860,332,000","6,350,653,000","6,048,641,000","5,918,255,000","6,489,363,000","6,386,778,000","6,983,228,000","6,918,917,000","6,913,091,000","6,744,587,000","6,647,214,000","6,494,591,000","6,421,102,000","5,856,912,000","5,710,257,000","5,523,888,000","5,581,953,000","5,579,834,000","6,529,016,000","5,596,315,000","5,299,058,000","5,358,214,000","5,323,739,000","5,294,391,000","5,256,796,000","5,299,861,000","5,029,814,000","4,684,324,000","4,475,949,000","4,372,711,000","4,264,815,000","3,025,892,000","2,962,573,000","2,848,104,000","2,813,338,000","2,748,742,000","2,658,172,000","2,645,812,000","2,559,799,000","2,506,187,000","2,502,416,000","2,435,789,000","2,396,520,000","2,380,629,000","2,360,060,000","2,336,138,000","2,297,191,000","2,248,781,000","2,213,796,000","2,169,665,000","1,818,701,000","1,755,271,000","1,674,410,000","1,625,746,000","1,699,000,000","1,151,400,000","1,128,800,000","1,097,500,000","1,048,500,000","977,300,000","924,600,000","723,800,000","655,500,000","581,100,000","589,200,000","503,600,000","507,500,000","490,500,000","473,500,000","438,600,000","428,500,000","410,000,000","392,300,000","381,000,000","365,800,000","354,300,000","341,800,000","318,700,000","290,400,000","272,100,000","261,800,000","249,400,000","242,500,000","230,500,000","220,600,000","212,900,000","206,600,000","200,000,000","194,000,000","188,200,000","183,500,000","177,900,000","173,000,000","168,500,000","164,300,000","159,900,000","156,300,000"
	StockholdersEquity,"6,294,000,000","7,463,000,000","7,774,000,000","8,033,000,000","7,933,000,000","7,886,000,000","7,668,000,000","7,575,000,000","7,472,000,000","7,353,000,000","7,509,000,000","7,599,000,000","7,588,000,000","7,578,000,000","7,553,000,000","7,621,000,000","7,644,000,000","7,679,000,000","7,761,000,000","7,749,000,000","7,730,000,000","7,634,306,000","7,679,307,000","7,626,383,000","7,625,737,000","7,507,519,000","7,638,095,000","7,530,175,000","7,454,298,000","7,369,530,000","7,322,159,000","6,700,090,000","6,586,216,000","6,464,563,000","6,332,809,000","6,860,332,000","6,355,405,000","6,052,069,000","5,921,117,000","6,491,971,000","6,389,113,000","6,985,308,000","6,920,766,000","6,914,593,000","6,745,852,000","6,648,279,000","6,495,432,000","6,421,842,000","5,842,206,000","5,692,658,000","5,502,355,000","5,557,932,000","5,553,006,000","6,501,696,000","5,566,027,000","5,273,530,000","5,327,801,000","5,292,800,000","5,256,980,000","5,224,702,000","5,261,170,000","4,987,023,000","4,643,166,000","4,447,330,000","4,343,816,000","4,237,264,000","2,999,173,000","2,937,908,000","2,821,766,000","2,789,979,000","2,724,261,000","2,636,451,000","2,621,965,000","2,540,023,000","2,485,971,000","2,479,421,000","2,412,504,000","2,373,843,000","2,357,601,000","2,337,278,000","2,315,369,000","2,280,869,000","2,235,167,000","2,197,722,000","2,116,054,000","1,778,844,000","1,715,695,000","1,633,984,000","1,585,667,000","1,659,800,000","1,112,900,000","1,091,300,000","1,059,700,000","1,013,700,000","977,300,000","924,600,000","723,800,000","655,500,000","581,100,000","589,200,000","503,600,000","507,500,000","490,500,000","473,500,000","438,600,000","428,500,000","410,000,000","392,300,000","381,000,000","365,800,000","354,300,000","341,800,000","318,700,000","290,400,000","272,100,000","261,800,000","249,400,000","242,500,000","230,500,000","220,600,000","212,900,000","206,600,000","200,000,000","194,000,000","188,200,000","183,500,000","177,900,000","173,000,000","168,500,000","164,300,000","159,900,000","156,300,000"
		CapitalStock,"2,329,000,000","2,368,000,000","2,685,000,000","3,005,000,000","3,219,000,000","3,252,000,000","3,246,000,000","3,241,000,000","3,234,000,000","3,301,000,000","3,568,000,000","3,837,000,000","566,000,000","566,000,000","566,000,000","4,797,000,000","4,912,000,000","5,011,000,000","5,118,000,000","5,226,000,000","5,406,000,000","5,434,316,000","5,457,513,000","5,492,662,000","5,606,120,000","5,595,221,000","5,760,447,000","5,742,304,000","5,732,588,000","5,727,866,000","5,721,301,000","5,196,142,000","5,189,483,000","5,182,994,000","5,176,857,000","5,896,487,000","5,472,177,000","5,294,411,000","5,285,378,000","5,957,998,000","5,900,155,000","6,540,802,000","2,354,523,000","6,487,739,000","6,340,768,000","6,220,291,000","5,946,426,000","1,806,877,000","5,049,944,000","4,821,201,000","4,498,978,000","1,491,730,000","1,587,027,000","4,181,750,000","286,949,000","240,000,000","240,000,000","2,452,237,000","240,000,000","240,000,000","240,000,000","2,470,303,000",,,"2,197,245,000","2,156,732,000","971,002,000","961,510,000","969,739,000","972,065,000","965,166,000","974,479,000","973,506,000","985,904,000","991,866,000","987,021,000","1,012,532,000","1,034,888,000","1,048,803,000","1,072,005,000","1,092,735,000","1,111,214,000","1,104,278,000","1,120,991,000","1,111,202,000","907,604,000","901,569,000","889,422,000","888,725,000","888,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"440,000,000","440,000,000","440,000,000","440,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","566,000,000","710,000,000","709,601,000","709,601,000","709,601,000","828,490,000","828,490,000","1,004,159,000","1,004,032,000","1,004,032,000","1,004,011,000","1,004,006,000","1,004,006,000","1,003,970,000","1,003,970,000","1,003,970,000","1,728,659,000","1,301,289,000","1,128,302,000","1,123,377,000","1,800,473,000","1,737,633,000","2,377,560,000","2,354,523,000","2,329,370,000","2,162,399,000","2,056,672,000","1,875,463,000","1,806,877,000","1,532,323,000","1,502,784,000","1,524,722,000","1,491,730,000","1,587,027,000","1,581,834,000","286,949,000","240,000,000","240,000,000","240,000,000","240,000,000","240,000,000","240,000,000","240,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"1,889,000,000","1,928,000,000","2,245,000,000","2,565,000,000","2,653,000,000","2,686,000,000","2,680,000,000","2,675,000,000","2,668,000,000","2,735,000,000","3,002,000,000","3,271,000,000",,,,"4,231,000,000","4,346,000,000","4,445,000,000","4,552,000,000","4,660,000,000","4,696,000,000","4,724,715,000","4,747,912,000","4,783,061,000","4,777,630,000","4,766,731,000","4,756,288,000","4,738,272,000","4,728,556,000","4,723,855,000","4,717,295,000","4,192,136,000","4,185,513,000","4,179,024,000","4,172,887,000","4,167,828,000","4,170,888,000","4,166,109,000","4,162,001,000","4,157,525,000","4,162,522,000","4,163,242,000",,"4,158,369,000","4,178,369,000","4,163,619,000","4,070,963,000","3,964,140,000","3,517,621,000","3,318,417,000","2,974,256,000","2,779,896,000",,"2,599,916,000",,,,"2,212,237,000",,,,"2,230,303,000",,,"2,197,245,000","2,156,732,000","971,002,000","961,510,000","969,739,000","972,065,000","965,166,000","974,479,000","973,506,000","985,904,000","991,866,000","987,021,000","1,012,532,000","1,034,888,000","1,048,803,000","1,072,005,000","1,092,735,000","1,111,214,000","1,104,278,000","1,120,991,000","1,111,202,000","907,604,000","901,569,000","889,422,000","888,725,000","888,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,,,,,,,,,,,,,"3,541,000,000","3,806,000,000","4,052,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"4,157,525,000",,"4,163,242,000","4,160,697,000","4,158,369,000","4,178,369,000","4,163,619,000",,"3,964,140,000",,,,"2,779,896,000","2,607,541,000","2,599,916,000","2,482,517,000","2,224,455,000","2,219,905,000","2,212,237,000","2,200,228,000","2,279,722,000","2,381,509,000","2,230,303,000","2,240,458,000","2,218,711,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"5,311,000,000","5,175,000,000","5,025,000,000","4,853,000,000","4,566,000,000","4,309,000,000","4,090,000,000","3,979,000,000","3,979,000,000","4,009,000,000","3,892,000,000","3,737,000,000","3,603,000,000","3,456,000,000","3,296,000,000","3,139,000,000","2,999,000,000","2,807,000,000","2,700,000,000","2,572,000,000","2,435,000,000","2,321,571,000","2,211,793,000","2,110,069,000","2,031,270,000","1,966,910,000","1,894,623,000","1,823,043,000","1,836,619,000","1,769,705,000","1,711,785,000","1,640,785,000","1,542,195,000","1,473,670,000","1,540,455,000","1,338,401,000","1,290,131,000","1,203,815,000","1,170,477,000","1,110,120,000","1,060,525,000","1,036,590,000","994,380,000","931,345,000","904,247,000","889,284,000","1,017,428,000","1,099,621,000","1,236,497,000","1,324,516,000","1,487,707,000","1,668,608,000","1,713,897,000","2,433,363,000","2,968,242,000","2,981,062,000","2,957,511,000","2,910,692,000","2,914,439,000","2,828,613,000","2,719,502,000","2,602,189,000","2,501,625,000","2,386,369,000","2,279,383,000","2,179,885,000","2,084,439,000","1,994,015,000","1,907,727,000","1,830,064,000","1,753,934,000","1,680,240,000","1,610,176,000","1,538,677,000","1,470,063,000","1,434,915,000","1,361,414,000","1,292,741,000","1,223,437,000","1,202,290,000","1,170,934,000","1,109,704,000","1,056,271,000","1,001,935,000","946,867,000","874,884,000","826,311,000","764,884,000","722,442,000","775,800,000","794,200,000","762,300,000","732,400,000","693,800,000","660,900,000","612,200,000","575,000,000","530,600,000","492,900,000","470,600,000","44,900,000","429,500,000","409,100,000","389,900,000","370,900,000","353,200,000","336,600,000","319,500,000","304,100,000","292,400,000","279,500,000","266,200,000","253,900,000","233,300,000","218,700,000","208,800,000","196,600,000","190,000,000","178,200,000","168,400,000","161,300,000","155,800,000","150,000,000","145,000,000","140,000,000","135,400,000","129,800,000","125,200,000","121,200,000","117,400,000","113,200,000","110,000,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,160,000",,,,"14,459,000",,,,"11,294,000",,,,"9,620,000",,,,,,,,,,,,,,"2,931,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
