name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalAssets,"132,041,000","133,274,000","90,723,000","83,698,000","70,236,000","72,175,000","64,965,000","36,759,000","33,222,000","28,277,000","24,724,000","21,839,000","18,865,000","16,184,000","13,297,000","11,393,000","9,309,000","8,929,000","5,984,000","3,521,000","4,245,000","4,091,000","4,812,000","4,273,000","4,197,000","3,696,000","4,980,000","5,415,000","6,416,000","7,114,000","9,568,000","10,743,000","16,002,000","17,221,000","23,359,000","24,149,000","24,791,000","25,936,000","26,193,000","25,494,000","23,888,000","21,785,000","20,885,000","18,694,000","16,742,000","15,701,000","14,937,000","13,267,416","13,639,881","11,929,959","11,927,957","11,886,651","11,918,620","10,783,996","13,618,293","11,459,459","8,567,937","7,175,170","5,496,665","3,909,500","3,255,664","2,768,344","2,096,713","1,718,044","1,553,242","1,344,897","1,309,477","1,129,103","997,143","789,601","1,033,563","1,418,085","607,009","0","0","0","0","0","0","28,410","0","134,744","138,149","141,554","146,264","268,105","497,444","0","0","0","0","30","122"
	CurrentAssets,"82,176,000","82,689,000","69,858,000","61,779,000","60,829,000","63,023,000","57,553,000","29,833,000","25,698,000","22,566,000","18,638,000","15,752,000","14,272,000","14,326,000","12,154,000","10,245,000","8,359,000","8,371,000","5,552,000","2,948,000","3,640,000","3,422,000","4,196,000","3,553,000","3,374,000","2,766,000","3,967,000","4,262,000","5,103,000","5,705,000","7,590,000","8,527,000","12,757,000","13,704,000","19,168,000","19,369,000","20,578,000","21,362,000","21,531,000","21,035,000","19,655,000","18,048,000","17,107,000","15,163,000","13,460,000","12,532,000","12,009,000","10,197,049","10,535,118","9,015,785","9,460,503","9,553,625","9,526,532","8,615,952","12,038,605","10,138,807","7,539,868","6,221,661","4,833,568","3,448,623","2,861,052","2,430,051","1,785,146","1,557,041","1,377,673","1,154,175","1,080,740","895,061","756,497","546,634","897,678","1,242,968","449,789","0","0","0","0","0","0","27,236","0","26,553","26,553","26,553","27,858","79,447","389,803","0",,,"0","30","122"
		CashCashEquivalentsAndShortTermInvestments,"39,247,000","42,612,000","35,368,000","32,330,000","33,439,000","39,173,000","41,229,000","16,916,000","14,585,000","14,040,000","11,934,000","10,054,000","9,419,000","10,128,000","8,096,000","6,285,000","4,366,000","5,565,000","2,574,000","140,000","462,000","247,000","91,000","29,000","24,000","8,000","41,000","87,000","348,000","63,000","319,000","311,000","189,000","323,000","468,000","445,000","681,000","823,000","843,000","623,000","742,000","789,000","761,000","783,000","646,000","602,000","593,000","47,113","1,064,035","862,645","239,396","24,553",,,,"189,620","45,287",,"3,539","21,054","37,511","265,197","6,344","76,823","143,609","18,733",,,,"3,078","283,232","762,008",,,,,,,,"2,216",,,,,,"7,219","320,216",,,,,,
			CashAndCashEquivalents,"39,247,000","42,612,000","35,368,000","32,330,000","33,439,000","39,173,000","41,229,000","16,916,000","14,585,000","14,040,000","11,934,000","10,054,000","9,419,000","10,128,000","8,096,000","6,285,000","4,366,000","5,565,000","2,574,000","140,000","462,000","247,000","91,000","29,000","24,000","8,000","41,000","87,000","348,000","63,000","319,000","311,000","189,000","323,000","468,000","445,000","681,000","823,000","843,000","623,000","742,000","789,000","761,000","783,000","646,000","602,000","593,000","47,113","1,064,035","862,645","239,396","24,553",,,,"189,620","45,287",,"3,539","21,054","37,511","265,197","6,344","76,823","143,609","18,733",,,,"3,078","283,232","762,008",,,,,,,,"2,216",,,,,,"7,219","320,216",,,,,,
				CashFinancial,"39,247,000","42,612,000","35,368,000","32,330,000","33,439,000","39,173,000","41,229,000","16,916,000","14,585,000","14,040,000","11,934,000","10,054,000","9,419,000","10,128,000","8,096,000","6,285,000","4,366,000","5,565,000","2,574,000","140,000","462,000","247,000","91,000","29,000","24,000","8,000","41,000","87,000","348,000","63,000","319,000","311,000","189,000","323,000","468,000","445,000","681,000","823,000","843,000","623,000","742,000","789,000","761,000","783,000","646,000","602,000","593,000","47,113","1,064,035","862,645","239,396","24,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,219","320,216",,,,,,
		Receivables,"27,845,000","28,632,000","24,234,000","18,310,000","14,874,000","13,837,000","9,365,000","7,406,000","6,549,000","5,833,000","4,254,000","3,540,000","3,147,000","2,791,000","2,898,000","2,863,000","2,668,000","2,185,000","2,409,000","2,505,000","2,902,000","3,028,000","3,981,000","3,237,000","3,157,000","2,426,000","2,776,000","2,654,000","2,924,000","3,457,000","4,679,000","5,353,000","7,177,000","7,926,000","8,824,000","9,775,000","11,234,000","12,224,000","12,252,000","12,143,000","11,642,000","10,984,000","10,756,000","9,513,000","7,939,000","7,309,000","6,628,000","6,193,668","5,860,311","5,039,023","6,092,799","6,389,218","6,621,209","5,614,996","9,433,401","7,950,946","6,084,697","4,475,932","3,132,279","2,288,818","1,828,079","1,337,873","1,192,845","958,454","814,267","702,478","657,630","475,910","340,047","190,090","254,528","233,389","200,675",,,,,,,"5,114",,"0","0","0","1,305","43,390","54,390",,,,,,
			AccountsReceivable,"27,845,000","28,632,000","24,234,000","18,310,000","14,874,000","13,837,000","9,365,000","7,264,000","6,549,000","5,833,000","4,254,000","3,540,000","3,147,000","2,791,000","2,898,000","2,863,000","2,668,000","2,185,000","2,409,000","2,505,000","2,902,000","3,028,000","3,981,000","3,237,000","3,157,000","2,426,000","2,776,000","2,654,000","2,924,000","3,189,000","4,460,000","4,982,000","6,284,000","7,033,000","8,824,000","9,775,000","11,234,000","12,224,000","12,252,000","12,143,000","11,642,000","10,984,000","10,756,000","9,513,000","7,939,000","7,309,000","6,628,000","6,193,668","5,860,311","5,039,023","6,092,799","6,389,218","6,621,209","5,614,996","9,433,401","7,950,946","6,084,697","4,475,932","3,132,279","2,288,818","1,828,079","1,337,873","1,192,845","958,454","814,267","694,892","657,630","475,910","340,047","190,090","254,528","233,389","200,675",,,,,,,"5,114",,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,455,000","4,125,000","5,396,000","5,992,000","8,121,000","8,870,000","10,661,000","11,612,000","13,071,000","14,061,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-531,000","-936,000","-936,000","-1,010,000","-1,837,000","-1,837,000","-1,837,000","-1,837,000","-1,837,000","-1,837,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,"142,000",,,,,,,,,,,,,,,,,,,"0","0","0","268,000","219,000","371,000","893,000","893,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
