name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalRevenue,"137,257,000","31,083,000","40,366,000","34,786,000","31,022,000","24,127,000","25,605,000","20,026,000","19,263,000","15,228,000","14,162,000","11,817,000","10,297,000","9,196,000","9,337,000","8,131,000","7,573,000","6,876,000","8,134,000","6,820,000","5,042,000","3,436,000","2,923,000","3,627,000","3,286,000","3,477,000","2,718,000","2,667,000","3,073,000","3,183,000","2,196,000","4,404,000","1,349,000","3,167,000","3,353,000","5,191,000","5,472,000","7,668,000","10,594,000","10,102,000","10,026,000","8,944,000","9,693,000","9,427,000","8,395,000","6,633,000","6,811,000","6,657,000","5,741,671","4,875,397","5,411,605","4,690,715","4,346,588","4,232,334","-528,100","3,502,994","5,047,635","3,741,028","3,101,868","2,104,446","1,505,207","1,336,731","747,071","743,787","560,860","505,091","520,242","604,141","589,483","544,943","290,246","366,784","336,705","262,941",,,,,,,"4,679","0","0","0","0","25,555","111,212","82,183","0","0","0","0","0","0","3,259","4,455","4,702"
	OperatingRevenue,"137,257,000","31,083,000","40,366,000","34,786,000","31,022,000","24,127,000","25,605,000","20,026,000","19,263,000","15,228,000","14,162,000","11,817,000","10,297,000","9,196,000","9,337,000","8,131,000","7,573,000","6,876,000","8,134,000","6,820,000","5,042,000","3,436,000","2,923,000","3,627,000","3,286,000","3,477,000","2,718,000","2,667,000","3,073,000","3,183,000","2,196,000","4,404,000","1,349,000","3,167,000","3,353,000","5,191,000","5,472,000","7,668,000","10,594,000","10,102,000","10,026,000","8,944,000","9,693,000","9,427,000","8,395,000","6,633,000","6,811,000","6,657,000","5,741,671","4,875,397","5,411,605","4,690,715","4,346,588","4,232,334","-528,100","3,502,994","5,047,635","3,741,028","3,101,868","2,104,446","1,505,207","1,336,731","747,071","743,787","560,860","505,091","520,242","604,141","589,483","544,943","290,246","366,784","336,705","262,941",,,,,,,"4,679","0","0","0","0","25,555","111,212","82,183","0","0","0","0","0","0","3,259","4,455","4,702"
CostOfRevenue,"28,356,000","6,921,000","7,331,000","6,837,000","7,267,000","5,886,000","5,659,000","4,296,000","4,061,000","3,401,000","2,821,000","2,261,000","1,948,000","1,784,000","1,831,000","1,641,000","1,330,000","1,236,000","1,530,000","1,347,000","1,020,000","923,000","714,000","880,000","941,000","983,000","1,576,000","950,000","1,166,000","1,245,000","1,406,000","1,383,000","3,826,000","997,000","2,520,000","1,546,000","1,883,000","2,191,000","2,955,000","2,216,000","1,786,000","1,813,000","2,265,000","1,935,000","1,727,000","1,444,000","1,558,000","1,426,000","1,222,153","995,793","1,636,815","897,228","776,644","482,661","1,051,110","453,598","278,212","399,815","295,579","158,085","175,747","99,635","70,525","109,191","19,323","63,827","109,340","39,926","73,250","87,112","75,824","61,194","54,528","46,098",,,,,,,"3,015",,"0","0","0","173,959","24,254","67,600",,"0","0","0","0","0","1,629","2,228","2,350"
GrossProfit,"108,901,000","24,162,000","33,035,000","27,949,000","23,755,000","18,241,000","19,946,000","15,730,000","15,202,000","11,827,000","11,341,000","9,556,000","8,349,000","7,412,000","7,506,000","6,490,000","6,243,000","5,640,000","6,604,000","5,473,000","4,022,000","2,513,000","2,209,000","2,747,000","2,345,000","2,494,000","1,142,000","1,717,000","1,907,000","1,938,000","790,000","3,021,000","-2,477,000","2,170,000","833,000","3,645,000","3,589,000","5,477,000","7,639,000","7,886,000","8,240,000","7,131,000","7,428,000","7,492,000","6,668,000","5,189,000","5,253,000","5,231,000","4,519,518","3,879,604","3,774,790","3,793,487","3,569,944","3,749,673","-1,579,210","3,049,396","4,769,423","3,341,213","2,806,289","1,946,361","1,329,460","1,237,096","676,546","634,596","541,537","441,264","410,902","564,215","516,233","457,831","214,422","305,590","282,177","216,843",,,,,,,"1,664",,"0","0","0","-148,404","86,958","14,583",,"0","0","0","0","0","1,630","2,227","2,352"
OperatingExpense,"83,548,000","22,256,000","21,449,000","19,903,000","19,940,000","19,322,000","17,649,000","14,321,000","11,117,000","9,369,000","7,610,000","7,061,000","5,765,000","5,156,000","4,626,000","3,670,000","3,528,000","3,685,000","3,013,000","2,538,000","2,088,000","2,030,000","1,691,000","2,125,000","2,495,000","2,844,000","2,262,000","1,943,000","2,270,000","2,710,000","190,000","2,609,000","2,947,000","3,456,000","4,445,000","4,713,000","6,153,000","5,833,000","7,032,000","7,174,000","7,308,000","6,645,000","6,190,000","6,389,000","5,769,000","5,328,000","4,480,000","4,606,000","4,389,599","3,847,002","3,290,292","2,906,657","2,463,322","2,413,805","2,945,352","2,636,228","2,076,900","3,269,573","1,519,966","1,090,217","749,059","797,632","793,755","600,509","521,892","492,771","679,632","430,472","434,585","398,067","573,921","555,985","470,184","387,767","11,676","6,319","1,809","6,836","20,492","21,268","516","-18,527","3,896","7,476","48,405","475,954","506,623","356,330","0","0","25,280","30","92","91","14,969","1,147","1,344"
	SellingGeneralAndAdministration,"83,548,000","22,256,000","21,449,000","19,903,000","19,940,000","19,322,000","17,649,000","14,321,000","11,117,000","9,369,000","7,610,000","7,061,000","5,765,000","5,156,000","4,626,000","3,670,000","3,528,000","3,685,000","3,013,000","2,538,000","2,088,000","2,030,000","1,691,000","2,125,000","2,495,000","2,844,000","2,262,000","1,943,000","2,270,000","2,710,000","2,385,000","2,609,000","2,947,000","3,456,000","4,445,000","4,713,000","6,153,000","5,833,000","7,032,000","7,174,000","7,308,000","6,645,000","7,407,000","5,958,000","5,769,000","5,328,000","4,480,000","4,606,000","4,389,599","3,847,002","3,290,292","2,906,657","2,463,322","2,413,805","2,945,352","2,636,228","2,076,900","1,541,526","1,474,151","1,045,087","716,400","767,794","766,459","576,030","506,686","477,618","663,694","414,440","417,784","382,040","493,893","555,985","470,184","387,767","11,676","6,319","1,809","6,836","20,492","21,268","516","-11,717","491","4,071","45,000","470,361","504,067","353,774",,"0","25,280","0","0","0","14,877","1,055","1,252"
		GeneralAndAdministrativeExpense,"28,661,000","7,832,000","7,821,000","6,820,000","6,188,000","5,495,000","5,333,000","4,896,000","4,785,000","4,160,000","3,094,000","3,115,000","2,684,000","2,683,000",,,,,,,,,,,,"2,844,000",,,,,,,,,,"2,948,000","3,879,000","3,927,000",,"4,749,000",,,,"3,146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,717","491","4,071","45,000","403,370","373,213","258,568",,,"25,280",,,,"14,877",,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,"323,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000",,,,,,
			OtherGandA,"28,661,000","7,832,000","7,821,000","6,820,000","6,188,000","5,495,000","5,333,000","4,896,000","4,785,000","4,160,000","3,094,000","3,115,000","2,684,000","2,683,000",,,,,,,,,,,,"2,844,000",,,,,,,,,,"2,948,000","3,879,000","3,927,000",,"4,749,000",,,,"3,146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-328,624","373,213","258,568",,,"280",,,,"14,877",,
		SellingAndMarketingExpense,"54,887,000","14,424,000","13,628,000","13,083,000","13,752,000","13,827,000","12,316,000","9,425,000","6,332,000","5,209,000","4,516,000","3,946,000","3,081,000","2,473,000",,,,,,,,,,,,,,,,,,,,,,"1,765,000","2,274,000","1,906,000",,"2,425,000",,,,"2,812,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,991","130,854","95,206",,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,640","45,815","45,130","32,659","29,838","27,296","24,479","15,206","15,153","15,938","16,032","16,801","16,027",,,,,,,,,,,,,"3,405","3,405","3,405","5,593","2,556","2,556","0","0","0","30","92","91","92","92","92"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,640","45,815","45,130","32,659","29,838","27,296","24,479","15,206","15,153","15,938","16,032","16,801","16,027",,,,,,,,,,,,,"3,405","3,405","3,405","5,593","2,556","2,556","0","0","0","30","92","91","92","92","92"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","30","92","91","92","92","92"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","30","92","91","92","92","92"
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,656,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"25,353,000","1,906,000","11,586,000","8,046,000","3,815,000","-1,081,000","2,297,000","1,409,000","4,085,000","2,458,000","3,731,000","2,495,000","2,584,000","2,256,000","2,880,000","2,820,000","2,715,000","1,955,000","3,591,000","2,935,000","1,934,000","483,000","518,000","622,000","-150,000","-350,000","-1,120,000","-226,000","-363,000","-772,000","600,000","412,000","-5,424,000","-1,286,000","-3,612,000","-1,068,000","-2,564,000","-356,000","607,000","712,000","932,000","486,000","1,238,000","1,103,000","899,000","-139,000","773,000","625,000","129,919","32,602","484,498","886,830","1,106,622","1,335,868","-4,524,562","413,168","2,692,523","71,640","1,286,323","856,144","580,401","439,464","-117,209","34,087","19,645","-51,507","-268,730","133,743","81,648","59,764","-359,499","-250,395","-188,007","-170,924","-11,676","-6,319","-1,809","-6,836","-20,492","-21,268","1,148","18,527","-3,896","-7,476","-48,405","-624,358","-419,665","-341,747","0","0","-25,280","-30","-92","-91","-13,339","1,080","1,008"
NetNonOperatingInterestIncomeExpense,"-210,000","-124,000","-23,000","-18,000","-45,000","-9,000","-5,000","-5,000","-5,000","-4,000","-6,000","1,000","0","0","-1,000","-1,000","-37,000","-115,000","-244,000","-691,000","-394,000","-121,000","-90,000","-90,000","-77,000","-94,000","-135,000","-98,000","-138,000","-132,000","-65,000","-169,000","-144,000","-158,000","-127,000","-136,000","-214,000","-130,000","-139,000","-119,000","-81,000","-93,000","-235,000","-87,000","-79,000","-58,000","-38,000","-43,000","-49,598","-78,623","-51,240","-38,120","-38,301","-33,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-70,693","-12,694","-12,325","-8,400",,,,,"0","0","0","0","0","-1,118","-2,162","-2,219"
	InterestIncomeNonOperating,,,,,,,,,,,,"1,000",,,,,,,"0",,,,,,,,,,,,,,,,,,,,"3,000","0","0",,"0","0","1,000","0","0","2,000","3,169","404","1,127","197","1,744","1,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","129","152","70"
	InterestExpenseNonOperating,"210,000","124,000","23,000","18,000","45,000","9,000",,,"5,000",,"6,000",,"0","0","1,000","1,000","37,000","115,000","244,000","691,000","394,000","121,000","90,000","90,000","77,000","94,000","135,000","98,000","138,000","132,000","65,000","169,000","144,000","158,000","127,000","136,000","214,000","130,000","142,000","119,000","81,000","93,000","235,000","87,000","80,000","58,000","38,000","45,000","52,767","79,027","52,367","38,317","40,045","34,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,693","12,694","12,325","8,400",,,,,"0","0","0","0","0","1,247","2,314","2,289"
	TotalOtherFinanceCost,,,,,,,,"5,000",,"4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,"200,000",,,,,,,,,"0",,,"880,000",,,,,"0","0","0","0","-204,000","0","0","0","-7,000","0","0","0","-81,000","25,000","9,000","0","5,000","0","78,000","-6,000","44,000","-6,000","-7,000","0","0","0","2,000","0","0","0","1,215","-17,567","0","-25,070","66,301","129,124","0","-229","27,201","1,656,407","3,881","0","0",,,,"0","0","138,634",,"0",,"-2,509",,"0","0",,,,,"0","0","0","0","0","0","0","-30,293","0",,"0",,"0",,"0","0","0",,
	SpecialIncomeCharges,,,,,,,"0","0","0",,"0","0","0","880,000",,,,,,,,,,,,"0","-7,000","0","0",,"2,114,000",,"9,000",,"5,000","0","78,000","-6,000","44,000","-6,000","-7,000",,"0","0","2,000","0","0","0","1,215","-17,567","0","-25,070","66,301","129,124","0","-229","27,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,"0",,,"-880,000",,,,,,,,,,,,,,,,,"-2,114,000",,"-9,000",,"-5,000",,"-78,000","6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"200,000",,,,,,,,,"0",,,"880,000",,,,,,,,,,,,,,,,,"-81,000","25,000","9,000",,"5,000",,"78,000","-6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
